created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Tue Mar 07 20:10:15 +0000 2023,1633198394931032064,1633198394931032064,And the change is made with Daniel Scherning out as Bielefeld. Now we ask the question who? https://t.co/51H9WTup5Q,False,"[0, 91]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,1.6331891354929807e+18,1633189135492980744,0,0,False,False,False,en,en,recent,956356058343026688,956356058343026688,Matthew Karagich,MatthewKaragich,"Adelaide, South Australia",Copywriter | Freelance Writer |🎙@2BundesligaPod🎙#OneOnOne w/ Matthew Karagich | 📩 DMs for work are open! Contact: mkaragich@ymail.com,https://t.co/IX7gxZYseQ,"[{'url': 'https://t.co/IX7gxZYseQ', 'expanded_url': 'https://wakelet.com/@mkaragich', 'display_url': 'wakelet.com/@mkaragich', 'indices': [0, 23]}]",[],False,1194,974,27,Thu Jan 25 02:40:27 +0000 2018,16175,,,False,False,5825,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1520305877898915840/fJuRSOS9_normal.jpg,https://pbs.twimg.com/profile_images/1520305877898915840/fJuRSOS9_normal.jpg,https://pbs.twimg.com/profile_banners/956356058343026688/1551840473,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,[],Tue Mar 07 19:33:27 +0000 2023,1.6331891354929807e+18,1633189135492980744,"ℹ️ Arminia stellt Daniel Scherning frei

Der DSC Arminia Bielefeld hat am Dienstagabend seinen Cheftrainer Daniel Scherning freigestellt. Das ist das Ergebnis einer intensiven Analyse, die Geschäftsführung und Aufsichtsrat vornahmen. https://t.co/p0bZKH4Fpk",False,"[0, 233]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,85852009.0,85852009,DSC Arminia Bielefeld,arminia,"Bielefeld, Ostwestfalen",Der offizielle Twitter-Kanal des ostwestfälischen Bundesliga-Rekordaufsteigers! 🖤🤍💙 International channel: @arminia_int 🌍 #immerdabei,https://t.co/gEr8iEmsNE,"[{'url': 'https://t.co/gEr8iEmsNE', 'expanded_url': 'https://www.arminia.de/', 'display_url': 'arminia.de', 'indices': [0, 23]}]",[],False,96357.0,304.0,790.0,Wed Oct 28 16:19:49 +0000 2009,2700.0,,,True,True,44807.0,,False,False,False,005193,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,True,http://pbs.twimg.com/profile_images/1409605397292400642/NMVJNbsA_normal.png,https://pbs.twimg.com/profile_images/1409605397292400642/NMVJNbsA_normal.png,https://pbs.twimg.com/profile_banners/85852009/1658246396,005193,FFFFFF,A0C5C7,1C52D9,True,True,False,False,False,False,False,none,[],,,,,False,11.0,245.0,False,False,False,de,,,,,,,,,,,
Tue Mar 07 19:29:26 +0000 2023,1633188122644103169,1633188122644103169,"More change in Bielefeld. A day after sporting chief Samir Arabi was let go, Arminia have sacked coach Daniel Scherning. Squandering a 3:0 lead in Braunschweig &amp; drawing 3:3, after 4 straight losses, the last straw.  Bielefeld, relegated from the Bundesliga last yr are 16th #DSC",False,"[0, 283]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,1,19,False,False,,en,en,recent,20956936,20956936,Derek Rae,RaeComm,ständig unterwegs,"⚽️ Commentator: Lead @ESPN Bundesliga comm, DFL world feed, La Liga/ESPN, @EASportsFIFA 19/20/21/22/23 video game. Contact: nicola@uniquesm.co.uk",,,[],False,79346,4328,1086,Mon Feb 16 02:38:15 +0000 2009,36196,,,True,True,77451,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1566064412825362434/3dqIP8Tz_normal.jpg,https://pbs.twimg.com/profile_images/1566064412825362434/3dqIP8Tz_normal.jpg,https://pbs.twimg.com/profile_banners/20956936/1660133307,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:40:26 +0000 2023,1633160693108076553,1633160693108076553,"#ArminiaBielefeld &amp; sporting director #SamirArabi end their relationship! 

https://t.co/vP2ETX2kL2",False,"[0, 103]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,,,0,0,False,False,False,en,en,recent,143245156,143245156,Arunava Chaudhuri | arunfoot,Arunfoot,"Remscheid, Nordrhein-Westfalen",Official account of Arunava Chaudhuri | #SportsStrategy | #FootballConsultant | #Media Pro | #Blogger | @rs1tv | #arunfoot | #IndianFootball #GermanFootball,https://t.co/GmznjK8Mau,"[{'url': 'https://t.co/GmznjK8Mau', 'expanded_url': 'https://www.arunfoot.com/', 'display_url': 'arunfoot.com', 'indices': [0, 23]}]",[],False,6733,1223,225,Thu May 13 00:13:06 +0000 2010,277,,,True,True,75452,,False,False,False,000000,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1495872581697777664/uULAtK-H_normal.jpg,https://pbs.twimg.com/profile_images/1495872581697777664/uULAtK-H_normal.jpg,https://pbs.twimg.com/profile_banners/143245156/1478543568,1B95E0,FFFFFF,F7DA93,000000,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 12:28:41 +0000 2023,1633082238999883778,1633082238999883778,"And with @jacksonirvine_ turning 30 today it's kind of appropriate that the German Football League has today announced the kick-off times for Round 30.

We take on @arminia_int of Bielefeld on Saturday, 29 April (13.00 CET) . ☠️

#fcsp #fcspdsc https://t.co/YeUo8I6bni",False,"[0, 244]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,,,2,29,False,False,False,en,en,recent,4872021784,4872021784,FC St. Pauli English,fcstpauli_EN,Millerntor-Stadion,+++ Welcome to the official FC St. Pauli Twitter account in English! +++ See also the German #fcsp account @fcstpauli +++,https://t.co/OoGQSHjd5p,"[{'url': 'https://t.co/OoGQSHjd5p', 'expanded_url': 'http://fcstpauli.com', 'display_url': 'fcstpauli.com', 'indices': [0, 23]}]",[],False,36916,196,240,Tue Feb 02 15:35:59 +0000 2016,197,,,False,True,31212,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1605613874086133761/tY4tU_n7_normal.jpg,https://pbs.twimg.com/profile_images/1605613874086133761/tY4tU_n7_normal.jpg,https://pbs.twimg.com/profile_banners/4872021784/1591621152,0084B4,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 20:53:16 +0000 2023,1632846831213498369,1632846831213498369,"A necessary change it has to be said. Arabi did some great things upon Bielefeld’s run back to the Bundesliga. Post this, he’s been a big reason as to why Arminia is facing back to back relegations https://t.co/NComdpfGSt",False,"[0, 197]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,1.6328223720958853e+18,1632822372095885312,0,2,False,False,False,en,en,recent,956356058343026688,956356058343026688,Matthew Karagich,MatthewKaragich,"Adelaide, South Australia",Copywriter | Freelance Writer |🎙@2BundesligaPod🎙#OneOnOne w/ Matthew Karagich | 📩 DMs for work are open! Contact: mkaragich@ymail.com,https://t.co/IX7gxZYseQ,"[{'url': 'https://t.co/IX7gxZYseQ', 'expanded_url': 'https://wakelet.com/@mkaragich', 'display_url': 'wakelet.com/@mkaragich', 'indices': [0, 23]}]",[],False,1194,974,27,Thu Jan 25 02:40:27 +0000 2018,16175,,,False,False,5825,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1520305877898915840/fJuRSOS9_normal.jpg,https://pbs.twimg.com/profile_images/1520305877898915840/fJuRSOS9_normal.jpg,https://pbs.twimg.com/profile_banners/956356058343026688/1551840473,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,[],Mon Mar 06 19:16:04 +0000 2023,1.6328223720958853e+18,1632822372095885312,"Der DSC Arminia und Samir Arabi beenden ihre langjährige Zusammenarbeit.
 
Unser Aufsichtsrat hat sich mit Sport-Geschäftsführer Arabi auf die sofortige Beendigung der Zusammenarbeit verständigt. Arabi hatte die Trennung vorgeschlagen, um den Weg für einen Neuanfang freizumachen. https://t.co/7q9GpeTpum",False,"[0, 280]",en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,85852009.0,85852009,DSC Arminia Bielefeld,arminia,"Bielefeld, Ostwestfalen",Der offizielle Twitter-Kanal des ostwestfälischen Bundesliga-Rekordaufsteigers! 🖤🤍💙 International channel: @arminia_int 🌍 #immerdabei,https://t.co/gEr8iEmsNE,"[{'url': 'https://t.co/gEr8iEmsNE', 'expanded_url': 'https://www.arminia.de/', 'display_url': 'arminia.de', 'indices': [0, 23]}]",[],False,96357.0,304.0,790.0,Wed Oct 28 16:19:49 +0000 2009,2700.0,,,True,True,44807.0,,False,False,False,005193,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,True,http://pbs.twimg.com/profile_images/1409605397292400642/NMVJNbsA_normal.png,https://pbs.twimg.com/profile_images/1409605397292400642/NMVJNbsA_normal.png,https://pbs.twimg.com/profile_banners/85852009/1658246396,005193,FFFFFF,A0C5C7,1C52D9,True,True,False,False,False,False,False,none,[],,,,,False,25.0,458.0,False,False,False,de,,,,,,,,,,,
Mon Mar 06 19:05:23 +0000 2023,1632819684553682946,1632819684553682946,Zur News: https://t.co/6wsnNKCspp,False,"[0, 33]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.632819645240443e+18,1632819645240442882,106053.0,106053,SPORT1,,,,,False,,,1,5,False,False,False,en,en,recent,106053,106053,SPORT1,SPORT1,München,"Offizieller Twitter-Account von SPORT1  Datenschutz: https://t.co/SVYuoBAMJW
Impressum: https://t.co/UAnTRreAfR",https://t.co/OgiAwsbXUa,"[{'url': 'https://t.co/OgiAwsbXUa', 'expanded_url': 'http://www.sport1.de', 'display_url': 'sport1.de', 'indices': [0, 23]}]","[{'url': 'https://t.co/SVYuoBAMJW', 'expanded_url': 'http://go.sport1.de/sYfNbR', 'display_url': 'go.sport1.de/sYfNbR', 'indices': [53, 76]}, {'url': 'https://t.co/UAnTRreAfR', 'expanded_url': 'http://go.sport1.de/2lsjLo', 'display_url': 'go.sport1.de/2lsjLo', 'indices': [88, 111]}]",False,626989,1877,1806,Thu Dec 21 11:14:55 +0000 2006,9230,,,True,True,221838,,False,False,False,424242,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/951815177334292480/JFq_wxld_normal.jpg,https://pbs.twimg.com/profile_images/951815177334292480/JFq_wxld_normal.jpg,https://pbs.twimg.com/profile_banners/106053/1515765441,424242,FFFFFF,FFFFFF,000000,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 13:25:10 +0000 2023,1632734067127906305,1632734067127906305,"Anthony Ujah bagged a dramatic second-half equalizer as Eintracht Braunschweig secured a 3 – 3 draw from three-nil down against Arminia Bielefeld in the 2.Bundesliga

#Naijafootballers https://t.co/v0pK1390uX",False,"[0, 184]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,,,1,12,False,False,False,en,en,recent,1166056381830586369,1166056381830586369,Naijafootballers,9ja_footballers,,News and info about Nigerian players world wide. Organizers of the Ballers Awards.,https://t.co/KFhg1ssBuD,"[{'url': 'https://t.co/KFhg1ssBuD', 'expanded_url': 'http://youtube.com/naijafootballers', 'display_url': 'youtube.com/naijafootballe…', 'indices': [0, 23]}]",[],False,3277,189,9,Mon Aug 26 18:35:04 +0000 2019,1138,,,True,False,1776,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1166056602463625218/r5GFjYrD_normal.jpg,https://pbs.twimg.com/profile_images/1166056602463625218/r5GFjYrD_normal.jpg,https://pbs.twimg.com/profile_banners/1166056381830586369/1589629360,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 08:37:11 +0000 2023,1632661591526088705,1632661591526088705,"Download #4k, #ArminiaBielefeldlogo, #blueblacksilkfabric, #Germanfootballteam, #ArminiaBielefeldemblem, #2Bundesliga, #ArminiaBielefeld, #Germany, #football, #ArminiaBielefeldflag, #DSCArminiaBielefeld #wallpapers for desktop free
https://t.co/kiaRrVJlUJ",False,"[0, 255]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,,,0,0,False,False,False,en,en,recent,776142215366279169,776142215366279169,Wallpapers4screen,wallpapers4scr,USA,Super wallpapers for you,https://t.co/hzkOP4UubO,"[{'url': 'https://t.co/hzkOP4UubO', 'expanded_url': 'http://wallpapers4screen.com/', 'display_url': 'wallpapers4screen.com', 'indices': [0, 23]}]",[],False,177,245,10,Wed Sep 14 19:34:59 +0000 2016,718,,,False,False,2480,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1612118745719119874/szaXR5p-_normal.jpg,https://pbs.twimg.com/profile_images/1612118745719119874/szaXR5p-_normal.jpg,https://pbs.twimg.com/profile_banners/776142215366279169/1673194055,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 08:26:48 +0000 2023,1632658978932142080,1632658978932142080,"Greeks Abroad. 🇬🇷

5th of March 2023. 🗓

A. Samaris: 66 minutes for Rio Ave.

N. Kaltsas: 90 minutes and a goal for Karmiotissa. ⚽️

F. Kitsos: 65 minutes for Omonia Nicosia.

J. Nikolaou: 90 minutes for Eintracht Braunschweig.

S. Vasiliadis: 45 minutes for Arminia Bielefeld. https://t.co/1YPp5LeDxy",False,"[0, 277]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.632658823067607e+18,1632658823067607041,2282021126.0,2282021126,HellasFooty,,,,,False,,,0,3,False,False,False,en,en,recent,2282021126,2282021126,Hellas Football,HellasFooty,The World,"Greek Football done in English with a weekly podcast recorded every Tuesday - #HellasFootyPod. #SLGR 1 & 2, #Gamma, #Ethniki, breaking news & much more.",https://t.co/fPwLYQGyCu,"[{'url': 'https://t.co/fPwLYQGyCu', 'expanded_url': 'https://linktr.ee/hellasfooty', 'display_url': 'linktr.ee/hellasfooty', 'indices': [0, 23]}]",[],False,8356,1675,130,Wed Jan 08 11:41:13 +0000 2014,3430,,,False,False,16361,,False,False,False,3B94D9,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1466497614891794433/yWrs1-1U_normal.jpg,https://pbs.twimg.com/profile_images/1466497614891794433/yWrs1-1U_normal.jpg,https://pbs.twimg.com/profile_banners/2282021126/1639190633,0D60C2,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 22:36:10 +0000 2023,1632510339295199233,1632510339295199233,"Me: minding my own business at the tap room

Couple sitting a couple seats away for awhile: ""can I ask, how does you in MN come to be wearing a scarf of second tier German football team Arminia Bielefeld?""",False,"[0, 205]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,,,0,0,False,False,,en,en,recent,15241003,15241003,David,mnblrmkr,Minneapolis,not everyone deserves a happy ending,,,[],False,500,340,39,Thu Jun 26 05:48:01 +0000 2008,1986,,,True,False,55747,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1308612065926488064/2_FWW2m6_normal.jpg,https://pbs.twimg.com/profile_images/1308612065926488064/2_FWW2m6_normal.jpg,https://pbs.twimg.com/profile_banners/15241003/1566366393,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
