created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 03:09:20 +0000 2023,1633303860331651075,1633303860331651075,"SECTION 5AA Final Score:
@HolyFamilyGBB - 82
Maranatha - 53

Land 30
Hall 26
Miller 10

🔥 backcourt of Zay, Anseth, Hall + co. did a great job against the Maranatha FC pressure all night!

🔥 play Providence Friday at 7pm at Augsburg with a STATE trip on the line!! #gofire",False,"[0, 272]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,2,False,False,en,en,recent,958604419,958604419,Holy Family Catholic High School,HolyFamilyFire,"Victoria, MN","Holy Family offers students excellence in education by giving opportunities to grow spiritually, morally and intellectually.",https://t.co/vDWIzsjUPT,"[{'url': 'https://t.co/vDWIzsjUPT', 'expanded_url': 'http://www.hfchs.org/fire/', 'display_url': 'hfchs.org/fire/', 'indices': [0, 23]}]",[],False,2199,156,20,Mon Nov 19 21:26:43 +0000 2012,4542,,,True,False,13601,,False,False,False,004712,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1598470407492861953/GCIe7a3f_normal.jpg,https://pbs.twimg.com/profile_images/1598470407492861953/GCIe7a3f_normal.jpg,https://pbs.twimg.com/profile_banners/958604419/1677697286,658A35,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 21:44:35 +0000 2023,1632859748872732672,1632859748872732672,"New Overtime AMM position bought
Bayern Munich - FC Augsburg
Amount: 95.2720737123072
Paid: 9.550 sUSD
Position: Draw
Potential profit: 86 sUSD (898%)",False,"[0, 150]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 08:14:39 +0000 2023,1632655921955602432,1632655921955602432,"Bentaleb's beautiful goal against FC Augsburg sends Spurs into the UEFA Champions League group stage.
https://t.co/NyqlkzxNqW",False,"[0, 125]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1616406501970833411,1616406501970833411,Shirlee H,HutchinsShirlee,,I'm trying to always time,,,[],False,3,29,0,Fri Jan 20 12:05:29 +0000 2023,67,,,False,False,66,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616406656203784192/Hs5yn0d4_normal.jpg,https://pbs.twimg.com/profile_images/1616406656203784192/Hs5yn0d4_normal.jpg,https://pbs.twimg.com/profile_banners/1616406501970833411/1674542147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 08:44:49 +0000 2023,1632301122802139141,1632301122802139141,"Everything will come down to the April 1st fixture. But first things first

Bayern's next games:
• Paris Saint-Germain (H)
• FC Augsburg (H)
• Leverkusen (A)

Dortmund's next games:
• Chelsea (A)
• Schalke (A)
• Köln (H)

May the best team (Dortmund) win 💪 https://t.co/ZMHaIBztjN https://t.co/VPUKk5PRW1",False,"[0, 280]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,6,254,False,False,en,en,recent,2759116861,2759116861,Alessandro,BorussiaPassion,,Passionate Dortmunder. Writing for @BVBBuzz y debatiendo en @TiempoAurinegro,,,[],False,4018,961,62,Sat Aug 23 15:06:54 +0000 2014,34025,,,True,False,23469,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1590426594887303169/KwsK_e6r_normal.jpg,https://pbs.twimg.com/profile_images/1590426594887303169/KwsK_e6r_normal.jpg,https://pbs.twimg.com/profile_banners/2759116861/1677071119,FAB81E,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,[],False,1.6319891544719688e+18,1631989154471968769,Sat Mar 04 12:05:09 +0000 2023,1.6319891544719688e+18,1631989154471968769,This race for the Bundesliga title 🤩👏 https://t.co/0dsrSbIU74,False,"[0, 37]",en,recent,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,,,18091004.0,18091004,ESPN FC,ESPNFC,,All things football. All the time.,,[],False,8398468.0,609.0,14242.0,Sat Dec 13 01:33:04 +0000 2008,1211.0,,,True,True,153836.0,,False,False,False,381020,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1604914413093486599/FmoQ27gk_normal.jpg,https://pbs.twimg.com/profile_images/1604914413093486599/FmoQ27gk_normal.jpg,https://pbs.twimg.com/profile_banners/18091004/1626211424,4A913C,D1CA8E,9DB381,39213B,True,False,False,False,False,False,False,none,[],,,,,False,844.0,23151.0,False,False,False,en
Sun Mar 05 08:40:38 +0000 2023,1632300071730413568,1632300071730413568,"Nfter Augsburg's home win over SV Werder Bremen there was trouble again with Rafal Gikiewicz.  After FC Augsburg's 2-1 win in the Bundesliga, the hot-headed goalkeeper took on guest fans and individual Bremen pros. #Augsburg #Bremen #Fans #Gikiewicz

https://t.co/fIJBOeg2ZY",False,"[0, 274]","<a href=""https://www.blog2social.com"" rel=""nofollow"">Blog2Social APP</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1616779176287309825,1616779176287309825,Germany Tv,GermanyTv3,Germany,Germany4uTv : Latest news | Jobs | World News | Sports News - German4u Tv-xyz,https://t.co/zKanOAy7g4,"[{'url': 'https://t.co/zKanOAy7g4', 'expanded_url': 'http://www.german4utv.xyz', 'display_url': 'german4utv.xyz', 'indices': [0, 23]}]",[],False,1,2,1,Sat Jan 21 12:46:25 +0000 2023,0,,,False,False,838,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628047100608131075/zKvBKWYh_normal.jpg,https://pbs.twimg.com/profile_images/1628047100608131075/zKvBKWYh_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 16:53:33 +0000 2023,1632061730502082563,1632061730502082563,"Goal | FC Augsburg 2-1 Werder Bremen 

⚽️ 5' Beljo, Dion 😍😍

 #FCASVW

Would you like to automatically Tweet goals with your own design? @sociallivescore",False,"[0, 153]","<a href=""https://sociallivescore.com"" rel=""nofollow"">SocialLiveScore</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1463090333143769090,1463090333143769090,sociallivescore,sociallivescore,"Delaware, USA",A great service that provides your Twitter account to automatically share live scores instantly without coding.,https://t.co/3oVHnMvVOY,"[{'url': 'https://t.co/3oVHnMvVOY', 'expanded_url': 'https://sociallivescore.com', 'display_url': 'sociallivescore.com', 'indices': [0, 23]}]",[],False,29,3,0,Tue Nov 23 10:21:51 +0000 2021,2,,,False,False,5325,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1555534282822672384/wb9byhDn_normal.jpg,https://pbs.twimg.com/profile_images/1555534282822672384/wb9byhDn_normal.jpg,https://pbs.twimg.com/profile_banners/1463090333143769090/1660332574,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 16:33:39 +0000 2023,1632056723203653635,1632056723203653635,"FC Augsburg - Werder Bremen
📺 Watch all the videos of this match here:
https://t.co/vqeQPuXgoh
#SofaScore #FCA #SVW",False,"[0, 115]","<a href=""https://goals.zone"" rel=""nofollow"">goals__zone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1576286998066765827,1576286998066765827,goals.zone,goals__zone,,,,,[],False,3059,17,17,Sat Oct 01 19:04:46 +0000 2022,0,,,False,False,13631,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1576287458349793282/ivy9wcCI_normal.jpg,https://pbs.twimg.com/profile_images/1576287458349793282/ivy9wcCI_normal.jpg,https://pbs.twimg.com/profile_banners/1576286998066765827/1664652398,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 15:35:28 +0000 2023,1632042081416798210,1632042081416798210,"Goal | FC Augsburg 2-1 Werder Bremen 

⚽️ 46' Maier, Arne 😍😍

 #FCASVW

Would you like to automatically Tweet goals with your own design? @sociallivescore",False,"[0, 154]","<a href=""https://sociallivescore.com"" rel=""nofollow"">SocialLiveScore</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1463090333143769090,1463090333143769090,sociallivescore,sociallivescore,"Delaware, USA",A great service that provides your Twitter account to automatically share live scores instantly without coding.,https://t.co/3oVHnMvVOY,"[{'url': 'https://t.co/3oVHnMvVOY', 'expanded_url': 'https://sociallivescore.com', 'display_url': 'sociallivescore.com', 'indices': [0, 23]}]",[],False,29,3,0,Tue Nov 23 10:21:51 +0000 2021,2,,,False,False,5325,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1555534282822672384/wb9byhDn_normal.jpg,https://pbs.twimg.com/profile_images/1555534282822672384/wb9byhDn_normal.jpg,https://pbs.twimg.com/profile_banners/1463090333143769090/1660332574,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 15:26:05 +0000 2023,1632039718656385024,1632039718656385024,"FC Augsburg: 1, Werder Bremen: 1, half time!
Our #MachineLearning model gives Werder Bremen 35% chance to win! Stats on https://t.co/Ry2x1bPgfO 
#GermanBundesliga #FCAugsburg #WerderBremen #bundesliga https://t.co/gpdrhfcZhh",False,"[0, 200]","<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">uanalysepost</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1397456817530224640,1397456817530224640,uanalyse 🇺🇦,uanalyse,"London, England",Posting football scores and probabilities ⚽️ iOS app: uanalyse,https://t.co/VQsFN3CZLO,"[{'url': 'https://t.co/VQsFN3CZLO', 'expanded_url': 'https://uanalyse.co.uk', 'display_url': 'uanalyse.co.uk', 'indices': [0, 23]}]",[],False,186,22,0,Wed May 26 07:37:31 +0000 2021,223,,,True,False,5429,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1448264213865058313/nNzseLvM_normal.jpg,https://pbs.twimg.com/profile_images/1448264213865058313/nNzseLvM_normal.jpg,https://pbs.twimg.com/profile_banners/1397456817530224640/1639825277,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 14:55:37 +0000 2023,1632032053695840256,1632032053695840256,"For those trying to watch Bundesliga on ESPN+: You can get the Union Berlin vs FC Köln and Gladbach vs Freiburg games through Hulu, but Augsburg vs Bremen and Mainz vs Hoffenheim are coming up with the technical difficulties screen.",False,"[0, 232]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,4,False,False,en,en,recent,1196952146664669185,1196952146664669185,Andrew Nelson,NinesNorth,"Red Wing, MN","Baseball history researcher/writer. Vintage base ball (1860 rules). Wargamer. Also soccer, football, board games. Mpls City SC member. He/him.",,,[],False,1078,4932,4,Wed Nov 20 00:43:33 +0000 2019,237495,,,True,False,16754,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1593770887467106304/iVAILvc1_normal.jpg,https://pbs.twimg.com/profile_images/1593770887467106304/iVAILvc1_normal.jpg,https://pbs.twimg.com/profile_banners/1196952146664669185/1676209335,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
