created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.user.entities.url.urls
Tue Mar 07 19:21:35 +0000 2023,1633186148347461632,1633186148347461632,"became the talk of the Country, people were starting to notice they have a real diamond upcoming. He remained at 1. FC Köln 2020 until he moved to another Bundesliga outfit, Bayer Leverkusen. B04 are renown for giving youth opportunities and producing talent, he joined a crop of https://t.co/uQpbeLmnco",False,"[0, 279]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633186141611475e+18,1633186141611474945,378622308.0,378622308,AntonioMango4,,,,,False,0,1,False,False,False,en,en,recent,378622308,378622308,António Mango,AntonioMango4,"Newcastle Upon Tyne, England",Football Expert | Football Journalist | U23 Twitter Scout | Substack Link ✍️👇 | 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇫🇷🇮🇹🇩🇪🇪🇸🇳🇱🇵🇹🇦🇹🇦🇷🇧🇷🇬🇭🇳🇬🇲🇱🇨🇮,https://t.co/OniVFeCvgZ,"[{'url': 'https://t.co/OniVFeCvgZ', 'expanded_url': 'https://antniomango.substack.com/subscribe?utm_medium=web&utm_campaign=pss', 'display_url': 'antniomango.substack.com/subscribe?utm_…', 'indices': [0, 23]}]",[],False,9802,1757,31,Fri Sep 23 14:34:55 +0000 2011,78027,,,True,False,80534,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1597218780010237952/7t37QEpj_normal.jpg,https://pbs.twimg.com/profile_images/1597218780010237952/7t37QEpj_normal.jpg,https://pbs.twimg.com/profile_banners/378622308/1677782776,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:21:33 +0000 2023,1633186141611474945,1633186141611474945,"the young boy joined an academy of a Bundesliga club, 1. FC Köln. Wirtz slotted in seamlessly to life as an academy player, impressively rising through the ranks whilst also being a vital part of Germans International youth fold at all age groups. Wirtz was slowly beginning to https://t.co/TCJDlGhS5r",False,"[0, 277]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331861329165926e+18,1633186132916592641,378622308.0,378622308,AntonioMango4,,,,,False,0,4,False,False,False,en,en,recent,378622308,378622308,António Mango,AntonioMango4,"Newcastle Upon Tyne, England",Football Expert | Football Journalist | U23 Twitter Scout | Substack Link ✍️👇 | 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇫🇷🇮🇹🇩🇪🇪🇸🇳🇱🇵🇹🇦🇹🇦🇷🇧🇷🇬🇭🇳🇬🇲🇱🇨🇮,https://t.co/OniVFeCvgZ,"[{'url': 'https://t.co/OniVFeCvgZ', 'expanded_url': 'https://antniomango.substack.com/subscribe?utm_medium=web&utm_campaign=pss', 'display_url': 'antniomango.substack.com/subscribe?utm_…', 'indices': [0, 23]}]",[],False,9802,1757,31,Fri Sep 23 14:34:55 +0000 2011,78027,,,True,False,80534,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1597218780010237952/7t37QEpj_normal.jpg,https://pbs.twimg.com/profile_images/1597218780010237952/7t37QEpj_normal.jpg,https://pbs.twimg.com/profile_banners/378622308/1677782776,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:00:51 +0000 2023,1633180931484708873,1633180931484708873,@BlackYellow @HallerSeb So stupid to not play Kobel thanks for nothing also playing Özcan again is really dumb Dortmund eleven looks like the starting lineup from 1 FC Köln,False,"[24, 172]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633176149139284e+18,1633176149139283974,9.619302126562755e+17,961930212656275456,BlackYellow,,,,,False,1,0,False,False,,en,en,recent,706460394739658752,706460394739658752,darealoneboss,AdleDeuzscher,,"friss oder stirb du Hund
🎾🦅🇩🇪🙏🏻

Lionel Messi ist 🐐
Borussia Dortmund 🖤💛",,,[],False,25,113,0,Sun Mar 06 12:44:18 +0000 2016,2959,,,False,False,7858,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1423378669125386246/dED4qe48_normal.jpg,https://pbs.twimg.com/profile_images/1423378669125386246/dED4qe48_normal.jpg,https://pbs.twimg.com/profile_banners/706460394739658752/1670667805,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 09:26:28 +0000 2023,1633036381348851715,1633036381348851715,"#REGIONALLIGA WEST: @Preussen06 maintain their 11-point lead after they won 3-0 against SV Lippstadt 08 and 2nd-place Borussia Mönchengladbach II beat SG Wattenscheid 09 by a 3-2 scoreline.

@WuppertalerSV are 4 points back in 3rd, dropping points in a 2-2 draw with FC Köln II.",False,"[0, 278]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6330363796124795e+18,1633036379612479489,1.2597948869555896e+18,1259794886955589633,BeyondFussball,,,,,False,0,1,False,False,,en,en,recent,1259794886955589633,1259794886955589633,BUNDESLIGA & BEYOND...,BeyondFussball,Germany,"Authentic German football culture - the Bundesliga, but also beyond into the regional leagues, and beyond the football itself into fan culture, politics & more.",,,[],False,1201,498,27,Mon May 11 10:38:12 +0000 2020,513,,,True,False,2735,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1259856316765474819/J1q5B9CX_normal.jpg,https://pbs.twimg.com/profile_images/1259856316765474819/J1q5B9CX_normal.jpg,https://pbs.twimg.com/profile_banners/1259794886955589633/1589209522,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 09:24:17 +0000 2023,1633035830813138944,1633035830813138944,"Sporting Director Bianca Rech: ""We would like to thank 1. FC Köln, who have given Weronika an excellent welcome and are jointly responsible for her positive development.""",False,"[0, 170]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6330358267698586e+18,1633035826769858560,1.541801984785027e+18,1541801984785027073,miasanfrauen,,,,,False,0,2,False,False,,en,en,recent,1541801984785027073,1541801984785027073,Bayern Frauen,miasanfrauen,,,,,[],False,104,45,2,Tue Jun 28 15:13:55 +0000 2022,6,,,False,False,1850,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1544743093731135488/l0Tne47S_normal.jpg,https://pbs.twimg.com/profile_images/1544743093731135488/l0Tne47S_normal.jpg,https://pbs.twimg.com/profile_banners/1541801984785027073/1657130428,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 06:38:35 +0000 2023,1632994132028186634,1632994132028186634,"@Herr_Walter @kaufland 1.Fc?
Hmmm ... 
💙💛🇺🇦🇺🇦🇺🇦💙💛",False,"[23, 49]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.632977210209362e+18,1632977210209361921,184357391.0,184357391,Herr_Walter,,,,,False,0,0,False,False,,en,en,recent,4897785501,4897785501,🐈🐾💙💛 Katze_mit_Burnout 💙💛🐾🐈,netwalker_koeln,,"💖 Stell dir vor hier würde ein Heftiger Text stehen, der beschreibt wie Heftig ich bin 💖
FREEDOM for ukraine 
СВОБОДА для Украины 
СВОБОДА для України
💙💛",,,[],False,19,86,0,Thu Feb 11 12:36:00 +0000 2016,6045,,,False,False,5468,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1097856291131871234/lL54nfeY_normal.png,https://pbs.twimg.com/profile_images/1097856291131871234/lL54nfeY_normal.png,https://pbs.twimg.com/profile_banners/4897785501/1585924816,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 05:31:21 +0000 2023,1632614823417765890,1632614823417765890,Newly promoted manager Agathon Euripides has been active in the transfer market since taking over at AFC Ajax. De Godenzonen have reportedly made an €9 million move for FC Köln defensive midfielder Ellyes Skhiri.,False,"[0, 212]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6326115116372664e+18,1632611511637266432,1.588777105248379e+18,1588777105248378880,RabelaisPlays,,,,,False,0,0,False,False,,en,en,recent,1588777105248378880,1588777105248378880,Rabelais FM,RabelaisPlays,Portland-ish,"https://t.co/PlKOap5Izo 
Football Manager, Minecraft, BattleTech & more comic books than I know what to do with. #RCTID #BAONPDX",,,"[{'url': 'https://t.co/PlKOap5Izo', 'expanded_url': 'http://www.twitch.tv/rabelais', 'display_url': 'twitch.tv/rabelais', 'indices': [0, 23]}]",False,31,232,0,Sat Nov 05 06:16:21 +0000 2022,483,,,False,False,636,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1588937131249979393/5G5GQpJl_normal.jpg,https://pbs.twimg.com/profile_images/1588937131249979393/5G5GQpJl_normal.jpg,https://pbs.twimg.com/profile_banners/1588777105248378880/1667667061,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 22:10:00 +0000 2023,1632503754703396865,1632503754703396865,"@FCBfrauen continue their Women's Bundesliga campaign next Friday, 10 March, with a home match against MSV Duisburg.

Kick-off at the FC Bayern Campus is set for 19:15 CET . A week later, on Saturday 18 March at 13:00 CET, Munich are away to 1. FC Köln.",False,"[0, 253]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,21807107.0,21807107,FCBfrauen,,,,,False,0,0,False,False,,en,en,recent,288489921,288489921,Felipe,FCBayernUpdate,Latinoamérica,"Football, Fútbol #FCBayern #MiaSanMia 🔴⚪️",https://t.co/WGGMZYB5tB,"[{'url': 'https://t.co/WGGMZYB5tB', 'expanded_url': 'http://www.bayernupdate.com', 'display_url': 'bayernupdate.com', 'indices': [0, 23]}]",[],False,14070,572,220,Tue Apr 26 23:16:32 +0000 2011,1,,,True,False,167172,,False,False,False,08063D,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1621520493621968900/T0ysNfaO_normal.jpg,https://pbs.twimg.com/profile_images/1621520493621968900/T0ysNfaO_normal.jpg,https://pbs.twimg.com/profile_banners/288489921/1613330626,08063D,FFFFFF,F6F6F6,333333,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 16:09:31 +0000 2023,1632413037008224256,1632413037008224256,On the other news: Selina Cerci IS BACK and made her debut for FC Köln today😍😍💪 https://t.co/QhoWphsSfn,False,"[0, 79]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,7,89,False,False,False,en,en,recent,1587135976652115969,1587135976652115969,Frauen Bundesliga News,bundesliga_f,Germany,All about German women’s football in English 🇩🇪⚽️🇬🇧 NOT affiliated with @dfb_frauen or others.,,,[],False,1887,168,18,Mon Oct 31 17:35:10 +0000 2022,968,,,True,False,1997,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1587137024661889024/PzlSl6EF_normal.jpg,https://pbs.twimg.com/profile_images/1587137024661889024/PzlSl6EF_normal.jpg,https://pbs.twimg.com/profile_banners/1587135976652115969/1667252388,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 08:44:49 +0000 2023,1632301122802139141,1632301122802139141,"Everything will come down to the April 1st fixture. But first things first

Bayern's next games:
• Paris Saint-Germain (H)
• FC Augsburg (H)
• Leverkusen (A)

Dortmund's next games:
• Chelsea (A)
• Schalke (A)
• Köln (H)

May the best team (Dortmund) win 💪 https://t.co/ZMHaIBztjN https://t.co/VPUKk5PRW1",False,"[0, 280]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,6,254,False,False,False,en,en,recent,2759116861,2759116861,Alessandro,BorussiaPassion,,Passionate Dortmunder. Writing for @BVBBuzz y debatiendo en @TiempoAurinegro,,,[],False,4018,961,62,Sat Aug 23 15:06:54 +0000 2014,34025,,,True,False,23469,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1590426594887303169/KwsK_e6r_normal.jpg,https://pbs.twimg.com/profile_images/1590426594887303169/KwsK_e6r_normal.jpg,https://pbs.twimg.com/profile_banners/2759116861/1677071119,FAB81E,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,[],1.6319891544719688e+18,1631989154471968769,Sat Mar 04 12:05:09 +0000 2023,1.6319891544719688e+18,1631989154471968769,This race for the Bundesliga title 🤩👏 https://t.co/0dsrSbIU74,False,"[0, 37]",en,recent,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,,,18091004.0,18091004,ESPN FC,ESPNFC,,All things football. All the time.,,[],False,8398468.0,609.0,14242.0,Sat Dec 13 01:33:04 +0000 2008,1211.0,,,True,True,153836.0,,False,False,False,381020,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1604914413093486599/FmoQ27gk_normal.jpg,https://pbs.twimg.com/profile_images/1604914413093486599/FmoQ27gk_normal.jpg,https://pbs.twimg.com/profile_banners/18091004/1626211424,4A913C,D1CA8E,9DB381,39213B,True,False,False,False,False,False,False,none,[],,,,,False,844.0,23151.0,False,False,False,en,
