created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Tue Mar 07 21:36:18 +0000 2023,1633220049443110912,1633220049443110912,"[$9.99]
[Topps] Excellent 4-1 Home win against Hertha BSC - Bundesliga TOPPS NOW&amp;reg; Card #152
Reason: Add to Cart button

Get the Inventory Bot app to be notified 2 minutes faster

04:34:16.0860 PM EST #Ad 

https://t.co/bSZ5Ba5zHm",False,"[0, 237]","<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">BotCollectibles</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1356684941585772545,1356684941585772545,"Bot Collectibles (Pokemon, Funko, ⚾️ cards, etc)",BotCollectibles,"Pittsburgh, PA",All posts are delayed vs the apps. Find us on the app stores. Part of the @BotInventory family. Tracking #PokemonCards #TradingCards #FunkoPop #amiibo and more.,https://t.co/BXYbnjXEVK,"[{'url': 'https://t.co/BXYbnjXEVK', 'expanded_url': 'http://shor.by/fGfL', 'display_url': 'shor.by/fGfL', 'indices': [0, 23]}]",[],False,6188,1,34,Tue Feb 02 19:24:52 +0000 2021,580,,,False,False,518745,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1364352711869820935/uey5IhJs_normal.png,https://pbs.twimg.com/profile_images/1364352711869820935/uey5IhJs_normal.png,https://pbs.twimg.com/profile_banners/1356684941585772545/1613684806,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:17:55 +0000 2023,1633155028100808705,1633155028100808705,@RichLew82 @RetroSolesUK At the Hertha BSC store in the main station (which is HUGE.),False,"[25, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331448123532534e+18,1633144812353253387,298553041.0,298553041,RichLew82,,,,,False,0,2,False,False,,en,en,recent,82322249,82322249,// // // ANDY,ASBofSOUTHSEA,Portsmouth,,,,[],False,3446,596,9,Wed Oct 14 09:47:05 +0000 2009,53343,,,False,False,20973,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1610628347834372096/fUURaIrl_normal.jpg,https://pbs.twimg.com/profile_images/1610628347834372096/fUURaIrl_normal.jpg,https://pbs.twimg.com/profile_banners/82322249/1605479054,0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:14:02 +0000 2023,1633154051129917440,1633154051129917440,"Hertha BSC was informed today that Lukas Ullrich will leave the club in the summer as a free agent. The left-back won't extend his contract.

Race between Borussia Monchengladbach and Eintracht Frankfurt. Nothing decided/signed. Talks ongoing. [@Plettigoal]

#TheGoalpostNews https://t.co/GedAXbTurw",False,"[0, 275]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1166740233989304321,1166740233989304321,The Goalpost,TGoalpost,Malta,"The Home of Football News ⚽

Transfers ↔️
Quotes 💬
Analysis 🧠
Stats 🔢

DM us for enquiries/collabs 📨
Socials: https://t.co/FmvHslQWrE
#TheGoalpostNews",https://t.co/u6Z4epvLeC,"[{'url': 'https://t.co/u6Z4epvLeC', 'expanded_url': 'https://www.the-goalpost.com/', 'display_url': 'the-goalpost.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/FmvHslQWrE', 'expanded_url': 'http://bio.fm/footballnews', 'display_url': 'bio.fm/footballnews', 'indices': [110, 133]}]",False,2402,503,42,Wed Aug 28 15:52:12 +0000 2019,2977,,,False,False,54585,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1407311638559084544/ASjX6LX0_normal.jpg,https://pbs.twimg.com/profile_images/1407311638559084544/ASjX6LX0_normal.jpg,https://pbs.twimg.com/profile_banners/1166740233989304321/1664671831,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 16:12:54 +0000 2023,1633138662551482371,1633138662551482371,"Frankfurt are competing with Gladbach for the signing of Germany under-19 international left-back Lukas Ullrich. Hertha BSC have today been told that the 18-year-old will not extend his expiring contract, reports @Plettigoal. https://t.co/RfS0qqksT8",False,"[0, 225]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.5876860607877489e+18,1587686060787748864,2981020176.0,2981020176,BL_LatestNews,,,,,True,1,11,False,False,False,en,en,recent,2981020176,2981020176,Bundesliga Latest,BL_LatestNews,"Vienna, Austria",Bundesliga Latest are covering Breaking News on the German Bundesliga from domestic and international media. | formerly @BL_Latest,,,[],False,10382,1020,221,Tue Jan 13 23:54:10 +0000 2015,6648,,,True,False,6589,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211996297403731968/Lz3-SoSJ_normal.jpg,https://pbs.twimg.com/profile_images/1211996297403731968/Lz3-SoSJ_normal.jpg,https://pbs.twimg.com/profile_banners/2981020176/1450724135,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],1.6331379675512013e+18,1633137967551201283,Tue Mar 07 16:10:08 +0000 2023,1.6331379675512013e+18,1633137967551201283,❗️News Lukas #Ullrich: Hertha BSC was informed TODAY that the 18 y/o top talent will leave the club in summer - as a free agent. The left back won’t extend his contract. Been told it’s a race between Gladbach &amp; Frankfurt NOW! Nothing decided/signed. Talks ongoing. @SkySportDE 🇩🇪 https://t.co/y6FIuJ7IQf,False,"[0, 283]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2303765948.0,2303765948,Florian Plettenberg,Plettigoal,"München, Bayern",Reporter Sky Sport I 💬 FC Bayern & Transfer News 📩florian.plettenberg@sky.de 💻 I Instagram: Plettigoal,https://t.co/Qpa15JhKzB,"[{'url': 'https://t.co/Qpa15JhKzB', 'expanded_url': 'http://www.facebook.com/plettigoal/', 'display_url': 'facebook.com/plettigoal/', 'indices': [0, 23]}]",[],False,132298.0,802.0,784.0,Tue Jan 21 21:53:20 +0000 2014,5521.0,,,True,True,8977.0,,False,False,False,DAE0EB,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1525214569450426372/pZEW9tDo_normal.jpg,https://pbs.twimg.com/profile_images/1525214569450426372/pZEW9tDo_normal.jpg,https://pbs.twimg.com/profile_banners/2303765948/1661272209,3B94D9,FFFFFF,E6F6F9,333333,True,True,False,False,False,False,False,none,[],,,,,False,26.0,519.0,False,False,False,en,,,,,,,,,,,
Tue Mar 07 16:10:08 +0000 2023,1633137967551201283,1633137967551201283,❗️News Lukas #Ullrich: Hertha BSC was informed TODAY that the 18 y/o top talent will leave the club in summer - as a free agent. The left back won’t extend his contract. Been told it’s a race between Gladbach &amp; Frankfurt NOW! Nothing decided/signed. Talks ongoing. @SkySportDE 🇩🇪 https://t.co/y6FIuJ7IQf,False,"[0, 283]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,26,519,False,False,False,en,en,recent,2303765948,2303765948,Florian Plettenberg,Plettigoal,"München, Bayern",Reporter Sky Sport I 💬 FC Bayern & Transfer News 📩florian.plettenberg@sky.de 💻 I Instagram: Plettigoal,https://t.co/Qpa15JhKzB,"[{'url': 'https://t.co/Qpa15JhKzB', 'expanded_url': 'http://www.facebook.com/plettigoal/', 'display_url': 'facebook.com/plettigoal/', 'indices': [0, 23]}]",[],False,132298,802,784,Tue Jan 21 21:53:20 +0000 2014,5521,,,True,True,8977,,False,False,False,DAE0EB,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1525214569450426372/pZEW9tDo_normal.jpg,https://pbs.twimg.com/profile_images/1525214569450426372/pZEW9tDo_normal.jpg,https://pbs.twimg.com/profile_banners/2303765948/1661272209,3B94D9,FFFFFF,E6F6F9,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 12:35:00 +0000 2023,1633083826846199808,1633083826846199808,"0️⃣4️⃣ goals of #Werkself against Hertha BSC. ⚽️🤩 Here are all the goals for you to enjoy. ☺️

🔙 #B04BSC I #Bayer04 https://t.co/OtYMpPjouX",False,"[0, 115]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,67,False,False,False,en,en,recent,2362437362,2362437362,Bayer 04 Leverkusen,bayer04_en,"Leverkusen, Germany",Welcome to the official English-language Twitter account of Bayer 04 Leverkusen! https://t.co/NvfyfliG8O…,https://t.co/j7czRYKBqq,"[{'url': 'https://t.co/j7czRYKBqq', 'expanded_url': 'http://www.bayer04.de', 'display_url': 'bayer04.de', 'indices': [0, 23]}]","[{'url': 'https://t.co/NvfyfliG8O', 'expanded_url': 'http://bit.ly/B04-data-priva', 'display_url': 'bit.ly/B04-data-priva', 'indices': [81, 104]}]",False,451477,3447,1255,Wed Feb 26 09:47:38 +0000 2014,34273,,,True,True,53596,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1477928895974363138/MI2Me24W_normal.jpg,https://pbs.twimg.com/profile_images/1477928895974363138/MI2Me24W_normal.jpg,https://pbs.twimg.com/profile_banners/2362437362/1672756737,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 08:24:21 +0000 2023,1633020747928010753,1633020747928010753,"3 years ago today. Attended Hertha BSC v Schalke with the old man, that following week we were in lockdown.

The rest as they say, is history https://t.co/gyi3wwtWG3",False,"[0, 141]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,29,False,False,False,en,en,recent,346138663,346138663,lewis,LewisM1909,,Dundee United & West Ham,,,[],False,790,718,4,Sun Jul 31 19:55:21 +0000 2011,109703,,,False,False,21654,,False,False,False,ED6F0E,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1622303719600660488/mfikBUZd_normal.jpg,https://pbs.twimg.com/profile_images/1622303719600660488/mfikBUZd_normal.jpg,https://pbs.twimg.com/profile_banners/346138663/1677084510,F26E09,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 22:50:04 +0000 2023,1632876228687306754,1632876228687306754,@HutchieGlee It’s so fever dreamy watching Jovetic play for Hertha BSC,False,"[13, 70]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6328760054875177e+18,1632876005487517696,865180908.0,865180908,HutchieGlee,,,,,False,0,1,False,False,,en,en,recent,1224458802038222850,1224458802038222850,Paul,streaupwafel,Katwijk,@AFCAjax • @RamsNFL • @okcthunder • Secretaris van de Saidi Ntibazonkizasociëteit • Overtuigd Katwijker • hij/hem,,,[],False,306,435,1,Mon Feb 03 22:26:25 +0000 2020,35550,,,True,False,30382,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1598412765810642944/kPZhHz7S_normal.jpg,https://pbs.twimg.com/profile_images/1598412765810642944/kPZhHz7S_normal.jpg,https://pbs.twimg.com/profile_banners/1224458802038222850/1675939298,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 21:16:25 +0000 2023,1632852660394119168,1632852660394119168,Great Performance By B04 | Bayer 04 Leverkusen - Hertha BSC 4-1 | Highlights | Bundesliga 22/23,False,"[0, 95]","<a href=""http://www.footballorgin.com/"" rel=""nofollow"">Footballorgin</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,400249740,400249740,FOOTBALLORGIN,Footballorgin,,,http://t.co/Vr6nLcO7Hm,"[{'url': 'http://t.co/Vr6nLcO7Hm', 'expanded_url': 'http://www.footballorgin.com', 'display_url': 'footballorgin.com', 'indices': [0, 22]}]",[],False,434,50,4,Fri Oct 28 18:43:09 +0000 2011,0,,,False,False,34033,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/829076194175905793/fySezCLz_normal.jpg,https://pbs.twimg.com/profile_images/829076194175905793/fySezCLz_normal.jpg,https://pbs.twimg.com/profile_banners/400249740/1486502244,0099B9,5ED4DC,95E8EC,3C3940,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 20:41:44 +0000 2023,1632843932282355717,1632843932282355717,"Hertha BSC could return for Leverkusen midfielder Kerem Demirbay this summer if they avoid relegation, report @SkySportDE. https://t.co/2rDa0IwSaD",False,"[0, 146]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.6204709295023882e+18,1620470929502388224,2981020176.0,2981020176,BL_LatestNews,,,,,False,0,6,False,False,False,en,en,recent,2981020176,2981020176,Bundesliga Latest,BL_LatestNews,"Vienna, Austria",Bundesliga Latest are covering Breaking News on the German Bundesliga from domestic and international media. | formerly @BL_Latest,,,[],False,10382,1020,221,Tue Jan 13 23:54:10 +0000 2015,6648,,,True,False,6589,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211996297403731968/Lz3-SoSJ_normal.jpg,https://pbs.twimg.com/profile_images/1211996297403731968/Lz3-SoSJ_normal.jpg,https://pbs.twimg.com/profile_banners/2981020176/1450724135,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
