created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,user.entities.url.urls,quoted_status.user.entities.url.urls
Wed Mar 08 02:58:57 +0000 2023,1633301248152576000,1633301248152576000,"get well soon Julia 🐺👸
im sorry Hoffenheim for your lose sorry for Julia 😢😢
I know you were expecting a football gme  Not in rugby 🐺
Is there anyone who stops the violence of Bayern rugby players 🐺 https://t.co/a6kxlLjZQz",False,"[0, 197]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,1.6330495745825055e+18,1633049574582505472,0,0,False,False,False,en,en,recent,1566918387799834638,1566918387799834638,cutekelly queen of the wolves 💚,CutekellySky,,"🇩🇪 @DFB_Frauen 🇩🇪 💚 💚 💚 @VfL_Frauen @VfLWolfsburg_ES  🐺💚  💚  💚 💚 💚🇩🇪@DFB_Fanclub 🇩🇪
i have decided not watching next world cup 2023 UWCL",,[],False,48,358,1,Mon Sep 05 22:37:29 +0000 2022,2413,,,False,False,3424,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1575186344015548416/iKZOqG5Y_normal.jpg,https://pbs.twimg.com/profile_images/1575186344015548416/iKZOqG5Y_normal.jpg,https://pbs.twimg.com/profile_banners/1566918387799834638/1668042838,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Tue Mar 07 10:18:53 +0000 2023,1.6330495745825055e+18,1633049574582505472,"Grosse perte pour Hoffenheim ❌

La joueuse de l'Année autrichienne Julia Hickelsberger 🇦🇹 s'est blessée face au Bayern et sera absente plusieurs semaines 🤕 https://t.co/N2vjtZ3z04",False,"[0, 155]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.5548117371526595e+18,1554811737152659459,Femmes Foot News 📰,femmesfootnews,,Bienvenue sur le compte retraçant toute l’actualité 24h/24 🚨 du football féminin ⚽️,,[],False,2670.0,871.0,12.0,Wed Aug 03 12:50:07 +0000 2022,6954.0,,,False,False,5774.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1554818052092485633/eVmYckB-_normal.jpg,https://pbs.twimg.com/profile_images/1554818052092485633/eVmYckB-_normal.jpg,https://pbs.twimg.com/profile_banners/1554811737152659459/1659546123,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,4.0,17.0,False,False,False,fr,,
Wed Mar 08 02:12:56 +0000 2023,1633289667998019585,1633289667998019585,"Sport Bild reporting that although Pellegrino Matarazzo got the nod as Hoffenheim coach from the club’s decision makers, the preferred option of club patron Dietmar Hopp was Kenan Kocak, current assistant coach of Turkey. Kocak could be a topic again if TSG continue to lose.",False,"[0, 275]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,0,8,False,False,,en,en,recent,20956936,20956936,Derek Rae,RaeComm,ständig unterwegs,"⚽️ Commentator: Lead @ESPN Bundesliga comm, DFL world feed, La Liga/ESPN, @EASportsFIFA 19/20/21/22/23 video game. Contact: nicola@uniquesm.co.uk",,[],False,79346,4328,1086,Mon Feb 16 02:38:15 +0000 2009,36196,,,True,True,77451,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1566064412825362434/3dqIP8Tz_normal.jpg,https://pbs.twimg.com/profile_images/1566064412825362434/3dqIP8Tz_normal.jpg,https://pbs.twimg.com/profile_banners/20956936/1660133307,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:13:20 +0000 2023,1633259569748090880,1633259569748090880,@iMiaSanMia @SPORTBILD We need short hair gnabry from Hoffenheim pls,False,"[23, 68]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332462234097664e+18,1633246223409766406,618387275.0,618387275,iMiaSanMia,,,,,False,,,0,0,False,False,,en,en,recent,1571666234847920128,1571666234847920128,Léo,Chichimollo,,@Dead____Brain art account,,[],False,7,98,0,Mon Sep 19 01:03:34 +0000 2022,5078,,,False,False,133,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1571673435071287297/BrveYBSH_normal.jpg,https://pbs.twimg.com/profile_images/1571673435071287297/BrveYBSH_normal.jpg,https://pbs.twimg.com/profile_banners/1571666234847920128/1674044066,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:28:13 +0000 2023,1633248217386106880,1633248217386106880,"@Time4Rapha @JamieBVB30 We were definitely the better team except in the last three games, but one of them was against RaBa. Obviously the performance against Hoffenheim wasn't great but if we win bad games, I'm still happy",False,"[24, 223]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332474824602092e+18,1633247482460209152,1.5682065907376128e+18,1568206590737612801,Time4Rapha,,,,,False,,,0,0,False,False,,en,en,recent,1210494698479112193,1210494698479112193,Jonas⚒️|Derby-Sieger,jns2925,,"Elon Musk, fick dein Twitter-Projekt💛🖤",,[],False,78,428,0,Fri Dec 27 09:36:51 +0000 2019,43409,,,False,False,1982,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1611859703285309440/a3Le6UN4_normal.jpg,https://pbs.twimg.com/profile_images/1611859703285309440/a3Le6UN4_normal.jpg,https://pbs.twimg.com/profile_banners/1210494698479112193/1652620371,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:10:07 +0000 2023,1633243658744115200,1633243658744115200,bellingham when he's not playing against someone from a  team called hoffenheim https://t.co/DV25lqEb6l https://t.co/h7w0mRjREH,False,"[0, 103]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,1.6332381899546952e+18,1633238189954695168,2,5,False,False,False,en,en,recent,1701400597,1701400597,mar,kaonashi_te,Misery,dont judge me im at my lowest,https://t.co/yZTmg2SKY5,[],False,38,265,1,Mon Aug 26 09:00:14 +0000 2013,8169,,,False,False,1652,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1625982019070226434/OWNm09BU_normal.jpg,https://pbs.twimg.com/profile_images/1625982019070226434/OWNm09BU_normal.jpg,https://pbs.twimg.com/profile_banners/1701400597/1613751935,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Tue Mar 07 22:48:23 +0000 2023,1.6332381899546952e+18,1633238189954695168,"""I don't want to get in trouble... I've paid enough to them lot..."" 👀

Jude Bellingham reluctantly gives his thoughts on the penalty decision that gifted Chelsea the win! 😳

🎙️ @TheDesKelly https://t.co/hEojQWPle0",False,"[0, 189]",en,recent,"<a href=""http://grabyo.com"" rel=""nofollow"">Grabyo</a>",,,,,,2319121626.0,2319121626,Football on BT Sport,btsportfootball,,The home of football on BT Sport,https://t.co/USxmnaWwY5,[],False,1869426.0,522.0,4534.0,Thu Jan 30 15:49:13 +0000 2014,3865.0,,,True,True,74076.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1587029380139831298/B10e2Nv__normal.jpg,https://pbs.twimg.com/profile_images/1587029380139831298/B10e2Nv__normal.jpg,https://pbs.twimg.com/profile_banners/2319121626/1675684024,00A0D6,000000,DDEEF6,333333,False,False,False,False,False,False,False,none,[],,,,,False,186.0,3242.0,False,False,False,en,"[{'url': 'https://t.co/yZTmg2SKY5', 'expanded_url': 'https://open.spotify.com/playlist/7kEON5Zll2ny9RGW04VoeA?si=7gPNtN1kSeq9y5LV8-Z5mw', 'display_url': 'open.spotify.com/playlist/7kEON…', 'indices': [0, 23]}]","[{'url': 'https://t.co/USxmnaWwY5', 'expanded_url': 'https://www.bt.com/sport/football', 'display_url': 'bt.com/sport/football', 'indices': [0, 23]}]"
Tue Mar 07 23:05:13 +0000 2023,1633242425559863298,1633242425559863298,@LFCLaurie Ofc its 1 game out of many but THIS is what ur spending £100m for not games against Hoffenheim lol nobody cares about that.,False,"[11, 134]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332422249545728e+18,1633242224954572801,1.3599461127324344e+18,1359946112732434441,GKeepinitg,,,,,False,,,0,0,False,False,,en,en,recent,1359946112732434441,1359946112732434441,G,GKeepinitg,"London, England","⚽🎙️Content Creator ▪️Just A Youtuber With An Opinion On #LFC 
 
 Link to all my socials below
 ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️",https://t.co/aDm9bQkTxB,[],False,367,511,0,Thu Feb 11 19:23:25 +0000 2021,11031,,,True,False,10819,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1581020174001528837/bm3CpMiD_normal.jpg,https://pbs.twimg.com/profile_images/1581020174001528837/bm3CpMiD_normal.jpg,https://pbs.twimg.com/profile_banners/1359946112732434441/1672608787,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/aDm9bQkTxB', 'expanded_url': 'https://linktr.ee/gkeepinitg', 'display_url': 'linktr.ee/gkeepinitg', 'indices': [0, 23]}]",
Tue Mar 07 23:03:37 +0000 2023,1633242026085961728,1633242026085961728,"@MounirYagami @JamieBVB30 I lost your point. 

it wasn't good today. 3 of the 2023 best players were missing and Ryerson too. why should give up in Munich now. 

you make Hoffenheim worse than it was , also RB. they had a lot of luck in this game and not so much chances after their goal",False,"[26, 287]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332406082476278e+18,1633240608247627777,2723046591.0,2723046591,MounirYagami,,,,,False,,,0,1,False,False,,en,en,recent,2428921019,2428921019,mario,mario_liccardi_,"Napoli, Campania",https://t.co/D6WylPDjSf,,"[{'url': 'https://t.co/D6WylPDjSf', 'expanded_url': 'https://sea-watch.org/spenden/', 'display_url': 'sea-watch.org/spenden/', 'indices': [0, 23]}]",False,93,747,0,Sat Mar 22 13:22:36 +0000 2014,38827,,,False,False,11785,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318615116024287234/--Sz088G_normal.jpg,https://pbs.twimg.com/profile_images/1318615116024287234/--Sz088G_normal.jpg,https://pbs.twimg.com/profile_banners/2428921019/1590128905,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:56:00 +0000 2023,1633240106340347905,1633240106340347905,@MounirYagami @JamieBVB30 Hoffenheim with an outstanding game of Baumann. you make this game worse than it was.,False,"[26, 111]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332388546552463e+18,1633238854655246340,2723046591.0,2723046591,MounirYagami,,,,,False,,,0,1,False,False,,en,en,recent,2428921019,2428921019,mario,mario_liccardi_,"Napoli, Campania",https://t.co/D6WylPDjSf,,"[{'url': 'https://t.co/D6WylPDjSf', 'expanded_url': 'https://sea-watch.org/spenden/', 'display_url': 'sea-watch.org/spenden/', 'indices': [0, 23]}]",False,93,747,0,Sat Mar 22 13:22:36 +0000 2014,38827,,,False,False,11785,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318615116024287234/--Sz088G_normal.jpg,https://pbs.twimg.com/profile_images/1318615116024287234/--Sz088G_normal.jpg,https://pbs.twimg.com/profile_banners/2428921019/1590128905,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:51:01 +0000 2023,1633238854655246340,1633238854655246340,"@JamieBVB30 Okay what about the game against Hoffenheim
+Second half vs Leipzig !? What WE missed ?",False,"[12, 99]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332385334386893e+18,1633238533438689280,1.4179553371733606e+18,1417955337173360643,JamieBVB30,,,,,False,,,0,0,False,False,,en,en,recent,2723046591,2723046591,mimo reus,MounirYagami,,"Bvb lover and fan 2010-...

25 years old (algerian)

University student civil engineering",,[],False,154,1083,11,Thu Jul 24 15:16:16 +0000 2014,18353,,,False,False,4306,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1627384052431945729/kl-XW6pe_normal.jpg,https://pbs.twimg.com/profile_images/1627384052431945729/kl-XW6pe_normal.jpg,https://pbs.twimg.com/profile_banners/2723046591/1655893086,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:41:15 +0000 2023,1633236395798978561,1633236395798978561,"@JamieBVB30 not even suprised we were lucky against leipzig, hoffenheim but they didnt learn from that games so now they got to pay for sitting back and doing nothing",False,"[12, 166]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332338214274826e+18,1633233821427482627,1.4179553371733606e+18,1417955337173360643,JamieBVB30,,,,,False,,,0,1,False,False,,en,en,recent,1348660287445073926,1348660287445073926,teuzi,teuzi10,Republic of Slovenia,🖤💛,,[],False,42,181,5,Mon Jan 11 15:57:46 +0000 2021,370,,,False,False,512,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632523705661243393/8Egx71Wx_normal.jpg,https://pbs.twimg.com/profile_images/1632523705661243393/8Egx71Wx_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
