created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.user.profile_banner_url,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.possibly_sensitive,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Tue Mar 07 21:36:18 +0000 2023,1633220050097422336,1633220050097422336,"[$9.99]
[Topps] Youngest 1. FSV Mainz 05 player to get 100 Bundesliga matches! - Bundesliga TOPPS NOW&amp;reg;
Reason: Add to Cart button

Get the Inventory Bot app to be notified 2 minutes faster

04:34:16.0860 PM EST #Ad 

https://t.co/HIzpdgVQYw",False,"[0, 248]","<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">BotCollectibles</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1356684941585772545,1356684941585772545,"Bot Collectibles (Pokemon, Funko, ⚾️ cards, etc)",BotCollectibles,"Pittsburgh, PA",All posts are delayed vs the apps. Find us on the app stores. Part of the @BotInventory family. Tracking #PokemonCards #TradingCards #FunkoPop #amiibo and more.,https://t.co/BXYbnjXEVK,"[{'url': 'https://t.co/BXYbnjXEVK', 'expanded_url': 'http://shor.by/fGfL', 'display_url': 'shor.by/fGfL', 'indices': [0, 23]}]",[],False,6188,1,34,Tue Feb 02 19:24:52 +0000 2021,580,,,False,False,518745,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1364352711869820935/uey5IhJs_normal.png,https://pbs.twimg.com/profile_images/1364352711869820935/uey5IhJs_normal.png,https://pbs.twimg.com/profile_banners/1356684941585772545/1613684806,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:03:54 +0000 2023,1633181697121370114,1633181697121370114,"Mainz 05, Dortmund, and Liverpool use YNWA as their anthem 

Guess which football clubs Klopp? Such a scripted sport man",False,"[0, 120]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,32,False,False,,en,en,recent,1141132618207059969,1141132618207059969,🇪🇷🕊️,BetterCallAlba,,• c'est fini,,,[],False,2146,1223,11,Tue Jun 18 23:56:32 +0000 2019,42072,,,False,False,15037,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629028921319497728/FVfiDrbC_normal.jpg,https://pbs.twimg.com/profile_images/1629028921319497728/FVfiDrbC_normal.jpg,https://pbs.twimg.com/profile_banners/1141132618207059969/1675640308,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 08:26:15 +0000 2023,1633021229325058050,1633021229325058050,We've just had this great #FSVMainz05 #footballshirt from 2015-2016 added to our site #Kömmerling https://t.co/YvGvhfgTC1,False,"[0, 121]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,58520705,58520705,oldfootballshirts 🇺🇦 🇹🇷 🇸🇾,oldshirts,All over the World,"The worlds greatest online history of football shirts and soccer jerseys, over 127,000 posted so far, have you added a photo of yours?",https://t.co/bfy4qhYlJ2,"[{'url': 'https://t.co/bfy4qhYlJ2', 'expanded_url': 'http://www.oldfootballshirts.com', 'display_url': 'oldfootballshirts.com', 'indices': [0, 23]}]",[],False,10783,2542,124,Mon Jul 20 16:43:57 +0000 2009,20428,,,True,False,20776,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://pbs.twimg.com/profile_images/1583008826/Square_logo__Small__normal.jpg,https://pbs.twimg.com/profile_images/1583008826/Square_logo__Small__normal.jpg,https://pbs.twimg.com/profile_banners/58520705/1586787512,0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 23:27:48 +0000 2023,1632885721185886210,1632885721185886210,"Overall, Andreas Ivanschitz's importance to Mainz 05's 5th place finish in the Bundesliga cannot be overstated. His skill, leadership, and determination were instrumental in the team's success, and his legacy at the club will be remembered for years to come. (7/7)",False,"[0, 264]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.632885645730349e+18,1632885645730349056,1.333474657601794e+18,1333474657601794050,mainz05memes,,,,,False,0,1,False,False,,en,en,recent,1333474657601794050,1333474657601794050,Daniel | Andreas Ivanschnitzel 🍥,mainz05memes,"Ich Essen, M05 irgendwann UCL",1fsvmemes05 auf Insta // @andivan & Mustapha 🐐🐐 // 🇩🇪🇵🇱 // Homophobie und Rassismus haben hier nix zu suchen! // 18 // CC bei @mainz05esports,https://t.co/RMiRVdHqXH,"[{'url': 'https://t.co/RMiRVdHqXH', 'expanded_url': 'https://linktr.ee/mainz05memes', 'display_url': 'linktr.ee/mainz05memes', 'indices': [0, 23]}]",[],False,559,445,1,Mon Nov 30 18:15:27 +0000 2020,57687,,,True,False,10919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_banners/1333474657601794050/1676286440,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 23:27:11 +0000 2023,1632885568253067265,1632885568253067265,"play was a significant factor in Mainz 05's success, as he often served as the team's creative hub in midfield. He also proved to be a clinical finisher when presented with goal-scoring opportunities, converting six of his 38 shots on target into goals. (5/x)",False,"[0, 259]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.632885463907197e+18,1632885463907196928,1.333474657601794e+18,1333474657601794050,mainz05memes,,,,,False,0,0,False,False,,en,en,recent,1333474657601794050,1333474657601794050,Daniel | Andreas Ivanschnitzel 🍥,mainz05memes,"Ich Essen, M05 irgendwann UCL",1fsvmemes05 auf Insta // @andivan & Mustapha 🐐🐐 // 🇩🇪🇵🇱 // Homophobie und Rassismus haben hier nix zu suchen! // 18 // CC bei @mainz05esports,https://t.co/RMiRVdHqXH,"[{'url': 'https://t.co/RMiRVdHqXH', 'expanded_url': 'https://linktr.ee/mainz05memes', 'display_url': 'linktr.ee/mainz05memes', 'indices': [0, 23]}]",[],False,559,445,1,Mon Nov 30 18:15:27 +0000 2020,57687,,,True,False,10919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_banners/1333474657601794050/1676286440,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 23:25:25 +0000 2023,1632885124143497216,1632885124143497216,"making him a key creative force in the Mainz 05 squad.

Throughout the season, Ivanschitz contributed greatly to the team's attacking prowess, scoring six goals and providing eight assists in 31 league appearances. He also helped to create numerous chances for his teammates (2/x)",False,"[0, 280]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6328849192643338e+18,1632884919264333824,1.333474657601794e+18,1333474657601794050,mainz05memes,,,,,False,0,1,False,False,,en,en,recent,1333474657601794050,1333474657601794050,Daniel | Andreas Ivanschnitzel 🍥,mainz05memes,"Ich Essen, M05 irgendwann UCL",1fsvmemes05 auf Insta // @andivan & Mustapha 🐐🐐 // 🇩🇪🇵🇱 // Homophobie und Rassismus haben hier nix zu suchen! // 18 // CC bei @mainz05esports,https://t.co/RMiRVdHqXH,"[{'url': 'https://t.co/RMiRVdHqXH', 'expanded_url': 'https://linktr.ee/mainz05memes', 'display_url': 'linktr.ee/mainz05memes', 'indices': [0, 23]}]",[],False,559,445,1,Mon Nov 30 18:15:27 +0000 2020,57687,,,True,False,10919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_banners/1333474657601794050/1676286440,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 23:24:36 +0000 2023,1632884919264333824,1632884919264333824,"Andreas Ivanschitz played a crucial role in Mainz 05's success during the 2010-2011 Bundesliga season, in which the team achieved a historic 5th place finish. Ivanschitz was a talented attacking midfielder who possessed excellent vision, technique, and passing skills, ... (1/x)",False,"[0, 278]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6328846882756116e+18,1632884688275611652,1.333474657601794e+18,1333474657601794050,mainz05memes,,,,,False,0,1,False,False,,en,en,recent,1333474657601794050,1333474657601794050,Daniel | Andreas Ivanschnitzel 🍥,mainz05memes,"Ich Essen, M05 irgendwann UCL",1fsvmemes05 auf Insta // @andivan & Mustapha 🐐🐐 // 🇩🇪🇵🇱 // Homophobie und Rassismus haben hier nix zu suchen! // 18 // CC bei @mainz05esports,https://t.co/RMiRVdHqXH,"[{'url': 'https://t.co/RMiRVdHqXH', 'expanded_url': 'https://linktr.ee/mainz05memes', 'display_url': 'linktr.ee/mainz05memes', 'indices': [0, 23]}]",[],False,559,445,1,Mon Nov 30 18:15:27 +0000 2020,57687,,,True,False,10919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_banners/1333474657601794050/1676286440,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 23:23:41 +0000 2023,1632884688275611652,1632884688275611652,"Andere mit ChatGPT: ""How to get rich"" (boring)

Ich: ""Write a twenty sentence paragraph on the importance of Andreas Ivanschitz in the Mainz 05 Squad reaching 5th place in the Bundesliga""

Folgendes wurde bei mir generiert:",False,"[0, 223]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,5,False,False,,en,en,recent,1333474657601794050,1333474657601794050,Daniel | Andreas Ivanschnitzel 🍥,mainz05memes,"Ich Essen, M05 irgendwann UCL",1fsvmemes05 auf Insta // @andivan & Mustapha 🐐🐐 // 🇩🇪🇵🇱 // Homophobie und Rassismus haben hier nix zu suchen! // 18 // CC bei @mainz05esports,https://t.co/RMiRVdHqXH,"[{'url': 'https://t.co/RMiRVdHqXH', 'expanded_url': 'https://linktr.ee/mainz05memes', 'display_url': 'linktr.ee/mainz05memes', 'indices': [0, 23]}]",[],False,559,445,1,Mon Nov 30 18:15:27 +0000 2020,57687,,,True,False,10919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_banners/1333474657601794050/1676286440,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 11:38:34 +0000 2023,1632707238379806721,1632707238379806721,"Germany
Mainz 1 vs 0 Hoffenheim 
Defender Kevin Akpoguma, who lasted 69'min, was not able to help visitor Hoffenheim avoid a defeat against Mainz 05.
A 33'min strike by Martin's was all the host needed to clinge on to the maximum points to help their climb up the table. https://t.co/xOH0EdFaB1",False,"[0, 270]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6327068493959414e+18,1632706849395941376,1.499865478881235e+18,1499865478881234947,ssimedia_,,,,,False,0,3,False,False,False,en,en,recent,1499865478881234947,1499865478881234947,Sammy Sports International 👁️‍🗨️,ssimedia_,"Jos, Nigeria","...Positively Changing Sports Narratives From The Grassroots............

Home of anything #Grassroot, #Sport, #NPFL #NNL #NLO #EPL #UCL #LALIGA #NBA #TENNIS...",https://t.co/H2RNrvh3rP,"[{'url': 'https://t.co/H2RNrvh3rP', 'expanded_url': 'http://ssimedia.com.ng', 'display_url': 'ssimedia.com.ng', 'indices': [0, 23]}]",[],False,13548,1346,4,Fri Mar 04 21:56:28 +0000 2022,48771,,,False,False,44669,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1619942073670451200/pMDqOdxk_normal.jpg,https://pbs.twimg.com/profile_images/1619942073670451200/pMDqOdxk_normal.jpg,https://pbs.twimg.com/profile_banners/1499865478881234947/1675059242,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 08:20:34 +0000 2023,1632657411910811650,1632657411910811650,"Sofiane Hanni assisted Andre Schurrle in Mainz 05's 2-0 Europa League victory over FC Sofia on Wednesday.
https://t.co/sVembyRYSM",False,"[0, 129]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1615712294402658304,1615712294402658304,🥤VERNITAFREEMAN🥤,VERNITAFREEMAN7,,"got a couple of couches, sleep on a loveseat",,,[],False,1,55,0,Wed Jan 18 14:06:59 +0000 2023,66,,,False,False,84,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1617048855132114945/It-z8zix_normal.jpg,https://pbs.twimg.com/profile_images/1617048855132114945/It-z8zix_normal.jpg,https://pbs.twimg.com/profile_banners/1615712294402658304/1674369516,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
