created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.possibly_sensitive,quoted_status.place.id,quoted_status.place.url,quoted_status.place.place_type,quoted_status.place.name,quoted_status.place.full_name,quoted_status.place.country_code,quoted_status.place.country,quoted_status.place.contained_within,quoted_status.place.bounding_box.type,quoted_status.place.bounding_box.coordinates
Wed Mar 08 02:20:34 +0000 2023,1633291589178081281,1633291589178081281,@Leisham38 @anthonyabrown To a certain extent but Rangers did beat Dortmund and RB Leipzig to reach a European final only last year,False,"[26, 131]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.633058351712985e+18,1633058351712985088,198974448.0,198974448,Leisham38,,,,,False,0,0,False,False,en,en,recent,362111752,362111752,Bill Fyfe,bill_fyfe,"Blairgowrie, Scotland",A Rangers supporter and a proud scot 🧡,,[],False,1441,1877,24,Thu Aug 25 21:35:56 +0000 2011,16719,,,True,False,33518,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1461427245864693766/JnY2UnuJ_normal.jpg,https://pbs.twimg.com/profile_images/1461427245864693766/JnY2UnuJ_normal.jpg,https://pbs.twimg.com/profile_banners/362111752/1669838096,0000B3,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:16:41 +0000 2023,1633245311425716225,1633245311425716225,"@omaakatugba Oma, Add RB Leipzig to this list. I see them causing an upset at Etihad.",False,"[13, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332366542352384e+18,1633236654235238400,206366112.0,206366112,omaakatugba,,,,,False,0,0,False,False,en,en,recent,71051559,71051559,Donedi,donatusedi,"Ottawa, Ontario","Security Professional @Allied_Canada | PMI Member - Ottawa Valley Outaouais Chapter (PMI-OVOC) | Alum @AUNigeria, OCGC @AlgonquinColleg, MEng @Carleton_U",https://t.co/W6OGK4a50y,[],False,1152,1126,14,Wed Sep 02 19:27:32 +0000 2009,25257,,,True,False,154063,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1620673130296496128/Gs0cdG3c_normal.jpg,https://pbs.twimg.com/profile_images/1620673130296496128/Gs0cdG3c_normal.jpg,https://pbs.twimg.com/profile_banners/71051559/1407278741,DB184C,FFFFFF,99CC33,3E4415,True,True,False,False,False,False,False,none,[],"[{'url': 'https://t.co/W6OGK4a50y', 'expanded_url': 'https://www.linkedin.com/in/donatusedi', 'display_url': 'linkedin.com/in/donatusedi', 'indices': [0, 23]}]",38d5974e82ed1a6c,https://api.twitter.com/1.1/geo/id/38d5974e82ed1a6c.json,city,Ottawa,"Ottawa, Ontario",CA,Canada,[],Polygon,"[[[-76.353876, 44.961937], [-75.246407, 44.961937], [-75.246407, 45.5356446], [-76.353876, 45.5356446]]]",1.6332453114257162e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:43:09 +0000 2023,1633236872049590272,1633236872049590272,"I actually think we have a good chance of winning the CL next season. The quality of football has dropped drastically. Teams like Frankfurt, RB Leipzig, Benfica, Porto, Inter MIlan and AC Milan would be mid (like Chelsea) in the PL.",False,"[0, 232]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,17,False,False,en,en,recent,2303108331,2303108331,Đ₳VłĐ ĐɆł₦ ₣₵ 🔴⚪🎗️,David_Dein_FC,"Oxford, England","ᵀʰⁱᵉʳʸ ᴴᵉⁿʳʸ ⁻ ᴵᶠ ⁱᵗ ʷᵃˢⁿ’ᵗ ᶠᵒʳ ᴹʳ ᴰᵉⁱⁿ, ᴵ ᵈᵒⁿ’ᵗ ᵏⁿᵒʷ ʷʰᵉᵗʰᵉʳ ⁱᵗ ʷᵒᵘˡᵈ ʰᵃᵛᵉ ʰᵃᵖᵖᵉⁿᵉᵈ ᶠᵒʳ ᴬʳˢᵉⁿᵃˡ",https://t.co/wxVWLPy1uh,[],False,4679,489,51,Sat Jan 25 08:34:31 +0000 2014,60808,,,True,False,51374,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211258078848602112/7VM0A_uJ_normal.jpg,https://pbs.twimg.com/profile_images/1211258078848602112/7VM0A_uJ_normal.jpg,https://pbs.twimg.com/profile_banners/2303108331/1557401666,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,regular,[],"[{'url': 'https://t.co/wxVWLPy1uh', 'expanded_url': 'http://arsenal.com', 'display_url': 'arsenal.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:28:27 +0000 2023,1633233176456994816,1633233176456994816,"#Chelsea, Liverpool and Manchester City are targeting RB Leipzig's 21-year-old Croatia defender Josko Gvardiol this summer.",False,"[0, 123]","<a href=""http://demo.com"" rel=""nofollow"">TrendingEvent</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,482183215,482183215,Roy,adityaandyou,"Dallas, TX",Sharing my love of sports and fitness with the world. #SportsFan #FitnessEnthusiast #Athlete,,[],False,125,28,1,Fri Feb 03 16:29:02 +0000 2012,6772,,,True,False,10590,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1623530381189464069/zMtrwUt8_normal.jpg,https://pbs.twimg.com/profile_images/1623530381189464069/zMtrwUt8_normal.jpg,https://pbs.twimg.com/profile_banners/482183215/1674552613,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:20:09 +0000 2023,1633231084279267329,1633231084279267329,if we lose against rb leipzig at home it’s even more embarassing now. chelshit were able to win against bvb who are higher on the bundesliga table… n e way https://t.co/qVsW87IdMD,False,"[0, 155]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,8,False,False,en,en,recent,1540111983730724868,1540111983730724868,ines 🍀,befournoon,she/her. 7teen. ,man city. fcb. erling haaland defender till i die. delusional behavior is likely.,,[],False,91,105,0,Thu Jun 23 23:20:19 +0000 2022,12286,,,False,False,344,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629259799752761344/t70iPTc0_normal.jpg,https://pbs.twimg.com/profile_images/1629259799752761344/t70iPTc0_normal.jpg,https://pbs.twimg.com/profile_banners/1540111983730724868/1677289189,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:06:08 +0000 2023,1633227557725437953,1633227557725437953,#Chelsea face serious competition from Liverpool and Manchester City in the race to sign Josko Gvardiol from RB Leipzig in the summer transfer window.,False,"[0, 150]","<a href=""http://www.sentdex.com"" rel=""nofollow"">Test_lambton_1</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,563566303,563566303,Howard,magician_shyam,"Fort Worth, TX",Sharing the joys of cooking and food with the world. #Foodie #Chef #RecipeDeveloper,,[],False,65,1,0,Thu Apr 26 08:51:54 +0000 2012,4064,,,True,False,9480,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1623543059337334784/vDN_95DW_normal.jpg,https://pbs.twimg.com/profile_images/1623543059337334784/vDN_95DW_normal.jpg,https://pbs.twimg.com/profile_banners/563566303/1675917911,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:45:31 +0000 2023,1633222369774047233,1633222369774047233,"According to Tuttomercatoweb ( via the Sport Witness), #Chelsea is very close to securing the signing of RB Leipzig midfielder Dominic Szoboszlai.",False,"[0, 146]","<a href=""https://github.com/vgonsalves77"" rel=""nofollow"">vijay ds project</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,1239525741173358594,1239525741173358594,David,vijaygonsalves3,"San Jose, CA",Sales and marketing expert with a proven track record of driving revenue growth for businesses of all sizes. #SalesStrategy #MarketingSuccess #RevenueGrowth,,[],False,415,244,2,Mon Mar 16 12:15:55 +0000 2020,18210,,,False,False,24985,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627727288061284352/pyt7xep9_normal.jpg,https://pbs.twimg.com/profile_images/1627727288061284352/pyt7xep9_normal.jpg,https://pbs.twimg.com/profile_banners/1239525741173358594/1676915423,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:36:30 +0000 2023,1633220100630118400,1633220100630118400,@UTDTrey The last time united was in the CL RB Leipzig cooked them 😭,False,"[9, 68]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332178831604244e+18,1633217883160424449,8.96550698543874e+17,896550698543874049,UTDTrey,,,,,False,0,1,False,False,en,en,recent,2879947203,2879947203,Jay911,Jaaay911,-,"Wealthy. Handsome. Multi-talented Grammy Award Winning. Victim.   

          FCB ⭐️⭐️⭐️⭐️⭐️",,[],False,40,106,0,Sun Nov 16 19:52:58 +0000 2014,2690,,,False,False,1741,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1627813108776333313/wfnVsJva_normal.jpg,https://pbs.twimg.com/profile_images/1627813108776333313/wfnVsJva_normal.jpg,https://pbs.twimg.com/profile_banners/2879947203/1631670083,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:33:35 +0000 2023,1633219366409089025,1633219366409089025,"#Chelsea, Liverpool and Manchester City are targeting RB Leipzig's 21-year-old Croatia defender Josko Gvardiol this summer.",False,"[0, 123]","<a href=""https://sarahnicoara.github.io/lmc2700-portfolio/"" rel=""nofollow"">twitbot_haha</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,1585365243747659776,1585365243747659776,Carter,Group14_twitbot,"Houston, TX",Passionate about helping others find meaning and purpose. #LifePurpose #Motivation,,[],False,23,3,2,Wed Oct 26 20:19:00 +0000 2022,466,,,False,False,3812,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623556576606048258/uaKRifVv_normal.png,https://pbs.twimg.com/profile_images/1623556576606048258/uaKRifVv_normal.png,https://pbs.twimg.com/profile_banners/1585365243747659776/1674518211,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:27:55 +0000 2023,1633217940022599682,1633217940022599682,"@maqwelll Nothing new when German Teams play in England.

Even the 23 RB Leipzig customers were louder than Tottenham in early 2020",False,"[10, 131]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633199440344359e+18,1633199440344358913,7.9366439787708e+17,793664397877080064,maqwelll,,,,,False,0,6,False,False,en,en,recent,1333474657601794050,1333474657601794050,Daniel | Andreas Ivanschnitzel 🍥,mainz05memes,"Ich Essen, M05 irgendwann UCL",1fsvmemes05 auf Insta // @andivan & Mustapha 🐐🐐 // 🇩🇪🇵🇱 // Homophobie und Rassismus haben hier nix zu suchen! // 18 // CC bei @mainz05esports,https://t.co/RMiRVdHqXH,[],False,559,445,1,Mon Nov 30 18:15:27 +0000 2020,57687,,,True,False,10919,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_images/1607700092689039364/zbo4Tt88_normal.jpg,https://pbs.twimg.com/profile_banners/1333474657601794050/1676286440,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/RMiRVdHqXH', 'expanded_url': 'https://linktr.ee/mainz05memes', 'display_url': 'linktr.ee/mainz05memes', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
