created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 00:51:24 +0000 2023,1633269150754959360,1633269150754959360,@Jamiebrowne1986 @WhoScored @ogcnice @FCBayernEN @ACMonza @LFC @VfL_Wolfsburg @SassuoloUS @PSG_inside @Atleti @AntoGriezmann @MoSalah Does not make any sense but okay,False,"[134, 166]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633186759168127e+18,1633186759168126976,265937049.0,265937049,Jamiebrowne1986,,,,,False,0,0,False,False,en,en,recent,2814883969,2814883969,Nguyen,tnmnguyen,,,,[],False,21,188,0,Wed Sep 17 12:21:40 +0000 2014,3083,,,False,False,2606,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1596070316467372032/MrxbeIYq_normal.jpg,https://pbs.twimg.com/profile_images/1596070316467372032/MrxbeIYq_normal.jpg,https://pbs.twimg.com/profile_banners/2814883969/1669367903,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:39:00 +0000 2023,1633190531982319616,1633190531982319616,@CoachHennes_ @VfL_Wolfsburg Good luck on minting your last one! 🔥,False,"[29, 66]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633165198306472e+18,1633165198306471975,1.054794626526253e+18,1054794626526253056,CoachHennes_,,,,,False,0,2,False,False,en,en,recent,1305608001047457792,1305608001047457792,FlipFam | Flip. Collect. Win. ⚽️🏆,FlipFamHQ,,Play predictions & trivia to pick up officially licensed collectibles & compete for exclusive prizes like signed merch. Download our free app today! 📲,https://t.co/oeZVYoPzJY,[],False,4005,1639,6,Mon Sep 14 20:43:41 +0000 2020,2944,,,True,False,4619,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1559818860307546112/Zw8ggJ4F_normal.jpg,https://pbs.twimg.com/profile_images/1559818860307546112/Zw8ggJ4F_normal.jpg,https://pbs.twimg.com/profile_banners/1305608001047457792/1675439041,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/oeZVYoPzJY', 'expanded_url': 'https://linktr.ee/flipfam', 'display_url': 'linktr.ee/flipfam', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:24:01 +0000 2023,1633186759168126976,1633186759168126976,@tnmnguyen @WhoScored @ogcnice @FCBayernEN @ACMonza @LFC @VfL_Wolfsburg @SassuoloUS @PSG_inside @Atleti @AntoGriezmann @MoSalah Because you're so spursy,False,"[128, 152]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633116493499056e+18,1633116493499056136,2814883969.0,2814883969,tnmnguyen,,,,,False,0,0,False,False,en,en,recent,265937049,265937049,Jamie Browne,Jamiebrowne1986,,,,[],False,11,38,0,Mon Mar 14 11:17:10 +0000 2011,134,,,False,False,170,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1571188936319401984/NslUbRmv_normal.jpg,https://pbs.twimg.com/profile_images/1571188936319401984/NslUbRmv_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:01:37 +0000 2023,1633181121612578818,1633181121612578818,"This week's Crest Redesign Competition Weekly stage has VfL Wolfsburg as the fantasy client for conceptual club badges...

#Wolfsburg #VfLWolfsburg #CRCW",False,"[0, 153]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,1,1,False,False,en,en,recent,99833856,99833856,DesignFootball.com,designfootball,,"https://t.co/Exuat0S6tt: The community-based home of concept football kit and crest designs - 45,000 and counting! Upload, discuss, share. Kit news: @footballshirt",https://t.co/ptUnpIW1FE,"[{'url': 'https://t.co/Exuat0S6tt', 'expanded_url': 'http://DesignFootball.com', 'display_url': 'DesignFootball.com', 'indices': [0, 23]}]",False,7356,1119,125,Mon Dec 28 02:08:14 +0000 2009,985,,,False,False,41425,,False,False,False,DBDBDB,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1363992082889641984/qyij6UhM_normal.png,https://pbs.twimg.com/profile_images/1363992082889641984/qyij6UhM_normal.png,https://pbs.twimg.com/profile_banners/99833856/1481532497,0F7D00,FFFFFF,1A2C00,66A654,False,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/ptUnpIW1FE', 'expanded_url': 'http://www.designfootball.com', 'display_url': 'designfootball.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 16:13:22 +0000 2023,1633138781623558147,1633138781623558147,@WhoScored @ogcnice @FCBayernEN @ACMonza @LFC @VfL_Wolfsburg @SassuoloUS @PSG_inside @Atleti @AntoGriezmann @MoSalah Goathardt 🔥🥵🥵💚🤍,False,"[117, 132]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331150184293827e+18,1633115018429382657,99806132.0,99806132,WhoScored,,,,,False,0,1,False,False,en,en,recent,937409257863041024,937409257863041024,ScreVe,ScreVe_CSGO,,VfL Wobburg 💚🐺🤍,,[],False,16,33,1,Sun Dec 03 19:52:38 +0000 2017,180,,,False,False,1009,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1515253460232515585/nGS5VT_6_normal.jpg,https://pbs.twimg.com/profile_images/1515253460232515585/nGS5VT_6_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:44:20 +0000 2023,1633131473648640000,1633131473648640000,@LiamN310804 @WhoScored @ogcnice @FCBayernEN @ACMonza @LFC @VfL_Wolfsburg @SassuoloUS @PSG_inside @Atleti @AntoGriezmann @MoSalah Easily top 5 keepers itl,False,"[130, 154]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331281434132808e+18,1633128143413280768,1.561063837218087e+18,1561063837218086912,LiamN310804,,,,,False,0,4,False,False,en,en,recent,1547319925680791557,1547319925680791557,Prollynotsn,probablynotsn,,Wolves fan 🐺,,[],False,3,42,0,Wed Jul 13 20:40:12 +0000 2022,235,,,False,False,34,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632690303638413315/J_nQ0x0c_normal.jpg,https://pbs.twimg.com/profile_images/1632690303638413315/J_nQ0x0c_normal.jpg,https://pbs.twimg.com/profile_banners/1547319925680791557/1678098677,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:31:06 +0000 2023,1633128143413280768,1633128143413280768,@WhoScored @ogcnice @FCBayernEN @ACMonza @LFC @VfL_Wolfsburg @SassuoloUS @PSG_inside @Atleti @AntoGriezmann @MoSalah Sa the goat,False,"[117, 128]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331150184293827e+18,1633115018429382657,99806132.0,99806132,WhoScored,,,,,False,0,18,False,False,en,en,recent,1561063837218086912,1561063837218086912,LiamN3108,LiamN310804,,Wolves🐺🏴󠁧󠁢󠁥󠁮󠁧󠁿,,[],False,14,172,0,Sat Aug 20 18:53:26 +0000 2022,4871,,,False,False,306,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1603349791819407363/7ALeYqkF_normal.jpg,https://pbs.twimg.com/profile_images/1603349791819407363/7ALeYqkF_normal.jpg,https://pbs.twimg.com/profile_banners/1561063837218086912/1668798257,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:19:45 +0000 2023,1633125287960477697,1633125287960477697,@dambambo @VfL_Wolfsburg @1FSVMainz05 Fuckt so ab,False,"[38, 49]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6330743717313085e+18,1633074371731308545,1.3348436032696443e+18,1334843603269644289,dambambo,,,,,False,0,1,False,False,en,en,recent,1248681482,1248681482,Sami,Sami_1945,,,,[],False,35,48,0,Thu Mar 07 12:18:49 +0000 2013,4437,,,True,False,518,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1627225989410353155/e8amKlPd_normal.jpg,https://pbs.twimg.com/profile_images/1627225989410353155/e8amKlPd_normal.jpg,https://pbs.twimg.com/profile_banners/1248681482/1666182301,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:19:18 +0000 2023,1633125173543960576,1633125173543960576,"#OnThisDay 🔙📆

#OTD 8️⃣ years ago, #DominikKohr scored his 1️⃣st @Bundesliga_DE  goal and brought @FCAugsburg to win the match against @VfL_Wolfsburg. In that season, the team even qualified for the @EuropaLeague. 🙌🤩
____
🔗 #Sports360 https://t.co/3vAFPAkHGu",False,"[0, 234]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1559823386108477441,1559823386108477441,Sports360,Sports360GmbH,,"🔗 Full Service Athlete Management
👥 @ToniKroos, @TimoWerner, @JuWeigl, @MarioGoetze, @FabianSchaer, @J__Nagelsmann & many more
🤝 Sports360 Stiftung",https://t.co/qmHH8kWusu,[],False,31,52,0,Wed Aug 17 08:44:24 +0000 2022,18,,,False,False,149,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1559823620163223553/Z4UuX0Rn_normal.jpg,https://pbs.twimg.com/profile_images/1559823620163223553/Z4UuX0Rn_normal.jpg,https://pbs.twimg.com/profile_banners/1559823386108477441/1660729927,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/qmHH8kWusu', 'expanded_url': 'http://www.sports-360.de', 'display_url': 'sports-360.de', 'indices': [0, 23]}]",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:04:52 +0000 2023,1633121541432004608,1633121541432004608,@WhoScored @ogcnice @FCBayernEN @ACMonza @LFC @VfL_Wolfsburg @SassuoloUS @PSG_inside @Atleti @AntoGriezmann @MoSalah Y. Goathardt,False,"[117, 129]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6331150184293827e+18,1633115018429382657,99806132.0,99806132,WhoScored,,,,,False,0,2,False,False,en,en,recent,1522131482260967425,1522131482260967425,Woelfe Corner,WoelfeCorner,Volkswagen Arena,Woelfe Content Creator 🎬⚒ #WoelfeCorner,https://t.co/ACvzRmVgiN,[],False,97,90,1,Thu May 05 08:30:05 +0000 2022,7031,,,False,False,6768,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1566093583714848772/4I5u9Ahk_normal.jpg,https://pbs.twimg.com/profile_images/1566093583714848772/4I5u9Ahk_normal.jpg,https://pbs.twimg.com/profile_banners/1522131482260967425/1651739562,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/ACvzRmVgiN', 'expanded_url': 'http://linktr.ee/woelfecorner', 'display_url': 'linktr.ee/woelfecorner', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
