created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.user.entities.url.urls
Wed Mar 08 02:16:50 +0000 2023,1633290649284780032,1633290649284780032,he’s never going back to atletico madrid,False,"[0, 40]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332905059235594e+18,1633290505923559425,1.233935533417681e+18,1233935533417680901,chaeeshires,,,,,False,0,0,False,False,en,en,recent,1233935533417680901,1233935533417680901,😼,chaeeshires,she/her,@pledis_17 @cubeclc @enhypen @jypetwice @weareoneexo ⚽️,,[],False,375,506,1,Sun Mar 01 02:02:19 +0000 2020,99039,,,False,False,7839,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1539136916989394945/ZF_zJZUn_normal.jpg,https://pbs.twimg.com/profile_images/1539136916989394945/ZF_zJZUn_normal.jpg,https://pbs.twimg.com/profile_banners/1233935533417680901/1656035396,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:12:18 +0000 2023,1633289508618731522,1633289508618731522,"@kingben980 I love those! regression is useful for making models, particularly multiple regression, here's an article I wrote a while back using it.

ANOVA also fun to use, don't think I've posted anything with it but do like using it checking things
https://t.co/eH9DAsLowN",False,"[12, 274]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332886856962376e+18,1633288685696237572,368566889.0,368566889,kingben980,,,,,False,0,1,False,False,en,en,recent,263346102,263346102,Ben Griffis,BeGriffis,"Washington, DC","Analyzing ⚽️ from around the globe | Creator, Asian Football Analysis Zone @AFA_Zone https://t.co/L8Yv1qhL4n | Views my own",https://t.co/WhxQBCnZA6,"[{'url': 'https://t.co/L8Yv1qhL4n', 'expanded_url': 'http://asianfootball.org', 'display_url': 'asianfootball.org', 'indices': [85, 108]}]",False,10682,943,139,Wed Mar 09 21:37:16 +0000 2011,18507,,,True,False,18938,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1584605117621338113/Hea5omcU_normal.jpg,https://pbs.twimg.com/profile_images/1584605117621338113/Hea5omcU_normal.jpg,https://pbs.twimg.com/profile_banners/263346102/1667871462,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/WhxQBCnZA6', 'expanded_url': 'https://linktr.ee/begriffis', 'display_url': 'linktr.ee/begriffis', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:03:17 +0000 2023,1633287238376103940,1633287238376103940,"2 years ago when we faced Atletico Madrid in The Round of 16, they were one of The Most In Form Teams In Europe

Guess what happened that season👀 https://t.co/kAZpngeXxW",False,"[0, 145]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,7,False,False,en,en,recent,1251528523065548800,1251528523065548800,😎 PRIME 😎,LadimusPrime,PRIMEOUS,"Nigerian born, Irish raised, London living

* @ChelseaFC *
* @TFTerrace *
* TheFirstXI *
* Host/Presenter *
* Twitch Affiliate *
* PSN: Ladimus-Prime-X *",https://t.co/B3yKqmmxqz,[],False,2386,4581,10,Sat Apr 18 15:10:56 +0000 2020,67586,,,True,False,100466,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607509232735100929/ApB4LVaF_normal.jpg,https://pbs.twimg.com/profile_images/1607509232735100929/ApB4LVaF_normal.jpg,https://pbs.twimg.com/profile_banners/1251528523065548800/1622371794,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/B3yKqmmxqz', 'expanded_url': 'https://www.instagram.com/_ladimusprime_/', 'display_url': 'instagram.com/_ladimusprime_/', 'indices': [0, 23]}]",1.633230375265919e+18,1633230375265918976,Tue Mar 07 22:17:20 +0000 2023,1.633230375265919e+18,1633230375265918976,"Borussia Dortmund were the most in-form side in Europe's top 5 leagues before they came to Stamford Bridge.

They won 11 straight competitive matches prior to today.

Chelsea handed them their first loss of 2023 and held them scoreless for the first time in nearly 4 months. https://t.co/msA9GSEqSC",False,"[0, 274]",en,recent,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,,,18091004.0,18091004,ESPN FC,ESPNFC,,All things football. All the time.,,[],False,8398468.0,609.0,14242.0,Sat Dec 13 01:33:04 +0000 2008,1211.0,,,True,True,153836.0,,False,False,False,381020,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1604914413093486599/FmoQ27gk_normal.jpg,https://pbs.twimg.com/profile_images/1604914413093486599/FmoQ27gk_normal.jpg,https://pbs.twimg.com/profile_banners/18091004/1626211424,4A913C,D1CA8E,9DB381,39213B,True,False,False,False,False,False,False,none,[],,,,,False,1715.0,13146.0,False,False,False,en,
Wed Mar 08 01:30:29 +0000 2023,1633278983713312769,1633278983713312769,Thats atletico madrid https://t.co/HL8p5M7sMB,False,"[0, 21]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,138401624,138401624,Chim 🇨🇾,Chim_1994,UK,Walking contradiction,,[],False,411,513,10,Thu Apr 29 13:02:20 +0000 2010,730,,,True,False,132395,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1450220507031384069/_uY1DMRM_normal.jpg,https://pbs.twimg.com/profile_images/1450220507031384069/_uY1DMRM_normal.jpg,https://pbs.twimg.com/profile_banners/138401624/1607627250,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,[],False,,1.6332280947555574e+18,1633228094755557377,Tue Mar 07 22:08:16 +0000 2023,1.6332280947555574e+18,1633228094755557377,Borussia Dortmund are the poster team for born losers,False,"[0, 53]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,885216666.0,885216666,Shane 🇮🇪,Blame_Suarez,"Cork, Ireland","LFC, Football, Gaming & Pop Culture",,[],False,5677.0,292.0,66.0,Tue Oct 16 20:16:55 +0000 2012,10020.0,,,True,False,129957.0,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1623297521433862144/g7ZqD0_c_normal.jpg,https://pbs.twimg.com/profile_images/1623297521433862144/g7ZqD0_c_normal.jpg,https://pbs.twimg.com/profile_banners/885216666/1675173322,3B94D9,000000,DDEEF6,333333,False,True,False,False,False,False,False,regular,[],,,,,False,0.0,3.0,False,False,,en,
Wed Mar 08 01:19:01 +0000 2023,1633276100511150080,1633276100511150080,"ON THIS DAY IN 2018:

Cristiano Ronaldo scored his 650TH career goal against Atletico Madrid and also became the FIRST footballer in the history of Real Madrid to score 40+ goals for 8 seasons in a row.

https://t.co/MRVESe1Bwl",False,"[0, 227]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,69,669,False,False,en,en,recent,2427599888,2427599888,The CR7 Timeline.,TimelineCR7,DM for Promotions. ,Everything you need to know about the Portuguese superstar Cristiano Ronaldo. A fan account.,,[],False,226127,66,314,Fri Apr 04 17:21:15 +0000 2014,8046,,,False,False,23394,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1528775264204906498/oufC8Yu8_normal.jpg,https://pbs.twimg.com/profile_images/1528775264204906498/oufC8Yu8_normal.jpg,https://pbs.twimg.com/profile_banners/2427599888/1628713802,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:11:48 +0000 2023,1633274283496722432,1633274283496722432,joao felix kai havertz raheem sterling ruben loftus-cheek edit fancam world alone lorde champions league borussia dortmund win celebration chelsea fc atletico madrid la liga football soccer goal uefa fifa premier league epl @joaofelix70 @kaihavertz29 @RLC @sterling7 @ChelseaFC https://t.co/q6N0nELwBm,False,"[0, 277]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,3,False,False,en,en,recent,1074155228579000320,1074155228579000320,sarah,J0A0FELIX,chelsea fc,✨ @MAS0NMOUNT media acc ✨,,[],False,78,2,0,Sun Dec 16 04:12:18 +0000 2018,37,,,False,False,91,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1624547946703511553/y7S8G-vU_normal.jpg,https://pbs.twimg.com/profile_images/1624547946703511553/y7S8G-vU_normal.jpg,https://pbs.twimg.com/profile_banners/1074155228579000320/1676232505,F58EA8,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:01:27 +0000 2023,1633271679618097157,1633271679618097157,Enjoy these moments while they last. Atletico de Madrid is waiting for you in June. https://t.co/Z8qRsSs66Q,False,"[0, 83]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,0,2,False,False,en,en,recent,1559243263965634562,1559243263965634562,Ryán,kdncky,colney,,,[],False,3010,1377,1,Mon Aug 15 18:19:12 +0000 2022,71049,,,True,False,44206,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1613820303385272320/hnQCaoih_normal.jpg,https://pbs.twimg.com/profile_images/1613820303385272320/hnQCaoih_normal.jpg,https://pbs.twimg.com/profile_banners/1559243263965634562/1678041477,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,1.6332336698578698e+18,1633233669857869824,Tue Mar 07 22:30:25 +0000 2023,1.6332336698578698e+18,1633233669857869824,Quarter finals 👀💫 Come on Blues💙,False,"[0, 32]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,4754087063.0,4754087063,João Félix,joaofelix70,Viseu/Seixal,Chelsea Football Club 💙 Instagram:joaofelix79,https://t.co/0ltf0HMJmY,[],False,418028.0,137.0,475.0,Sat Jan 09 11:57:57 +0000 2016,5101.0,,,False,True,970.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1615835699055403011/qppMV4MY_normal.jpg,https://pbs.twimg.com/profile_images/1615835699055403011/qppMV4MY_normal.jpg,https://pbs.twimg.com/profile_banners/4754087063/1596572055,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,3918.0,32030.0,False,False,,en,"[{'url': 'https://t.co/0ltf0HMJmY', 'expanded_url': 'http://adidas.com', 'display_url': 'adidas.com', 'indices': [0, 23]}]"
Wed Mar 08 00:52:51 +0000 2023,1633269516032520192,1633269516032520192,"Some of Chelsea’s European results over the last few years have been so iconic.

2-0 Dortmund
2-0 AC Milan
3-0 AC Milan
3-2 Real Madrid
4-0 Juventus
1-0 Man City
2-0 Real Madrid
2-0 Atletico Madrid
4-4 Ajax",False,"[0, 206]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3240806913,3240806913,Lucco ⭐️⭐️,CFC_Lucco,,"Known as the man with 'All the gear no idea', more commonly known as Lucco / CHAMPIONS OF EUROPE X2💙🏆",,[],False,118,308,0,Thu May 07 18:16:41 +0000 2015,39315,,,False,False,6443,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1626253668692508672/ApY_jS6B_normal.jpg,https://pbs.twimg.com/profile_images/1626253668692508672/ApY_jS6B_normal.jpg,https://pbs.twimg.com/profile_banners/3240806913/1632953760,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:32:02 +0000 2023,1633264274339676161,1633264274339676161,@TheBlancosLive @tgm46 Maybe Atletico Madrid.,False,"[23, 45]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332601064556175e+18,1633260106455617536,1.3904683604591288e+18,1390468360459128832,TheBlancosLive,,,,,False,0,0,False,False,en,en,recent,184719605,184719605,JuanitoMaravilla,demoran007,"Los Angeles, CA",Comunicado Oficial: 97% fútbol 2% politics 1% troll. RTs don’t imply endorsement or extensive research. Madridista,,[],False,345,534,2,Mon Aug 30 09:16:09 +0000 2010,41728,,,True,False,24705,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1190396851012472832/KVQB_ROB_normal.jpg,https://pbs.twimg.com/profile_images/1190396851012472832/KVQB_ROB_normal.jpg,https://pbs.twimg.com/profile_banners/184719605/1564579569,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:41:58 +0000 2023,1633251673849360384,1633251673849360384,"Mason Mount did not play the second leg against Atletico Madrid in 2021.

But apparently now we are relying on alternative facts to get us through the day, eh Juanito? @mineralsfc https://t.co/quVAVg1UyB",False,"[0, 179]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,4,False,False,en,en,recent,1249423889777569792,1249423889777569792,CalmaCarlito: WorldWideChels,CarlitoEsposit1,,"Co-Owner of WorldWideChels.  
Reece James Enthusiast. 
Relentless disciple of the 4231. 
Mortal enemy to bad reporting and the people that profit from it.",,[],False,1726,528,9,Sun Apr 12 19:47:33 +0000 2020,18982,,,False,False,57993,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1540078232682110978/_1q7fLVX_normal.jpg,https://pbs.twimg.com/profile_images/1540078232682110978/_1q7fLVX_normal.jpg,https://pbs.twimg.com/profile_banners/1249423889777569792/1675203593,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,1.6332409421351076e+18,1633240942135107584,Tue Mar 07 22:59:19 +0000 2023,1.6332409421351076e+18,1633240942135107584,To all those saying we won UCL round of 16 without Mount we did vs Atletico the year we won the UCL because of him you melts get in the bin https://t.co/IGmZR5uPac,False,"[0, 139]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.3563550598949192e+18,1356355059894919168,Johnny Minerals,mineralsfc,TuChelsea,@ChelseaFC ⭐️⭐️🎙🎥 • We know what we aare • home and away • let’s ave it right! • #mineralsfc • Backup: @mineralsfc_19 | @MM19HIVE,https://t.co/d3kIEjjUfn,[],False,16808.0,364.0,68.0,Mon Feb 01 21:33:52 +0000 2021,21178.0,,,False,False,25339.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1572124527265546241/LON1suwF_normal.jpg,https://pbs.twimg.com/profile_images/1572124527265546241/LON1suwF_normal.jpg,https://pbs.twimg.com/profile_banners/1356355059894919168/1651531315,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,15.0,250.0,False,False,False,en,"[{'url': 'https://t.co/d3kIEjjUfn', 'expanded_url': 'http://youtube.com/@MineralsFC', 'display_url': 'youtube.com/@MineralsFC', 'indices': [0, 23]}]"
