created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 00:20:29 +0000 2023,1633261369901416448,1633261369901416448,"@cutecule @1neOf6 @MadridXtra @tgm46 1st question: Did you just say Cadiz Getafe Celta Vigo and Osasuna are clear of Arsenal?.. 
2nd : Do you live near power lines?",False,"[37, 164]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633249601988731e+18,1633249601988730882,7.85947930935042e+17,785947930935042049,cutecule,,,,,False,0,0,False,False,en,en,recent,1578074533952737280,1578074533952737280,Invincible Galactico,Rydinspinnaz,,"Forgive my vulgarity
 
supporter of  Real Madrid  x Arsenal

Since H14 & R9 - Till the end",,[],False,28,247,1,Thu Oct 06 17:27:55 +0000 2022,1677,,,False,False,1418,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_banners/1578074533952737280/1665079837,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:28:22 +0000 2023,1633248254715469827,1633248254715469827,"@MadridXtra @tgm46 Leave arsenal to manage against teams like Cadiz, getafe, Celta Vigo &amp; osasuna. Have some shame lol",False,"[19, 122]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332473840452526e+18,1633247384045252608,1.3265641522913157e+18,1326564152291315713,MadridXtra,,,,,False,0,17,False,False,en,en,recent,872835090220503041,872835090220503041,1NNaWAY,1neOf6,,Sulemana Stan,,[],False,189,2269,1,Thu Jun 08 15:17:56 +0000 2017,12342,,,False,False,6517,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1602767199613100034/3tz8SITR_normal.jpg,https://pbs.twimg.com/profile_images/1602767199613100034/3tz8SITR_normal.jpg,https://pbs.twimg.com/profile_banners/872835090220503041/1675714764,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:32:05 +0000 2023,1633218989303234562,1633218989303234562,"@LilMoGh That win both halves option hasn’t been good to us these days. Celta Vigo did us dirty with that option on our last slip, today too Chelsea. More time though.",False,"[9, 167]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332168173961544e+18,1633216817396154369,1.1437925631214674e+18,1143792563121467393,LilMoGh,,,,,False,0,0,False,False,en,en,recent,844889244195807233,844889244195807233,Sir Bamba,AlmuassasBamba,Where i suppose to be,Optimistic about possibilities. Sports lover.,,[],False,169,263,0,Thu Mar 23 12:31:07 +0000 2017,69536,,,True,False,5684,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1356265250941759490/dZNQee_N_normal.jpg,https://pbs.twimg.com/profile_images/1356265250941759490/dZNQee_N_normal.jpg,https://pbs.twimg.com/profile_banners/844889244195807233/1612194240,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:56:33 +0000 2023,1633194949263990792,1633194949263990792,"🚨 Celta Vigo central midfielder Gabri Veiga is courting interest from Manchester United, Arsenal and Newcastle. His release clause is €40m. 

(Source: Matteo Moretto)⭐ https://t.co/qAOrUC1bqR",False,"[0, 167]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,1307274012976984066,1307274012976984066,@Baruch Kelvin 14,Baruchkelvin14,"Manchester, England","Football Journalist 
IT HAPPENS HERE©",https://t.co/h3nrVY72lg,[],False,10536,4667,9,Sat Sep 19 11:03:36 +0000 2020,7069,,,False,False,6233,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1424646941967847424/wdQcECBd_normal.jpg,https://pbs.twimg.com/profile_images/1424646941967847424/wdQcECBd_normal.jpg,https://pbs.twimg.com/profile_banners/1307274012976984066/1662096790,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/h3nrVY72lg', 'expanded_url': 'https://youtube.com/@baruchkelvin14', 'display_url': 'youtube.com/@baruchkelvin14', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:36:12 +0000 2023,1633174727974944768,1633174727974944768,"Players with the most games with Celta Vigo in La Liga history:

300 - Hugo Mallo 
293 - Iago Aspas 
235 - Aleksandr Mostovoi",False,"[0, 125]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,20,False,False,en,en,recent,1206189021661192197,1206189021661192197,Get Spanish Football News,GSpanishFN,,Get Spanish Football News (GSFN) - Your Home of Spanish Football in English.,https://t.co/cj4oFFFY1f,[],False,32259,210,532,Sun Dec 15 12:27:37 +0000 2019,192,,,True,False,14123,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623023265986772993/D9oITBZS_normal.jpg,https://pbs.twimg.com/profile_images/1623023265986772993/D9oITBZS_normal.jpg,https://pbs.twimg.com/profile_banners/1206189021661192197/1675793876,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/cj4oFFFY1f', 'expanded_url': 'http://www.getfootballnewsspain.com', 'display_url': 'getfootballnewsspain.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:27:03 +0000 2023,1633172425016737793,1633172425016737793,"🎥 Abde Vs Celta Vigo Highlights 

✍️ @BarcelonaComps 

 https://t.co/zAjWSWBIb7",False,"[0, 79]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,27,187,False,False,en,en,recent,1437847286428667906,1437847286428667906,Barça Spaces,BarcaSpaces,"Barcelona, Spain","The space for all FC Barcelona related news, debates, GIFs, media, Twitter Spaces and more! #BarcaSpaces",,[],False,24648,261,82,Tue Sep 14 18:35:07 +0000 2021,7675,,,True,False,25515,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1500910359414296585/mIKhElXn_normal.jpg,https://pbs.twimg.com/profile_images/1500910359414296585/mIKhElXn_normal.jpg,https://pbs.twimg.com/profile_banners/1437847286428667906/1646679901,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:31:29 +0000 2023,1633158439202353168,1633158439202353168,"Hugo Mallo has now made 300 appearances in #LaLiga, all of which have come with the blue and white of Celta Vigo.  #OneClubMan https://t.co/G7ZxRA6uUv",False,"[0, 126]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,5,False,False,en,en,recent,1371799274871226369,1371799274871226369,viva laliga,vv_laliga,LaLiga ,Spanish Football in it's Purest form ⚽🧡🇪🇦 // Football is my passion ❤️ // i post out of context sometimes. ⚽,,[],False,530,138,5,Tue Mar 16 12:24:29 +0000 2021,5076,,,True,False,6189,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1450132595770023944/8huFLa5R_normal.jpg,https://pbs.twimg.com/profile_images/1450132595770023944/8huFLa5R_normal.jpg,https://pbs.twimg.com/profile_banners/1371799274871226369/1626523874,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:00:42 +0000 2023,1633150695745507328,1633150695745507328,2013/14 EPL season was so fun. Even tho Spurs were awful I miss it. Just so many top players but also those cool random players some may've forgotten about. Like remember Iago Aspas at Liverpool? Couldn't hit a barn door there but is now a hero back in Spain now with Celta Vigo https://t.co/IO6bYKcDHe,False,"[0, 278]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,11,False,False,en,en,recent,908429570126352384,908429570126352384,⚪️,owenthfc__,United Kingdom,fuck off conte,,[],False,1376,199,6,Thu Sep 14 20:37:42 +0000 2017,46664,,,True,False,38134,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1625460852127068162/_3IrPvVt_normal.jpg,https://pbs.twimg.com/profile_images/1625460852127068162/_3IrPvVt_normal.jpg,https://pbs.twimg.com/profile_banners/908429570126352384/1674482752,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:35:00 +0000 2023,1633129125409095681,1633129125409095681,"It's Fulham, Celta Vigo, and Antalyaspor in Tuesday's soccer news - https://t.co/25DqTR24OA",False,"[0, 91]","<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,58897884,58897884,US Soccer Players,ussoccerplayers,"Washington, DC",The United States Men's National Soccer Team Players Association. USNSTPA to our friends.,http://t.co/WxoJEierJu,[],False,73335,391,236,Tue Jul 21 19:47:10 +0000 2009,37,,,False,False,1633,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/722392536631885824/6wUZpzoJ_normal.jpg,https://pbs.twimg.com/profile_images/722392536631885824/6wUZpzoJ_normal.jpg,https://pbs.twimg.com/profile_banners/58897884/1461066764,993333,993333,D9D6D9,003366,True,False,False,False,False,False,False,none,[],False,"[{'url': 'http://t.co/WxoJEierJu', 'expanded_url': 'http://www.ussoccerplayers.com', 'display_url': 'ussoccerplayers.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 14:58:11 +0000 2023,1633119860745011203,1633119860745011203,"*Veiga Transfer Rumours*
🔴🔴🔴Manchester United are tracking Celta Vigo 20-year-old midfielder Gabri Veiga but Real Madrid and Newcastle United are also interested in him, as El Desmarque said.
#MUFC #ManUtd #ManUnited #ManchesterUnited #MUMUfootball https://t.co/aab8leh1p0",False,"[0, 248]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,4,False,False,en,en,recent,1495763503394734081,1495763503394734081,MUMU Football,MUMUfootball,,"All EYEs on the Movement👁️
Manchester United Transfers🔴🔴🔴
#MUMUfootball",https://t.co/U2ZNm9glbf,[],False,1361,0,8,Mon Feb 21 14:15:30 +0000 2022,89,,,False,False,4170,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1510606633457623051/Xbyr7HET_normal.jpg,https://pbs.twimg.com/profile_images/1510606633457623051/Xbyr7HET_normal.jpg,https://pbs.twimg.com/profile_banners/1495763503394734081/1650625451,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/U2ZNm9glbf', 'expanded_url': 'http://www.youtube.com/channel/UCsoZNH8feTobjfbq-gNSCRw', 'display_url': 'youtube.com/channel/UCsoZN…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
