created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 02:39:15 +0000 2023,1633296292498788352,1633296292498788352,"@UTDTrey 7 by Liverpool
6 by City
4 by Brentford &amp; Cadiz
3 by Villa
But ""one bad game"" lmaooo 😂🤣😭",False,"[9, 101]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331116683843215e+18,1633111668384321540,8.96550698543874e+17,896550698543874049,UTDTrey,,,,,False,0,0,False,False,en,en,recent,326115782,326115782,Fica Nugraha,EliteCityzen,Jakarta Capital Region,@ManCity 💎,,[],False,710,845,0,Wed Jun 29 11:59:40 +0000 2011,7192,,,True,False,15467,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1515749128109948929/OZYPMjhl_normal.jpg,https://pbs.twimg.com/profile_images/1515749128109948929/OZYPMjhl_normal.jpg,https://pbs.twimg.com/profile_banners/326115782/1535789139,02C9CC,000000,EFEFEF,333333,True,True,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:35:04 +0000 2023,1633295236373053441,1633295236373053441,@cadiz_jl Eyy congrats 🥳🧡💛,False,"[10, 26]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331618519861166e+18,1633161851986116608,1.2740823256182948e+18,1274082325618294785,cadiz_jl,,,,,False,0,0,False,False,en,en,recent,1568216800466452482,1568216800466452482,𝐍𝐀𝐓𝐓𝐀𝐖𝐈𝐍𝐈𝐅𝐈𝐄𝐃 | Student Era Nanaman,Nattawinified,,"This is a fan account
| Let me have this freedom ❤️‍🔥 | Proud Pipino 🫡",,[],False,471,569,0,Fri Sep 09 12:36:52 +0000 2022,9679,,,True,False,2882,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1626133267358547968/9ZvUf3XB_normal.jpg,https://pbs.twimg.com/profile_images/1626133267358547968/9ZvUf3XB_normal.jpg,https://pbs.twimg.com/profile_banners/1568216800466452482/1666752050,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:31:44 +0000 2023,1633294400473235457,1633294400473235457,@scottemily7011 @fcbaymen9 @ReshadRahman_ He literally hasn’t he was shit vs Valencia and vs Madrid. The Cadiz game is carrying his form,False,"[42, 136]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332622169998418e+18,1633262216999841792,1.5187032810983465e+18,1518703281098346507,scottemily7011,,,,,False,0,0,False,False,en,en,recent,2617864433,2617864433,Sebastian cerna,sebasgotgame,,,,[],False,41,556,0,Tue Jun 17 17:40:19 +0000 2014,1734,,,False,False,5382,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1616207423823351826/esjgk0WP_normal.jpg,https://pbs.twimg.com/profile_images/1616207423823351826/esjgk0WP_normal.jpg,https://pbs.twimg.com/profile_banners/2617864433/1649194726,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:22:48 +0000 2023,1633292151793631234,1633292151793631234,@NnanaEssel @Cadiz_CFIN Your soo call club never wished the nation but look what you are saying....,False,"[24, 99]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6327023318619996e+18,1632702331861999618,9.136953496294236e+17,913695349629423617,NnanaEssel,,,,,False,0,0,False,False,en,en,recent,973707766769569797,973707766769569797,AIZEK AKYAMPONG,moskito_7,Weija,"Manchester United ♥️, Kumasi High School💛🧡, Graphics",,[],False,7,214,0,Tue Mar 13 23:49:56 +0000 2018,163,,,False,False,147,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1432824882107240450/CKbIzJ6s_normal.jpg,https://pbs.twimg.com/profile_images/1432824882107240450/CKbIzJ6s_normal.jpg,https://pbs.twimg.com/profile_banners/973707766769569797/1666627754,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:51:26 +0000 2023,1633284256112824320,1633284256112824320,"Am I surprised? Hell no! Ain't you the same guy who said the gaffer should be sacked because our Academy boys lost a friendly match to cadiz?🤣🤣🤣

Sorry to everyone who has to see this bellend tweet cause of my reply.",False,"[0, 216]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332842529460306e+18,1633284252946030599,1.3502721613034496e+18,1350272161303449602,Oledad_,,,,,False,1,3,False,False,en,en,recent,1350272161303449602,1350272161303449602,Ole's dad,Oledad_,,🙂,,[],False,469,613,1,Sat Jan 16 02:42:42 +0000 2021,6761,,,False,False,5127,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1391472616616173573/055iyddi_normal.jpg,https://pbs.twimg.com/profile_images/1391472616616173573/055iyddi_normal.jpg,https://pbs.twimg.com/profile_banners/1350272161303449602/1677438803,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:37:51 +0000 2023,1633280838761607168,1633280838761607168,@MrAsiedu_ @SevonoCi @Cadiz_CFIN thats why jimmy….siA banku,False,"[33, 59]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6327332235234345e+18,1632733223523434503,1.3434004094409196e+18,1343400409440919555,MrAsiedu_,,,,,False,0,0,False,False,en,en,recent,1063700706,1063700706,$hgSmokyOutlaw,mulifahsmokyout,Mdina,$hg mu$ic ...LIVERPOOL FAN 💯❤,,[],False,108,1384,0,Sat Jan 05 18:45:47 +0000 2013,5453,,,False,False,1891,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/870539742672191488/_mVl1td6_normal.jpg,https://pbs.twimg.com/profile_images/870539742672191488/_mVl1td6_normal.jpg,https://pbs.twimg.com/profile_banners/1063700706/1496387825,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:30:00 +0000 2023,1633263763095945216,1633263763095945216,The King’s grandson &amp; the Dictator’s granddaughter | Learn about the Royal Guests at the Wedding of the Duke of Anjou and Cádiz and Maria del Carmen Martinez-Bordiu y Franco in the Chapel of the El Pardo Palace in Madrid #OnThisDay in 1972: https://t.co/4EpCMT81xb,False,"[0, 268]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,4055626761,4055626761,The Royal Watcher,saadsalman719,,Saad丨22丨Founder & Editor of The Royal Watcher丨Royal Contributor for ELLE丨Art History 🎓 @uvic丨🇵🇰🇨🇦丨 ⟦repeat tweets are scheduled⟧,https://t.co/DaIgrSVdtg,[],False,10327,367,73,Tue Oct 27 20:04:35 +0000 2015,343350,,,True,False,193527,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1242692871557222400/gAWZfAvZ_normal.jpg,https://pbs.twimg.com/profile_images/1242692871557222400/gAWZfAvZ_normal.jpg,https://pbs.twimg.com/profile_banners/4055626761/1585102328,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/DaIgrSVdtg', 'expanded_url': 'http://royalwatcherblog.com', 'display_url': 'royalwatcherblog.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:20:29 +0000 2023,1633261369901416448,1633261369901416448,"@cutecule @1neOf6 @MadridXtra @tgm46 1st question: Did you just say Cadiz Getafe Celta Vigo and Osasuna are clear of Arsenal?.. 
2nd : Do you live near power lines?",False,"[37, 164]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633249601988731e+18,1633249601988730882,7.85947930935042e+17,785947930935042049,cutecule,,,,,False,0,0,False,False,en,en,recent,1578074533952737280,1578074533952737280,Invincible Galactico,Rydinspinnaz,,"Forgive my vulgarity
 
supporter of  Real Madrid  x Arsenal

Since H14 & R9 - Till the end",,[],False,28,247,1,Thu Oct 06 17:27:55 +0000 2022,1677,,,False,False,1418,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_banners/1578074533952737280/1665079837,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:16:23 +0000 2023,1633260335137161217,1633260335137161217,@MckwamzE @Cadiz_CFIN That’s your level,False,"[22, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332582728483144e+18,1633258272848314370,1.5821501375262925e+18,1582150137526292498,MckwamzE,,,,,False,0,0,False,False,en,en,recent,1508610201334788103,1508610201334788103,Zlatan,emsarfo21_,,@ManUtd / Messi 🐐/ Sarkodie 🐐/ @Ibra_official fan❤️/ Dm for promo/ Email - emmabryophyte02@gmail.com,https://t.co/HnpJhdU1oD,[],False,3428,2620,0,Tue Mar 29 01:01:41 +0000 2022,45150,,,True,False,5250,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1552341845077786624/h48eOPcU_normal.jpg,https://pbs.twimg.com/profile_images/1552341845077786624/h48eOPcU_normal.jpg,https://pbs.twimg.com/profile_banners/1508610201334788103/1671913039,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/HnpJhdU1oD', 'expanded_url': 'https://share.getcashto.com/@emsarfo21', 'display_url': 'share.getcashto.com/@emsarfo21', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:13:15 +0000 2023,1633259550500438018,1633259550500438018,@Cadiz_CFIN Thanks we really appreciate you and Ghana 🇬🇭 loves you so much,False,"[12, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6326890765191741e+18,1632689076519174146,1.2304313807078687e+18,1230431380707868672,Cadiz_CFIN,,,,,False,0,0,False,False,en,en,recent,1590152817351790595,1590152817351790595,Alhassan skima,AlhassanSkima5,,,,[],False,5,146,0,Wed Nov 09 01:22:48 +0000 2022,464,,,False,False,36,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1590153269527166976/_RBWNXrV_normal.jpg,https://pbs.twimg.com/profile_images/1590153269527166976/_RBWNXrV_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
