created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,user.profile_banner_url,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 01:17:27 +0000 2023,1633275703067041796,1633275703067041796,Last chance for CryptoGPT Raffle🙌 @RadamanthysSama @brightfour4 @elche_crypto @screw2232 @KellyBetsy14 @Mozelle47539477 @cryptogmf @ashitawamaru @Bodbka27 @loverangel258 @1905lifetrade https://t.co/nMQVsdpuPD,False,"[0, 184]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,1.633105976550146e+18,1633105976550146051,0,0,False,False,False,en,en,recent,1595756286485856258,1595756286485856258,Dustin hamilton,Dustinh89055610,,,,[],False,0,0,0,Thu Nov 24 12:28:44 +0000 2022,0,,,False,False,1,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1619038638901280780/zmYoIuj6_normal.jpg,https://pbs.twimg.com/profile_images/1619038638901280780/zmYoIuj6_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Tue Mar 07 14:03:01 +0000 2023,1.633105976550146e+18,1633105976550146051,"Guaranteed Offering - @Degen_Zoo 

Participate now
👉https://t.co/CAcQQfu62t

Details👇

Raise: $650,000 $DAO BSC
PEG: $1.7 USD Per DAO
DZOO per DAO: 2,833
Deadline: 10th of March, 2 PM UTC

🚨You need DAO tokens on the BSC network to contribute!

1/🧵👇 https://t.co/IDExhtEAQc",False,"[0, 249]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.1431089583260549e+18,1143108958326054912,DAO Maker,TheDaoMaker,,"Best launchpad with the most KYC-ed users.

Join Community: https://t.co/PTIxeE7v9t",https://t.co/QE1PV77OGv,"[{'url': 'https://t.co/QE1PV77OGv', 'expanded_url': 'http://www.daomaker.com', 'display_url': 'daomaker.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/PTIxeE7v9t', 'expanded_url': 'https://t.me/daomaker', 'display_url': 't.me/daomaker', 'indices': [60, 83]}]",False,581163.0,1097.0,2003.0,Mon Jun 24 10:49:48 +0000 2019,27669.0,,,True,True,12230.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616776183852535816/Hsp7NQLz_normal.jpg,https://pbs.twimg.com/profile_images/1616776183852535816/Hsp7NQLz_normal.jpg,https://pbs.twimg.com/profile_banners/1143108958326054912/1674304456,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,57.0,182.0,False,False,False,en,,,,,,,,,,,,,,,
Tue Mar 07 23:50:34 +0000 2023,1633253837988405248,1633253837988405248,@pccomponentes #PcAniversario Elche,False,"[15, 35]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.632736222735999e+18,1632736222735998977,110231838.0,110231838,pccomponentes,,,,,False,,,0,0,False,False,,en,en,recent,2928130559,2928130559,Goku Herreros,GokuHerreros,,,,[],False,11,24,1,Wed Dec 17 21:40:25 +0000 2014,5,,,False,False,106,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/545332915593166848/BPjnj21y_normal.jpeg,https://pbs.twimg.com/profile_images/545332915593166848/BPjnj21y_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:33:17 +0000 2023,1633249490865119232,1633249490865119232,@AurelioRMadrid @DewsBell @ESPNFC Cant win a game against elche and they come barking here,False,"[34, 90]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332493402222387e+18,1633249340222238720,1.55590342321161e+18,1555903423211610114,AurelioRMadrid,,,,,False,,,0,0,False,False,,en,en,recent,1615625494741012481,1615625494741012481,Sandhu,Sandhu17deep,,,,[],False,1,33,0,Wed Jan 18 08:21:58 +0000 2023,240,,,False,False,101,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1618755308545007617/-dJ0F1Zl_normal.jpg,https://pbs.twimg.com/profile_images/1618755308545007617/-dJ0F1Zl_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1615625494741012481/1674776294,,,,,,,,,,,,,,
Tue Mar 07 22:30:18 +0000 2023,1633233641286565888,1633233641286565888,"US 🇺🇸 ~ Vueling introduces new Gatwick-Alicante service
Vueling will launch a new service from London Gatwick to Alicante-Elche Airport on 28 March as part of its summer 2023 schedule. 
https://t.co/G9GJoXNl1J
#bestservice #airport #schedule #newroute https://t.co/9V8SIeGQma",False,"[0, 251]","<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,,,,,,,,False,,,0,0,False,False,False,en,en,recent,1447367127837642761,1447367127837642761,vakazi,vakazi_,,"Travel The Kosher Way!

Automatically find and book flights, car rentals, and hotels near a Shul, Mikvah, and Kosher Restaurants.",https://t.co/yvqNbsErIy,[],False,30,1,0,Mon Oct 11 01:03:46 +0000 2021,1,,,False,False,114,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1447368095291650052/2pbvLmNG_normal.jpg,https://pbs.twimg.com/profile_images/1447368095291650052/2pbvLmNG_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1447367127837642761/1633914420,"[{'url': 'https://t.co/yvqNbsErIy', 'expanded_url': 'http://www.vakazi.com', 'display_url': 'vakazi.com', 'indices': [0, 23]}]",,,,,,,,,,,,,
Tue Mar 07 21:47:17 +0000 2023,1633222813934026753,1633222813934026753,@Barca_Buzz @FCBRAC1 Can’t it be against elche or something?? Garunteed loss and who tf is Rosalia,False,"[21, 98]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331953566862746e+18,1633195356686274561,551245352.0,551245352,Barca_Buzz,,,,,False,,,0,0,False,False,,en,en,recent,1460305834655711233,1460305834655711233,WarneyFCB💙❤️🇦🇺🇮🇳,WarneyFCB,Melbourne,Mbappe’s number 1 hater,,[],False,305,387,0,Mon Nov 15 17:57:27 +0000 2021,10098,,,True,False,3068,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616598621037940736/82ZI54bn_normal.jpg,https://pbs.twimg.com/profile_images/1616598621037940736/82ZI54bn_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1460305834655711233/1664959002,,,,,,,,,,,,,,
Tue Mar 07 21:27:08 +0000 2023,1633217742579937282,1633217742579937282,"@ReshadRahman_ If he continues in the club he'll be on loan again so I guess it's better to sell him if there's a good chance. Didn't convince neither Koeman nor Xavi. Out of Elche, played with Hercules, now in Osasuna. Low level teams for a player some want in the 1st team?? Lol.",False,"[15, 281]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331631220798546e+18,1633163122079854613,1.06445571844574e+18,1064455718445740032,ReshadRahman_,,,,,False,,,0,0,False,False,,en,en,recent,555016389,555016389,Hermosillo FC,RayosdeHermosil,,"NO AFILIADO AL EQUIPO. SOY HIJO PRODIGO DE HERMOSILLO, FAN DE LAS COYOTAS, DOGOS, PERCHERONES, TACOS, Y DE LOS RAYOS!!
-Barça
-Cowboys
-Warriors
-Red Sox",,[],False,94,515,0,Mon Apr 16 07:20:20 +0000 2012,39810,,,True,False,21413,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1580296275643113472/CdinhCEJ_normal.jpg,https://pbs.twimg.com/profile_images/1580296275643113472/CdinhCEJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:06:08 +0000 2023,1633212457526206464,1633212457526206464,@PranavS80369424 @BarcaTimes Future of Elche CF,False,"[29, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633169076125139e+18,1633169076125138945,1.4004596652809667e+18,1400459665280966670,PranavS80369424,,,,,False,,,0,1,False,False,,en,en,recent,1560335648472678410,1560335648472678410,James,HamburgerFam,"Hamburg, Germany",Gött is Great • Computer Engineering Student,,[],False,71,269,0,Thu Aug 18 18:40:01 +0000 2022,10597,,,False,False,1477,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629925649803616265/jD1NzpK4_normal.jpg,https://pbs.twimg.com/profile_images/1629925649803616265/jD1NzpK4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1560335648472678410/1660848332,,,,,,,,,,,,,,
Tue Mar 07 20:54:38 +0000 2023,1633209564257460225,1633209564257460225,Hello @O_gloriouseny,False,"[0, 20]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,0,0,False,False,,en,en,recent,1491326016329076737,1491326016329076737,Colonel,SH_DM9,,18 December,,[],False,16,2,0,Wed Feb 09 08:20:19 +0000 2022,241,,,False,False,528,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633215510073552896/1Qcy_jKD_normal.jpg,https://pbs.twimg.com/profile_images/1633215510073552896/1Qcy_jKD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1491326016329076737/1678224833,,,,,,,,,,,,,,
Tue Mar 07 20:48:13 +0000 2023,1633207948393742338,1633207948393742338,@RmAdrixx @Saweezyy Againstbums like elche  yes,False,"[20, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332076387239076e+18,1633207638723907584,1.3444385060310344e+18,1344438506031034377,RmAdrixx,,,,,False,,,0,0,False,False,,en,en,recent,1238566523754573824,1238566523754573824,Zustieinyomum,zustieonglucond,,@realmadrid @hns_cff @lukamodric10,,[],False,39,119,0,Fri Mar 13 20:44:19 +0000 2020,5968,,,False,False,2596,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1533578886013132801/dCj9-Ptg_normal.jpg,https://pbs.twimg.com/profile_images/1533578886013132801/dCj9-Ptg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1238566523754573824/1634906977,,,,,,,,,,,,,,
Tue Mar 07 20:18:34 +0000 2023,1633200489973137408,1633200489973137408,@pccomponentes #PcAniversario Elche,False,"[15, 35]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.632736222735999e+18,1632736222735998977,110231838.0,110231838,pccomponentes,,,,,False,,,0,0,False,False,,en,en,recent,1502773229743652865,1502773229743652865,Silen69,Silen69ECF,El coño de tu madre,"Shitposter ilicitano diciendo gilipolleces.
Amo la @F1, el Nano me la pone dura.
Puto asco de Gobierno y su puta madre
Orgulloso de ser ilicitano y madridista.",,[],False,11,233,0,Sat Mar 12 22:28:03 +0000 2022,29,,,False,False,194,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632002474704875520/qTKcyiJb_normal.jpg,https://pbs.twimg.com/profile_images/1632002474704875520/qTKcyiJb_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1502773229743652865/1676754318,,,,,,,,,,,,,,
