created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,user.entities.url.urls,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 00:08:57 +0000 2023,1633258466524667905,1633258466524667905,"Wtf?? How was that being funny?? This show was obviously just using Jungkook for clout!! Respect Jeon Jungkook!! Do not ever use his name for your ratings!!!🤢

Espanyol espanyol pa to mga panget!! https://t.co/PtS4Y2lwjm",False,"[0, 196]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,1.633171764988752e+18,1633171764988751881,0,3,False,False,False,en,en,recent,1534556576476205056,1534556576476205056,LadyV🌹𐤀TAEKOOK FOREVER,Zerrine0130,,"🌹tk smut writer. MINORS DNI🔞🔞🔞
🌹See my compiled works at @worksofLadyV
🌹this acct will focus solely on TAEKOOK",,[],False,11467,180,52,Wed Jun 08 15:23:14 +0000 2022,17561,,,False,False,16934,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1536637865580711936/h_YI-iGc_normal.jpg,https://pbs.twimg.com/profile_images/1536637865580711936/h_YI-iGc_normal.jpg,https://pbs.twimg.com/profile_banners/1534556576476205056/1676173187,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Tue Mar 07 18:24:26 +0000 2023,1.633171764988752e+18,1633171764988751881,"Integrante de #BTS aparece borracho 😂 

@chulada_tv💞: https://t.co/nfthkPHJwb https://t.co/3VMOuVHNJi",False,"[0, 77]",en,recent,"<a href=""http://www.yuzzitpro.com"" rel=""nofollow"">Yuzzit Pro</a>",,,,,,7.801035121558241e+17,780103512155824128,Imagen Televisión,ImagenTVMex,,,https://t.co/45Y1ykxp36,"[{'url': 'https://t.co/45Y1ykxp36', 'expanded_url': 'http://www.imagentv.com', 'display_url': 'imagentv.com', 'indices': [0, 23]}]",[],False,603067.0,340.0,1220.0,Sun Sep 25 17:55:45 +0000 2016,65256.0,,,True,True,380546.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1240360932737314816/ijKg9pJU_normal.jpg,https://pbs.twimg.com/profile_images/1240360932737314816/ijKg9pJU_normal.jpg,https://pbs.twimg.com/profile_banners/780103512155824128/1678241113,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,False,126.0,275.0,False,False,False,pt,,,,,,,,,,,,,,
Tue Mar 07 23:25:54 +0000 2023,1633247631102164995,1633247631102164995,@StookieFrancis @ibroxrocks @RFC_Youth Pretty sure Barcelona fans don’t comment on Espanyol B team’s posts. Maybe think about that 😂,False,"[39, 132]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633201697555202e+18,1633201697555202049,1.5962289539577037e+18,1596228953957703682,StookieFrancis,,,,,False,,,0,0,False,False,,en,en,recent,591042149,591042149,Adam Williamson,wadamskiW,Glasgow,,,[],False,164,542,3,Sat May 26 16:12:22 +0000 2012,8429,,,True,False,8415,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1108476409314459650/LcYx4Djr_normal.png,https://pbs.twimg.com/profile_images/1108476409314459650/LcYx4Djr_normal.png,https://pbs.twimg.com/profile_banners/591042149/1407001632,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:15:08 +0000 2023,1633244921137094656,1633244921137094656,@EndsInOne @matthayesthfc He was also woeful at Espanyol and Southampton. Poch is a great coach but he shouldn't have any say in recruitment beyond saying which positions he wants improved.,False,"[26, 189]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6331508658958295e+18,1633150865895829504,1.609607027071787e+18,1609607027071787009,EndsInOne,,,,,False,,,0,1,False,False,,en,en,recent,1388809913158225920,1388809913158225920,alexandermenashe,alexandrmenashe,,"Jew, zionist, ex-leftist, former philosophy  teacher,  

Researcher @Israel_advocacy. Co-Host of Am Yisrael Live.
Enquiries: alexander@israeladvocacy.net",,[],False,1097,482,4,Sun May 02 10:57:58 +0000 2021,29372,,,True,False,10121,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1586651912576827393/DGqtn73y_normal.jpg,https://pbs.twimg.com/profile_images/1586651912576827393/DGqtn73y_normal.jpg,https://pbs.twimg.com/profile_banners/1388809913158225920/1662628217,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:57:57 +0000 2023,1633240597921255424,1633240597921255424,@MadridXtra @JibSani These pictures won't fool me..they'll be defending against espanyol come Saturday.,False,"[21, 103]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332252201097953e+18,1633225220109795328,1.3265641522913157e+18,1326564152291315713,MadridXtra,,,,,False,,,0,1,False,False,,en,en,recent,1237649916660461568,1237649916660461568,Augustine,Augustine_kn,Lost,suggest a bio~civil engineer.cristiano,https://t.co/yMkmg8uVnK,[],False,1072,2000,1,Wed Mar 11 08:02:14 +0000 2020,172644,,,True,False,80684,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1531595446661140480/F-k2UAkd_normal.jpg,https://pbs.twimg.com/profile_images/1531595446661140480/F-k2UAkd_normal.jpg,https://pbs.twimg.com/profile_banners/1237649916660461568/1584100006,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/yMkmg8uVnK', 'expanded_url': 'http://realmadrid.com', 'display_url': 'realmadrid.com', 'indices': [0, 23]}]",,,,,,,,,,,,,
Tue Mar 07 22:41:32 +0000 2023,1633236468356268035,1633236468356268035,"@philipflanagan @acmilan Ah it’s great, yeah! 

Might head to Real Madrid vs Espanyol, but im@not sure yet. I’m off to Porto vs Inter on Tuesday, so I’m looking forward to that one! 

You getting a name-set added to the Home or Away? 

I know you’ve got Origi on the third 😄",False,"[25, 274]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332358549602304e+18,1633235854960230400,305341737.0,305341737,philipflanagan,,,,,False,,,0,0,False,False,,en,en,recent,1284257991185833984,1284257991185833984,Rhys⚫️🔴👕,FootballShirtC2,Ireland,Football shirts. Pink football shirts in particular.,,[],False,1991,1137,14,Fri Jul 17 22:45:48 +0000 2020,17893,,,True,False,11051,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1404004824438480904/v0jmanpU_normal.jpg,https://pbs.twimg.com/profile_images/1404004824438480904/v0jmanpU_normal.jpg,https://pbs.twimg.com/profile_banners/1284257991185833984/1644940064,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:38:17 +0000 2023,1633235650626347009,1633235650626347009,"The squad completed its first session of the week at Real Madrid City and began preparations for the clash against Espanyol, which will be played on Saturday at the Santiago Bernabéu stadium (2pm CET). https://t.co/hfJuHYFoQl",False,"[0, 201]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332354830975508e+18,1633235483097550850,331229559.0,331229559,RMadridInfo,,,,,False,,,1,15,False,False,False,en,en,recent,331229559,331229559,Real Madrid Info ³⁵,RMadridInfo,,Your source to Real Madrid - From the pitch to bedroom. For Business inquiries & queries contact: Realmadridinfo@gmail.com. TikTok: RMadridInfo (6 Million+),https://t.co/ZCKM6yh5op,[],False,396214,77,882,Thu Jul 07 21:06:09 +0000 2011,705,,,True,False,169419,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1589267410560983042/D4DKUS___normal.jpg,https://pbs.twimg.com/profile_images/1589267410560983042/D4DKUS___normal.jpg,https://pbs.twimg.com/profile_banners/331229559/1628756619,D02B55,FFFFFF,99CC33,3E4415,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/ZCKM6yh5op', 'expanded_url': 'https://linktr.ee/rmadridinfo', 'display_url': 'linktr.ee/rmadridinfo', 'indices': [0, 23]}]",,,,,,,,,,,,,
Tue Mar 07 22:37:37 +0000 2023,1633235483097550850,1633235483097550850,"First training session of the week
Ancelotti's men are preparing for the LaLiga clash against Espanyol (Saturday, 2pm CET). https://t.co/bfhsIc5OuA",False,"[0, 123]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,8,118,False,False,False,en,en,recent,331229559,331229559,Real Madrid Info ³⁵,RMadridInfo,,Your source to Real Madrid - From the pitch to bedroom. For Business inquiries & queries contact: Realmadridinfo@gmail.com. TikTok: RMadridInfo (6 Million+),https://t.co/ZCKM6yh5op,[],False,396214,77,882,Thu Jul 07 21:06:09 +0000 2011,705,,,True,False,169419,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1589267410560983042/D4DKUS___normal.jpg,https://pbs.twimg.com/profile_images/1589267410560983042/D4DKUS___normal.jpg,https://pbs.twimg.com/profile_banners/331229559/1628756619,D02B55,FFFFFF,99CC33,3E4415,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/ZCKM6yh5op', 'expanded_url': 'https://linktr.ee/rmadridinfo', 'display_url': 'linktr.ee/rmadridinfo', 'indices': [0, 23]}]",,,,,,,,,,,,,
Tue Mar 07 22:12:39 +0000 2023,1633229200067813377,1633229200067813377,@idoxvi He would be at espanyol rn,False,"[8, 34]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331707325522698e+18,1633170732552269826,1.2244032817384366e+18,1224403281738436614,idoxvi,,,,,False,,,0,0,False,False,,en,en,recent,1331869055586865155,1331869055586865155,Sammy J | used to be Ice T,TheMecurial,"Tula, Russia",mysterious.,https://t.co/HtqIqoSxLt,[],False,223,217,0,Thu Nov 26 07:55:13 +0000 2020,28311,,,True,False,40686,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1609500589754310656/rbnyJuhb_normal.jpg,https://pbs.twimg.com/profile_images/1609500589754310656/rbnyJuhb_normal.jpg,https://pbs.twimg.com/profile_banners/1331869055586865155/1665176510,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/HtqIqoSxLt', 'expanded_url': 'http://manutd.com', 'display_url': 'manutd.com', 'indices': [0, 23]}]",,,,,,,,,,,,,
Tue Mar 07 22:01:50 +0000 2023,1633226477071224833,1633226477071224833,"@UruguayFootENG @RCDeportivo @psg Ok. But the picture is him playing for Espanyol, not Deportivo.",False,"[34, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331028636132147e+18,1633102863613214722,1942223971.0,1942223971,UruguayFootENG,,,,,False,,,0,0,False,False,,en,en,recent,137467930,137467930,Javier Asensio,asensiojavier,"Barcelona, España","No fui yo, fue el maldito Cariñena, que se apoderó de mi.",,[],False,366,697,9,Mon Apr 26 21:06:07 +0000 2010,5666,,,False,False,3067,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203075543199100928/3gtT6Zmx_normal.jpg,https://pbs.twimg.com/profile_images/1203075543199100928/3gtT6Zmx_normal.jpg,https://pbs.twimg.com/profile_banners/137467930/1525523529,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:58:22 +0000 2023,1633225602823012356,1633225602823012356,@balaaliyuf @BarcaUniversal You should support Espanyol then,False,"[28, 60]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331902407843512e+18,1633190240784351235,1.565429129025028e+18,1565429129025028098,balaaliyuf,,,,,False,,,0,1,False,False,,en,en,recent,1340950469171175425,1340950469171175425,Ntajisson 🇳🇬,NtajiD,,"Barça fan💙❤|
Positional Play advocate|
Avid Gamer|
Covenant University 🏫|
Information and Communication Engineering",,[],False,311,981,0,Mon Dec 21 09:21:35 +0000 2020,201531,,,False,False,1735,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1396016389861871621/BUzo7_0Z_normal.jpg,https://pbs.twimg.com/profile_images/1396016389861871621/BUzo7_0Z_normal.jpg,https://pbs.twimg.com/profile_banners/1340950469171175425/1672589436,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
