created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.user.entities.url.urls,quoted_status.possibly_sensitive
Wed Mar 08 01:59:22 +0000 2023,1633286253897474052,1633286253897474052,"Getafe's 2007/08 UEFA Cup side 💪

#UEFACup | #UEL | #UCL https://t.co/u4wP0iJpaD",False,"[0, 56]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1216139275034644480,1216139275034644480,Classic Football,ClassicFtbl,@ClassicFootball@yahoo.com,⚽ Just classic football,,[],False,48,245,0,Sat Jan 11 23:26:23 +0000 2020,3239,,,False,False,4688,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631348912370925568/9Q2tRXRK_normal.jpg,https://pbs.twimg.com/profile_images/1631348912370925568/9Q2tRXRK_normal.jpg,https://pbs.twimg.com/profile_banners/1216139275034644480/1677778820,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:38:28 +0000 2023,1633280994819096576,1633280994819096576,"Assisted the opener Vs Valladolid.
- Assisted the winner Vs Valencia.
- Scored the winner Vs Osasuna.
- Assisted the winner Vs Intercity.
- Assisted the winner Vs Getafe.
- Scored the opener Vs Real Betis.
- G + A Vs Sevilla.
- G + A Vs Manchester United. https://t.co/3nkiqUIKjs",False,"[0, 255]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,1082540477172383745,1082540477172383745,The_Barça_Castle,Jughead82281100,"Barcelona, Spain",Giving you accurate updates on @FCBarcelona. #ForçaBarça 💙❤️. An independent Barcelona channel. Let's grow this page together,https://t.co/CzIkRHJkW5,[],False,393,878,0,Tue Jan 08 07:32:17 +0000 2019,767,,,False,False,69,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633115945307701250/Jr9pIQmo_normal.jpg,https://pbs.twimg.com/profile_images/1633115945307701250/Jr9pIQmo_normal.jpg,https://pbs.twimg.com/profile_banners/1082540477172383745/1678200170,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'https://t.co/CzIkRHJkW5', 'expanded_url': 'https://www.facebook.com/mewizsports?mibextid=LQQJ4d', 'display_url': 'facebook.com/mewizsports?mi…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:34:45 +0000 2023,1633264959328059393,1633264959328059393,"@ConcacafEdgar If I remember well, one of those players of the Violette AC is from the Haiti u-20 NT, Shad San Milan!

(((yeah, that young player who was on the Getafe CF Academy)))
@FutLegionnaires @paulcalixte1 @ConcacafO",False,"[15, 223]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332616196135158e+18,1633261619613515778,1.2968760466467594e+18,1296876046646759424,ConcacafEdgar,,,,,False,0,4,False,False,,en,en,recent,2374352671,2374352671,David Camarena/Дэвид Камарена,David2095_Sport,IN MY COUNTRY,"Keep fighthing! A #Miraculer, #Bielsista, Fan Writer and enthusiastic! #NaruHina fan and future professional...Panameño
#VamosCAI",,[],False,2168,5001,109,Wed Mar 05 21:05:49 +0000 2014,691185,,,True,False,681955,,False,False,False,077AB0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1362128536346255362/kssrqDPO_normal.jpg,https://pbs.twimg.com/profile_images/1362128536346255362/kssrqDPO_normal.jpg,https://pbs.twimg.com/profile_banners/2374352671/1543110172,000000,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:20:29 +0000 2023,1633261369901416448,1633261369901416448,"@cutecule @1neOf6 @MadridXtra @tgm46 1st question: Did you just say Cadiz Getafe Celta Vigo and Osasuna are clear of Arsenal?.. 
2nd : Do you live near power lines?",False,"[37, 164]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633249601988731e+18,1633249601988730882,7.85947930935042e+17,785947930935042049,cutecule,,,,,False,0,0,False,False,,en,en,recent,1578074533952737280,1578074533952737280,Invincible Galactico,Rydinspinnaz,,"Forgive my vulgarity
 
supporter of  Real Madrid  x Arsenal

Since H14 & R9 - Till the end",,[],False,28,247,1,Thu Oct 06 17:27:55 +0000 2022,1677,,,False,False,1418,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_banners/1578074533952737280/1665079837,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:59:26 +0000 2023,1633256071354621954,1633256071354621954,"@frankedoho ...... and from getafe to BHA, the man M. Cucurella has been an outstanding player even though he has struggled to find his feet in Chelsea. I hope he continues in this form going forward.",False,"[12, 200]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.63324889644399e+18,1633248896443990017,54481723.0,54481723,frankedoho,,,,,False,0,0,False,False,,en,en,recent,1391805539173154818,1391805539173154818,Livinproof 🎤,Iam_Livinproof, Earth.... Sojourner.,"Word up!  The word of God revives & invites; enliven & chasten.
Gospel Emcee|| Song writer - Uplifting Scriptural Bars|| A believer; laying all at His feet.",,[],False,49,101,0,Mon May 10 17:21:45 +0000 2021,2215,,,False,False,531,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627610912608624640/Q5D1hfTY_normal.jpg,https://pbs.twimg.com/profile_images/1627610912608624640/Q5D1hfTY_normal.jpg,https://pbs.twimg.com/profile_banners/1391805539173154818/1620669138,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:44:07 +0000 2023,1633252215069523969,1633252215069523969,"@gkhannyy @sco1905 Granada, Genk, Girona, Getafe, Giresun, Gaziantep :)))",False,"[19, 73]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633184542059053e+18,1633184542059053057,1.0699672341755658e+18,1069967234175565825,gkhannyy,,,,,False,0,0,False,False,,en,en,recent,252075211,252075211,Ercan Eryilmaz,ercan777,"Lyon, France",☝🏽الصلاة والصبر والنجاح,,[],False,28,41,0,Mon Feb 14 12:47:42 +0000 2011,3456,,,True,False,860,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1622709603430531092/DwZPxpPZ_normal.jpg,https://pbs.twimg.com/profile_images/1622709603430531092/DwZPxpPZ_normal.jpg,https://pbs.twimg.com/profile_banners/252075211/1642367757,088253,D3D2CF,E3E2DE,634047,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:28:22 +0000 2023,1633248254715469827,1633248254715469827,"@MadridXtra @tgm46 Leave arsenal to manage against teams like Cadiz, getafe, Celta Vigo &amp; osasuna. Have some shame lol",False,"[19, 122]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332473840452526e+18,1633247384045252608,1.3265641522913157e+18,1326564152291315713,MadridXtra,,,,,False,0,17,False,False,,en,en,recent,872835090220503041,872835090220503041,1NNaWAY,1neOf6,,Sulemana Stan,,[],False,189,2269,1,Thu Jun 08 15:17:56 +0000 2017,12342,,,False,False,6517,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1602767199613100034/3tz8SITR_normal.jpg,https://pbs.twimg.com/profile_images/1602767199613100034/3tz8SITR_normal.jpg,https://pbs.twimg.com/profile_banners/872835090220503041/1675714764,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:08:51 +0000 2023,1633243343294545926,1633243343294545926,@DAlvarez1976 Hospital de Getafe 😉,False,"[14, 34]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332413229696082e+18,1633241322969608192,2570949123.0,2570949123,DAlvarez1976,,,,,False,0,1,False,False,,en,en,recent,1237145904580300800,1237145904580300800,Wokitography,wokitography,,"Madridista, enfermero ,viajero y fotógrafo  🌍🏔📸 // Nurse, Travel and Photography
Hasta el final vamos Real!! 14UCL🏆",,[],False,66,500,1,Mon Mar 09 22:39:41 +0000 2020,3972,,,False,False,1022,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1593034141037101056/22Vg1zdB_normal.jpg,https://pbs.twimg.com/profile_images/1593034141037101056/22Vg1zdB_normal.jpg,https://pbs.twimg.com/profile_banners/1237145904580300800/1668494806,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:06:28 +0000 2023,1633242740161904640,1633242740161904640,@DAlvarez1976 Getafe,False,"[14, 20]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332413229696082e+18,1633241322969608192,2570949123.0,2570949123,DAlvarez1976,,,,,False,0,1,False,False,,en,en,recent,1564890149682614273,1564890149682614273,Jota,Jotapowerrr,"Madrid, Comunidad de Madrid",,,[],False,45,238,0,Wed Aug 31 08:17:48 +0000 2022,7271,,,False,False,2270,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1576981984097755140/qWHGsGyM_normal.jpg,https://pbs.twimg.com/profile_images/1576981984097755140/qWHGsGyM_normal.jpg,https://pbs.twimg.com/profile_banners/1564890149682614273/1661934795,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:04:32 +0000 2023,1633242254201569281,1633242254201569281,@DAlvarez1976 Getafe?,False,"[14, 21]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332413229696082e+18,1633241322969608192,2570949123.0,2570949123,DAlvarez1976,,,,,False,0,1,False,False,,en,en,recent,287838180,287838180,🤍Y nada Más!!🤍,alfonsito_rs,España,,,[],False,2290,2107,6,Mon Apr 25 19:36:03 +0000 2011,16815,,,False,False,18702,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1619640643487154177/OXLIAAgy_normal.jpg,https://pbs.twimg.com/profile_images/1619640643487154177/OXLIAAgy_normal.jpg,https://pbs.twimg.com/profile_banners/287838180/1404946302,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
