created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries
Wed Mar 08 03:08:08 +0000 2023,1633303557658247170,1633303557658247170,"Granada vs Salesian College Preparatory - California High School Boys Basketball
📅 Tuesday, March 07, 2023 - ⏰ 7:00 PM
🔴 Match Now➠ https://t.co/Eu98p9b0Ov
https://t.co/DiDsoboyYf
mrzdewxpdq",False,"[0, 190]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1422259384525090818,1422259384525090818,dock max,luv22_sports,"Lake City, FL","High School Sports news from Media, providing content to The Star-Ledger & https://t.co/ll7wUYPWTZ || Live & on-demand video: https://t.co/ll7wUYPWTZ",https://t.co/oLHvTs5LHk,"[{'url': 'https://t.co/oLHvTs5LHk', 'expanded_url': 'http://dockmax.com', 'display_url': 'dockmax.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/ll7wUYPWTZ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [75, 98]}, {'url': 'https://t.co/ll7wUYPWTZ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [126, 149]}]",False,129,154,1,Mon Aug 02 18:14:06 +0000 2021,2601,,,False,False,112697,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630796886239240193/Y5B9t-YL_normal.jpg,https://pbs.twimg.com/profile_images/1630796886239240193/Y5B9t-YL_normal.jpg,https://pbs.twimg.com/profile_banners/1422259384525090818/1668313313,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 03:08:00 +0000 2023,1633303525936734210,1633303525936734210,"Granada vs Salesian College Preparatory - 2023 CIF State Boys Basketball Championships
📅 Tuesday, March 07, 2023 - ⏰ 7:00 PM
🔴 Watch Streaming Now➠ https://t.co/E7NwaHdrl3
https://t.co/2CUDtnnL5N
wnfuqyepth",False,"[0, 206]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1422259384525090818,1422259384525090818,dock max,luv22_sports,"Lake City, FL","High School Sports news from Media, providing content to The Star-Ledger & https://t.co/ll7wUYPWTZ || Live & on-demand video: https://t.co/ll7wUYPWTZ",https://t.co/oLHvTs5LHk,"[{'url': 'https://t.co/oLHvTs5LHk', 'expanded_url': 'http://dockmax.com', 'display_url': 'dockmax.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/ll7wUYPWTZ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [75, 98]}, {'url': 'https://t.co/ll7wUYPWTZ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [126, 149]}]",False,129,154,1,Mon Aug 02 18:14:06 +0000 2021,2601,,,False,False,112697,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630796886239240193/Y5B9t-YL_normal.jpg,https://pbs.twimg.com/profile_images/1630796886239240193/Y5B9t-YL_normal.jpg,https://pbs.twimg.com/profile_banners/1422259384525090818/1668313313,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 02:58:29 +0000 2023,1633301129693138944,1633301129693138944,"Salesian College Preparatory vs Granada ~  California High School Basketball Live Stream Today 2023
📲 𝐖𝐚𝐭𝐜𝐡 𝐋𝐢𝐯𝐞 𝐇𝐞𝐫𝐞  🔗 https://t.co/qq9glCC4I5
https://t.co/XhrrMaM0bC",False,"[0, 168]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,268844155,268844155,stevanmandagi,stevanmandagi,,,,,[],False,18,58,0,Sat Mar 19 15:45:33 +0000 2011,1,,,False,False,2082,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1315524063/www_normal.jpg,https://pbs.twimg.com/profile_images/1315524063/www_normal.jpg,,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,[]
Wed Mar 08 02:53:42 +0000 2023,1633299927932731394,1633299927932731394,"Granada vs Salesian College Preparatory - 2023 CIF State Div. 1 Boys Basketball Regional Final
📅 Tuesday, March 07, 2023 - ⏰ 10:00 PM
🔴 Watch Streaming Now➠ https://t.co/VrhfbcwyrW
https://t.co/7fa9LP6NC0
diiobprstq",False,"[0, 215]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1593089398220156928,1593089398220156928,jilmexs,winaaa57,United States,"High School Sports news from Media, providing content to The Star-Ledger & https://t.co/Ka7LzWFq1k || Live & on-demand video: https://t.co/Ka7LzWFq1k",https://t.co/n4Y9YK59Pl,"[{'url': 'https://t.co/n4Y9YK59Pl', 'expanded_url': 'http://jilmexs.com', 'display_url': 'jilmexs.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/Ka7LzWFq1k', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [75, 98]}, {'url': 'https://t.co/Ka7LzWFq1k', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [126, 149]}]",False,83,315,0,Thu Nov 17 03:51:56 +0000 2022,196,,,False,False,6782,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630801788856320000/4EGmt_Rt_normal.jpg,https://pbs.twimg.com/profile_images/1630801788856320000/4EGmt_Rt_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 02:53:40 +0000 2023,1633299916696219649,1633299916696219649,"March 8
SAINT OF THE DAY 😇❤️🙏
St. John of God💙
Born: March 8, 1495, Montemor-o-Novo, Portugal🇵🇹
Died: March 8, 1550, Granada, Spain🇪🇸
Known as: founder of the Hospitaller Order of St. John of God🏥
Patronage: hospitals, nurses  and the dying 👩‍⚕️ https://t.co/rsCLuGHGha",False,"[0, 245]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1322503831524044801,1322503831524044801,Crispin Miranda Cruz,cmirandacruz,"Laguna, Philippines
",,,,[],False,119,61,0,Sat Oct 31 11:41:17 +0000 2020,164,,,False,False,577,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1603335577298173953/lu3t9OTv_normal.jpg,https://pbs.twimg.com/profile_images/1603335577298173953/lu3t9OTv_normal.jpg,https://pbs.twimg.com/profile_banners/1322503831524044801/1633137891,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 02:47:21 +0000 2023,1633298330586587138,1633298330586587138,"California High School Boys Basketball 2023
Today Tuesday 7th, March 2023 @ 7p
(#18)Salesian College Preparatory vs Granada 🔴Live
Live Broadcast Here🔛https://t.co/d3GqEP55V3
This game is a part of the ""2023 CIF State Boys Basketball Championships - Division I "" tournament. https://t.co/gvAcFCGpfF",False,"[0, 273]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,2431938326,2431938326,HS SPORT,nyangusport,,"Stream high school sporting events Live and accessible from any device.
================
➡️ FOOTBALL
➡️ BASKETBALL
➡️ LACROSSE
➡️ SOCCER",,,[],False,197,159,0,Mon Apr 07 12:03:26 +0000 2014,21,,,False,False,99,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1592908986000773121/PeBz8kt1_normal.jpg,https://pbs.twimg.com/profile_images/1592908986000773121/PeBz8kt1_normal.jpg,https://pbs.twimg.com/profile_banners/2431938326/1667404564,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
Wed Mar 08 02:46:27 +0000 2023,1633298103351799809,1633298103351799809,"Salesian College Preparatory vs Granada ~  California High School Basketball Live Stream Today 2023
📲 𝐖𝐚𝐭𝐜𝐡 𝐋𝐢𝐯𝐞 𝐇𝐞𝐫𝐞  🔗 https://t.co/uPBItpRhdO
https://t.co/RrvcMb2tHc",False,"[0, 168]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,982199150,982199150,Muhlis Ahmad,Muhlis8412,united states,"Enjoy Watching
Stream Thousand Of Live And Demand High School Sporting Events From Across The Country On Any Device",,,[],False,149,194,1,Sat Dec 01 09:36:12 +0000 2012,17,,,True,False,5235,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1587602225366327296/OmRsJCj9_normal.png,https://pbs.twimg.com/profile_images/1587602225366327296/OmRsJCj9_normal.png,,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,[]
Wed Mar 08 02:42:56 +0000 2023,1633297218756280320,1633297218756280320,"California High School Boys Basketball 2023
Today Tuesday 7th, March 2023 @ 7p
(#18)Salesian College Preparatory vs Granada 🔴Live
Live Broadcast Here🔛https://t.co/d3GqEP55V3
The Salesian College Preparatory (CA) varsity basketball team has a home playoff game vs. Granada (CA) https://t.co/UtE91I9Awh",False,"[0, 276]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,2431938326,2431938326,HS SPORT,nyangusport,,"Stream high school sporting events Live and accessible from any device.
================
➡️ FOOTBALL
➡️ BASKETBALL
➡️ LACROSSE
➡️ SOCCER",,,[],False,197,159,0,Mon Apr 07 12:03:26 +0000 2014,21,,,False,False,99,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1592908986000773121/PeBz8kt1_normal.jpg,https://pbs.twimg.com/profile_images/1592908986000773121/PeBz8kt1_normal.jpg,https://pbs.twimg.com/profile_banners/2431938326/1667404564,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
Wed Mar 08 02:26:16 +0000 2023,1633293022313222144,1633293022313222144,"Salesian College Preparatory vs Granada ~  California High School Basketball Live Stream Today 2023
📲 𝐖𝐚𝐭𝐜𝐡 𝐋𝐢𝐯𝐞 𝐇𝐞𝐫𝐞  🔗 https://t.co/Yxx2VHXvvr
https://t.co/SnCAiQirOq",False,"[0, 168]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,766147530799407104,766147530799407104,HS Basketball,yuhyuh1212," 4557 De Silva St, Fremont, Ca",The Officiall Website Of HIGH SCHOOL BASKETBALL Championship.,https://t.co/iadQeujpVk,"[{'url': 'https://t.co/iadQeujpVk', 'expanded_url': 'https://top-sports.today/hsbasketball.php?live=Officiall%20Website%20Of%20High%20School%20Basketball', 'display_url': 'top-sports.today/hsbasketball.p…', 'indices': [0, 23]}]",[],False,87,6,0,Thu Aug 18 05:39:40 +0000 2016,3,,,False,False,8642,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623685856526737408/8fyeP0us_normal.jpg,https://pbs.twimg.com/profile_images/1623685856526737408/8fyeP0us_normal.jpg,https://pbs.twimg.com/profile_banners/766147530799407104/1674056545,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
Wed Mar 08 02:26:13 +0000 2023,1633293011189919746,1633293011189919746,"Salesian College Preparatory vs Granada ~  California High School Basketball Live Stream Today 2023
📲 𝐖𝐚𝐭𝐜𝐡 𝐋𝐢𝐯𝐞 𝐇𝐞𝐫𝐞  🔗 https://t.co/ZFbLpEK3fU
https://t.co/DUYvDrRp8D",False,"[0, 168]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,2286779245,2286779245,All Sports,SyafitriDhima,,,https://t.co/ojqJ9lxOLB,"[{'url': 'https://t.co/ojqJ9lxOLB', 'expanded_url': 'https://www.jos.livedirect.us/hsb.php?live=Live%20Streaming%20Today#.Y-FBL3bMK1s', 'display_url': 'jos.livedirect.us/hsb.php?live=L…', 'indices': [0, 23]}]",[],False,25,76,0,Sat Jan 11 15:01:13 +0000 2014,36,,,False,False,16046,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1622910367876939776/hId9thIf_normal.jpg,https://pbs.twimg.com/profile_images/1622910367876939776/hId9thIf_normal.jpg,https://pbs.twimg.com/profile_banners/2286779245/1675077749,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
