created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.user.entities.url.urls,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 02:30:00 +0000 2023,1633293964408152065,1633293964408152065,"🐣 From Tajonar to the world!

#LetsGoRojillos https://t.co/YVpDwXL9fN",False,"[0, 45]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,5,False,False,False,en,en,recent,961658047889362946,961658047889362946,C. A. OSASUNA,osasuna_en,Chartered Community of Navarre,"Official account of C. A. Osasuna.

🚩 ESP: @Osasuna /EUS: @Osasuna_eus /ARAB: @Osasuna_Arab

🚩 Women's team: @Osasuna_Fem",https://t.co/aRGWv9ZUnT,"[{'url': 'https://t.co/aRGWv9ZUnT', 'expanded_url': 'http://linktr.ee/CAOsasuna', 'display_url': 'linktr.ee/CAOsasuna', 'indices': [0, 23]}]",[],False,6628,188,168,Thu Feb 08 17:48:40 +0000 2018,799,,,True,True,6727,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1583117690511712258/b7UtjshK_normal.jpg,https://pbs.twimg.com/profile_images/1583117690511712258/b7UtjshK_normal.jpg,https://pbs.twimg.com/profile_banners/961658047889362946/1674815846,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:38:28 +0000 2023,1633280994819096576,1633280994819096576,"Assisted the opener Vs Valladolid.
- Assisted the winner Vs Valencia.
- Scored the winner Vs Osasuna.
- Assisted the winner Vs Intercity.
- Assisted the winner Vs Getafe.
- Scored the opener Vs Real Betis.
- G + A Vs Sevilla.
- G + A Vs Manchester United. https://t.co/3nkiqUIKjs",False,"[0, 255]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,1082540477172383745,1082540477172383745,The_Barça_Castle,Jughead82281100,"Barcelona, Spain",Giving you accurate updates on @FCBarcelona. #ForçaBarça 💙❤️. An independent Barcelona channel. Let's grow this page together,https://t.co/CzIkRHJkW5,"[{'url': 'https://t.co/CzIkRHJkW5', 'expanded_url': 'https://www.facebook.com/mewizsports?mibextid=LQQJ4d', 'display_url': 'facebook.com/mewizsports?mi…', 'indices': [0, 23]}]",[],False,393,878,0,Tue Jan 08 07:32:17 +0000 2019,767,,,False,False,69,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633115945307701250/Jr9pIQmo_normal.jpg,https://pbs.twimg.com/profile_images/1633115945307701250/Jr9pIQmo_normal.jpg,https://pbs.twimg.com/profile_banners/1082540477172383745/1678200170,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:37:22 +0000 2023,1633265617510776832,1633265617510776832,Celta didn't play with much belief and it actually looked like they were pretty content with the stalemate. Osasuna the better side but didn't do enough to win it either.,False,"[0, 170]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,273029636,273029636,Jake Davies 🎾,jakedavi5,Casnewydd,"Welsh tennis writer for @Tennisform. Big fan of tennis, soccer, rugby, La Liga, MLS, MMA, wrestling. Loyal supporter of Cagla Buyukakcay, Dragons RFC and MUFC.",https://t.co/UQxQrhHWqf,"[{'url': 'https://t.co/UQxQrhHWqf', 'expanded_url': 'https://www.gofundme.com/f/22-mile-walk-for-dogs-trust-in-memory-of-mum?utm_source=customer&utm_medi', 'display_url': 'gofundme.com/f/22-mile-walk…', 'indices': [0, 23]}]",[],False,5529,3675,186,Sun Mar 27 17:42:28 +0000 2011,31337,,,True,False,249938,,False,False,False,07090B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1624884848421744640/b1h0vPCI_normal.jpg,https://pbs.twimg.com/profile_images/1624884848421744640/b1h0vPCI_normal.jpg,https://pbs.twimg.com/profile_banners/273029636/1666709912,F58EA8,FFFFFF,C9C9C9,1C1F23,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:20:29 +0000 2023,1633261369901416448,1633261369901416448,"@cutecule @1neOf6 @MadridXtra @tgm46 1st question: Did you just say Cadiz Getafe Celta Vigo and Osasuna are clear of Arsenal?.. 
2nd : Do you live near power lines?",False,"[37, 164]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633249601988731e+18,1633249601988730882,7.85947930935042e+17,785947930935042049,cutecule,,,,,False,0,0,False,False,,en,en,recent,1578074533952737280,1578074533952737280,Invincible Galactico,Rydinspinnaz,,"Forgive my vulgarity
 
supporter of  Real Madrid  x Arsenal

Since H14 & R9 - Till the end",,,[],False,28,247,1,Thu Oct 06 17:27:55 +0000 2022,1677,,,False,False,1418,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_images/1632879041773703168/w4U5_ynb_normal.jpg,https://pbs.twimg.com/profile_banners/1578074533952737280/1665079837,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:31:22 +0000 2023,1633249009694285825,1633249009694285825,Osasuna very much on top of Celta without any goals to be had. Celta finding it hard to work their way out of the press and have done very little imposing themselves. #LaLigaSantander,False,"[0, 183]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,273029636,273029636,Jake Davies 🎾,jakedavi5,Casnewydd,"Welsh tennis writer for @Tennisform. Big fan of tennis, soccer, rugby, La Liga, MLS, MMA, wrestling. Loyal supporter of Cagla Buyukakcay, Dragons RFC and MUFC.",https://t.co/UQxQrhHWqf,"[{'url': 'https://t.co/UQxQrhHWqf', 'expanded_url': 'https://www.gofundme.com/f/22-mile-walk-for-dogs-trust-in-memory-of-mum?utm_source=customer&utm_medi', 'display_url': 'gofundme.com/f/22-mile-walk…', 'indices': [0, 23]}]",[],False,5529,3675,186,Sun Mar 27 17:42:28 +0000 2011,31337,,,True,False,249938,,False,False,False,07090B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1624884848421744640/b1h0vPCI_normal.jpg,https://pbs.twimg.com/profile_images/1624884848421744640/b1h0vPCI_normal.jpg,https://pbs.twimg.com/profile_banners/273029636/1666709912,F58EA8,FFFFFF,C9C9C9,1C1F23,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:28:22 +0000 2023,1633248254715469827,1633248254715469827,"@MadridXtra @tgm46 Leave arsenal to manage against teams like Cadiz, getafe, Celta Vigo &amp; osasuna. Have some shame lol",False,"[19, 122]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332473840452526e+18,1633247384045252608,1.3265641522913157e+18,1326564152291315713,MadridXtra,,,,,False,0,17,False,False,,en,en,recent,872835090220503041,872835090220503041,1NNaWAY,1neOf6,,Sulemana Stan,,,[],False,189,2269,1,Thu Jun 08 15:17:56 +0000 2017,12342,,,False,False,6517,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1602767199613100034/3tz8SITR_normal.jpg,https://pbs.twimg.com/profile_images/1602767199613100034/3tz8SITR_normal.jpg,https://pbs.twimg.com/profile_banners/872835090220503041/1675714764,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:39:38 +0000 2023,1633235988687224834,1633235988687224834,"🏃 The team will rest tomorrow and on Thursday they will return to Tajonar to continue preparing for @valenciacf_en.

#LetsGoRojillos | #ValenciaOsasuna https://t.co/Mb3YbEVZ9s",False,"[0, 151]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,2,False,False,False,en,en,recent,961658047889362946,961658047889362946,C. A. OSASUNA,osasuna_en,Chartered Community of Navarre,"Official account of C. A. Osasuna.

🚩 ESP: @Osasuna /EUS: @Osasuna_eus /ARAB: @Osasuna_Arab

🚩 Women's team: @Osasuna_Fem",https://t.co/aRGWv9ZUnT,"[{'url': 'https://t.co/aRGWv9ZUnT', 'expanded_url': 'http://linktr.ee/CAOsasuna', 'display_url': 'linktr.ee/CAOsasuna', 'indices': [0, 23]}]",[],False,6628,188,168,Thu Feb 08 17:48:40 +0000 2018,799,,,True,True,6727,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1583117690511712258/b7UtjshK_normal.jpg,https://pbs.twimg.com/profile_images/1583117690511712258/b7UtjshK_normal.jpg,https://pbs.twimg.com/profile_banners/961658047889362946/1674815846,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:13:24 +0000 2023,1633229387024809985,1633229387024809985,Had more fun watching Osasuna-Celta last night than this joint,False,"[0, 62]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,5,False,False,,en,en,recent,1447672137104379906,1447672137104379906,tastemaker,hermanocode,I float down the Liffey,"I'm here for the music man, to achieve greatly a man must believe in something",https://t.co/vKR2kVbkfX,"[{'url': 'https://t.co/vKR2kVbkfX', 'expanded_url': 'https://open.spotify.com/playlist/4hWCrZcNYiWE7u9Ak7CkgJ?si=eRjXxoj4TD6eH4GjOsswig&utm_source=copy-l', 'display_url': 'open.spotify.com/playlist/4hWCr…', 'indices': [0, 23]}]",[],False,316,291,0,Mon Oct 11 21:15:16 +0000 2021,19319,,,False,False,18224,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1610351650866094080/xAcTsIG1_normal.jpg,https://pbs.twimg.com/profile_images/1610351650866094080/xAcTsIG1_normal.jpg,https://pbs.twimg.com/profile_banners/1447672137104379906/1638697018,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:52:12 +0000 2023,1633224051937165317,1633224051937165317,@bluudclarrrt @ManagingBarca Ehn! Which fati....baba no talk ham again o..After d winter break abde form has been amazing compare to fati..almost all the weekend I watch osasuna matches now.,False,"[29, 190]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331724746061128e+18,1633172474606112771,9.479026629718835e+17,947902662971883521,bluudclarrrt,,,,,False,0,1,False,False,,en,en,recent,3299020438,3299020438,Niyi 💻,KingKosoA,,"#Web designer and Software Developer | #Graphic Designer(photoshop) | #Business entity | #Barcelona Fan | #Content Creator | 
💕Music, Graphics and Business!!!",,,[],False,487,622,0,Tue May 26 08:42:39 +0000 2015,7913,,,False,False,6328,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1367373375744716800/etSS53hr_normal.jpg,https://pbs.twimg.com/profile_images/1367373375744716800/etSS53hr_normal.jpg,https://pbs.twimg.com/profile_banners/3299020438/1597920657,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:27:08 +0000 2023,1633217742579937282,1633217742579937282,"@ReshadRahman_ If he continues in the club he'll be on loan again so I guess it's better to sell him if there's a good chance. Didn't convince neither Koeman nor Xavi. Out of Elche, played with Hercules, now in Osasuna. Low level teams for a player some want in the 1st team?? Lol.",False,"[15, 281]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331631220798546e+18,1633163122079854613,1.06445571844574e+18,1064455718445740032,ReshadRahman_,,,,,False,0,0,False,False,,en,en,recent,555016389,555016389,Hermosillo FC,RayosdeHermosil,,"NO AFILIADO AL EQUIPO. SOY HIJO PRODIGO DE HERMOSILLO, FAN DE LAS COYOTAS, DOGOS, PERCHERONES, TACOS, Y DE LOS RAYOS!!
-Barça
-Cowboys
-Warriors
-Red Sox",,,[],False,94,515,0,Mon Apr 16 07:20:20 +0000 2012,39810,,,True,False,21413,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1580296275643113472/CdinhCEJ_normal.jpg,https://pbs.twimg.com/profile_images/1580296275643113472/CdinhCEJ_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
