created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,place,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 01:37:31 +0000 2023,1633280753856393218,1633280753856393218,"@ThePigMustDie_ 1. St Pauli, Celtic
2. Fulham
3. Borussia Dortmund
4. Rayo Vallecano
5. Roma
6. Marseilles
7. USMNT
8. 2022
9. Diego Maradona
10. Hansa Rostock
11. Alphonso Davies
12. Keeper
13. Pulisic to Fulham
14. Tim Weah from Celtic
15. No
16. DC United v New York Red Bulls",False,"[16, 279]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331981132497388e+18,1633198113249738757,1554007970.0,1554007970,ThePigMustDie_,,,,False,0,0,False,False,en,en,recent,45970577,45970577,Christophoros B. Orón,chrisboron,Jack’s Raging Bile Duct,Bodybuilder. Motivational Speaker. Spiritual Leader. Songbird of a Generation. Winner.,https://t.co/n8j88TKYkf,"[{'url': 'https://t.co/n8j88TKYkf', 'expanded_url': 'https://youtu.be/oHg5SJYRHA0', 'display_url': 'youtu.be/oHg5SJYRHA0', 'indices': [0, 23]}]",[],False,137,805,2,Tue Jun 09 23:01:19 +0000 2009,1363,,,True,False,2827,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,True,http://pbs.twimg.com/profile_images/1302978642834788360/geIpJCR6_normal.jpg,https://pbs.twimg.com/profile_images/1302978642834788360/geIpJCR6_normal.jpg,https://pbs.twimg.com/profile_banners/45970577/1599436830,FF3300,000000,A0C5C7,333333,True,True,False,False,False,False,False,none,[],d6819fe60643ebc1,https://api.twitter.com/1.1/geo/id/d6819fe60643ebc1.json,city,Alexandria,"Alexandria, VA",US,United States,[],Polygon,"[[[-77.144435, 38.789907], [-77.037304, 38.789907], [-77.037304, 38.8448531], [-77.144435, 38.8448531]]]",1.6332807538563932e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:40:07 +0000 2023,1633221012958396416,1633221012958396416,"@danredford70 A footballing legend, he played for Leicester City on loan from Marseille in 1985 for a few months , his goals and assists help Leicester avoid relegation in the 1985-86 season , afterwards he signed for Rayo Vallecano.",False,"[14, 233]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331883222762578e+18,1633188322276257795,1322564239.0,1322564239,danredford70,,,,False,0,1,False,False,en,en,recent,331935070,331935070,paulstevenson,fitboy1955,LEICESTER-ENGLAND,"I am a positive person who thinks a glass of water is half full, not half empty. i work-out doing  swimming dancing and yoga , like football tennis and cricket.",,,[],False,364,1967,7,Fri Jul 08 23:31:26 +0000 2011,4110,,,True,False,5076,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1404022820909297670/U1XqKP7u_normal.jpg,https://pbs.twimg.com/profile_images/1404022820909297670/U1XqKP7u_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:36:21 +0000 2023,1633220064567611393,1633220064567611393,@F4STFATI 150M una i swear there's more technical midfielders at rayo vallecano,False,"[10, 79]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633219511083049e+18,1633219511083048962,9.016754799498772e+17,901675479949877249,F4STFATI,,,,False,0,13,False,False,en,en,recent,1604933119387357184,1604933119387357184,y,pickwickenjoyer,,drive me crazy!,,,[],False,56,232,0,Mon Dec 19 20:14:17 +0000 2022,2638,,,True,False,346,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630907652795518976/FzddHDOb_normal.jpg,https://pbs.twimg.com/profile_images/1630907652795518976/FzddHDOb_normal.jpg,https://pbs.twimg.com/profile_banners/1604933119387357184/1673725763,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 20:45:10 +0000 2023,1633207182983299072,1633207182983299072,This Chelsea game come be like say I dey watch Granada and Rayo Vallecano.,False,"[0, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,0,False,False,en,en,recent,1425709288153133056,1425709288153133056,Temidola,Obisakindaniel2,"Lagos, Nigeria",“You just found me”,,,[],False,78,135,1,Thu Aug 12 06:43:05 +0000 2021,1108,,,True,False,2076,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1592798831128838147/-g2dN8nm_normal.jpg,https://pbs.twimg.com/profile_images/1592798831128838147/-g2dN8nm_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:34:11 +0000 2023,1633189318096302081,1633189318096302081,@ildelima6 @JustinWalley10 A fine one Justin! 😀Remember this legend playing in the 3rd tier for Rayo Vallecano around 2004/5.,False,"[27, 125]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.633171517788889e+18,1633171517788889088,981396888.0,981396888,ildelima6,,,,False,0,3,False,False,en,en,recent,2785191064,2785191064,Football Pirate,LesterEDrake,"Madrid, Comunidad de Madrid","Lower league fan-mostly Spain, but anywhere will do! Co #DDFM organiser. Dream of seeing a game in all UEFA#55 member countries. #clarets4change #UTV",https://t.co/TmP1wIF5Ip,"[{'url': 'https://t.co/TmP1wIF5Ip', 'expanded_url': 'http://www.facebook.com/footballpirate/', 'display_url': 'facebook.com/footballpirate/', 'indices': [0, 23]}]",[],False,945,1053,10,Fri Sep 26 09:06:12 +0000 2014,47552,,,True,False,6766,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/733378855730335745/3Rm705vX_normal.jpg,https://pbs.twimg.com/profile_images/733378855730335745/3Rm705vX_normal.jpg,https://pbs.twimg.com/profile_banners/2785191064/1463686035,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:46:58 +0000 2023,1633177437067517955,1633177437067517955,either get used to it or go support rayo vallecano idk what to tell u,False,"[0, 69]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633176686496809e+18,1633176686496808960,1.6091770521119007e+18,1609177052111900675,reeaImadrid,,,,False,0,3,False,False,en,en,recent,1609177052111900675,1609177052111900675,𝒮,reeaImadrid,sara sheher 18 arab ☪︎,tchouamavinga over morals,,,[],False,279,165,0,Sat Dec 31 13:18:23 +0000 2022,1390,,,False,False,1801,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630677447933935616/RccIQOCC_normal.jpg,https://pbs.twimg.com/profile_images/1630677447933935616/RccIQOCC_normal.jpg,https://pbs.twimg.com/profile_banners/1609177052111900675/1678225964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 12:10:00 +0000 2023,1633077535868059649,1633077535868059649,"MD say that Barcelona's interest in Inigo Martinez is cooling. The Basque defender's injury issues are the main factor.

Martinez returned to action against Rayo Vallecano on Saturday, but had missed the previous four months with a heelspur, not featuring since November. https://t.co/PRXVZlbabF",False,"[0, 271]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,False,3,11,False,False,en,en,recent,467781580,467781580,Football España,footballespana_,"Madrid, Spain",The place to go for English-speaking lovers of Spanish football. 🇪🇸,https://t.co/LNbdEIJmDs,"[{'url': 'https://t.co/LNbdEIJmDs', 'expanded_url': 'http://www.football-espana.net', 'display_url': 'football-espana.net', 'indices': [0, 23]}]",[],False,51554,103,1126,Wed Jan 18 20:57:10 +0000 2012,2733,,,True,False,124913,,False,False,False,FAFAFA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1417884633644077062/TvDfmntV_normal.jpg,https://pbs.twimg.com/profile_images/1417884633644077062/TvDfmntV_normal.jpg,https://pbs.twimg.com/profile_banners/467781580/1651472939,FAA525,0B3E57,FC4E54,FAA525,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 11:35:14 +0000 2023,1633068788697518080,1633068788697518080,"So Oliver glasner is a manager that wants his teams to play on the transition. I like it, but what happens when we play against teams with a low block?
Glasner is good, but I also want the club to take a look at Andoni Iraola of Rayo Vallecano.",False,"[0, 244]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,0,False,False,en,en,recent,1172807467098681344,1172807467098681344,Victory.⚡,VictoryMbachuu,The Melodic Blue,I’m the biggest hyprocrite you’ll ever see. @ChelseaFc,https://t.co/jxw0enpe01,"[{'url': 'https://t.co/jxw0enpe01', 'expanded_url': 'https://medium.com/@mbachuvictory/from-champions-to-crawlers-pt-1-3a50aa1089a9', 'display_url': 'medium.com/@mbachuvictory…', 'indices': [0, 23]}]",[],False,607,2953,0,Sat Sep 14 09:41:27 +0000 2019,3016,,,True,False,5159,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1498059831718170627/NAo1IWis_normal.jpg,https://pbs.twimg.com/profile_images/1498059831718170627/NAo1IWis_normal.jpg,https://pbs.twimg.com/profile_banners/1172807467098681344/1658596991,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 11:14:24 +0000 2023,1633063543971934211,1633063543971934211,"A little trip to the Estadio de Vallecas led to the addition of two new shirts ✅

Rayo Vallecano 2015/16 Third shirt 💕

Rayo Vallecano 2022/23 Away shirt ⚡️

I’ve absolutely no idea how a 7 year old shirt was still hanging about in the club store, but I just had to pick it up! https://t.co/d1l6GYtrNT",False,"[0, 277]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,24,False,False,en,en,recent,1284257991185833984,1284257991185833984,Rhys⚫️🔴👕,FootballShirtC2,Ireland,Football shirts. Pink football shirts in particular.,,,[],False,1991,1137,14,Fri Jul 17 22:45:48 +0000 2020,17893,,,True,False,11051,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1404004824438480904/v0jmanpU_normal.jpg,https://pbs.twimg.com/profile_images/1404004824438480904/v0jmanpU_normal.jpg,https://pbs.twimg.com/profile_banners/1284257991185833984/1644940064,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],0fc2e8b36895e000,https://api.twitter.com/1.1/geo/id/0fc2e8b36895e000.json,poi,Estadio de Vallecas,Estadio de Vallecas,ES,Spain,[],Polygon,"[[[-3.6586403846740723, 40.39174723989229], [-3.6586403846740723, 40.39174723989229], [-3.6586403846740723, 40.39174723989229], [-3.6586403846740723, 40.39174723989229]]]",1.6330635439719342e+18,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 09:29:44 +0000 2023,1633037206230114305,1633037206230114305,@shadysinatra @MikaelMadridsta @Kokooto_ni_hc @ReshadRahman_ @L3WANDOWSKII Barca ain't the only small club we lost to this season. We also lost to Rayo Vallecano and Mallorca.,False,"[75, 175]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633035793986904e+18,1633035793986904064,9.222640795527291e+17,922264079552729089,shadysinatra,,,,False,0,0,False,False,en,en,recent,933052036408664064,933052036408664064,Dino ✪,DINO21JR,The Netherlands,Hala Madrid,,,[],False,82,294,0,Tue Nov 21 19:18:35 +0000 2017,9367,,,False,False,3410,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633076659623534593/geVXEj9W_normal.jpg,https://pbs.twimg.com/profile_images/1633076659623534593/geVXEj9W_normal.jpg,https://pbs.twimg.com/profile_banners/933052036408664064/1678111363,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
