created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 02:49:23 +0000 2023,1633298841318354945,1633298841318354945,"@HS_Jona2 @S4GFY @BarcaSpaces @fansjavimiguel Zubimendi won't be signed if busquets renewed.
Barca can only make transfers on amortization not based on release clause. I don't see the negotiations with real sociedad to be easy when they will be in the champions league and Zubimendi is their most valuable midfielder.",False,"[46, 317]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331648719141233e+18,1633164871914123275,7.728559459867648e+17,772855945986764800,HS_Jona2,,,,,False,0,0,False,False,en,en,recent,710660315,710660315,EL Tbrizzle Ivies,El_Crpyt,Crypto Universe,₿,,[],False,81,148,5,Sat Oct 12 09:04:21 +0000 2013,787,,,True,False,6427,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1363587704647266305/gjpE4-aU_normal.jpg,https://pbs.twimg.com/profile_images/1363587704647266305/gjpE4-aU_normal.jpg,https://pbs.twimg.com/profile_banners/710660315/1599973986,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:17:22 +0000 2023,1633260585130311681,1633260585130311681,"Thursday, March 9 - UEFA Europa League returns with the Round of 16

@ 12:45pm / 1:45pm ECT
Sporting Clube de Portugal v Arsenal FC
AS Roma v Real Sociedad

@ 3pm / 4pm ECT
Juventus v SC Freiburg
Manchester United v Real Betis

Who will our champions be?
#UEFAEuropaLeague #UEL https://t.co/o4LXfVDO2k",False,"[0, 277]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,274609551,274609551,SportsMax,SportsMax_Carib,"Kingston, Jamaica","The Caribbean's 24 hour Sports Cable channel and app, dedicated to showing the world's top sporting content.",https://t.co/Z7B8O92ph3,[],False,7983,1729,66,Wed Mar 30 16:41:11 +0000 2011,3715,,,True,False,22102,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1435297079967076353/KGBUhR2u_normal.jpg,https://pbs.twimg.com/profile_images/1435297079967076353/KGBUhR2u_normal.jpg,https://pbs.twimg.com/profile_banners/274609551/1676644287,DD2E44,FFFFFF,EFEFEF,333333,True,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/Z7B8O92ph3', 'expanded_url': 'http://its0n.tv/a/od', 'display_url': 'its0n.tv/a/od', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:48:45 +0000 2023,1633253383380570112,1633253383380570112,"New Overtime AMM position bought
AS Roma - Real Sociedad
Amount: 22.201501121345892
Paid: 9.723 sUSD
Position: AS Roma
Potential profit: 12 sUSD (128%)",False,"[0, 151]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:48:44 +0000 2023,1633253380473880576,1633253380473880576,"New Overtime Market Parlay
Paid: $5.000
Positions:
Bayer Leverkusen - Ferencvaros @ 1 - 1.36
AS Roma - Real Sociedad @ 1 - 2.29
Manchester United - Real Betis @ 1 - 1.48
Sporting CP - Arsenal @ 2 - 2.19
Sevilla - Fenerbahce @ X2 - 2.22
Potential profit: 82 sUSD (1637%)",False,"[0, 269]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:57:24 +0000 2023,1633240459706286080,1633240459706286080,@SamiZone17 He relegated Real Sociedad B and he's at mid table with Leverkusen 😭😭😭,False,"[12, 82]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332400754451825e+18,1633240075445182466,1.6028549064190853e+18,1602854906419085312,SamiZone17,,,,,False,0,0,False,False,en,en,recent,1479870233238282247,1479870233238282247,Maldini Jr 🇪🇸,MaldiniJr1863,Araujo's pocket,Was defender in @rmfcgoats||@SDEibar and @fcbarcelona fan,,[],False,1087,827,0,Sat Jan 08 17:40:30 +0000 2022,6244,,,False,False,5726,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1619404781046333440/JEDQvR9H_normal.jpg,https://pbs.twimg.com/profile_images/1619404781046333440/JEDQvR9H_normal.jpg,https://pbs.twimg.com/profile_banners/1479870233238282247/1665175079,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:45:06 +0000 2023,1633237364465192967,1633237364465192967,"@XoubaP @Play_Sharper Zubeldia from Real Sociedad is NG in @SorareData , do you have any information about this? 🤔
Just a temporary error?",False,"[22, 138]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6327141136912957e+18,1632714113691295750,1.4831273625858294e+18,1483127362585829383,XoubaP,,,,,False,0,0,False,False,en,en,recent,1496778699596775424,1496778699596775424,ManuC,manu_conss,,,,[],False,834,292,1,Thu Feb 24 09:27:47 +0000 2022,3011,,,False,False,904,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1566875406237667330/KWrmbRro_normal.jpg,https://pbs.twimg.com/profile_images/1566875406237667330/KWrmbRro_normal.jpg,https://pbs.twimg.com/profile_banners/1496778699596775424/1672401963,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:16:59 +0000 2023,1633230289592877062,1633230289592877062,Oh no it’s a Sevilla Valencia real sociedad 3 way top 4 race https://t.co/PLI0y1BbNO,False,"[0, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332296142931763e+18,1633229614293176327,1.431115817794478e+18,1431115817794478081,ml27___,,,,,False,3,31,False,False,en,en,recent,1431115817794478081,1431115817794478081,🕊️,ml27___,,personal acct v2 // Foden Kvaratshkelia Cancelo,,[],False,1210,755,3,Fri Aug 27 04:46:24 +0000 2021,10807,,,True,False,13786,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620599303038242817/VcxXNxrR_normal.jpg,https://pbs.twimg.com/profile_images/1620599303038242817/VcxXNxrR_normal.jpg,https://pbs.twimg.com/profile_banners/1431115817794478081/1656337301,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:53:18 +0000 2023,1633224330006986754,1633224330006986754,"Real Sociedad is monitoring the player 😉

He scored a hattrick and delivered an assist in the last game.

🇮🇶🇪🇸 https://t.co/A3U5Eznv3j",False,"[0, 110]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,1341457748677017601,1341457748677017601,Sajjad Lattef,ImSajjadLattef,WATCH👇🏾RM is Franco's club?,"Madridista.. ❤️ Like Mourinho's mentality

Instagram: 

https://t.co/8x3WSN5fDI

my backup acc 👉 @ImSajjadLattef1",https://t.co/0hqTdfOPpU,"[{'url': 'https://t.co/8x3WSN5fDI', 'expanded_url': 'https://www.instagram.com/p/Ce6oKoXq_JG/?igshid=YmMyMTA2M', 'display_url': 'instagram.com/p/Ce6oKoXq_JG/…', 'indices': [56, 79]}]",False,2318,2757,4,Tue Dec 22 18:57:17 +0000 2020,353,,,False,False,5095,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1537680905170460672/qW0p_ROI_normal.jpg,https://pbs.twimg.com/profile_images/1537680905170460672/qW0p_ROI_normal.jpg,https://pbs.twimg.com/profile_banners/1341457748677017601/1634688179,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/0hqTdfOPpU', 'expanded_url': 'https://youtu.be/jtux1Ngsxbc', 'display_url': 'youtu.be/jtux1Ngsxbc', 'indices': [0, 23]}]",1.6286741646209188e+18,1628674164620918785,Thu Feb 23 08:32:34 +0000 2023,1.6286741646209188e+18,1628674164620918785,"Muntadher AlMajid, an Iraqi forward (only 17 years old) playing in Sweden 🇸🇪 with Hammarby (first team) is being monitored by Italian 🇮🇹, Dutch 🇳🇱, and Spanish 🇪🇸 clubs!

He's so close to represent the Iraqi U23 team. 😉🇮🇶 https://t.co/Dr8mmIeNkB",False,"[0, 221]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.3414577486770176e+18,1341457748677017601,Sajjad Lattef,ImSajjadLattef,WATCH👇🏾RM is Franco's club?,"Madridista.. ❤️ Like Mourinho's mentality

Instagram: 

https://t.co/8x3WSN5fDI

my backup acc 👉 @ImSajjadLattef1",https://t.co/0hqTdfOPpU,"[{'url': 'https://t.co/0hqTdfOPpU', 'expanded_url': 'https://youtu.be/jtux1Ngsxbc', 'display_url': 'youtu.be/jtux1Ngsxbc', 'indices': [0, 23]}]","[{'url': 'https://t.co/8x3WSN5fDI', 'expanded_url': 'https://www.instagram.com/p/Ce6oKoXq_JG/?igshid=YmMyMTA2M', 'display_url': 'instagram.com/p/Ce6oKoXq_JG/…', 'indices': [56, 79]}]",False,2318.0,2757.0,4.0,Tue Dec 22 18:57:17 +0000 2020,353.0,,,False,False,5095.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1537680905170460672/qW0p_ROI_normal.jpg,https://pbs.twimg.com/profile_images/1537680905170460672/qW0p_ROI_normal.jpg,https://pbs.twimg.com/profile_banners/1341457748677017601/1634688179,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,3.0,13.0,False,False,False,en,,,,,,,,,,,,,
Tue Mar 07 19:21:25 +0000 2023,1633186108027596806,1633186108027596806,"🚨💣 | Montader Madjed is of interest to Real Sociedad in Spain. The club seems to have been following him for a long time. 🇪🇸

(@ftransfers 🥇) https://t.co/suLl2ReKGe",False,"[0, 141]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,21,False,False,en,en,recent,1508507438869266438,1508507438869266438,Iraq Xtra,IraqXtra,"Baghdad,Iraq",📲 The page for everything you need to know about Iraqi Football. كل ما يخص الكرة العراقية | DM for Inquires,https://t.co/nt8ijW15CF,[],False,608,40,3,Mon Mar 28 18:13:20 +0000 2022,22,,,False,False,1149,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1608426501480894465/cs_hilJW_normal.jpg,https://pbs.twimg.com/profile_images/1608426501480894465/cs_hilJW_normal.jpg,https://pbs.twimg.com/profile_banners/1508507438869266438/1675190562,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/nt8ijW15CF', 'expanded_url': 'https://instagram.com/iraqxtra', 'display_url': 'instagram.com/iraqxtra', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:14:34 +0000 2023,1633184380297555968,1633184380297555968,"liverpool
arsenal
copa del rey
premier
fa cup
brighton
chelsea vs. leeds
borussia dortmund
who are ya
bayern vs psg
dortmund
real sociedad
chelsea vs dortmund
chelsea vs leeds
napoli vs. lazio https://t.co/4wQ4XU9Pbe",False,"[0, 192]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1312611890162475015,1312611890162475015,Farah Osman,FarahOs69046896,,Farah osman,,[],False,0,4,0,Sun Oct 04 04:38:27 +0000 2020,0,,,False,False,25,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1626680978616856576/neOT5rIj_normal.jpg,https://pbs.twimg.com/profile_images/1626680978616856576/neOT5rIj_normal.jpg,https://pbs.twimg.com/profile_banners/1312611890162475015/1676665944,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
