created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,quoted_status.user.entities.url.urls
Wed Mar 08 03:04:52 +0000 2023,1633302737063493634,1633302737063493634,"@JebraFaushay Jeez, you lefties are funny! Viewing the actual evidence is now “rejecting the evidence” — some great logic there.",False,"[14, 128]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.6332868916414013e+18,1633286891641401353,1.5241769097555108e+18,1524176909755510785,JebraFaushay,,,,,False,0,0,False,False,en,en,recent,1303020711124951040,1303020711124951040,Winston Smith,buddy_sevilla,,Opinions are my own -- not those of the Ministry of Truth.,,[],False,32,280,0,Mon Sep 07 17:22:22 +0000 2020,11501,,,False,False,7492,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_banners/1303020711124951040/1631983514,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:02:33 +0000 2023,1633302154017402880,1633302154017402880,"@ZachLowy One of the greatest robbery in football history after Sevilla vs benfica 2014, korea 2002 and Uefalona vs chelsea 2009",False,"[10, 128]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633300720848982e+18,1633300720848982018,4837300329.0,4837300329,ZachLowy,,,,,False,0,1,False,False,en,en,recent,795254212112355328,795254212112355328,BELA GUTTMANN CURSE WILL END THIS YEAR.,VaCaSSaGrAdAss,"Brockton, MA",CARREGA BENFICA! 1904! #RUAVACASAGRADAS.         🟧⬛,,[],False,183,292,1,Sun Nov 06 13:19:14 +0000 2016,5616,,,False,False,6128,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616186685582151685/mGEIu4Y3_normal.jpg,https://pbs.twimg.com/profile_images/1616186685582151685/mGEIu4Y3_normal.jpg,https://pbs.twimg.com/profile_banners/795254212112355328/1648391876,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:00:23 +0000 2023,1633301607075966976,1633301607075966976,@gatewaypundit I cried for an hour when her husband was elected. So what?,False,"[15, 73]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.633171799331713e+18,1633171799331713025,19211550.0,19211550,gatewaypundit,,,,,False,0,0,False,False,en,en,recent,1303020711124951040,1303020711124951040,Winston Smith,buddy_sevilla,,Opinions are my own -- not those of the Ministry of Truth.,,[],False,32,280,0,Mon Sep 07 17:22:22 +0000 2020,11501,,,False,False,7492,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_banners/1303020711124951040/1631983514,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:59:50 +0000 2023,1633301469142155264,1633301469142155264,@Acyn CNN loves to report on real reporting versus actually doing it.,False,"[6, 69]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.6332822143425577e+18,1633282214342557696,16635277.0,16635277,Acyn,,,,,False,0,0,False,False,en,en,recent,1303020711124951040,1303020711124951040,Winston Smith,buddy_sevilla,,Opinions are my own -- not those of the Ministry of Truth.,,[],False,32,280,0,Mon Sep 07 17:22:22 +0000 2020,11501,,,False,False,7492,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_banners/1303020711124951040/1631983514,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:56:45 +0000 2023,1633300696345747456,1633300696345747456,@EndWokeness Who cares. I’d rather hear from a truck driver or lime worker.,False,"[13, 75]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.6331381683366625e+18,1633138168336662528,1.552795969959637e+18,1552795969959636992,EndWokeness,,,,,False,0,0,False,False,en,en,recent,1303020711124951040,1303020711124951040,Winston Smith,buddy_sevilla,,Opinions are my own -- not those of the Ministry of Truth.,,[],False,32,280,0,Mon Sep 07 17:22:22 +0000 2020,11501,,,False,False,7492,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_banners/1303020711124951040/1631983514,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:55:40 +0000 2023,1633300421576884224,1633300421576884224,@CNN Now do CNN and the Russia hoax…,False,"[5, 36]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.633187494014636e+18,1633187494014636034,759251.0,759251,CNN,,,,,False,0,0,False,False,en,en,recent,1303020711124951040,1303020711124951040,Winston Smith,buddy_sevilla,,Opinions are my own -- not those of the Ministry of Truth.,,[],False,32,280,0,Mon Sep 07 17:22:22 +0000 2020,11501,,,False,False,7492,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_images/1486071392386772994/AgjZKF_5_normal.jpg,https://pbs.twimg.com/profile_banners/1303020711124951040/1631983514,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:53:59 +0000 2023,1633299999235915776,1633299999235915776,Found some sheep in Sevilla and Lisboa! https://t.co/vulVRAYlus,False,"[0, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,449565281,449565281,Lynne NakashimaKiang,LynneNakashima,"Richmond, BC, Canada","BC Cancer Senior Director, Provincial Pharmacy, PCAHA Past President & Quilchena Golf Club Member",,[],False,763,1431,23,Thu Dec 29 07:34:39 +0000 2011,29555,,,True,False,9771,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1115683353947254784/XljsPZ3C_normal.png,https://pbs.twimg.com/profile_images/1115683353947254784/XljsPZ3C_normal.png,https://pbs.twimg.com/profile_banners/449565281/1585762210,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:53:33 +0000 2023,1633299891144278019,1633299891144278019,"link: https://t.co/9dOHEKkTja
📰🔥 
 Sevilla dragged back into La Liga’s Sarlacc pit ...
#news #short #shortnews #breaking #breakingnews
2023-03-08 06:53:33.393325 https://t.co/SwTMD80GSk",False,"[0, 161]","<a href=""https://twitter.com/home"" rel=""nofollow"">Aliex13</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,797731048893321216,797731048893321216,Short News,Product_for_you,United States,"https://t.co/lECzF467ye
Short News Every Day",https://t.co/hPGeEflDed,"[{'url': 'https://t.co/lECzF467ye', 'expanded_url': 'http://shrtnews.com', 'display_url': 'shrtnews.com', 'indices': [0, 23]}]",False,251,3077,5,Sun Nov 13 09:21:18 +0000 2016,71,,,False,False,48748,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1622080977878097921/8MS4_y0X_normal.jpg,https://pbs.twimg.com/profile_images/1622080977878097921/8MS4_y0X_normal.jpg,https://pbs.twimg.com/profile_banners/797731048893321216/1675569313,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/hPGeEflDed', 'expanded_url': 'https://www.shrtnews.com/', 'display_url': 'shrtnews.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:48:19 +0000 2023,1633298571825913857,1633298571825913857,@Gram_Kat Moving to Sevilla!,False,"[10, 28]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633293504284885e+18,1633293504284884992,621179662.0,621179662,Gram_Kat,,,,,False,0,2,False,False,en,en,recent,220863206,220863206,Tennesseine,Tennesseine,,"#Healthcare access innovator: https://t.co/f8pf8dhHcf, https://t.co/bx5dXv4zE6, https://t.co/XmfYe4swkf. #StarTrek #nerd! #dadjokes #expat #skeptic #voteblue",https://t.co/IfyDaJIYPB,"[{'url': 'https://t.co/f8pf8dhHcf', 'expanded_url': 'http://CareNotClicks.com', 'display_url': 'CareNotClicks.com', 'indices': [30, 53]}, {'url': 'https://t.co/bx5dXv4zE6', 'expanded_url': 'http://FastLayneSolutions.Store', 'display_url': 'FastLayneSolutions.Store', 'indices': [55, 78]}, {'url': 'https://t.co/XmfYe4swkf', 'expanded_url': 'http://GigSafety.Net', 'display_url': 'GigSafety.Net', 'indices': [80, 103]}]",False,49997,8167,147,Mon Nov 29 01:53:22 +0000 2010,153287,,,True,False,79323,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1612870681569509381/22chVOwt_normal.jpg,https://pbs.twimg.com/profile_images/1612870681569509381/22chVOwt_normal.jpg,https://pbs.twimg.com/profile_banners/220863206/1622007775,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/IfyDaJIYPB', 'expanded_url': 'http://u2tl.com', 'display_url': 'u2tl.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:39:20 +0000 2023,1633296310508871681,1633296310508871681,"@atletiuniverse @Statsatm Considering RM and Barca are world class teams, and Sevilla etc have been dominating the European teams, having these stats just prove how good he is in such a competitve league.",False,"[26, 204]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6331673394734694e+18,1633167339473469442,1.416051864315986e+18,1416051864315985924,atletiuniverse,,,,,False,0,0,False,False,en,en,recent,1283506024272592896,1283506024272592896,VicenteCalderonUSA,CaldronUsa,North Carolina,"Atletico de Madrid fan for life! I am not interested in your politics, just your love for Atleti ! Unofficial fanboy of Angel Correa. {was USA Vicente Calderon}",https://t.co/ExN5QyJaKn,[],False,649,410,4,Wed Jul 15 20:57:52 +0000 2020,15048,,,True,False,7691,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1283520312315871239/l5fDf9Tq_normal.jpg,https://pbs.twimg.com/profile_images/1283520312315871239/l5fDf9Tq_normal.jpg,https://pbs.twimg.com/profile_banners/1283506024272592896/1594850064,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/ExN5QyJaKn', 'expanded_url': 'http://facebook.com/groups/772299152792579', 'display_url': 'facebook.com/groups/7722991…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
