created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 03:08:23 +0000 2023,1633303621885411330,1633303621885411330,"Mexican officials have detained a man in connection to the violent kidnapping of four Americans, two of whom were found dead in the northern border city of Matamoros. The two other victims are back on U.S. soil tonight, being treated at a Texas hospital: https://t.co/I2nHlsPT7u https://t.co/7hTdMoPGFb",False,"[0, 278]","<a href=""http://wildmoka.com"" rel=""nofollow"">Wildmoka</a>",,,,,,,,,,False,1,1,False,False,False,en,en,recent,441389311,441389311,The National Desk,TND,United States,"America's News, Now. Bringing you local news from @wearesinclair stations. Watch us daily on https://t.co/kt0QUZgvXp & @watchstirr.",https://t.co/zDiQ0yVrZF,"[{'url': 'https://t.co/zDiQ0yVrZF', 'expanded_url': 'https://thenationaldesk.com/', 'display_url': 'thenationaldesk.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/kt0QUZgvXp', 'expanded_url': 'http://thenationaldesk.com', 'display_url': 'thenationaldesk.com', 'indices': [93, 116]}]",False,74430,1644,1669,Tue Dec 20 01:45:39 +0000 2011,4134,,,True,True,65384,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1349534551710683136/2QC3U9_4_normal.jpg,https://pbs.twimg.com/profile_images/1349534551710683136/2QC3U9_4_normal.jpg,https://pbs.twimg.com/profile_banners/441389311/1610589086,ABB8C2,000000,000000,000000,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:04:55 +0000 2023,1633302748904169472,1633302748904169472,@MarioNawfal He’s exposing the truth and revealing more history,False,"[13, 63]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633209011095892e+18,1633209011095891972,1.3192877610487235e+18,1319287761048723458,MarioNawfal,,,,,False,0,0,False,False,,en,en,recent,1452749097186648071,1452749097186648071,Dr Invest V (US),us_villarreal,,"Just like Satan you come as an angel of light, ""be empathetic"". And cause suffering and death.",,,[],False,11,39,2,Mon Oct 25 21:30:17 +0000 2021,333,,,False,False,1298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,https://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 03:01:18 +0000 2023,1633301838840705025,1633301838840705025,"@us_villarreal @RealBrysonGray @HollyBriden Don't let your wife or gf catch you making tweets like that, lol!
Dem wimmenz, dey stick togedda, dey do!",False,"[44, 149]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332982137710428e+18,1633298213771042817,1.452749097186648e+18,1452749097186648071,us_villarreal,,,,,False,0,1,False,False,,en,en,recent,1594761160649228292,1594761160649228292,Danny Milligan,DannyRMilligan,,"Conservative Libertarian and Enemy of Satan. Pro-life, Anti-Marxist, Patriot. Don't come on my thread, pick a fight, and run to the teacher. NO DMS!!!!",,,[],False,609,951,0,Mon Nov 21 18:34:56 +0000 2022,3533,,,False,False,6334,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1594761295445770273/CcV6yV_7_normal.jpg,https://pbs.twimg.com/profile_images/1594761295445770273/CcV6yV_7_normal.jpg,https://pbs.twimg.com/profile_banners/1594761160649228292/1669061251,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:57:26 +0000 2023,1633300868085993472,1633300868085993472,@rahsh33m W kid for looking out for his pops instead of throwing a tantrum,False,"[10, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6330946456253645e+18,1633094645625364481,1.318365628466684e+18,1318365628466683904,rahsh33m,,,,,False,0,0,False,False,,en,en,recent,1452749097186648071,1452749097186648071,Dr Invest V (US),us_villarreal,,"Just like Satan you come as an angel of light, ""be empathetic"". And cause suffering and death.",,,[],False,11,39,2,Mon Oct 25 21:30:17 +0000 2021,333,,,False,False,1298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,https://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:46:54 +0000 2023,1633298213771042817,1633298213771042817,@DannyRMilligan @RealBrysonGray @HollyBriden Has to be male if he’s this funny,False,"[45, 78]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633296718228861e+18,1633296718228860930,1.5947611606492283e+18,1594761160649228292,DannyRMilligan,,,,,False,0,1,False,False,,en,en,recent,1452749097186648071,1452749097186648071,Dr Invest V (US),us_villarreal,,"Just like Satan you come as an angel of light, ""be empathetic"". And cause suffering and death.",,,[],False,11,39,2,Mon Oct 25 21:30:17 +0000 2021,333,,,False,False,1298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,https://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:45:41 +0000 2023,1633297909977612290,1633297909977612290,@ClownWorld_ Bruh 😂😂,False,"[13, 20]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332952208876708e+18,1633295220887670785,1.4469321491483443e+18,1446932149148344320,ClownWorld_,,,,,False,0,0,False,False,,en,en,recent,1452749097186648071,1452749097186648071,Dr Invest V (US),us_villarreal,,"Just like Satan you come as an angel of light, ""be empathetic"". And cause suffering and death.",,,[],False,11,39,2,Mon Oct 25 21:30:17 +0000 2021,333,,,False,False,1298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,https://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:42:16 +0000 2023,1633297048828268544,1633297048828268544,@ViciousVideos Why try killing it? Tf. Hope he lost a finger,False,"[15, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332181556349092e+18,1633218155634909185,1.3210610667602166e+18,1321061066760216577,ViciousVideos,,,,,False,0,0,False,False,,en,en,recent,1452749097186648071,1452749097186648071,Dr Invest V (US),us_villarreal,,"Just like Satan you come as an angel of light, ""be empathetic"". And cause suffering and death.",,,[],False,11,39,2,Mon Oct 25 21:30:17 +0000 2021,333,,,False,False,1298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,https://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:29:59 +0000 2023,1633293959329112064,1633293959329112064,@hodgetwins Yes. Been saying. This for years,False,"[12, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332622252039045e+18,1633262225203904521,18584875.0,18584875,hodgetwins,,,,,False,0,0,False,False,,en,en,recent,1452749097186648071,1452749097186648071,Dr Invest V (US),us_villarreal,,"Just like Satan you come as an angel of light, ""be empathetic"". And cause suffering and death.",,,[],False,11,39,2,Mon Oct 25 21:30:17 +0000 2021,333,,,False,False,1298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,https://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:24:28 +0000 2023,1633292569298731015,1633292569298731015,@UTDTrey Like Manchester United Cooked by Villarreal 2years back,False,"[9, 64]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332178831604244e+18,1633217883160424449,8.96550698543874e+17,896550698543874049,UTDTrey,,,,,False,0,0,False,False,,en,en,recent,1443990834152574980,1443990834152574980,fcb,Culersarmy,,,,,[],False,3,19,0,Fri Oct 01 17:27:17 +0000 2021,637,,,False,False,194,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1473893021255024648/3jtOKk5x_normal.jpg,https://pbs.twimg.com/profile_images/1473893021255024648/3jtOKk5x_normal.jpg,https://pbs.twimg.com/profile_banners/1443990834152574980/1640238442,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:19:36 +0000 2023,1633291345925390336,1633291345925390336,@ChuckCallesto Is this guy just tryna be likable nowadays or sum?,False,"[15, 65]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332791028609024e+18,1633279102860902401,4765364386.0,4765364386,ChuckCallesto,,,,,False,0,0,False,False,,en,en,recent,1452749097186648071,1452749097186648071,Dr Invest V (US),us_villarreal,,"Just like Satan you come as an angel of light, ""be empathetic"". And cause suffering and death.",,,[],False,11,39,2,Mon Oct 25 21:30:17 +0000 2021,333,,,False,False,1298,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,https://pbs.twimg.com/profile_images/1452749380843307011/LXb7ACgO_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
