created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang
Tue Mar 07 13:43:09 +0000 2023,1633100980030930944,1633100980030930944,"To celebrate becoming PSG's record goalscorer, Nike have provided @KMbappe with a reissue of the Nike Mercurial Vapor XI that he wore when he scored his first goal for PSG against FC Metz in September 2017.

More details: https://t.co/5f3T76z9J2 https://t.co/X84uLZpkOJ",False,"[0, 245]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,64,False,False,False,en,en,recent,26489598,26489598,SoccerBible,SoccerBible,United Kingdom,"The New Soccer Culture | Est. 2001.
SoccerBible Volumes: 'All Power' out now: https://t.co/fkObGNfAmN",https://t.co/eQpmtDKd19,"[{'url': 'https://t.co/eQpmtDKd19', 'expanded_url': 'http://www.soccerbible.com', 'display_url': 'soccerbible.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/fkObGNfAmN', 'expanded_url': 'https://bit.ly/3yhWyab', 'display_url': 'bit.ly/3yhWyab', 'indices': [78, 101]}]",False,226654,1137,702,Wed Mar 25 12:52:51 +0000 2009,1450,,,True,False,19819,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/454562011289247744/w377Bn1x_normal.jpeg,https://pbs.twimg.com/profile_images/454562011289247744/w377Bn1x_normal.jpeg,https://pbs.twimg.com/profile_banners/26489598/1656682912,009999,FFFFFF,EFEFEF,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 01:19:19 +0000 2023,1632913784787423233,1632913784787423233,"22 y/o 🇬🇪 Georgian forward Georges Mikautadze is shining in 🇫🇷 Ligue 2 with impressive 1v1 dribbling and versatility to play any of ST/CF/LW/CAM. Sitting at 14 goals, 6 assists for FC Metz, he’s been a key factor in their success this season. His transfer market value is €2.4M. https://t.co/2inHrtskon",False,"[0, 278]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.632913487310512e+18,1632913487310512130,1.622389970135548e+18,1622389970135547905,RevsFanLive,,,,,False,3,8,False,False,False,en,en,recent,1622389970135547905,1622389970135547905,RevsFanLive,RevsFanLive,,"Welcome to RevsFanLive, the ultimate source for the latest fan reactions and media for the @NERevolution.  Stay tuned for more content on the #NERevs hashtag!",,,[],False,152,169,0,Mon Feb 06 00:21:33 +0000 2023,36,,,False,False,29,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629733973680181250/PXyYyc9p_normal.jpg,https://pbs.twimg.com/profile_images/1629733973680181250/PXyYyc9p_normal.jpg,https://pbs.twimg.com/profile_banners/1622389970135547905/1677393818,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 22:39:50 +0000 2023,1632873649454579714,1632873649454579714,"🇬🇲Ablie Jallow is the only FC Metz player to complete 33 successful dribbles and create 35 chances this season. 

He played 82’ minutes in Metz's 3-0 win over Annecy FC on Saturday with the most dribbles (3). https://t.co/JzWaRiITqH",False,"[0, 208]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,56,False,False,False,en,en,recent,1290376515608354817,1290376515608354817,Foday Manneh 🇬🇲,foday_manneh_,Gambia,#Activist #Journalist #Writer #Gambian,https://t.co/khLUBCFvFD,"[{'url': 'https://t.co/khLUBCFvFD', 'expanded_url': 'http://alkambatimes.com', 'display_url': 'alkambatimes.com', 'indices': [0, 23]}]",[],False,147,704,2,Mon Aug 03 19:58:47 +0000 2020,3831,,,True,False,306,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1422574358292271108/wIlByx4p_normal.jpg,https://pbs.twimg.com/profile_images/1422574358292271108/wIlByx4p_normal.jpg,https://pbs.twimg.com/profile_banners/1290376515608354817/1597673545,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 22:07:16 +0000 2023,1632865456167034883,1632865456167034883,@FIFAUTeam FC Metz's Mikautadze? two goals and one assist against Annecy and a great peformance overall 👌,False,"[11, 105]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.63286459568452e+18,1632864595684519939,1244353710.0,1244353710,FIFAUTeam,,,,,False,0,1,False,False,,en,en,recent,319125958,319125958,Nikola ☣️,nikolazsk,Moselle,"Football ⚽ Gaming 🎮 Musique🤘
#FCMetz #Warframe #Metal",https://t.co/OU6ou9BuEt,"[{'url': 'https://t.co/OU6ou9BuEt', 'expanded_url': 'http://www.hornsup.fr', 'display_url': 'hornsup.fr', 'indices': [0, 23]}]",[],False,74,282,1,Fri Jun 17 16:08:33 +0000 2011,1940,,,False,False,3827,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1616591624439562240/y4rzK5Xs_normal.jpg,https://pbs.twimg.com/profile_images/1616591624439562240/y4rzK5Xs_normal.jpg,https://pbs.twimg.com/profile_banners/319125958/1674260514,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 20:13:47 +0000 2023,1632474510946455554,1632474510946455554,"@lukas_BVB1909 @WL3PPERK1NG I know I did, FC Metz 2012",False,"[28, 54]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6324743796520632e+18,1632474379652063235,1.612577490160976e+18,1612577490160975873,lukas_BVB1909,,,,,False,0,3,False,False,,en,en,recent,1521073981956280321,1521073981956280321,َ 𝟸𝟸,JB22Prop,,fan account • Follow me for Daily Football Quizzes •,,,[],False,3859,1235,0,Mon May 02 10:27:58 +0000 2022,10349,,,False,False,7420,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627639769806123009/DoxGYDOx_normal.jpg,https://pbs.twimg.com/profile_images/1627639769806123009/DoxGYDOx_normal.jpg,https://pbs.twimg.com/profile_banners/1521073981956280321/1676906487,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 01:08:36 +0000 2023,1632186315708981252,1632186315708981252,Annecy – FC Metz : ascension express en Savoie #FCMetz #FCM | Lets go Metz https://t.co/t178I4zbHa,False,"[0, 98]","<a href=""http://www.football-addict.com/fr/news/ligue-1/fc-metz"" rel=""nofollow"">FC Metz Addict 2</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,830110041902563330,830110041902563330,FC Metz Addict,addict_FCMetz,"Metz, France",Impossible de rater une info du Football Club de Metz avec FC Metz Addict !,https://t.co/siIh2KIKmA,"[{'url': 'https://t.co/siIh2KIKmA', 'expanded_url': 'http://www.football-addict.com/fr/news/ligue-1/fc-metz', 'display_url': 'football-addict.com/fr/news/ligue-…', 'indices': [0, 23]}]",[],False,962,1684,5,Fri Feb 10 17:43:51 +0000 2017,161,,,False,False,17645,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/887704708818886656/5k4UeGlC_normal.jpg,https://pbs.twimg.com/profile_images/887704708818886656/5k4UeGlC_normal.jpg,https://pbs.twimg.com/profile_banners/830110041902563330/1500480413,7F0728,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 19:40:08 +0000 2023,1632103652843307010,1632103652843307010,another georgian gem btw (metz fc) https://t.co/o1ut7pHL2F,False,"[0, 34]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1613360871639498752,1613360871639498752,andrea,calcio_andrea,20,@juventusfc,,,[],False,72,112,0,Thu Jan 12 02:23:14 +0000 2023,371,,,False,False,877,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629771037435994112/ELWZt_Kn_normal.jpg,https://pbs.twimg.com/profile_images/1629771037435994112/ELWZt_Kn_normal.jpg,https://pbs.twimg.com/profile_banners/1613360871639498752/1677246015,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 18:00:00 +0000 2023,1632078454719123456,1632078454719123456,"FRANCE Ligue 2

Amiens vs Pau FC
Annecy vs Metz
Bastia vs Nimes
Dijon vs Grenoble
(19:00 GMT +2)

Watch live stream on this link
https://t.co/7a1kz6wfJN",False,"[0, 152]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1581613941347729414,1581613941347729414,Football12Live,Football12Live,New York,Sport Bar,https://t.co/gPvIM8hgXw,"[{'url': 'https://t.co/gPvIM8hgXw', 'expanded_url': 'http://livefootballempire.com', 'display_url': 'livefootballempire.com', 'indices': [0, 23]}]",[],False,37,107,2,Sun Oct 16 11:52:22 +0000 2022,849,,,False,False,1452,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1581615827425574913/vj52kSSJ_normal.jpg,https://pbs.twimg.com/profile_images/1581615827425574913/vj52kSSJ_normal.jpg,https://pbs.twimg.com/profile_banners/1581613941347729414/1665921574,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 18:00:00 +0000 2023,1632078454345662478,1632078454345662478,"FRANCE Ligue 2

Amiens vs Pau FC
Annecy vs Metz
Bastia vs Nimes
Dijon vs Grenoble
Le Havre vs Laval
Niort vs Rodez
Paris FC vs Guingamp
Quevilly Rouen vs Valenciennes

  (19:00 GMT +2)
Watch live stream on this link
https://t.co/nvNGnW0DMg",False,"[0, 239]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1592852030023942144,1592852030023942144,EMFootballLive,EMFootballLive,New York,Football,https://t.co/7Vco0j4FWj,"[{'url': 'https://t.co/7Vco0j4FWj', 'expanded_url': 'http://Livefootballempire.com', 'display_url': 'Livefootballempire.com', 'indices': [0, 23]}]",[],False,32,107,0,Wed Nov 16 12:08:25 +0000 2022,682,,,False,False,1176,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1592852701351641088/AEFpzVar_normal.jpg,https://pbs.twimg.com/profile_images/1592852701351641088/AEFpzVar_normal.jpg,https://pbs.twimg.com/profile_banners/1592852030023942144/1668600902,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar 04 18:00:00 +0000 2023,1632078452827234311,1632078452827234311,"FRANCE Ligue 2

Amiens vs Pau FC
Annecy vs Metz
Bastia vs Nimes
Dijon vs Grenoble
(19:00 GMT +2)

Watch live stream on this link
https://t.co/zdDm9LWGVm",False,"[0, 152]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1596224390986874882,1596224390986874882,StreamFootball,StreamF95870582,Manchester,Football News,,,[],False,73,130,0,Fri Nov 25 19:28:58 +0000 2022,1605,,,False,False,1278,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1596225186969550848/_kxyTZW9_normal.jpg,https://pbs.twimg.com/profile_images/1596225186969550848/_kxyTZW9_normal.jpg,https://pbs.twimg.com/profile_banners/1596224390986874882/1669404727,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
