created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,quoted_status.user.entities.url.urls
Wed Mar 08 02:37:05 +0000 2023,1633295744416219136,1633295744416219136,"@plmanseau March 4, 1681, the royal charter and land grant to William Penn 

October 18, 1685, revocation of the Edict of Nantes, driving French Huguenots to the Americas, especially tolerant areas like Pennsylvania and RI",False,"[11, 222]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332518872133632e+18,1633251887213363201,1.2486863280295936e+18,1248686328029593606,plmanseau,,,,,False,0,1,False,False,en,en,recent,1225887605616762880,1225887605616762880,Betsy Cazden,Betsy_Cazden,"RI, USA","Writing on New England Quakers & slavery, commenting on politics. Retired @NHBAR. Aspiring anti-racist. She/her. Same handle  @historians.social & Post.",,[],False,825,483,11,Fri Feb 07 21:02:55 +0000 2020,37876,,,True,False,13140,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324022892733042690/lKKHo03s_normal.jpg,https://pbs.twimg.com/profile_images/1324022892733042690/lKKHo03s_normal.jpg,https://pbs.twimg.com/profile_banners/1225887605616762880/1581110919,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:32:37 +0000 2023,1633294620242370560,1633294620242370560,@Icicestkylian ah fuck i forgot he was an rb ok play mukiele he was good at nantes https://t.co/ZorEROM7mN,False,"[15, 82]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332938781146317e+18,1633293878114631681,1.506107590727635e+18,1506107590727634946,Icicestkylian,,,,,False,0,1,False,False,en,en,recent,3544894700,3544894700,—̳͟͞͞🇻🇳🐧🦎,agentvettels,chloé she/they seasian 18+,#lh44 —————————————————ars + rma,,[],False,474,256,4,Sun Sep 13 03:32:36 +0000 2015,5403,,,True,False,3997,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1630367199612506113/cbZGSIyj_normal.jpg,https://pbs.twimg.com/profile_images/1630367199612506113/cbZGSIyj_normal.jpg,https://pbs.twimg.com/profile_banners/3544894700/1677544817,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:24:14 +0000 2023,1633292512675651588,1633292512675651588,@NathanF2049 No not yet. He's trained but he's been benched in their one game against Nantes,False,"[13, 92]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332879394752553e+18,1633287939475255296,2301102138.0,2301102138,NathanF2049,,,,,False,0,0,False,False,en,en,recent,1178400739187666945,1178400739187666945,steffie,weirdingwitch,she/they | 25,"all my teams are losers. lover of movies and books | priv @suspendedsteffi  | words @Geeky_Waffle , @Hollywdinsdr , @CultureSlate, @MarvelousGeeks_",https://t.co/aSDkcOEg7i,[],False,428,954,2,Sun Sep 29 20:07:28 +0000 2019,50216,,,False,False,22633,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1606061040424439809/c1TKbOsI_normal.jpg,https://pbs.twimg.com/profile_images/1606061040424439809/c1TKbOsI_normal.jpg,https://pbs.twimg.com/profile_banners/1178400739187666945/1677494872,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/aSDkcOEg7i', 'expanded_url': 'https://letterboxd.com/sbock716', 'display_url': 'letterboxd.com/sbock716', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:21:36 +0000 2023,1633291847073247232,1633291847073247232,"The #Apocalypse is not a fiction–multiple language versions
https://t.co/JUWXc7Kokr
#Rennes #Caen #Reims #Limoges #Cannes #France #Paris #Marsylia #Nicea #Lyon #Bordeaux #Strasburg #Lille #Tuluza #Nantes #Grenoble #Dijon #Rouen #Amiens #LaRochelle #Wersal #Tours #Nancy #Tulon https://t.co/JNw0d7vYRg",False,"[0, 276]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1248218082553847809,1248218082553847809,Piotr,Piotr39_C,,,,[],False,645,264,0,Thu Apr 09 11:58:36 +0000 2020,140554,,,False,False,22801,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1248219827803570176/rhAsrRI__normal.jpg,https://pbs.twimg.com/profile_images/1248219827803570176/rhAsrRI__normal.jpg,https://pbs.twimg.com/profile_banners/1248218082553847809/1586434703,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:10:00 +0000 2023,1633288928777375744,1633288928777375744,WANTED: Account Executive / Business Developer Grands C... at Lucca (Nantes) https://t.co/HlNlVvQA1p,False,"[0, 100]","<a href=""https://startup.jobs"" rel=""nofollow"">startup.jobs</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,784796221844103169,784796221844103169,💼 Bizdev Startup Jobs,AllBizDevJobs,,"Join a startup.

🚀 @StartupJobs
🛠 @DevStartupJobs
📈 @AllGrowthJobs
🎨 @AllDesignJobs
✈️ @AllExecJobs
⛑ @AllSupportJobs
🤖 @AllDevOpsJobs",https://t.co/I3mWWQKEI0,[],False,1205,10,19,Sat Oct 08 16:42:54 +0000 2016,0,,,False,False,25819,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1000724210136834055/yNs-zD_8_normal.jpg,https://pbs.twimg.com/profile_images/1000724210136834055/yNs-zD_8_normal.jpg,https://pbs.twimg.com/profile_banners/784796221844103169/1527426766,000000,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/I3mWWQKEI0', 'expanded_url': 'https://startup.jobs/bizdev', 'display_url': 'startup.jobs/bizdev', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:01:46 +0000 2023,1633286859119030273,1633286859119030273,@ExtremeFootbal4 Number 3 didn’t happen…. He moved from Celtic to Nantes and from Nantes to Rangers.,False,"[17, 100]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.6332384988649308e+18,1633238498864930817,9.674447692941599e+17,967444769294159872,ExtremeFootbal4,,,,,False,0,1,False,False,en,en,recent,225366301,225366301,Mark O’Donnell,mark0donnell,"Scotland, United Kingdom","Engagements should be civilised, polite and respectful regardless of viewpoint. Politics, public finance and international development - mostly.",,[],False,258,1890,0,Sat Dec 11 11:40:40 +0000 2010,20766,,,True,False,7897,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1377794471/NfDp2VrJ_normal,https://pbs.twimg.com/profile_images/1377794471/NfDp2VrJ_normal,https://pbs.twimg.com/profile_banners/225366301/1644838590,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:25:21 +0000 2023,1633277694858391552,1633277694858391552,Do you want to automatically post your MailOnline comments to your Facebook Timeline? https://t.co/OP0fQxaCDa via @mailonline,False,"[0, 125]","<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1282231914884022272,1282231914884022272,Marketing 101,Marketing101__,,Learn How To Market Yourself Like A F*****g Boss.,,[],False,239,4,4,Sun Jul 12 08:34:57 +0000 2020,10030,,,False,False,25633,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1282274582066421762/DTX8sDjJ_normal.jpg,https://pbs.twimg.com/profile_images/1282274582066421762/DTX8sDjJ_normal.jpg,https://pbs.twimg.com/profile_banners/1282231914884022272/1594543983,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:05:43 +0000 2023,1633272750482808832,1633272750482808832,Damn https://t.co/E6HMco2UtD,False,"[0, 4]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,1018694147782291456,1018694147782291456,JD,nantes_jd,"Calgary, Alberta",Shey’s 💍 | student-athlete 🇵🇭🏀🇨🇦,,[],False,108,89,0,Mon Jul 16 03:09:46 +0000 2018,3453,,,False,False,2414,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1626400834157412352/stsD81vM_normal.jpg,https://pbs.twimg.com/profile_images/1626400834157412352/stsD81vM_normal.jpg,https://pbs.twimg.com/profile_banners/1018694147782291456/1648449293,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,1.633164282920829e+18,1633164282920828930,Tue Mar 07 17:54:42 +0000 2023,1.633164282920829e+18,1633164282920828930,"The NBA has given Ja Morant a 50-game suspension, per @ShamsCharania

WOW. 😬 https://t.co/I8eNJzwoYj",False,"[0, 76]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.53166474750174e+18,1531664747501740032,NBACentral,TheNBACantrel,,"Featured on @ESPN, @FOXSports, @SINow, @YahooSports + others | Not affiliated with the National Basketball Association| Contact via DM",,[],False,417.0,352.0,1.0,Tue May 31 15:51:53 +0000 2022,524.0,,,False,False,717.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1531665885101842435/YOPrL0uy_normal.jpg,https://pbs.twimg.com/profile_images/1531665885101842435/YOPrL0uy_normal.jpg,https://pbs.twimg.com/profile_banners/1531664747501740032/1654012579,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,1954.0,34188.0,False,False,False,en,,,,,,,,,,,,
Wed Mar 08 00:47:42 +0000 2023,1633268220114214914,1633268220114214914,"Juventus vs. Nantes: Referee Christina Unkel breaks down shocking VAR call for no penalty kick on handball
https://t.co/ebtQnfTGOU",False,"[0, 130]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1587822529636610050,1587822529636610050,Odelia Rob,rob_odelia,,,,[],False,0,1,0,Wed Nov 02 15:02:52 +0000 2022,0,,,False,False,1547,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1587822630224027649/qi_jGrot_normal.jpg,https://pbs.twimg.com/profile_images/1587822630224027649/qi_jGrot_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:43:47 +0000 2023,1633267231726649344,1633267231726649344,PSG 4-2 Nantes: Player ratings as Lionel Messi leads Les Parisiens to hard-fought win | 90MIN https://t.co/6eMcDsK2Uj,False,"[0, 117]","<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1586523398645202945,1586523398645202945,THE SMADE JOURNAL,thesmadejournal,,,,[],False,9,4,0,Sun Oct 30 01:01:24 +0000 2022,0,,,False,False,24554,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,True,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
