created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 00:06:06 +0000 2023,1633257749290291201,1633257749290291201,"Bismillah,,,
Update Terbaru Slurrr!✌
#Jersey4sale #Jerseyforsale
•
[European Teams Collection] 🌍
- OGC Nice 🇫🇷
- Olympiacos Piraeus 🇬🇷
- Atletico Bilbao 🇪🇸
- Spartak Moscow 🇷🇺
•
For any details👇
https://t.co/nywEOr8SX2
-
Thank You Happy Shopping!👌 https://t.co/aA0rr9FGKW",False,"[0, 247]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1158653309936259072,1158653309936259072,Surramey Kits 🇮🇩,Surrameykits_,"Tambun, Indonesia",𝙎𝙪𝙧𝙧𝙖𝙢𝙚𝙮 𝘾𝙤𝙡𝙡𝙚𝙘𝙩𝙞𝙤𝙣 𝙍𝙤𝙤𝙢 ⚽️👕 || Marketplace Ready || IG : @SurrameyKits_ || Tap link on bio for Details and Order✌ || Indonesia 🇲🇨,https://t.co/123PjvhlPp,"[{'url': 'https://t.co/123PjvhlPp', 'expanded_url': 'https://linktr.ee/SurrameyKits_', 'display_url': 'linktr.ee/SurrameyKits_', 'indices': [0, 23]}]",[],False,204,173,1,Tue Aug 06 08:17:30 +0000 2019,3443,,,False,False,1364,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1578285483603374080/Q6BkUwMB_normal.jpg,https://pbs.twimg.com/profile_images/1578285483603374080/Q6BkUwMB_normal.jpg,https://pbs.twimg.com/profile_banners/1158653309936259072/1605205700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:48:25 +0000 2023,1633253298374320128,1633253298374320128,"@MerlinUnited @MikeKeegan_DM No , I am a united fan who really cares about man united and their future success.  I don’t want man united to end up like OGC Nice.",False,"[29, 161]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332528442026066e+18,1633252844202606593,545009581.0,545009581,MerlinUnited,,,,,False,0,3,False,False,,en,en,recent,1554916731474280449,1554916731474280449,Najiib,WrathNajiib,"Nairobi, Kenya",“Seconds left…Becks whipped in a perfect corner. Teddy flicked it on and SOLSKJAER has won it💪….”,,,[],False,1287,1648,0,Wed Aug 03 19:47:11 +0000 2022,59867,,,False,False,13500,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1554982463050498048/ARiufCXT_normal.jpg,https://pbs.twimg.com/profile_images/1554982463050498048/ARiufCXT_normal.jpg,https://pbs.twimg.com/profile_banners/1554916731474280449/1659557531,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:08:20 +0000 2023,1633182814970454016,1633182814970454016,"@TheRegista21 @FancyFS_ @KITmagazine_ @Kaide601 @JSOH13597 @nb_shirts @TheyThinkKits @Thomas_shirts @shirts_original @TomsFootyKits @KitsOnDan22 I have no idea, but I went to Nice in December and wanted to have an OGC Nice shirt so bought it on Vinted.",False,"[145, 252]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6331723568929628e+18,1633172356892962816,1.0356153565791928e+18,1035615356579192834,TheRegista21,,,,,False,0,0,False,False,,en,en,recent,1180167084187226112,1180167084187226112,Mathias Football Shirts⚽️,Mathias_FFS,The Netherlands,"Co-Owner of @FancyFS_
🇳🇱 | Football Shirt Collector |",https://t.co/EsODNCBzrB,"[{'url': 'https://t.co/EsODNCBzrB', 'expanded_url': 'http://fancyfootballshirts.com', 'display_url': 'fancyfootballshirts.com', 'indices': [0, 23]}]",[],False,800,466,0,Fri Oct 04 17:05:44 +0000 2019,1019,,,True,False,1198,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631613617517756419/_mXQgjav_normal.jpg,https://pbs.twimg.com/profile_images/1631613617517756419/_mXQgjav_normal.jpg,https://pbs.twimg.com/profile_banners/1180167084187226112/1643210037,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:20:03 +0000 2023,1633170662675083267,1633170662675083267,"An interesting factor is that Todibo plays at OGC Nice, the French club currently owned by Sir Jim Ratcliffe

Would the ownership situation change the deal. If Sir Jim became United owner, a potential deal could become easier. If he doesn’t get the club, it may get harder",False,"[0, 272]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331706595964846e+18,1633170659596484608,1.4084230691824804e+18,1408423069182480388,EverydayUnited2,,,,,False,0,12,False,False,,en,en,recent,1408423069182480388,1408423069182480388,Everyday MUFC,EverydayUnited2,,Michael- MUFC Fan Account and Analytical Views. 'Football is nothing without fans',,,[],False,5215,905,37,Fri Jun 25 13:54:41 +0000 2021,29194,,,False,False,8800,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1561704970566729728/gg6onXJ4_normal.jpg,https://pbs.twimg.com/profile_images/1561704970566729728/gg6onXJ4_normal.jpg,https://pbs.twimg.com/profile_banners/1408423069182480388/1641564239,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:18:40 +0000 2023,1633170313683902464,1633170313683902464,"Player profile

Name: Jean Clair Todibo
Age: 23
Nationality: French
Club: OGC Nice
Height: 6’3
Value: €20m
Position: Centre back",False,"[0, 128]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331703107813663e+18,1633170310781366272,1.4084230691824804e+18,1408423069182480388,EverydayUnited2,,,,,False,0,23,False,False,,en,en,recent,1408423069182480388,1408423069182480388,Everyday MUFC,EverydayUnited2,,Michael- MUFC Fan Account and Analytical Views. 'Football is nothing without fans',,,[],False,5215,905,37,Fri Jun 25 13:54:41 +0000 2021,29194,,,False,False,8800,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1561704970566729728/gg6onXJ4_normal.jpg,https://pbs.twimg.com/profile_images/1561704970566729728/gg6onXJ4_normal.jpg,https://pbs.twimg.com/profile_banners/1408423069182480388/1641564239,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:37:55 +0000 2023,1633129860812906498,1633129860812906498,"My Ligue 1 shirts🇫🇷
- 4 clubs
- 3 player-issue
- 1 BNWT
The OGC Nice shirt is one of my favourites🥰

Show me your Ligue 1 shirts🧐 https://t.co/XgavVlY3UT",False,"[0, 129]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,18,False,False,False,en,en,recent,1180167084187226112,1180167084187226112,Mathias Football Shirts⚽️,Mathias_FFS,The Netherlands,"Co-Owner of @FancyFS_
🇳🇱 | Football Shirt Collector |",https://t.co/EsODNCBzrB,"[{'url': 'https://t.co/EsODNCBzrB', 'expanded_url': 'http://fancyfootballshirts.com', 'display_url': 'fancyfootballshirts.com', 'indices': [0, 23]}]",[],False,800,466,0,Fri Oct 04 17:05:44 +0000 2019,1019,,,True,False,1198,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631613617517756419/_mXQgjav_normal.jpg,https://pbs.twimg.com/profile_images/1631613617517756419/_mXQgjav_normal.jpg,https://pbs.twimg.com/profile_banners/1180167084187226112/1643210037,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 14:00:01 +0000 2023,1633105223156908032,1633105223156908032,"OGC Nice are amongst the sides to have shown an interest in Arsenal forward Reiss Nelson (23), whose contract at the Premier League side expires in the summer. ✍️ https://t.co/HjEod8jKiC",False,"[0, 162]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,4,53,False,False,False,en,en,recent,378622308,378622308,António Mango,AntonioMango4,"Newcastle Upon Tyne, England",Football Expert | Football Journalist | U23 Twitter Scout | Substack Link ✍️👇 | 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇫🇷🇮🇹🇩🇪🇪🇸🇳🇱🇵🇹🇦🇹🇦🇷🇧🇷🇬🇭🇳🇬🇲🇱🇨🇮,https://t.co/OniVFeCvgZ,"[{'url': 'https://t.co/OniVFeCvgZ', 'expanded_url': 'https://antniomango.substack.com/subscribe?utm_medium=web&utm_campaign=pss', 'display_url': 'antniomango.substack.com/subscribe?utm_…', 'indices': [0, 23]}]",[],False,9800,1757,31,Fri Sep 23 14:34:55 +0000 2011,78027,,,True,False,80534,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1597218780010237952/7t37QEpj_normal.jpg,https://pbs.twimg.com/profile_images/1597218780010237952/7t37QEpj_normal.jpg,https://pbs.twimg.com/profile_banners/378622308/1677782776,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 00:56:16 +0000 2023,1632907986753449984,1632907986753449984,@DragoSoriano And all of that ended with PSG. Good old PSG vs OGC NICE. 🤷‍♂️,False,"[14, 76]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6329058486860964e+18,1632905848686096385,1.3973238058912072e+18,1397323805891207170,DragoSoriano,,,,,False,0,0,False,False,,en,en,recent,1145164376846065670,1145164376846065670,Goat7,Matrexx13,,Ronaldo is the best football player.,,,[],False,20,106,0,Sun Jun 30 02:57:18 +0000 2019,3225,,,False,False,440,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627720777867853828/5paGGZnw_normal.jpg,https://pbs.twimg.com/profile_images/1627720777867853828/5paGGZnw_normal.jpg,https://pbs.twimg.com/profile_banners/1145164376846065670/1677181577,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 22:08:03 +0000 2023,1632865652527579136,1632865652527579136,"Arsenal Loan Watch (#1):

- Nicolas Pepe (OGC NICE): 6 goals in 16 games. Relatively solid but I don't know what we'll do with him when he comes back. 

- Nuno Tavares (OM): Has the same number of goals as Pepe but in 21 matches. Am i the only one excited for when he comes back?",False,"[0, 279]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,,en,en,recent,1543982289713086465,1543982289713086465,Gabri 🐐,gabri_goat,,North London is 🟥 | Football news/fan account. Follows back. David Luiz enthusiast.,,,[],False,74,266,0,Mon Jul 04 15:37:39 +0000 2022,3761,,,False,False,570,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1609178137283395584/z2mHvMR1_normal.jpg,https://pbs.twimg.com/profile_images/1609178137283395584/z2mHvMR1_normal.jpg,https://pbs.twimg.com/profile_banners/1543982289713086465/1672218670,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 20:58:21 +0000 2023,1632848111793229824,1632848111793229824,"@EverydayUnited2 Yeah! The Next Varane, while I've been tracking Khephren Thuram, this guy is outstanding player. but one of my concern is that he's just moved into OGC Nice latest summer.",False,"[17, 188]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6328456218276086e+18,1632845621827608578,1.4084230691824804e+18,1408423069182480388,EverydayUnited2,,,,,False,0,1,False,False,,en,en,recent,89950801,89950801,B,CHAINARIN08,,เป็นคนเฮงซวยแหละ,,,[],False,54,339,0,Sat Nov 14 14:56:02 +0000 2009,9044,,,False,False,5918,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1294237395106267137/kOtuWwxt_normal.jpg,https://pbs.twimg.com/profile_images/1294237395106267137/kOtuWwxt_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
