created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,user.entities.url.urls,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.user.profile_banner_url,quoted_status.possibly_sensitive,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Tue Mar 07 15:00:03 +0000 2023,1633120332419588097,1633120332419588097,"Karim Benzema and Hatem Ben Arfa both started at Olympique Lyonnais, but their careers have taken very different paths since. https://t.co/tALmpb2G0a",False,"[0, 125]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,2,False,False,False,en,en,recent,1376642055288541185,1376642055288541185,Mohamed Moallim,mhmdmllm,,(fka @iammoallim). Years have gone by and I've finally learned to accept myself for who I am: a beggar for good football.,,[],False,375,43,7,Mon Mar 29 21:07:10 +0000 2021,8,,,False,False,988,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1376642183995002886/KexLNlO6_normal.jpg,https://pbs.twimg.com/profile_images/1376642183995002886/KexLNlO6_normal.jpg,https://pbs.twimg.com/profile_banners/1376642055288541185/1617650124,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 14:22:48 +0000 2023,1633110958175404033,1633110958175404033,"Are you also coming  to see @ToulouseFC v @OL Olympique Lyonnais ⚽️🇫🇷 and can we park in your space!? 😉😂. I know - Scandalous, feels like we've been mugged! https://t.co/fFpdbvyS7o",False,"[0, 156]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,1,False,False,False,en,en,recent,873258571,873258571,Gavin Price,GavinMPrice,Cymru 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Aus 🇦🇺,"Diplomacy, IR & trade expert - Expert consultant in sports diplomacy & cultural relations - @TheSDalliance @BondUniversity @counsel_ltd. Tweets own view.",https://t.co/isXaxvLGNA,[],False,1534,3508,11,Thu Oct 11 08:37:26 +0000 2012,12496,,,True,False,5381,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1514354531374710784/0HHwIzx1_normal.jpg,https://pbs.twimg.com/profile_images/1514354531374710784/0HHwIzx1_normal.jpg,https://pbs.twimg.com/profile_banners/873258571/1537912679,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],1.6331086074861076e+18,1633108607486107650,"[{'url': 'https://t.co/isXaxvLGNA', 'expanded_url': 'https://www.sportsdiplomacy.com/about-sports-diplomacy/', 'display_url': 'sportsdiplomacy.com/about-sports-d…', 'indices': [0, 23]}]",Tue Mar 07 14:13:28 +0000 2023,1.6331086074861076e+18,1633108607486107650,"@GavinMPrice @bhx_official @jamesallenw Funny you mention this Gav, I’ve just paid £106 for 3 nights parking there!! Shocking.",False,"[40, 126]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331006946463212e+18,1633100694646321153,873258571.0,873258571,GavinMPrice,523411497.0,523411497,Christopher Evans,JervisEvans,South Wales,Journalist  https://t.co/3Ly3kelLme,https://t.co/SMifdP8fx0,"[{'url': 'https://t.co/SMifdP8fx0', 'expanded_url': 'http://www.christopherevanswales.net/', 'display_url': 'christopherevanswales.net', 'indices': [0, 23]}]","[{'url': 'https://t.co/3Ly3kelLme', 'expanded_url': 'http://linktr.ee/CJEvans', 'display_url': 'linktr.ee/CJEvans', 'indices': [12, 35]}]",False,864.0,1262.0,6.0,Tue Mar 13 16:18:42 +0000 2012,11392.0,,,False,False,2835.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1484519433636831232/d8Y5oc0Y_normal.jpg,https://pbs.twimg.com/profile_images/1484519433636831232/d8Y5oc0Y_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,False,0.0,1.0,False,False,en,,,,
Tue Mar 07 13:00:11 +0000 2023,1633090164703600641,1633090164703600641,"Olympique Lyonnais getting grief for flying two private jets 300kms to Marseille, plus sending an empty bus to meet the flights and take players to the stadium. Security concerns cited by some as the reason for this. https://t.co/2A4PgOtFKK",False,"[0, 216]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,1,False,False,False,en,en,recent,618102848,618102848,Jeremy Whittle,jeremycwhittle,United Kingdom,"Journalist, author and editor.",https://t.co/lSc1gP0WDk,[],False,9047,876,332,Mon Jun 25 13:43:30 +0000 2012,15981,,,False,False,14827,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1539360742775959554/XQLRx-ic_normal.jpg,https://pbs.twimg.com/profile_images/1539360742775959554/XQLRx-ic_normal.jpg,https://pbs.twimg.com/profile_banners/618102848/1618241123,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],1.633055279595094e+18,1633055279595094016,"[{'url': 'https://t.co/lSc1gP0WDk', 'expanded_url': 'https://www.theguardian.com/profile/jeremy-whittle', 'display_url': 'theguardian.com/profile/jeremy…', 'indices': [0, 23]}]",Tue Mar 07 10:41:34 +0000 2023,1.633055279595094e+18,1633055279595094016,"L’Olympique Lyonnais s’était engagé à se passer le plus possible des jets privés
Mais pour faire 300km entre Lyon et Marseille, l’OL a affrété 2 avions (1 pour les joueurs 1 pour le président @JM_Aulas) et 1 bus (vide) pour le trajet de l’aéroport au stade
https://t.co/fh7sNsycVC",False,"[0, 280]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,607066076.0,607066076,Tristan Waleckx,tristanwaleckx,"Paris, France","Intervieweur en fauteuils rouges dans @Cdenquete @france2tv Pas là pour donner mon avis, juste des faits sur des enquêtes passées/en cours #ComplementDenquete",https://t.co/7qlXJUXBHo,"[{'url': 'https://t.co/7qlXJUXBHo', 'expanded_url': 'https://www.france.tv/france-2/complement-d-enquete/', 'display_url': 'france.tv/france-2/compl…', 'indices': [0, 23]}]",[],False,43525.0,4480.0,188.0,Wed Jun 13 09:48:05 +0000 2012,8046.0,,,True,True,6194.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1433765034446970896/1s8nsLhg_normal.jpg,https://pbs.twimg.com/profile_images/1433765034446970896/1s8nsLhg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,332.0,1041.0,False,False,fr,https://pbs.twimg.com/profile_banners/607066076/1677687310,False,,
Tue Mar 07 00:32:25 +0000 2023,1632901984759185409,1632901984759185409,"Olympique Lyonnais star midfielder Amandine Henry is out for at least six weeks after suffering a knee injury in their Coupe de France matchup over the weekend.

➡️ https://t.co/EkE3pgFgm2 https://t.co/FzViDqKLjG",False,"[0, 188]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,5,34,False,False,False,en,en,recent,543888790,543888790,The Equalizer,EqualizerSoccer,United States,The No. 1 source for women's soccer in North America since 2009. Subscribe: https://t.co/ra3lGgUjAY,https://t.co/7pKek0xCuH,"[{'url': 'https://t.co/ra3lGgUjAY', 'expanded_url': 'http://bit.ly/EQZsubscribe', 'display_url': 'bit.ly/EQZsubscribe', 'indices': [76, 99]}]",False,34247,671,687,Tue Apr 03 01:54:14 +0000 2012,1628,,,True,False,45539,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1082818655602294786/0_BefqGC_normal.jpg,https://pbs.twimg.com/profile_images/1082818655602294786/0_BefqGC_normal.jpg,https://pbs.twimg.com/profile_banners/543888790/1667454593,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,[],,,"[{'url': 'https://t.co/7pKek0xCuH', 'expanded_url': 'http://equalizersoccer.com', 'display_url': 'equalizersoccer.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 21:46:04 +0000 2023,1632860121020653571,1632860121020653571,OL - Laurent Blanc remet en question son effectif | Made In Gones https://t.co/TlCrZqtuWt,False,"[0, 89]","<a href=""http://www.football-addict.com/fr/news/ligue-1/olympique-lyonnais-ol"" rel=""nofollow"">Lyon Addict</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,824679110219890692,824679110219890692,OL Addict,oladdict,"Lyon, France",Impossible de rater une info de l'Olympique Lyonnais avec OL Addict ! #OL,https://t.co/ZUU6wxp3tl,[],False,1339,1039,8,Thu Jan 26 18:03:16 +0000 2017,6,,,False,False,58208,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/825010071478349825/jm0Pl7Mr_normal.jpg,https://pbs.twimg.com/profile_images/825010071478349825/jm0Pl7Mr_normal.jpg,https://pbs.twimg.com/profile_banners/824679110219890692/1485534709,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,"[{'url': 'https://t.co/ZUU6wxp3tl', 'expanded_url': 'http://www.football-addict.com/fr/news/ligue-1/olympique-lyonnais-ol', 'display_url': 'football-addict.com/fr/news/ligue-…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 19:32:49 +0000 2023,1632826586696171523,1632826586696171523,"OL : Blanc victime des boulets, Henry interpelle Aulas | Foot 01 https://t.co/xbe5rdvEOA",False,"[0, 88]","<a href=""http://www.football-addict.com/fr/news/ligue-1/olympique-lyonnais-ol"" rel=""nofollow"">Lyon Addict</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,824679110219890692,824679110219890692,OL Addict,oladdict,"Lyon, France",Impossible de rater une info de l'Olympique Lyonnais avec OL Addict ! #OL,https://t.co/ZUU6wxp3tl,[],False,1339,1039,8,Thu Jan 26 18:03:16 +0000 2017,6,,,False,False,58208,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/825010071478349825/jm0Pl7Mr_normal.jpg,https://pbs.twimg.com/profile_images/825010071478349825/jm0Pl7Mr_normal.jpg,https://pbs.twimg.com/profile_banners/824679110219890692/1485534709,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,"[{'url': 'https://t.co/ZUU6wxp3tl', 'expanded_url': 'http://www.football-addict.com/fr/news/ligue-1/olympique-lyonnais-ol', 'display_url': 'football-addict.com/fr/news/ligue-…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 19:31:14 +0000 2023,1632826189621481472,1632826189621481472,"🦁🇫🇷 Prodigal Olympique Lyonnais son Alexandre Lacazette spoke in this exclusive interview with beIN SPORTS. 🎙️

Enjoy the full interview here: ⤵️🔥

https://t.co/yuhymTy9wK",False,"[0, 171]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,4,False,False,False,en,en,recent,627586654,627586654,beIN SPORTS USA,beINSPORTSUSA,United States,Official account of beIN SPORTS USA. The fastest growing network in the US offering a premium and healthy dose of ⚽️ & other sports not found in the emojipedia.,https://t.co/VKPA1tz48I,[],False,431416,926,1654,Thu Jul 05 17:53:37 +0000 2012,7944,,,True,True,140974,,False,False,True,63259C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/836315760196640768/yb5H3xEX_normal.jpg,https://pbs.twimg.com/profile_images/836315760196640768/yb5H3xEX_normal.jpg,https://pbs.twimg.com/profile_banners/627586654/1629227641,63259C,C0DEED,DDEEF6,333333,False,False,False,False,False,False,False,none,[],,,"[{'url': 'https://t.co/VKPA1tz48I', 'expanded_url': 'http://www.beinsports.com/us/', 'display_url': 'beinsports.com/us/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 19:21:32 +0000 2023,1632823749236908033,1632823749236908033,"🚨Breaking🚨

🇫🇷 Olympique Lyonnais' 🇫🇷Midfielder  Amandine Henry , injured against Stade de Reims, suffers from a sprained left knee with an injury to the internal lateral ligament will be Out for 6 weeks.
She will miss both Chelsea UWCL  Games.

Wishing her Speedy Recovery 🙏 https://t.co/8KfbFRFYK7",False,"[0, 275]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,5,60,False,False,False,en,en,recent,1427597219939733522,1427597219939733522,mamdouh hamid,mamdwwy,,,,[],False,1953,1233,17,Tue Aug 17 11:45:08 +0000 2021,5752,,,False,False,39513,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1427597360755003395/XMinLLvM_normal.png,https://pbs.twimg.com/profile_images/1427597360755003395/XMinLLvM_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 16:55:14 +0000 2023,1632786930986352642,1632786930986352642,"Favourite team from each country 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 : Newcastle
🇧🇷 : Corinthians 
🇪🇸 : Real Madrid
🇮🇹 : Milan
🇫🇷 : Olympique Lyonnais
🇩🇪 : Borussia Dortmund
🇳🇱 : Zenit
🇵🇹 : Sporting https://t.co/jMwdR1tegy",False,"[0, 171]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,False,en,en,recent,1026537932717481994,1026537932717481994,Thay ˢᶜᶜᴾ,ahsokahimself,,⚫️⚪️,,[],False,627,908,4,Mon Aug 06 18:38:10 +0000 2018,34174,,,False,False,9890,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1576302800333586435/nqKMDQX-_normal.jpg,https://pbs.twimg.com/profile_images/1576302800333586435/nqKMDQX-_normal.jpg,https://pbs.twimg.com/profile_banners/1026537932717481994/1633727919,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],1.6306948010823926e+18,1630694801082392579,,Tue Feb 28 22:21:52 +0000 2023,1.6306948010823926e+18,1630694801082392579,"Favourite team from each country 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 : Tottenham
🇧🇷 : Avaí
🇪🇸 : Foda-se
🇮🇹 : Napoli
🇫🇷 : Montpellier
🇩🇪 : Borussia Dortmund
🇳🇱 : PSV
🇵🇹 : ???
Ass: PH https://t.co/A1rz4V0gSq",False,"[0, 154]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.558885275039834e+18,1558885275039834118,TOTTÃO DEPRIMIDO 🏳️‍🌈🇧🇷🏳️‍⚧️,SpursKpop,,DEUS que fez a foto: @Maahnettot | FAN ACCOUNT | 4 Adm's maluquinhos | página sobre o Tottenham,,,[],False,2700.0,443.0,2.0,Sun Aug 14 18:36:48 +0000 2022,1002.0,,,True,False,1812.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1626740458838806529/rRAVD_n2_normal.jpg,https://pbs.twimg.com/profile_images/1626740458838806529/rRAVD_n2_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,True,0.0,58.0,False,False,ro,https://pbs.twimg.com/profile_banners/1558885275039834118/1676831529,False,1.6306746315006362e+18,1630674631500636161
Mon Mar 06 08:16:03 +0000 2023,1632656273798754305,1632656273798754305,"Andy Delort scored with a beautiful overhead kick in the 67th minute of their match against Olympique Lyonnais. The goal gave them a 2-1 lead, which they never relinquished. This video explains in detail what is Bitcoin, a new payment system that is growing in popularity.",False,"[0, 272]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1615766121587539983,1615766121587539983,MARTI HILL,MARTIHI52598574,,"Med Student @FMUPorto⚕
AL💙💚",,[],False,3,34,0,Wed Jan 18 17:40:51 +0000 2023,34,,,False,False,36,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623196235728388098/DCGlf5aX_normal.jpg,https://pbs.twimg.com/profile_images/1623196235728388098/DCGlf5aX_normal.jpg,https://pbs.twimg.com/profile_banners/1615766121587539983/1675835168,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
