created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,place,user.entities.url.urls
Wed Mar 08 03:22:13 +0000 2023,1633307104663736321,1633307104663736321,"Galtier: Neymar a loss vs. Bayern, even if PSG more balanced https://t.co/0v0RY6QrRW",False,"[0, 84]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,0,False,False,False,en,en,recent,251562985,251562985,AHH,AHH0880,"JB, Jhr, M'sia.",- Germany - - Ac Milan - - Chelsea - - Travelling - - Cars & Plate Numbers -,,[],False,417,631,7,Sun Feb 13 11:42:16 +0000 2011,41,,,True,False,120520,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/906364221860057088/cbZVPGGL_normal.jpg,https://pbs.twimg.com/profile_images/906364221860057088/cbZVPGGL_normal.jpg,https://pbs.twimg.com/profile_banners/251562985/1403713202,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],07d9cd93dc883000,https://api.twitter.com/1.1/geo/id/07d9cd93dc883000.json,poi,Levi's and ROMP,Levi's and ROMP,MY,Malaysia,[],Polygon,"[[[101.73346159160623, 3.2029236977512743], [101.73346159160623, 3.2029236977512743], [101.73346159160623, 3.2029236977512743], [101.73346159160623, 3.2029236977512743]]]",1.6333071046637363e+18,,
Wed Mar 08 03:16:49 +0000 2023,1633305743473672192,1633305743473672192,"Bayern Munich is looking to seal their playoff qualification in the Champions League, but Paris Saint-Germain remains to hold on their chances.

Read here: https://t.co/kl9Brw1Rog

#ChampionsLeague #sportsbetting #Nova88",False,"[0, 220]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,0,False,False,False,en,en,recent,1551491316923523073,1551491316923523073,Nova88 News,Nova88News,,"Asia's largest and most trusted online casino

Read here for sports predictions and updates: https://t.co/u6pV2aRL2D",https://t.co/SCwjYopq1g,"[{'url': 'https://t.co/u6pV2aRL2D', 'expanded_url': 'http://nova88blog.com', 'display_url': 'nova88blog.com', 'indices': [93, 116]}]",False,146,438,0,Mon Jul 25 08:55:39 +0000 2022,10,,,False,False,790,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1551491410401955840/9IOP-NLj_normal.jpg,https://pbs.twimg.com/profile_images/1551491410401955840/9IOP-NLj_normal.jpg,https://pbs.twimg.com/profile_banners/1551491316923523073/1658739407,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/SCwjYopq1g', 'expanded_url': 'https://www.nova88.net/my', 'display_url': 'nova88.net/my', 'indices': [0, 23]}]"
Wed Mar 08 03:03:13 +0000 2023,1633302320866897920,1633302320866897920,"𝐁𝐚𝐲𝐞𝐫𝐧 𝐌𝐮𝐧𝐢𝐜𝐡 𝐯𝐬 𝐏𝐚𝐫𝐢𝐬 𝐒𝐆

Ninety minutes that could potentially make or break Christophe Galtier's time in the Paris Saint-Germain hotseat await on Wednesday night

https://t.co/YMguEjA0VT https://t.co/cp6GIkJjvd",False,"[0, 189]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,0,False,False,False,en,en,recent,1299917902959656960,1299917902959656960,Asaa88,Asaa88O,Malaysia & Singapore,ASAA88’s objective is to create a high-quality entertainment playground and to be the most diversified playground in the market.,https://t.co/KLzS1VYGhp,[],False,42,28,0,Sun Aug 30 03:53:46 +0000 2020,7,,,False,False,4180,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1299918346733760512/uqJLgpOX_normal.jpg,https://pbs.twimg.com/profile_images/1299918346733760512/uqJLgpOX_normal.jpg,https://pbs.twimg.com/profile_banners/1299917902959656960/1626147210,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/KLzS1VYGhp', 'expanded_url': 'http://www.asaa88.bet', 'display_url': 'asaa88.bet', 'indices': [0, 23]}]"
Wed Mar 08 03:02:45 +0000 2023,1633302202864349186,1633302202864349186,"New Overtime Market Parlay
Paid: $99.000
Positions:
Bayern Munich - Paris Saint-Germain  @ X2 - 2.12
Tottenham Hotspur - AC Milan @ X2 - 1.99
Potential profit: 234 sUSD (236%)",False,"[0, 175]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,False,0,0,False,False,,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]"
Wed Mar 08 03:02:45 +0000 2023,1633302202851770368,1633302202851770368,"New Overtime Market Parlay
Paid: $100.000
Positions:
Bayern Munich - Paris Saint-Germain  @ 1 - 1.89
Tottenham Hotspur - AC Milan @ 1 - 2.01
Potential profit: 247 sUSD (247%)",False,"[0, 174]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,False,0,0,False,False,,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]"
Wed Mar 08 03:02:45 +0000 2023,1633302202646134784,1633302202646134784,"New Overtime AMM position bought
Bayern Munich - Paris Saint-Germain 
Amount: 171.2856096467272
Paid: 84.078 sUSD
Position: X2
Potential profit: 87 sUSD (104%)",False,"[0, 159]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,False,0,0,False,False,,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]"
Wed Mar 08 03:02:44 +0000 2023,1633302200834306048,1633302200834306048,"New Overtime AMM position bought
Bayern Munich - Paris Saint-Germain 
Amount: 168.68458954632462
Paid: 87.818 sUSD
Position: Bayern Munich
Potential profit: 81 sUSD (92%)",False,"[0, 170]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,False,0,0,False,False,,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]"
Wed Mar 08 03:00:45 +0000 2023,1633301700269289472,1633301700269289472,"New Overtime AMM position bought
Bayern Munich - Paris Saint-Germain 
Amount: 635.8049106376444
Paid: 171.806 sUSD
Position: Paris Saint-Germain 
Potential profit: 464 sUSD (270%)",False,"[0, 179]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,False,0,0,False,False,,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]"
Wed Mar 08 03:00:45 +0000 2023,1633301699568779264,1633301699568779264,"New Overtime Market Parlay
Paid: $100.000
Positions:
Tottenham Hotspur - AC Milan @ 2 - 4.23
Bayern Munich - Paris Saint-Germain  @ 2 - 3.83
Potential profit: 1194 sUSD (1194%)",False,"[0, 176]","<a href=""https://google.com"" rel=""nofollow"">overtime-thales</a>",,,,,,,,,False,0,0,False,False,,en,en,recent,1547957461809737728,1547957461809737728,Thales Overtime AMM bot,overtime_amm,,Beep boop... I will be printing trades from @OvertimeMarkets AMM,https://t.co/zqKWW34LPc,[],False,176,2,3,Fri Jul 15 14:53:20 +0000 2022,1,,,False,False,106458,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_images/1560557604643930117/dC1L2uNf_normal.jpg,https://pbs.twimg.com/profile_banners/1547957461809737728/1662587928,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/zqKWW34LPc', 'expanded_url': 'https://overtimemarkets.xyz/#/markets', 'display_url': 'overtimemarkets.xyz/#/markets', 'indices': [0, 23]}]"
Wed Mar 08 02:17:15 +0000 2023,1633290752246829056,1633290752246829056,"Live Streaming Bayern Munchen vs Paris Saint Germain link in my bio

#score808 #score808idn #jadwalbola https://t.co/XUkdRFCWVz",False,"[0, 103]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,0,False,False,False,en,en,recent,1631333707587141634,1631333707587141634,Football Today,Score808idn,Indonesia,"Berita olahraga selalu menjadi topik yang menarik bagi banyak orang, terutama bagi para penggemar sepak bola. Dengan banyaknya kompetisi dan pertandingan",https://t.co/06psoEn8Yc,[],False,1,4,0,Thu Mar 02 16:40:56 +0000 2023,13,,,False,False,18,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631334961830854656/9Vs5e4kO_normal.jpg,https://pbs.twimg.com/profile_images/1631334961830854656/9Vs5e4kO_normal.jpg,https://pbs.twimg.com/profile_banners/1631333707587141634/1677775540,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,"[{'url': 'https://t.co/06psoEn8Yc', 'expanded_url': 'https://www.score808.eu.org/', 'display_url': 'score808.eu.org', 'indices': [0, 23]}]"
