created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,geo.type,geo.coordinates,coordinates.type,coordinates.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.possibly_sensitive,quoted_status.place.id,quoted_status.place.url,quoted_status.place.place_type,quoted_status.place.name,quoted_status.place.full_name,quoted_status.place.country_code,quoted_status.place.country,quoted_status.place.contained_within,quoted_status.place.bounding_box.type,quoted_status.place.bounding_box.coordinates,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 03:12:22 +0000 2023,1633304624445652994,1633304624445652994,"@trimjim2007 @DSkrotum @MaggieNassau @LBC @RachelSJohnson @BareReality Because a similar pattern of population distribution to Britain though with most French people living in large cities dotted around the country (Paris, Lyon, Marseilles, Toulouse, Strasbourg, Lille) so big concentrations in small areas propagated Covid-19 spread.",False,"[71, 334]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331192173051494e+18,1633119217305149440,2423342146.0,2423342146,trimjim2007,,,,,False,0,0,False,False,en,en,recent,1263369822705979392,1263369822705979392,Pandora,pandyclifford,"York, England",,,[],False,41,165,2,Thu May 21 07:25:46 +0000 2020,671,,,False,False,8816,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1591380646399807489/CWM_Mghn_normal.jpg,https://pbs.twimg.com/profile_images/1591380646399807489/CWM_Mghn_normal.jpg,https://pbs.twimg.com/profile_banners/1263369822705979392/1668249067,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:17:31 +0000 2023,1633290822673383424,1633290822673383424,A Scandal in Strasbourg,False,"[0, 23]","<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3229361280,3229361280,Casebook Generator,autodoyle,Britain,The Case of the Adjective Noun,,[],False,195,2,20,Fri May 29 04:32:02 +0000 2015,34,,,False,False,68415,,False,False,False,AD855C,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/604143392663044096/2VMzzMiF_normal.jpg,https://pbs.twimg.com/profile_images/604143392663044096/2VMzzMiF_normal.jpg,https://pbs.twimg.com/profile_banners/3229361280/1432947383,000000,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:55:59 +0000 2023,1633285402282041344,1633285402282041344,"Want to work at Richardson Pioneer? We're hiring in #Strasbourg, SK! Click the link in our bio for details on this job and more: Agribusiness Student #agriculture",False,"[0, 162]","<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,38590707,38590707,TMJ-Green Jobs,tmj_greenjobs,Worldwide,Follow this account for geo-targeted Green/Sustainability job tweets in Worldwide. Need help? Tweet us at @CareerArc!,https://t.co/QHs4OkiNWr,[],False,333,244,1,Fri May 08 02:57:59 +0000 2009,0,,,True,False,110,,False,False,False,253956,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/690378865131327488/7rAco-8y_normal.jpg,https://pbs.twimg.com/profile_images/690378865131327488/7rAco-8y_normal.jpg,https://pbs.twimg.com/profile_banners/38590707/1453434125,4A913C,000000,407DB0,000000,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/QHs4OkiNWr', 'expanded_url': 'http://bit.ly/2KcTd1l', 'display_url': 'bit.ly/2KcTd1l', 'indices': [0, 23]}]",Point,"[51.050313, -104.9413884]",Point,"[-104.9413884, 51.050313]",7db9cca94bb9e657,https://api.twitter.com/1.1/geo/id/7db9cca94bb9e657.json,city,McKillop No. 220,"McKillop No. 220, Saskatchewan",CA,Canada,[],Polygon,"[[[-105.280036, 50.781386], [-104.798354, 50.781386], [-104.798354, 51.095947], [-105.280036, 51.095947]]]",1.6332854022820413e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:03:39 +0000 2023,1633272231894880256,1633272231894880256,"Here’s my next Soundvibe podcast. When bass player John Day’s job ended, he got into a jazz course. Later he became an arranger for Deane big band. Hear Strasbourg by Roy Hargrove &amp; Skaravan Duke Ellington/Juan Tizol! Enjoy https://t.co/H5wNHgQKK4 #PodcastRecommendations https://t.co/mpCHmIJcKu",False,"[0, 275]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1045905764978761728,1045905764978761728,Jane Nicola Soundvibe - Podcast,janenicola33,Shanghai,Musician/ Podcast Producer of Jane Nicola Soundvibe show. Am a countryside lover and all things creative!,https://t.co/WYPQD5ZcPA,[],False,434,552,1,Sat Sep 29 05:19:01 +0000 2018,2153,,,True,False,479,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1621972354497916928/24cI3uWU_normal.jpg,https://pbs.twimg.com/profile_images/1621972354497916928/24cI3uWU_normal.jpg,https://pbs.twimg.com/profile_banners/1045905764978761728/1676112689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/WYPQD5ZcPA', 'expanded_url': 'https://www.janenicolasoundvibe.com', 'display_url': 'janenicolasoundvibe.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:01:10 +0000 2023,1633271607207645185,1633271607207645185,@virtualantonia The likelihood of the legislation being upheld in Strasbourg is slim.,False,"[16, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332704631188849e+18,1633270463118884870,1.4749357553488896e+18,1474935755348889605,virtualantonia,,,,,False,0,0,False,False,en,en,recent,1602298966057566212,1602298966057566212,Ryan Prestage,RyanPrestage97,,,,[],False,8,58,0,Mon Dec 12 13:47:08 +0000 2022,21,,,False,False,85,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1608868926556934144/RG6svYJ7_normal.jpg,https://pbs.twimg.com/profile_images/1608868926556934144/RG6svYJ7_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:32:48 +0000 2023,1633264468565131269,1633264468565131269,@IrishRepCoE @strasbourg @IrishRugby @dfatirl @Shane1Griffin This is amazing - well done to all including Mons Gabriel Mueller and Shane Griffin.,False,"[61, 145]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.632448872671748e+18,1632448872671748096,4202644451.0,4202644451,IrishRepCoE,,,,,False,0,0,False,False,en,en,recent,1092455533427257345,1092455533427257345,Liam Kenny,LiamKenny1665,,,,[],False,19,44,2,Mon Feb 04 16:11:10 +0000 2019,518,,,False,False,100,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:19:17 +0000 2023,1633261066959605760,1633261066959605760,"Mellouli @fseg_strasbourg, Bentahar @Univ_Lorraine, Boudabbous &amp; Subramanian @SussexUBusiness (2023) ""Sustainable value creation by adopting an e-government initiative: empirical evidence from the emerging economy context"" #sustainability  https://t.co/K9mXWu4WhA https://t.co/dFCpKvqvRn",False,"[0, 267]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1501788000597909506,1501788000597909506,IRPA Journal,IRPAjournal,,International Review of Public Administration. @routledgebooks journal seeking to promote dissemination of public admin/policy research. Established in 1996,https://t.co/SGutFGEnEi,[],False,748,870,1,Thu Mar 10 05:12:43 +0000 2022,1728,,,False,False,960,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1555082694714806274/Kxx4XN6Z_normal.jpg,https://pbs.twimg.com/profile_images/1555082694714806274/Kxx4XN6Z_normal.jpg,https://pbs.twimg.com/profile_banners/1501788000597909506/1659598634,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/SGutFGEnEi', 'expanded_url': 'https://www.tandfonline.com/journals/rrpa20', 'display_url': 'tandfonline.com/journals/rrpa20', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:04:26 +0000 2023,1633257329151078401,1633257329151078401,"The landmark Illegal Immigration Bill will bar arrivals from staying and applying on refugee, modern slavery or human rights grounds. 
[The Bill] explicitly trumps human rights laws and judges in Strasbourg. https://t.co/fKJYOahABf",False,"[0, 231]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,1,False,False,en,en,recent,5689782,5689782,Nullius,Nullius_,,"I did not believe it until it was officially denied.

#NoAmnesty

#VoteNo",,[],False,385,1877,4,Tue May 01 17:42:28 +0000 2007,63568,,,False,False,14776,,False,False,False,DDF5FF,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1510412835163353090/LnSanlem_normal.png,https://pbs.twimg.com/profile_images/1510412835163353090/LnSanlem_normal.png,https://pbs.twimg.com/profile_banners/5689782/1646009888,ABB8C2,FFFFFF,A0C5C7,333333,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:00:56 +0000 2023,1633256448514981891,1633256448514981891,"BBCNewsnight: “I think there are interesting indications that actually in Strasbourg our case is being listened to”  

Conservative MP Richard Graham tells #Newsnight we will have to wait to see what the courts say about the UK’s refugee policy

… https://t.co/Cq8vbnhOdc",False,"[0, 271]","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3012307647,3012307647,Tim Wirges,AMC_Assistant,Iowa Des Moines Debevoise St.,"Management, marketing, publishing, licensing",,[],False,139,21,11,Mon Feb 02 15:04:22 +0000 2015,0,,,False,False,43895,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/562265863546368000/NTZtB4LY_normal.jpeg,https://pbs.twimg.com/profile_images/562265863546368000/NTZtB4LY_normal.jpeg,https://pbs.twimg.com/profile_banners/3012307647/1422889681,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:55:54 +0000 2023,1633255182162092032,1633255182162092032,Strasbourg https://t.co/4zBLIpU12o,False,"[0, 10]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,1282656590412251136,1282656590412251136,🇲🇦,amine_uchiwa,"Strasbourg, France",« Mes Que Un Club » @EnMaroc X @FCBarcelona ⚽️,https://t.co/dtO9WkXH5q,[],False,598,1083,0,Mon Jul 13 12:42:54 +0000 2020,29153,,,True,False,22413,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631414389529104385/P3tUptMW_normal.jpg,https://pbs.twimg.com/profile_images/1631414389529104385/P3tUptMW_normal.jpg,https://pbs.twimg.com/profile_banners/1282656590412251136/1659709826,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/dtO9WkXH5q', 'expanded_url': 'http://fcbarcelona.com', 'display_url': 'fcbarcelona.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,False,1.6174761708991652e+18,1617476170899165185,Mon Jan 23 10:55:45 +0000 2023,1.6174761708991652e+18,1617476170899165185,Quelle ville mérite le plus son Quick les fréros ? 👀,False,"[0, 52]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.4838381571247432e+18,1483838157124743174,Quick France,QuickFrance_,,"On se retrouve chez Quick ? 🍔
Nos tweets n'engagent que nous et votre estomac.
#LeGoûtDeSeRetrouver",https://t.co/Ky7JSThEYj,"[{'url': 'https://t.co/Ky7JSThEYj', 'expanded_url': 'http://quick.fr', 'display_url': 'quick.fr', 'indices': [0, 23]}]",[],False,3464.0,45.0,2.0,Wed Jan 19 16:26:39 +0000 2022,1002.0,,,False,False,578.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1622911841700573184/-4MMO6UV_normal.jpg,https://pbs.twimg.com/profile_images/1622911841700573184/-4MMO6UV_normal.jpg,https://pbs.twimg.com/profile_banners/1483838157124743174/1675954888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,False,1.0,136.0,False,False,fr,,,,,,,,,,,,,
