id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
011d05962ca1154c,https://api.twitter.com/1.1/geo/id/011d05962ca1154c.json,admin,Manicaland,"Manicaland, Zimbabwe",ZW,Zimbabwe,[],Polygon,"[[[31.1875684, -21.3396758], [33.0681312, -21.3396758], [33.0681312, -17.2486826], [31.1875684, -17.2486826]]]",
000c69ad123213a8,https://api.twitter.com/1.1/geo/id/000c69ad123213a8.json,admin,Kampala,"Kampala, Uganda",UG,Uganda,[],Polygon,"[[[32.4166234, 0.1648531], [32.7216969, 0.1648531], [32.7216969, 0.4136818], [32.4166234, 0.4136818]]]",
00e55e2b4c491c5f,https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json,city,Abuja,"Abuja, Nigeria",NG,Nigeria,[],Polygon,"[[[7.3045544, 8.961887], [7.5436339, 8.961887], [7.5436339, 9.1854407], [7.3045544, 9.1854407]]]",
3178a2f5b3c63ea4,https://api.twitter.com/1.1/geo/id/3178a2f5b3c63ea4.json,city,Elche,"Elche, Spain",ES,Spain,[],Polygon,"[[[-0.7824914, 38.1277872], [-0.5101526, 38.1277872], [-0.5101526, 38.3446452], [-0.7824914, 38.3446452]]]",
01898b4d7e969f7d,https://api.twitter.com/1.1/geo/id/01898b4d7e969f7d.json,city,Loganville,"Loganville, GA",US,United States,[],Polygon,"[[[-83.935379, 33.80308], [-83.860408, 33.80308], [-83.860408, 33.8672113], [-83.935379, 33.8672113]]]",
535f0c2de0121451,https://api.twitter.com/1.1/geo/id/535f0c2de0121451.json,city,Warsaw,"Warsaw, Poland",PL,Poland,[],Polygon,"[[[20.8525518, 52.0977088], [21.2710282, 52.0977088], [21.2710282, 52.3679617], [20.8525518, 52.3679617]]]",
7929cea6bd5b32bd,https://api.twitter.com/1.1/geo/id/7929cea6bd5b32bd.json,city,Mumbai,"Mumbai, India",IN,India,[],Polygon,"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",
463f5d9615d7d1be,https://api.twitter.com/1.1/geo/id/463f5d9615d7d1be.json,admin,Maine,"Maine, USA",US,United States,[],Polygon,"[[[-71.084335, 42.917127], [-66.885075, 42.917127], [-66.885075, 47.459687], [-71.084335, 47.459687]]]",
dd9c503d6c35364b,https://api.twitter.com/1.1/geo/id/dd9c503d6c35364b.json,admin,Pennsylvania,"Pennsylvania, USA",US,United States,[],Polygon,"[[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]]",
01de17883224efff,https://api.twitter.com/1.1/geo/id/01de17883224efff.json,city,Ilobu,"Ilobu, Nigeria",NG,Nigeria,[],Polygon,"[[[4.4740267, 7.8143639], [4.5026116, 7.8143639], [4.5026116, 7.8576892], [4.4740267, 7.8576892]]]",
