id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
6fd19c7b8cc0ed61,https://api.twitter.com/1.1/geo/id/6fd19c7b8cc0ed61.json,city,Lowestoft,"Lowestoft, England",GB,United Kingdom,[],Polygon,"[[[1.684724, 52.441164], [1.762324, 52.441164], [1.762324, 52.5110445], [1.684724, 52.5110445]]]",
00611f1548c7bdef,https://api.twitter.com/1.1/geo/id/00611f1548c7bdef.json,city,Kano,"Kano, Nigeria",NG,Nigeria,[],Polygon,"[[[8.4475987, 11.9296331], [8.6073347, 11.9296331], [8.6073347, 12.0803669], [8.4475987, 12.0803669]]]",
52bb236ce4bb9be1,https://api.twitter.com/1.1/geo/id/52bb236ce4bb9be1.json,city,Coventry,"Coventry, England",GB,United Kingdom,[],Polygon,"[[[-1.6128929, 52.3653979], [-1.4244104, 52.3653979], [-1.4244104, 52.458428], [-1.6128929, 52.458428]]]",
01e215db7136a37e,https://api.twitter.com/1.1/geo/id/01e215db7136a37e.json,city,Nairobi,"Nairobi, Kenya",KE,Kenya,[],Polygon,"[[[36.6645733, -1.3890532], [37.0626672, -1.3890532], [37.0626672, -1.1606735], [36.6645733, -1.1606735]]]",
6fd19c7b8cc0ed61,https://api.twitter.com/1.1/geo/id/6fd19c7b8cc0ed61.json,city,Lowestoft,"Lowestoft, England",GB,United Kingdom,[],Polygon,"[[[1.684724, 52.441164], [1.762324, 52.441164], [1.762324, 52.5110445], [1.684724, 52.5110445]]]",
00611f1548c7bdef,https://api.twitter.com/1.1/geo/id/00611f1548c7bdef.json,city,Kano,"Kano, Nigeria",NG,Nigeria,[],Polygon,"[[[8.4475987, 11.9296331], [8.6073347, 11.9296331], [8.6073347, 12.0803669], [8.4475987, 12.0803669]]]",
52bb236ce4bb9be1,https://api.twitter.com/1.1/geo/id/52bb236ce4bb9be1.json,city,Coventry,"Coventry, England",GB,United Kingdom,[],Polygon,"[[[-1.6128929, 52.3653979], [-1.4244104, 52.3653979], [-1.4244104, 52.458428], [-1.6128929, 52.458428]]]",
01e215db7136a37e,https://api.twitter.com/1.1/geo/id/01e215db7136a37e.json,city,Nairobi,"Nairobi, Kenya",KE,Kenya,[],Polygon,"[[[36.6645733, -1.3890532], [37.0626672, -1.3890532], [37.0626672, -1.1606735], [36.6645733, -1.1606735]]]",
6fd19c7b8cc0ed61,https://api.twitter.com/1.1/geo/id/6fd19c7b8cc0ed61.json,city,Lowestoft,"Lowestoft, England",GB,United Kingdom,[],Polygon,"[[[1.684724, 52.441164], [1.762324, 52.441164], [1.762324, 52.5110445], [1.684724, 52.5110445]]]",
00611f1548c7bdef,https://api.twitter.com/1.1/geo/id/00611f1548c7bdef.json,city,Kano,"Kano, Nigeria",NG,Nigeria,[],Polygon,"[[[8.4475987, 11.9296331], [8.6073347, 11.9296331], [8.6073347, 12.0803669], [8.4475987, 12.0803669]]]",
52bb236ce4bb9be1,https://api.twitter.com/1.1/geo/id/52bb236ce4bb9be1.json,city,Coventry,"Coventry, England",GB,United Kingdom,[],Polygon,"[[[-1.6128929, 52.3653979], [-1.4244104, 52.3653979], [-1.4244104, 52.458428], [-1.6128929, 52.458428]]]",
01e215db7136a37e,https://api.twitter.com/1.1/geo/id/01e215db7136a37e.json,city,Nairobi,"Nairobi, Kenya",KE,Kenya,[],Polygon,"[[[36.6645733, -1.3890532], [37.0626672, -1.3890532], [37.0626672, -1.1606735], [36.6645733, -1.1606735]]]",
6fd19c7b8cc0ed61,https://api.twitter.com/1.1/geo/id/6fd19c7b8cc0ed61.json,city,Lowestoft,"Lowestoft, England",GB,United Kingdom,[],Polygon,"[[[1.684724, 52.441164], [1.762324, 52.441164], [1.762324, 52.5110445], [1.684724, 52.5110445]]]",
687a884c4cf3323a,https://api.twitter.com/1.1/geo/id/687a884c4cf3323a.json,city,Abertillery,"Abertillery, Wales",GB,United Kingdom,[],Polygon,"[[[-3.151625, 51.7129841], [-3.1230205, 51.7129841], [-3.1230205, 51.749505], [-3.151625, 51.749505]]]",
6c6a452a02394ba8,https://api.twitter.com/1.1/geo/id/6c6a452a02394ba8.json,city,Saint-Nazaire,"Saint-Nazaire, France",FR,France,[],Polygon,"[[[-2.3101925, 47.2321302], [-2.1681257, 47.2321302], [-2.1681257, 47.3203155], [-2.3101925, 47.3203155]]]",
019255ed24d69779,https://api.twitter.com/1.1/geo/id/019255ed24d69779.json,city,Kpone,"Kpone, Ghana",GH,Ghana,[],Polygon,"[[[-0.0094425, 5.6672599], [0.0658141, 5.6672599], [0.0658141, 5.7731965], [-0.0094425, 5.7731965]]]",
3078869807f9dd36,https://api.twitter.com/1.1/geo/id/3078869807f9dd36.json,city,Berlin,"Berlin, Germany",DE,Germany,[],Polygon,"[[[13.088304, 52.338079], [13.760909, 52.338079], [13.760909, 52.675323], [13.088304, 52.675323]]]",1.6332256505751388e+18
6c6a452a02394ba8,https://api.twitter.com/1.1/geo/id/6c6a452a02394ba8.json,city,Saint-Nazaire,"Saint-Nazaire, France",FR,France,[],Polygon,"[[[-2.3101925, 47.2321302], [-2.1681257, 47.2321302], [-2.1681257, 47.3203155], [-2.3101925, 47.3203155]]]",1.6332127377391698e+18
3078869807f9dd36,https://api.twitter.com/1.1/geo/id/3078869807f9dd36.json,city,Berlin,"Berlin, Germany",DE,Germany,[],Polygon,"[[[13.088304, 52.338079], [13.760909, 52.338079], [13.760909, 52.675323], [13.088304, 52.675323]]]",1.6332256505751388e+18
6c6a452a02394ba8,https://api.twitter.com/1.1/geo/id/6c6a452a02394ba8.json,city,Saint-Nazaire,"Saint-Nazaire, France",FR,France,[],Polygon,"[[[-2.3101925, 47.2321302], [-2.1681257, 47.2321302], [-2.1681257, 47.3203155], [-2.3101925, 47.3203155]]]",1.6332127377391698e+18
3078869807f9dd36,https://api.twitter.com/1.1/geo/id/3078869807f9dd36.json,city,Berlin,"Berlin, Germany",DE,Germany,[],Polygon,"[[[13.088304, 52.338079], [13.760909, 52.338079], [13.760909, 52.675323], [13.088304, 52.675323]]]",1.6332256505751388e+18
6c6a452a02394ba8,https://api.twitter.com/1.1/geo/id/6c6a452a02394ba8.json,city,Saint-Nazaire,"Saint-Nazaire, France",FR,France,[],Polygon,"[[[-2.3101925, 47.2321302], [-2.1681257, 47.2321302], [-2.1681257, 47.3203155], [-2.3101925, 47.3203155]]]",1.6332127377391698e+18
3078869807f9dd36,https://api.twitter.com/1.1/geo/id/3078869807f9dd36.json,city,Berlin,"Berlin, Germany",DE,Germany,[],Polygon,"[[[13.088304, 52.338079], [13.760909, 52.338079], [13.760909, 52.675323], [13.088304, 52.675323]]]",1.6332256505751388e+18
6c6a452a02394ba8,https://api.twitter.com/1.1/geo/id/6c6a452a02394ba8.json,city,Saint-Nazaire,"Saint-Nazaire, France",FR,France,[],Polygon,"[[[-2.3101925, 47.2321302], [-2.1681257, 47.2321302], [-2.1681257, 47.3203155], [-2.3101925, 47.3203155]]]",1.6332127377391698e+18
