id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
e21c8e4914eef2b3,https://api.twitter.com/1.1/geo/id/e21c8e4914eef2b3.json,admin,Colorado,"Colorado, USA",US,United States,[],Polygon,"[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]",
01cba65c41c20b24,https://api.twitter.com/1.1/geo/id/01cba65c41c20b24.json,city,Ilorin,"Ilorin, Nigeria",NG,Nigeria,[],Polygon,"[[[4.4752509, 8.4145568], [4.6252965, 8.4145568], [4.6252965, 8.5453022], [4.4752509, 8.5453022]]]",
8a927a7056322151,https://api.twitter.com/1.1/geo/id/8a927a7056322151.json,country,Botswana,Botswana,BW,Botswana,[],Polygon,"[[[19.9976747, -26.9070352], [29.371142, -26.9070352], [29.371142, -17.7782297], [19.9976747, -17.7782297]]]",
519618c33762168f,https://api.twitter.com/1.1/geo/id/519618c33762168f.json,city,South Shore,"South Shore, England",GB,United Kingdom,[],Polygon,"[[[-3.058866, 53.7728959], [-2.985392, 53.7728959], [-2.985392, 53.826807], [-3.058866, 53.826807]]]",
7d7bdec12d2549d4,https://api.twitter.com/1.1/geo/id/7d7bdec12d2549d4.json,city,Nottingham,"Nottingham, England",GB,United Kingdom,[],Polygon,"[[[-1.2501363, 52.921473], [-1.094396, 52.921473], [-1.094396, 53.017965], [-1.2501363, 53.017965]]]",
01cba65c41c20b24,https://api.twitter.com/1.1/geo/id/01cba65c41c20b24.json,city,Ilorin,"Ilorin, Nigeria",NG,Nigeria,[],Polygon,"[[[4.4752509, 8.4145568], [4.6252965, 8.4145568], [4.6252965, 8.5453022], [4.4752509, 8.5453022]]]",
8a927a7056322151,https://api.twitter.com/1.1/geo/id/8a927a7056322151.json,country,Botswana,Botswana,BW,Botswana,[],Polygon,"[[[19.9976747, -26.9070352], [29.371142, -26.9070352], [29.371142, -17.7782297], [19.9976747, -17.7782297]]]",
519618c33762168f,https://api.twitter.com/1.1/geo/id/519618c33762168f.json,city,South Shore,"South Shore, England",GB,United Kingdom,[],Polygon,"[[[-3.058866, 53.7728959], [-2.985392, 53.7728959], [-2.985392, 53.826807], [-3.058866, 53.826807]]]",
7d7bdec12d2549d4,https://api.twitter.com/1.1/geo/id/7d7bdec12d2549d4.json,city,Nottingham,"Nottingham, England",GB,United Kingdom,[],Polygon,"[[[-1.2501363, 52.921473], [-1.094396, 52.921473], [-1.094396, 53.017965], [-1.2501363, 53.017965]]]",
000c69ad123213a8,https://api.twitter.com/1.1/geo/id/000c69ad123213a8.json,admin,Kampala,"Kampala, Uganda",UG,Uganda,[],Polygon,"[[[32.4166234, 0.1648531], [32.7216969, 0.1648531], [32.7216969, 0.4136818], [32.4166234, 0.4136818]]]",
01cba65c41c20b24,https://api.twitter.com/1.1/geo/id/01cba65c41c20b24.json,city,Ilorin,"Ilorin, Nigeria",NG,Nigeria,[],Polygon,"[[[4.4752509, 8.4145568], [4.6252965, 8.4145568], [4.6252965, 8.5453022], [4.4752509, 8.5453022]]]",
479426a0295648c7,https://api.twitter.com/1.1/geo/id/479426a0295648c7.json,city,Fleet,"Fleet, England",GB,United Kingdom,[],Polygon,"[[[-0.870035, 51.249177], [-0.814292, 51.249177], [-0.814292, 51.299537], [-0.870035, 51.299537]]]",
01f8d8cf3496dbf5,https://api.twitter.com/1.1/geo/id/01f8d8cf3496dbf5.json,city,Kumbungu,"Kumbungu, Ghana",GH,Ghana,[],Polygon,"[[[-0.9579983, 9.5489576], [-0.9391409, 9.5489576], [-0.9391409, 9.5687554], [-0.9579983, 9.5687554]]]",
479426a0295648c7,https://api.twitter.com/1.1/geo/id/479426a0295648c7.json,city,Fleet,"Fleet, England",GB,United Kingdom,[],Polygon,"[[[-0.870035, 51.249177], [-0.814292, 51.249177], [-0.814292, 51.299537], [-0.870035, 51.299537]]]",
17cc57fae415c45e,https://api.twitter.com/1.1/geo/id/17cc57fae415c45e.json,city,Milton Keynes,"Milton Keynes, England",GB,United Kingdom,[],Polygon,"[[[-0.8604724, 51.973129], [-0.667655, 51.973129], [-0.667655, 52.094005], [-0.8604724, 52.094005]]]",
17cc57fae415c45e,https://api.twitter.com/1.1/geo/id/17cc57fae415c45e.json,city,Milton Keynes,"Milton Keynes, England",GB,United Kingdom,[],Polygon,"[[[-0.8604724, 51.973129], [-0.667655, 51.973129], [-0.667655, 52.094005], [-0.8604724, 52.094005]]]",
6a1b0cb35bcaf140,https://api.twitter.com/1.1/geo/id/6a1b0cb35bcaf140.json,city,Christchurch,"Christchurch, England",GB,United Kingdom,[],Polygon,"[[[-1.810417, 50.7239785], [-1.6817148, 50.7239785], [-1.6817148, 50.763847], [-1.810417, 50.763847]]]",
003e299707d0375b,https://api.twitter.com/1.1/geo/id/003e299707d0375b.json,city,Accra,"Accra, Ghana",GH,Ghana,[],Polygon,"[[[-0.3470252, 5.51713], [-0.0215619, 5.51713], [-0.0215619, 5.7292666], [-0.3470252, 5.7292666]]]",
7de31e05e99a00f8,https://api.twitter.com/1.1/geo/id/7de31e05e99a00f8.json,city,Bournemouth,"Bournemouth, England",GB,United Kingdom,[],Polygon,"[[[-1.93759, 50.7095004], [-1.7676241, 50.7095004], [-1.7676241, 50.775036], [-1.93759, 50.775036]]]",1.6332766740359168e+18
8a927a7056322151,https://api.twitter.com/1.1/geo/id/8a927a7056322151.json,country,Botswana,Botswana,BW,Botswana,[],Polygon,"[[[19.9976747, -26.9070352], [29.371142, -26.9070352], [29.371142, -17.7782297], [19.9976747, -17.7782297]]]",1.6332515967285084e+18
206c436ce43a43a3,https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json,city,Madrid,"Madrid, Spain",ES,Spain,[],Polygon,"[[[-3.8890049, 40.3120713], [-3.5180102, 40.3120713], [-3.5180102, 40.6435181], [-3.8890049, 40.6435181]]]",1.6332481802959462e+18
7de31e05e99a00f8,https://api.twitter.com/1.1/geo/id/7de31e05e99a00f8.json,city,Bournemouth,"Bournemouth, England",GB,United Kingdom,[],Polygon,"[[[-1.93759, 50.7095004], [-1.7676241, 50.7095004], [-1.7676241, 50.775036], [-1.93759, 50.775036]]]",1.6332994656070205e+18
7de31e05e99a00f8,https://api.twitter.com/1.1/geo/id/7de31e05e99a00f8.json,city,Bournemouth,"Bournemouth, England",GB,United Kingdom,[],Polygon,"[[[-1.93759, 50.7095004], [-1.7676241, 50.7095004], [-1.7676241, 50.775036], [-1.93759, 50.775036]]]",1.6332766740359168e+18
8a927a7056322151,https://api.twitter.com/1.1/geo/id/8a927a7056322151.json,country,Botswana,Botswana,BW,Botswana,[],Polygon,"[[[19.9976747, -26.9070352], [29.371142, -26.9070352], [29.371142, -17.7782297], [19.9976747, -17.7782297]]]",1.6332515967285084e+18
206c436ce43a43a3,https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json,city,Madrid,"Madrid, Spain",ES,Spain,[],Polygon,"[[[-3.8890049, 40.3120713], [-3.5180102, 40.3120713], [-3.5180102, 40.6435181], [-3.8890049, 40.6435181]]]",1.6332481802959462e+18
7de31e05e99a00f8,https://api.twitter.com/1.1/geo/id/7de31e05e99a00f8.json,city,Bournemouth,"Bournemouth, England",GB,United Kingdom,[],Polygon,"[[[-1.93759, 50.7095004], [-1.7676241, 50.7095004], [-1.7676241, 50.775036], [-1.93759, 50.775036]]]",1.6332994656070205e+18
7de31e05e99a00f8,https://api.twitter.com/1.1/geo/id/7de31e05e99a00f8.json,city,Bournemouth,"Bournemouth, England",GB,United Kingdom,[],Polygon,"[[[-1.93759, 50.7095004], [-1.7676241, 50.7095004], [-1.7676241, 50.775036], [-1.93759, 50.775036]]]",1.6332766740359168e+18
8a927a7056322151,https://api.twitter.com/1.1/geo/id/8a927a7056322151.json,country,Botswana,Botswana,BW,Botswana,[],Polygon,"[[[19.9976747, -26.9070352], [29.371142, -26.9070352], [29.371142, -17.7782297], [19.9976747, -17.7782297]]]",1.6332515967285084e+18
206c436ce43a43a3,https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json,city,Madrid,"Madrid, Spain",ES,Spain,[],Polygon,"[[[-3.8890049, 40.3120713], [-3.5180102, 40.3120713], [-3.5180102, 40.6435181], [-3.8890049, 40.6435181]]]",1.6332481802959462e+18
7de31e05e99a00f8,https://api.twitter.com/1.1/geo/id/7de31e05e99a00f8.json,city,Bournemouth,"Bournemouth, England",GB,United Kingdom,[],Polygon,"[[[-1.93759, 50.7095004], [-1.7676241, 50.7095004], [-1.7676241, 50.775036], [-1.93759, 50.775036]]]",1.6332994656070205e+18
7de31e05e99a00f8,https://api.twitter.com/1.1/geo/id/7de31e05e99a00f8.json,city,Bournemouth,"Bournemouth, England",GB,United Kingdom,[],Polygon,"[[[-1.93759, 50.7095004], [-1.7676241, 50.7095004], [-1.7676241, 50.775036], [-1.93759, 50.775036]]]",1.6332766740359168e+18
8a927a7056322151,https://api.twitter.com/1.1/geo/id/8a927a7056322151.json,country,Botswana,Botswana,BW,Botswana,[],Polygon,"[[[19.9976747, -26.9070352], [29.371142, -26.9070352], [29.371142, -17.7782297], [19.9976747, -17.7782297]]]",1.6332515967285084e+18
206c436ce43a43a3,https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json,city,Madrid,"Madrid, Spain",ES,Spain,[],Polygon,"[[[-3.8890049, 40.3120713], [-3.5180102, 40.3120713], [-3.5180102, 40.6435181], [-3.8890049, 40.6435181]]]",1.6332481802959462e+18
493f3c56a482e1c3,https://api.twitter.com/1.1/geo/id/493f3c56a482e1c3.json,city,Bedworth,"Bedworth, England",GB,United Kingdom,[],Polygon,"[[[-1.516904, 52.456375], [-1.454261, 52.456375], [-1.454261, 52.491244], [-1.516904, 52.491244]]]",1.633520601829712e+18
50f2d0272381533f,https://api.twitter.com/1.1/geo/id/50f2d0272381533f.json,admin,East Midlands,"East Midlands, England",GB,United Kingdom,[],Polygon,"[[[-2.03410488116464, 51.9772264213839], [0.357994000542651, 51.9772264213839], [0.357994000542651, 53.6163564980205], [-2.03410488116464, 53.6163564980205]]]",1.6349567706397614e+18
0cbfb5dccb8131b8,https://api.twitter.com/1.1/geo/id/0cbfb5dccb8131b8.json,admin,North West,"North West, England",GB,United Kingdom,[],Polygon,"[[[-3.64063699761414, 52.9471313094526], [-1.90962598338825, 52.9471313094526], [-1.90962598338825, 55.1888787527094], [-3.64063699761414, 55.1888787527094]]]",1.6349566878232412e+18
