id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
100b272c02934631,https://api.twitter.com/1.1/geo/id/100b272c02934631.json,city,Gateshead,"Gateshead, England",GB,United Kingdom,[],Polygon,"[[[-1.619675, 54.9131098], [-1.517516, 54.9131098], [-1.517516, 54.9699803], [-1.619675, 54.9699803]]]",
100b272c02934631,https://api.twitter.com/1.1/geo/id/100b272c02934631.json,city,Gateshead,"Gateshead, England",GB,United Kingdom,[],Polygon,"[[[-1.619675, 54.9131098], [-1.517516, 54.9131098], [-1.517516, 54.9699803], [-1.619675, 54.9699803]]]",
100b272c02934631,https://api.twitter.com/1.1/geo/id/100b272c02934631.json,city,Gateshead,"Gateshead, England",GB,United Kingdom,[],Polygon,"[[[-1.619675, 54.9131098], [-1.517516, 54.9131098], [-1.517516, 54.9699803], [-1.619675, 54.9699803]]]",
100b272c02934631,https://api.twitter.com/1.1/geo/id/100b272c02934631.json,city,Gateshead,"Gateshead, England",GB,United Kingdom,[],Polygon,"[[[-1.619675, 54.9131098], [-1.517516, 54.9131098], [-1.517516, 54.9699803], [-1.619675, 54.9699803]]]",
06168d1feda43857,https://api.twitter.com/1.1/geo/id/06168d1feda43857.json,admin,South East,"South East, England",GB,United Kingdom,[],Polygon,"[[[-1.95729593780907, 50.5746064789388], [1.45178800018019, 50.5746064789388], [1.45178800018019, 52.1962850088601], [-1.95729593780907, 52.1962850088601]]]",
002f479379291074,https://api.twitter.com/1.1/geo/id/002f479379291074.json,city,Phlap Phla,"Phlap Phla, Thailand",TH,Thailand,[],Polygon,"[[[100.5961611, 13.7509623], [100.6305456, 13.7509623], [100.6305456, 13.7867882], [100.5961611, 13.7867882]]]",
01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",
06168d1feda43857,https://api.twitter.com/1.1/geo/id/06168d1feda43857.json,admin,South East,"South East, England",GB,United Kingdom,[],Polygon,"[[[-1.95729593780907, 50.5746064789388], [1.45178800018019, 50.5746064789388], [1.45178800018019, 52.1962850088601], [-1.95729593780907, 52.1962850088601]]]",
002f479379291074,https://api.twitter.com/1.1/geo/id/002f479379291074.json,city,Phlap Phla,"Phlap Phla, Thailand",TH,Thailand,[],Polygon,"[[[100.5961611, 13.7509623], [100.6305456, 13.7509623], [100.6305456, 13.7867882], [100.5961611, 13.7867882]]]",
01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",
06168d1feda43857,https://api.twitter.com/1.1/geo/id/06168d1feda43857.json,admin,South East,"South East, England",GB,United Kingdom,[],Polygon,"[[[-1.95729593780907, 50.5746064789388], [1.45178800018019, 50.5746064789388], [1.45178800018019, 52.1962850088601], [-1.95729593780907, 52.1962850088601]]]",1.6330760414543217e+18
002f479379291074,https://api.twitter.com/1.1/geo/id/002f479379291074.json,city,Phlap Phla,"Phlap Phla, Thailand",TH,Thailand,[],Polygon,"[[[100.5961611, 13.7509623], [100.6305456, 13.7509623], [100.6305456, 13.7867882], [100.5961611, 13.7867882]]]",1.632967631690158e+18
