id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
016e482f031d46e1,https://api.twitter.com/1.1/geo/id/016e482f031d46e1.json,admin,Manafwa,"Manafwa, Uganda",UG,Uganda,[],Polygon,"[[[34.182351, 0.74646], [34.4927698, 0.74646], [34.4927698, 1.031236], [34.182351, 1.031236]]]",
0065f09a6666479e,https://api.twitter.com/1.1/geo/id/0065f09a6666479e.json,city,Ibadan,"Ibadan, Nigeria",NG,Nigeria,[],Polygon,"[[[3.7770114, 7.2991429], [4.0335816, 7.2991429], [4.0335816, 7.5590064], [3.7770114, 7.5590064]]]",
01eddd9d0dbec2c8,https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json,city,Ikeja,"Ikeja, Nigeria",NG,Nigeria,[],Polygon,"[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]",
0148752f3ae23641,https://api.twitter.com/1.1/geo/id/0148752f3ae23641.json,admin,Nyanza,"Nyanza, Kenya",KE,Kenya,[],Polygon,"[[[33.9166073, -1.3864857], [35.3413419, -1.3864857], [35.3413419, 0.3113955], [33.9166073, 0.3113955]]]",
01c46739344ba9f6,https://api.twitter.com/1.1/geo/id/01c46739344ba9f6.json,admin,Federal Capital Territory,"Federal Capital Territory, Nigeria",NG,Nigeria,[],Polygon,"[[[6.7786135, 8.4504401], [7.7274781, 8.4504401], [7.7274781, 9.4345273], [6.7786135, 9.4345273]]]",
0148752f3ae23641,https://api.twitter.com/1.1/geo/id/0148752f3ae23641.json,admin,Nyanza,"Nyanza, Kenya",KE,Kenya,[],Polygon,"[[[33.9166073, -1.3864857], [35.3413419, -1.3864857], [35.3413419, 0.3113955], [33.9166073, 0.3113955]]]",
0065f09a6666479e,https://api.twitter.com/1.1/geo/id/0065f09a6666479e.json,city,Ibadan,"Ibadan, Nigeria",NG,Nigeria,[],Polygon,"[[[3.7770114, 7.2991429], [4.0335816, 7.2991429], [4.0335816, 7.5590064], [3.7770114, 7.5590064]]]",
01eddd9d0dbec2c8,https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json,city,Ikeja,"Ikeja, Nigeria",NG,Nigeria,[],Polygon,"[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]",
0148752f3ae23641,https://api.twitter.com/1.1/geo/id/0148752f3ae23641.json,admin,Nyanza,"Nyanza, Kenya",KE,Kenya,[],Polygon,"[[[33.9166073, -1.3864857], [35.3413419, -1.3864857], [35.3413419, 0.3113955], [33.9166073, 0.3113955]]]",
01c46739344ba9f6,https://api.twitter.com/1.1/geo/id/01c46739344ba9f6.json,admin,Federal Capital Territory,"Federal Capital Territory, Nigeria",NG,Nigeria,[],Polygon,"[[[6.7786135, 8.4504401], [7.7274781, 8.4504401], [7.7274781, 9.4345273], [6.7786135, 9.4345273]]]",
0148752f3ae23641,https://api.twitter.com/1.1/geo/id/0148752f3ae23641.json,admin,Nyanza,"Nyanza, Kenya",KE,Kenya,[],Polygon,"[[[33.9166073, -1.3864857], [35.3413419, -1.3864857], [35.3413419, 0.3113955], [33.9166073, 0.3113955]]]",
8a927a7056322151,https://api.twitter.com/1.1/geo/id/8a927a7056322151.json,country,Botswana,Botswana,BW,Botswana,[],Polygon,"[[[19.9976747, -26.9070352], [29.371142, -26.9070352], [29.371142, -17.7782297], [19.9976747, -17.7782297]]]",
0065f09a6666479e,https://api.twitter.com/1.1/geo/id/0065f09a6666479e.json,city,Ibadan,"Ibadan, Nigeria",NG,Nigeria,[],Polygon,"[[[3.7770114, 7.2991429], [4.0335816, 7.2991429], [4.0335816, 7.5590064], [3.7770114, 7.5590064]]]",
07d9d2134a083003,https://api.twitter.com/1.1/geo/id/07d9d2134a083003.json,poi,Los Angeles International Airport (LAX),Los Angeles International Airport (LAX),US,United States,[],Polygon,"[[[-118.40607404708864, 33.94368036522437], [-118.40607404708864, 33.94368036522437], [-118.40607404708864, 33.94368036522437], [-118.40607404708864, 33.94368036522437]]]",
01eddd9d0dbec2c8,https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json,city,Ikeja,"Ikeja, Nigeria",NG,Nigeria,[],Polygon,"[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]",1.6333031716478075e+18
5d231ed8656fcf5a,https://api.twitter.com/1.1/geo/id/5d231ed8656fcf5a.json,city,St Petersburg,"St Petersburg, FL",US,United States,[],Polygon,"[[[-82.758209, 27.694323], [-82.587597, 27.694323], [-82.587597, 27.8971155], [-82.758209, 27.8971155]]]",1.633303098235007e+18
