id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
01eddd9d0dbec2c8,https://api.twitter.com/1.1/geo/id/01eddd9d0dbec2c8.json,city,Ikeja,"Ikeja, Nigeria",NG,Nigeria,[],Polygon,"[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]",
17cc57fae415c45e,https://api.twitter.com/1.1/geo/id/17cc57fae415c45e.json,city,Milton Keynes,"Milton Keynes, England",GB,United Kingdom,[],Polygon,"[[[-0.8604724, 51.973129], [-0.667655, 51.973129], [-0.667655, 52.094005], [-0.8604724, 52.094005]]]",
17cc57fae415c45e,https://api.twitter.com/1.1/geo/id/17cc57fae415c45e.json,city,Milton Keynes,"Milton Keynes, England",GB,United Kingdom,[],Polygon,"[[[-0.8604724, 51.973129], [-0.667655, 51.973129], [-0.667655, 52.094005], [-0.8604724, 52.094005]]]",
99cdab25eddd6bce,https://api.twitter.com/1.1/geo/id/99cdab25eddd6bce.json,city,Amsterdam,"Amsterdam, The Netherlands",NL,The Netherlands,[],Polygon,"[[[4.7288999, 52.2782266], [5.0792072, 52.2782266], [5.0792072, 52.4312289], [4.7288999, 52.4312289]]]",
17cc57fae415c45e,https://api.twitter.com/1.1/geo/id/17cc57fae415c45e.json,city,Milton Keynes,"Milton Keynes, England",GB,United Kingdom,[],Polygon,"[[[-0.8604724, 51.973129], [-0.667655, 51.973129], [-0.667655, 52.094005], [-0.8604724, 52.094005]]]",
01546f6801ce58cd,https://api.twitter.com/1.1/geo/id/01546f6801ce58cd.json,city,Uyo,"Uyo, Nigeria",NG,Nigeria,[],Polygon,"[[[7.8619108, 4.9711142], [8.0037505, 4.9711142], [8.0037505, 5.0716486], [7.8619108, 5.0716486]]]",
0e64384ba494c002,https://api.twitter.com/1.1/geo/id/0e64384ba494c002.json,poi,Classic Football Shirts Shop,Classic Football Shirts Shop,GB,United Kingdom,[],Polygon,"[[[-0.072413, 51.521167], [-0.072413, 51.521167], [-0.072413, 51.521167], [-0.072413, 51.521167]]]",
1bcb27fccfb2825f,https://api.twitter.com/1.1/geo/id/1bcb27fccfb2825f.json,city,Cheltenham,"Cheltenham, England",GB,United Kingdom,[],Polygon,"[[[-2.142873, 51.8618636], [-2.032676, 51.8618636], [-2.032676, 51.9307634], [-2.142873, 51.9307634]]]",
3bc1b6cfd27ef7f6,https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json,admin,East,"East, England",GB,United Kingdom,[],Polygon,"[[[-0.745779800818049, 51.4482221321091], [1.76893599950184, 51.4482221321091], [1.76893599950184, 52.9926789576249], [-0.745779800818049, 52.9926789576249]]]",
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.6332744009959588e+18
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.63327399348156e+18
01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",1.6332699553355203e+18
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.6332744009959588e+18
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.63327399348156e+18
01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",1.6332699553355203e+18
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.6332744009959588e+18
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.63327399348156e+18
01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",1.6332699553355203e+18
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.6332744009959588e+18
1e5cb4d0509db554,https://api.twitter.com/1.1/geo/id/1e5cb4d0509db554.json,city,Vancouver,"Vancouver, British Columbia",CA,Canada,[],Polygon,"[[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]]",1.63327399348156e+18
01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",1.6332699553355203e+18
71c8eb57c400c9b6,https://api.twitter.com/1.1/geo/id/71c8eb57c400c9b6.json,city,Saint Helens,"Saint Helens, England",GB,United Kingdom,[],Polygon,"[[[-2.779296, 53.4102828], [-2.680364, 53.4102828], [-2.680364, 53.484131], [-2.779296, 53.484131]]]",1.6335277162793615e+18
6aa8c46838e769fb,https://api.twitter.com/1.1/geo/id/6aa8c46838e769fb.json,city,Eastleigh,"Eastleigh, England",GB,United Kingdom,[],Polygon,"[[[-1.4137315, 50.9429358], [-1.334973, 50.9429358], [-1.334973, 51.004389], [-1.4137315, 51.004389]]]",1.6335240389065687e+18
151b9e91272233d1,https://api.twitter.com/1.1/geo/id/151b9e91272233d1.json,city,Liverpool,"Liverpool, England",GB,United Kingdom,[],Polygon,"[[[-3.008791, 53.36489], [-2.822063, 53.36489], [-2.822063, 53.474867], [-3.008791, 53.474867]]]",1.6335213675837932e+18
01aca86a155c9099,https://api.twitter.com/1.1/geo/id/01aca86a155c9099.json,city,Enugu,"Enugu, Nigeria",NG,Nigeria,[],Polygon,"[[[7.4542209, 6.377634], [7.5868623, 6.377634], [7.5868623, 6.5048626], [7.4542209, 6.5048626]]]",1.6349571932284887e+18
50f2d0272381533f,https://api.twitter.com/1.1/geo/id/50f2d0272381533f.json,admin,East Midlands,"East Midlands, England",GB,United Kingdom,[],Polygon,"[[[-2.03410488116464, 51.9772264213839], [0.357994000542651, 51.9772264213839], [0.357994000542651, 53.6163564980205], [-2.03410488116464, 53.6163564980205]]]",1.6349567706397614e+18
3ba55ee536210b59,https://api.twitter.com/1.1/geo/id/3ba55ee536210b59.json,city,Seaforth,"Seaforth, England",GB,United Kingdom,[],Polygon,"[[[-3.058666, 53.438332], [-2.950246, 53.438332], [-2.950246, 53.501369], [-3.058666, 53.501369]]]",1.6349554828080865e+18
