id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
c3f37afa9efcf94b,https://api.twitter.com/1.1/geo/id/c3f37afa9efcf94b.json,city,Austin,"Austin, TX",US,United States,[],Polygon,"[[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]]",
308b23b23ed91e41,https://api.twitter.com/1.1/geo/id/308b23b23ed91e41.json,city,Broughton,"Broughton, Wales",GB,United Kingdom,[],Polygon,"[[[-3.0062708, 53.1594856], [-2.9504299, 53.1594856], [-2.9504299, 53.1909697], [-3.0062708, 53.1909697]]]",
67bc7263f7b9047b,https://api.twitter.com/1.1/geo/id/67bc7263f7b9047b.json,admin,North East,"North East, England",GB,United Kingdom,[],Polygon,"[[[-2.6896487528799, 54.4511368492598], [-0.789589998657534, 54.4511368492598], [-0.789589998657534, 55.8116995493485], [-2.6896487528799, 55.8116995493485]]]",
0fc2942001d46001,https://api.twitter.com/1.1/geo/id/0fc2942001d46001.json,poi,Etihad Stadium,Etihad Stadium,GB,United Kingdom,[],Polygon,"[[[-2.200591564178467, 53.48337251605465], [-2.200591564178467, 53.48337251605465], [-2.200591564178467, 53.48337251605465], [-2.200591564178467, 53.48337251605465]]]",
000c69ad123213a8,https://api.twitter.com/1.1/geo/id/000c69ad123213a8.json,admin,Kampala,"Kampala, Uganda",UG,Uganda,[],Polygon,"[[[32.4166234, 0.1648531], [32.7216969, 0.1648531], [32.7216969, 0.4136818], [32.4166234, 0.4136818]]]",
308b23b23ed91e41,https://api.twitter.com/1.1/geo/id/308b23b23ed91e41.json,city,Broughton,"Broughton, Wales",GB,United Kingdom,[],Polygon,"[[[-3.0062708, 53.1594856], [-2.9504299, 53.1594856], [-2.9504299, 53.1909697], [-3.0062708, 53.1909697]]]",
67bc7263f7b9047b,https://api.twitter.com/1.1/geo/id/67bc7263f7b9047b.json,admin,North East,"North East, England",GB,United Kingdom,[],Polygon,"[[[-2.6896487528799, 54.4511368492598], [-0.789589998657534, 54.4511368492598], [-0.789589998657534, 55.8116995493485], [-2.6896487528799, 55.8116995493485]]]",
0fc2942001d46001,https://api.twitter.com/1.1/geo/id/0fc2942001d46001.json,poi,Etihad Stadium,Etihad Stadium,GB,United Kingdom,[],Polygon,"[[[-2.200591564178467, 53.48337251605465], [-2.200591564178467, 53.48337251605465], [-2.200591564178467, 53.48337251605465], [-2.200591564178467, 53.48337251605465]]]",
000c69ad123213a8,https://api.twitter.com/1.1/geo/id/000c69ad123213a8.json,admin,Kampala,"Kampala, Uganda",UG,Uganda,[],Polygon,"[[[32.4166234, 0.1648531], [32.7216969, 0.1648531], [32.7216969, 0.4136818], [32.4166234, 0.4136818]]]",
00e55e2b4c491c5f,https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json,city,Abuja,"Abuja, Nigeria",NG,Nigeria,[],Polygon,"[[[7.3045544, 8.961887], [7.5436339, 8.961887], [7.5436339, 9.1854407], [7.3045544, 9.1854407]]]",
11e71857dca90421,https://api.twitter.com/1.1/geo/id/11e71857dca90421.json,city,Chalton,"Chalton, England",GB,United Kingdom,[],Polygon,"[[[-0.505154, 51.924121], [-0.499293, 51.924121], [-0.499293, 51.930226], [-0.505154, 51.930226]]]",
00e55e2b4c491c5f,https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json,city,Abuja,"Abuja, Nigeria",NG,Nigeria,[],Polygon,"[[[7.3045544, 8.961887], [7.5436339, 8.961887], [7.5436339, 9.1854407], [7.3045544, 9.1854407]]]",
11e71857dca90421,https://api.twitter.com/1.1/geo/id/11e71857dca90421.json,city,Chalton,"Chalton, England",GB,United Kingdom,[],Polygon,"[[[-0.505154, 51.924121], [-0.499293, 51.924121], [-0.499293, 51.930226], [-0.505154, 51.930226]]]",
4393349f368f67a1,https://api.twitter.com/1.1/geo/id/4393349f368f67a1.json,city,Lambeth,"Lambeth, London",GB,United Kingdom,[],Polygon,"[[[-0.15191, 51.410792], [-0.078902, 51.410792], [-0.078902, 51.509887], [-0.15191, 51.509887]]]",
31fffbe34de66921,https://api.twitter.com/1.1/geo/id/31fffbe34de66921.json,city,Salford,"Salford, England",GB,United Kingdom,[],Polygon,"[[[-2.454026, 53.4163477], [-2.245107, 53.4163477], [-2.245107, 53.5342592], [-2.454026, 53.5342592]]]",
