id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
65532937d24289a9,https://api.twitter.com/1.1/geo/id/65532937d24289a9.json,city,March,"March, England",GB,United Kingdom,[],Polygon,"[[[0.06423, 52.529619], [0.107265, 52.529619], [0.107265, 52.58239], [0.06423, 52.58239]]]",
65532937d24289a9,https://api.twitter.com/1.1/geo/id/65532937d24289a9.json,city,March,"March, England",GB,United Kingdom,[],Polygon,"[[[0.06423, 52.529619], [0.107265, 52.529619], [0.107265, 52.58239], [0.06423, 52.58239]]]",
65532937d24289a9,https://api.twitter.com/1.1/geo/id/65532937d24289a9.json,city,March,"March, England",GB,United Kingdom,[],Polygon,"[[[0.06423, 52.529619], [0.107265, 52.529619], [0.107265, 52.58239], [0.06423, 52.58239]]]",
000c69ad123213a8,https://api.twitter.com/1.1/geo/id/000c69ad123213a8.json,admin,Kampala,"Kampala, Uganda",UG,Uganda,[],Polygon,"[[[32.4166234, 0.1648531], [32.7216969, 0.1648531], [32.7216969, 0.4136818], [32.4166234, 0.4136818]]]",
000c69ad123213a8,https://api.twitter.com/1.1/geo/id/000c69ad123213a8.json,admin,Kampala,"Kampala, Uganda",UG,Uganda,[],Polygon,"[[[32.4166234, 0.1648531], [32.7216969, 0.1648531], [32.7216969, 0.4136818], [32.4166234, 0.4136818]]]",
315b740b108481f6,https://api.twitter.com/1.1/geo/id/315b740b108481f6.json,city,Manchester,"Manchester, England",GB,United Kingdom,[],Polygon,"[[[-2.319934, 53.343623], [-2.147026, 53.343623], [-2.147026, 53.5702824], [-2.319934, 53.5702824]]]",
0cbfb5dccb8131b8,https://api.twitter.com/1.1/geo/id/0cbfb5dccb8131b8.json,admin,North West,"North West, England",GB,United Kingdom,[],Polygon,"[[[-3.64063699761414, 52.9471313094526], [-1.90962598338825, 52.9471313094526], [-1.90962598338825, 55.1888787527094], [-3.64063699761414, 55.1888787527094]]]",
315b740b108481f6,https://api.twitter.com/1.1/geo/id/315b740b108481f6.json,city,Manchester,"Manchester, England",GB,United Kingdom,[],Polygon,"[[[-2.319934, 53.343623], [-2.147026, 53.343623], [-2.147026, 53.5702824], [-2.319934, 53.5702824]]]",
0cbfb5dccb8131b8,https://api.twitter.com/1.1/geo/id/0cbfb5dccb8131b8.json,admin,North West,"North West, England",GB,United Kingdom,[],Polygon,"[[[-3.64063699761414, 52.9471313094526], [-1.90962598338825, 52.9471313094526], [-1.90962598338825, 55.1888787527094], [-3.64063699761414, 55.1888787527094]]]",1.6331894069609103e+18
0cbfb5dccb8131b8,https://api.twitter.com/1.1/geo/id/0cbfb5dccb8131b8.json,admin,North West,"North West, England",GB,United Kingdom,[],Polygon,"[[[-3.64063699761414, 52.9471313094526], [-1.90962598338825, 52.9471313094526], [-1.90962598338825, 55.1888787527094], [-3.64063699761414, 55.1888787527094]]]",1.6331894069609103e+18
0cbfb5dccb8131b8,https://api.twitter.com/1.1/geo/id/0cbfb5dccb8131b8.json,admin,North West,"North West, England",GB,United Kingdom,[],Polygon,"[[[-3.64063699761414, 52.9471313094526], [-1.90962598338825, 52.9471313094526], [-1.90962598338825, 55.1888787527094], [-3.64063699761414, 55.1888787527094]]]",1.6331894069609103e+18
0cbfb5dccb8131b8,https://api.twitter.com/1.1/geo/id/0cbfb5dccb8131b8.json,admin,North West,"North West, England",GB,United Kingdom,[],Polygon,"[[[-3.64063699761414, 52.9471313094526], [-1.90962598338825, 52.9471313094526], [-1.90962598338825, 55.1888787527094], [-3.64063699761414, 55.1888787527094]]]",1.6331894069609103e+18
