created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 16:51:16 +0000 2023,1633510706606755841,1633510706606755841,"@piersmorgan Did Wenger resign after AFC lost 8-2 against UTD ?, Did Klopp resign after getting thumped 7-2 v Aston Villa?, behave yourself Piers, remember you calling for Arteta to go last season, Ten Hag is doing well, now go back to your 3rd rate TV Show !!!",False,"[13, 261]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6326448091427062e+18,1632644809142706177,216299334.0,216299334,piersmorgan,,,,,False,0,0,False,False,en,en,recent,2505243368,2505243368,Paul9705,paul9705,Greater Manchester,"Man Utd Fan for 52,years, Heartbroken at the mess the Glazers have left Utd in, time for them to sell up",,[],False,428,579,10,Sun May 18 18:54:39 +0000 2014,5237,,,True,False,54434,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1560742927445499906/y9HGVG56_normal.jpg,https://pbs.twimg.com/profile_images/1560742927445499906/y9HGVG56_normal.jpg,https://pbs.twimg.com/profile_banners/2505243368/1660079371,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:40 +0000 2023,1633510556341608467,1633510556341608467,Elsewhere Aston Villa remain level on points at the top of the Northern Section with a 3-2 home win against Manchester City. Third-placed Durham won 2-1 away at Everton. Birmingham City climb a place to fourth after recording a 4-1 home win against Leicester City.,False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335067061215232e+18,1633506706121523200,46643528.0,46643528,sjbakes,,,,,False,0,0,False,False,en,en,recent,46643528,46643528,Steve Baker,sjbakes,Timperley,Freelance Graphic Designer. South Manchester. MUFC / MUWFC / Alty FC,,[],False,1137,4998,2,Fri Jun 12 12:48:13 +0000 2009,18317,,,True,False,3124,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_banners/46643528/1455193641,2FC2EF,FFFFFF,252429,666666,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:08 +0000 2023,1633510421004001283,1633510421004001283,"🏴󠁧󠁢󠁳󠁣󠁴󠁿 | John McGinn (28)
Position(s) | CM/AM
Club | Aston Villa 🏴󠁧󠁢󠁥󠁮󠁧󠁿

McGinn has been one of the most consistent players for Scotland over the last few years. Capable of coming up with a big goal, he will be key if Scotland are to qualify.

Caps 🏴󠁧󠁢󠁳󠁣󠁴󠁿: 52
Goals ⚽️: 15

@hampdenroarpod https://t.co/0SsiaOlFFk",False,"[0, 292]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633510415110996e+18,1633510415110995969,1.2795952106627113e+18,1279595210662711302,CapTied,,,,,False,0,0,False,False,en,en,recent,1279595210662711302,1279595210662711302,CapTied,CapTied,,Following the International game ⚽️ | Podcast coming soon 🎙️,,[],False,93,348,0,Sun Jul 05 02:00:51 +0000 2020,684,,,True,False,144,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1279610389395845120/-GjBi7cF_normal.jpg,https://pbs.twimg.com/profile_images/1279610389395845120/-GjBi7cF_normal.jpg,https://pbs.twimg.com/profile_banners/1279595210662711302/1673811391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:43:54 +0000 2023,1633508853546639362,1633508853546639362,"@MenInBlazers It's a freak result.  Although the ""giving up"" after 3-0 down bit needs some addressing by Ten Hag.  Liverpool lost 7-2 to Aston Villa back in 2020....did their wheels fall off that year?",False,"[14, 201]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6334999033126666e+18,1633499903312666630,365603329.0,365603329,MenInBlazers,,,,,False,0,0,False,False,en,en,recent,56446045,56446045,Tom Brom 💙💛,voicefreak,Los Angeles,LA based #Voiceover artist and actor. @sagaftra #BNA @overwatchleague @warcraft @CallOfDuty #vanguard Voice rep @atlastalent https://t.co/ZW6CRT8InB,https://t.co/JXZRXHRVur,"[{'url': 'https://t.co/ZW6CRT8InB', 'expanded_url': 'http://imdb.me/tombromhead', 'display_url': 'imdb.me/tombromhead', 'indices': [125, 148]}]",False,332,354,8,Mon Jul 13 18:11:16 +0000 2009,35395,,,True,False,1817,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1510473292339036162/nLrlcaP2_normal.jpg,https://pbs.twimg.com/profile_images/1510473292339036162/nLrlcaP2_normal.jpg,https://pbs.twimg.com/profile_banners/56446045/1646352327,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,"[{'url': 'https://t.co/JXZRXHRVur', 'expanded_url': 'http://www.voicefreak.com', 'display_url': 'voicefreak.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:42:36 +0000 2023,1633508525912498176,1633508525912498176,"@Anastasiajoh200 @TrollFootball Lol, I’m a Liverpool fan
Yh, we won the title but we were shite
Started with a 3-3 draw vs Leeds, no new signings 
We were bad… meanwhile Aston villa had something to prove as new comers
But Manchester United took 6 at home, shameful",False,"[32, 265]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335079978160906e+18,1633507997816090625,1.567184372104577e+18,1567184372104577025,Anastasiajoh200,,,,,False,0,0,False,False,en,en,recent,1457963326135283712,1457963326135283712,Daniel 🐆,DanniDefi,,Sports Betting ⚔️ Web 3,,[],False,34,92,1,Tue Nov 09 06:49:02 +0000 2021,503,,,False,False,1105,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623711246531932164/i4k0Q8Kz_normal.jpg,https://pbs.twimg.com/profile_images/1623711246531932164/i4k0Q8Kz_normal.jpg,https://pbs.twimg.com/profile_banners/1457963326135283712/1675699315,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:36:39 +0000 2023,1633507027904339972,1633507027904339972,"@vers7ace @AddgRma @theMadridZone @tgm46 Ah yes Villarreal, the club Unai Emery left mid season to go coach bottom half of the PL Aston Villa for.",False,"[41, 146]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633502159445672e+18,1633502159445671938,1.4237209306107167e+18,1423720930610716683,vers7ace,,,,,False,0,0,False,False,en,en,recent,311399216,311399216,🇹🇿 Alam 🔴⚪,AlamManji,"Mwanza, Tanzania","Positively 🔴Arsenal

https://t.co/uaerCdXKBn",,"[{'url': 'https://t.co/uaerCdXKBn', 'expanded_url': 'https://www.linkedin.com/in/alam-manji-152114266', 'display_url': 'linkedin.com/in/alam-manji-…', 'indices': [21, 44]}]",False,332,724,1,Sun Jun 05 11:33:21 +0000 2011,1786,,,True,False,13652,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1556636396403695616/Ljs_z6gQ_normal.jpg,https://pbs.twimg.com/profile_images/1556636396403695616/Ljs_z6gQ_normal.jpg,https://pbs.twimg.com/profile_banners/311399216/1639878218,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:35:01 +0000 2023,1633506619458822144,1633506619458822144,@Shush1224 @YoinkedMate @schizo_Roadman @_LiamShepherd @LFCgems U shipped 7 to Aston Villa that’s more shameful lmao ps mind the gap,False,"[64, 132]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633506343322624e+18,1633506343322624014,1.3828455826629059e+18,1382845582662905856,Shush1224,,,,,False,0,0,False,False,en,en,recent,570599367,570599367,HazzaB,HBlaydes,"Chalfont Saint Giles, South East",,,[],False,122,26,5,Fri May 04 04:05:03 +0000 2012,979,,,False,False,7675,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1265263037604339712/Aqo0UG9s_normal.jpg,https://pbs.twimg.com/profile_images/1265263037604339712/Aqo0UG9s_normal.jpg,https://pbs.twimg.com/profile_banners/570599367/1389892412,0084B4,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:34:06 +0000 2023,1633506385689206786,1633506385689206786,"We used to have Aston Villa fans trying to start a rivalry with us 2 years ago, now Real Madrid fans are loving Arteta in the quotes and hoping this fugazi report is true. Trust The Process FC, we have arrived https://t.co/YeWQAV9laY",False,"[0, 209]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,1,False,False,en,en,recent,1258511226,1258511226,Allan 🇨🇩🇫🇷🇨🇦,LanneAFC,"Toronto, Ontario","2nd account for unbiased football takes...for the most part.Toronto FC, PSG are my hometown clubs (current city & place of birth) but only support @arsenal 🔴⚪️",,[],False,356,679,2,Mon Mar 11 03:46:42 +0000 2013,3388,,,True,False,27919,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1596210015437725696/SyLW2TFV_normal.jpg,https://pbs.twimg.com/profile_images/1596210015437725696/SyLW2TFV_normal.jpg,https://pbs.twimg.com/profile_banners/1258511226/1646156769,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,1.6332473840452526e+18,1633247384045252608,Tue Mar 07 23:24:55 +0000 2023,1.6332473840452526e+18,1633247384045252608,🚨💣 Real Madrid are seriously considering Mikel Arteta to be Ancelotti’s replacement. @tgm46 https://t.co/ZUPsQVSzGO,False,"[0, 91]",en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,1.3265641522913157e+18,1326564152291315713,Madrid Xtra,MadridXtra,"Madrid, Spain.","📲 All Real Madrid updates, transfer news, stats, pictures and much more are found right here. A page for the fans.",https://t.co/8TRH9Z7aUB,"[{'url': 'https://t.co/8TRH9Z7aUB', 'expanded_url': 'https://linktr.ee/madridxtra', 'display_url': 'linktr.ee/madridxtra', 'indices': [0, 23]}]",[],False,698640.0,165.0,1277.0,Wed Nov 11 16:35:27 +0000 2020,6.0,,,False,False,50751.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1543662848332677121/QHa-iUwo_normal.jpg,https://pbs.twimg.com/profile_images/1543662848332677121/QHa-iUwo_normal.jpg,https://pbs.twimg.com/profile_banners/1326564152291315713/1656872681,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,False,851.0,19948.0,False,False,False,en,,
Wed Mar 08 16:30:18 +0000 2023,1633505432013611021,1633505432013611021,@_enzoo5 @ripjayzz @BlackYellow @mariuswolf27 Tied with Aston Villa 🤣🤣🤣,False,"[46, 71]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6334943524700815e+18,1633494352470081538,1.5634784540118548e+18,1563478454011854848,_enzoo5,,,,,False,0,0,False,False,en,en,recent,1624946885738864644,1624946885738864644,BeeDazzle,CrunchyJifFiend,"Charlottesville, VA","Wake up, Bronx Bombers, sleep, repeat",,[],False,1,58,0,Mon Feb 13 01:41:47 +0000 2023,6,,,False,False,86,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633456523933302784/CReB8RKy_normal.jpg,https://pbs.twimg.com/profile_images/1633456523933302784/CReB8RKy_normal.jpg,https://pbs.twimg.com/profile_banners/1624946885738864644/1678281502,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:25:56 +0000 2023,1633504333072408587,1633504333072408587,"West Ham United v Aston Villa Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Sunday's game at the London Stadium

#COYI #AVFC 
https://t.co/PcsCbdoSTF https://t.co/Gl8LN1tuZH",False,"[0, 180]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],False,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
