created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang
Wed Mar 08 16:35:14 +0000 2023,1633506673582125062,1633506673582125062,"Brighton &amp; Hove Albion FC (ENG) are recruiting a full-time Sorts Therapist - Women's U21 &amp; Girls' Academy.

https://t.co/BzNINwbT43

#sandcvacancies #football https://t.co/YNKv9mFALr",False,"[0, 166]","<a href=""https://metricool.com"" rel=""nofollow"">Metricool</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,846827502572113921,846827502572113921,Strength & Conditioning Vacancies,sandcvacancies,United Kingdom,"S&C and Performance Staff recruitment from around the world. Partners: @rugbyvacancies @sportsvacancies, @greywolfteams, @rugbyoutreach. andy@sportvacancies.com",,[],False,12882,172,24,Tue Mar 28 20:53:04 +0000 2017,2619,,,False,False,8085,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1397067513398284290/Z08ntGhG_normal.jpg,https://pbs.twimg.com/profile_images/1397067513398284290/Z08ntGhG_normal.jpg,https://pbs.twimg.com/profile_banners/846827502572113921/1535365563,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:30:05 +0000 2023,1633505377789812739,1633505377789812739,"OTD 1997 Div 3 - Brighton &amp; Hove Albion 4-4 Leyton Orient Att 9,298 #BHAFC #LOFC https://t.co/5ts8LSntM2",False,"[0, 84]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.6333921726438072e+18,1633392172643807234,9.500876787704996e+17,950087678770499585,BarrySherrick2,,,,,False,0,0,False,False,False,en,en,recent,950087678770499585,950087678770499585,We Are Top Of The League,BarrySherrick2,Schitt’s Creek,46 years supporting Leyton Orient. Please Make It Stop. #LOFC,,[],False,574,318,0,Sun Jan 07 19:32:09 +0000 2018,9904,,,True,False,5187,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632761793155149824/CSfjZ7n__normal.jpg,https://pbs.twimg.com/profile_images/1632761793155149824/CSfjZ7n__normal.jpg,https://pbs.twimg.com/profile_banners/950087678770499585/1678221484,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:30:03 +0000 2023,1633505367681540097,1633505367681540097,"⚽ FREE #BettingEnginePick ⚽
Todays match between Chelsea Women and Brighton &amp; Hove Albion Women looks great for o2.5 Goals

For more stats visit https://t.co/jwPXTmfp9x

#footballstats #bettingtips #bettingtipster #footballbetting https://t.co/jTqfYKl9vh",False,"[0, 234]","<a href=""https://playthepercentage.com"" rel=""nofollow"">PTP Stat Tweets</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,828546164454748160,828546164454748160,Play The Percentage,PlaythePercent,"City of London, London","The BEST and Most Detailed Football Stats, Betting Tools, In-play Alerts. Get 7 Day Free Trial at https://t.co/zaYMI1xpY9",https://t.co/UnzsMoB5nv,"[{'url': 'https://t.co/zaYMI1xpY9', 'expanded_url': 'http://PlayThePercentage.com/pricing', 'display_url': 'PlayThePercentage.com/pricing', 'indices': [98, 121]}]",False,10425,7646,82,Mon Feb 06 10:09:34 +0000 2017,5099,,,False,False,10764,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1049239352109420545/fEOLAZ7n_normal.jpg,https://pbs.twimg.com/profile_images/1049239352109420545/fEOLAZ7n_normal.jpg,https://pbs.twimg.com/profile_banners/828546164454748160/1581021154,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/UnzsMoB5nv', 'expanded_url': 'https://playthepercentage.com/', 'display_url': 'playthepercentage.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:24:12 +0000 2023,1633503895799439365,1633503895799439365,Speculation continues to mount over his future with the Seagulls #BHAFC #MUFC #CFC #LFC #THFC #MCFC https://t.co/mOmXuTYEJQ,False,"[0, 123]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,954707658854096896,954707658854096896,Matt Pole,mjrpole,West Sussex,"Digital sports journalist for @Sussex_World covering Brighton & Hove Albion, Crawley Town, and Horsham FC. Premier League accredited journalist. Views my own.",https://t.co/xgkdND4Okw,[],False,434,244,1,Sat Jan 20 13:30:18 +0000 2018,271,,,False,False,1716,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1066015506891776000/7Uo6wU_-_normal.jpg,https://pbs.twimg.com/profile_images/1066015506891776000/7Uo6wU_-_normal.jpg,https://pbs.twimg.com/profile_banners/954707658854096896/1554719266,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],"[{'url': 'https://t.co/xgkdND4Okw', 'expanded_url': 'https://muckrack.com/matt-pole', 'display_url': 'muckrack.com/matt-pole', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:54 +0000 2023,1633503568534675461,1633503568534675461,"Leeds United v Brighton &amp; Hove Albion Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Saturday's game at Elland Road

#LUFC #BHAFC 
https://t.co/PcsCbdoSTF https://t.co/8nByE9aQki",False,"[0, 188]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:49 +0000 2023,1633503549593354240,1633503549593354240,Speculation continues to mount over his future with the Seagulls #BHAFC #MUFC #CFC #LFC #THFC #MCFC https://t.co/cvHE0Lm1G1,False,"[0, 123]","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,14981820,14981820,Worthing Herald,Worthing_Herald,"Worthing, West Sussex, UK","News, views, sport and entertainment from the Worthing area. Call 01903 230051 | Email: letters@worthingherald.co.uk | https://t.co/dccEVMejlI",https://t.co/BQhpdW3sVm,"[{'url': 'https://t.co/dccEVMejlI', 'expanded_url': 'http://facebook.com/Worthing.news', 'display_url': 'facebook.com/Worthing.news', 'indices': [119, 142]}]",False,13925,819,213,Mon Jun 02 16:28:24 +0000 2008,682,,,False,True,56074,,False,False,False,25408F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/930439080831315968/kJ6Yedzb_normal.jpg,https://pbs.twimg.com/profile_images/930439080831315968/kJ6Yedzb_normal.jpg,https://pbs.twimg.com/profile_banners/14981820/1644508952,25408F,681227,C4F6FD,000000,False,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/BQhpdW3sVm', 'expanded_url': 'https://www.worthingherald.co.uk/', 'display_url': 'worthingherald.co.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:48 +0000 2023,1633503542366580736,1633503542366580736,"Former Liverpool defender Jamie Carragher lauded Roberto De Zerbi for turning Brighton &amp; Hove Albion into a ‘top team’ competing with the likes of Arsenal and Manchester City. #BHAFC #MCFC #AFC 
https://t.co/rOkunrn97W",False,"[0, 222]","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",,,,,,,,,,False,1,0,False,False,False,en,en,recent,18050075,18050075,West Sussex County Times,wscountytimes,Horsham Sussex UK,West Sussex County Times: newspaper and website - part of https://t.co/toxx66NhPn - for the Horsham district.   Share your news and views with us.,https://t.co/Ws1DJRIvLh,"[{'url': 'https://t.co/toxx66NhPn', 'expanded_url': 'http://sussexworld.co.uk', 'display_url': 'sussexworld.co.uk', 'indices': [58, 81]}]",False,11788,1035,184,Thu Dec 11 15:58:32 +0000 2008,499,,,True,True,50510,,False,False,False,0A678F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/930440381610721280/e46OU8y5_normal.jpg,https://pbs.twimg.com/profile_images/930440381610721280/e46OU8y5_normal.jpg,https://pbs.twimg.com/profile_banners/18050075/1644495358,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/Ws1DJRIvLh', 'expanded_url': 'https://www.sussexexpress.co.uk', 'display_url': 'sussexexpress.co.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:41 +0000 2023,1633503515472699392,1633503515472699392,Speculation continues to mount over his future with the Seagulls #BHAFC #MUFC #CFC #LFC #THFC #MCFC https://t.co/mvQGGDprKm,False,"[0, 123]","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,24897204,24897204,Sussex Express,sussex_express,Lewes,"The Sussex Express Newspaper, covering Lewes and Wealden Districts.",https://t.co/pcJjVPkBW6,[],False,9920,120,166,Tue Mar 17 15:23:23 +0000 2009,163,,,True,True,37924,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/930437401259991041/5YjjKmuc_normal.jpg,https://pbs.twimg.com/profile_images/930437401259991041/5YjjKmuc_normal.jpg,https://pbs.twimg.com/profile_banners/24897204/1604591632,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'https://t.co/pcJjVPkBW6', 'expanded_url': 'https://www.sussexexpress.co.uk/', 'display_url': 'sussexexpress.co.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:39 +0000 2023,1633503506543038464,1633503506543038464,"Former Liverpool defender Jamie Carragher lauded Roberto De Zerbi for turning Brighton &amp; Hove Albion into a ‘top team’ competing with the likes of Arsenal and Manchester City. #BHAFC #MCFC #AFC 
https://t.co/dTo1LIUv1R",False,"[0, 222]","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",,,,,,,,,,False,1,0,False,False,False,en,en,recent,14981820,14981820,Worthing Herald,Worthing_Herald,"Worthing, West Sussex, UK","News, views, sport and entertainment from the Worthing area. Call 01903 230051 | Email: letters@worthingherald.co.uk | https://t.co/dccEVMejlI",https://t.co/BQhpdW3sVm,"[{'url': 'https://t.co/dccEVMejlI', 'expanded_url': 'http://facebook.com/Worthing.news', 'display_url': 'facebook.com/Worthing.news', 'indices': [119, 142]}]",False,13925,819,213,Mon Jun 02 16:28:24 +0000 2008,682,,,False,True,56074,,False,False,False,25408F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/930439080831315968/kJ6Yedzb_normal.jpg,https://pbs.twimg.com/profile_images/930439080831315968/kJ6Yedzb_normal.jpg,https://pbs.twimg.com/profile_banners/14981820/1644508952,25408F,681227,C4F6FD,000000,False,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/BQhpdW3sVm', 'expanded_url': 'https://www.worthingherald.co.uk/', 'display_url': 'worthingherald.co.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:22:37 +0000 2023,1633503497378484227,1633503497378484227,Speculation continues to mount over his future with the Seagulls #BHAFC #MUFC #CFC #LFC #THFC #MCFC https://t.co/p2RlmEJC3P,False,"[0, 123]","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,423537260,423537260,Sport Sussex,SportSussex,Sussex,"Sussex Newspapers sport: Crawley Obs, E'bourne Herald, Hastings Obs, West Sussex County Times, W'thing Herald, Chi Obs, the Middy, Sussex Express, Brighton Indy",https://t.co/vC9GB9i2Ly,[],False,2518,649,16,Mon Nov 28 16:44:34 +0000 2011,503,,,False,False,27893,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2237489907/sportsussexlogo_normal.jpg,https://pbs.twimg.com/profile_images/2237489907/sportsussexlogo_normal.jpg,https://pbs.twimg.com/profile_banners/423537260/1446049436,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/vC9GB9i2Ly', 'expanded_url': 'http://facebook.com/SportSussex', 'display_url': 'facebook.com/SportSussex', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
