created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,possibly_sensitive,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,user.entities.url.urls,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
Wed Mar 08 16:52:59 +0000 2023,1633511140381581312,1633511140381581312,"chelsea beat these lot 5-0 over two games, if we can’t get a result then it’s pure embarrassment especially with how poor they’ve been",False,"[0, 134]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1444700047237582855,1444700047237582855,Dean,THFCDeano_,Wherever tottenham are ,,,[],False,541,673,0,Sun Oct 03 16:25:15 +0000 2021,20792,,,False,False,2988,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1607523890498080769/okNGQ71a_normal.jpg,https://pbs.twimg.com/profile_images/1607523890498080769/okNGQ71a_normal.jpg,https://pbs.twimg.com/profile_banners/1444700047237582855/1672098685,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:56 +0000 2023,1633511125621907458,1633511125621907458,😳🤦🏾🤷🏾‍♂️😵‍💫 What’s the actual plan for Chelsea moving forward with buying all these types of players ?? https://t.co/yK7JNVaVmE,False,"[0, 103]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,0,0,False,False,en,en,recent,1439358961245990913,1439358961245990913,Velly Millz 🇸🇱,velly_millz,"London, England",,,[],False,75,543,0,Sat Sep 18 22:41:46 +0000 2021,5012,,,False,False,1820,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629916048567746572/xMRpoEun_normal.jpg,https://pbs.twimg.com/profile_images/1629916048567746572/xMRpoEun_normal.jpg,https://pbs.twimg.com/profile_banners/1439358961245990913/1674001020,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],1.6335087520610918e+18,1633508752061091840,True,Wed Mar 08 16:43:30 +0000 2023,1.6335087520610918e+18,1633508752061091840,🚨 Breaking: Chelsea and Manchester United are trying to persuade Daichi Kamada to join them instead of Borussia Dortmund who are understood to have a verbal agreement. (@SamiMokbel81_DM @AdrianJKajumba) #CFC https://t.co/u1sM5nGnXb,False,"[0, 207]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,4641709514.0,4641709514,Pys,CFCPys,"London, England ","Co-owner of https://t.co/mAiuTA05V7 - also publisher, writer, marketing lead and podcast host.",https://t.co/dRQWBcNgff,"[{'url': 'https://t.co/dRQWBcNgff', 'expanded_url': 'https://chelseafc365.com/author/cfcpys/', 'display_url': 'chelseafc365.com/author/cfcpys/', 'indices': [0, 23]}]","[{'url': 'https://t.co/mAiuTA05V7', 'expanded_url': 'https://chelseafc365.com', 'display_url': 'chelseafc365.com', 'indices': [12, 35]}]",False,294762.0,6478.0,1108.0,Thu Dec 24 06:35:19 +0000 2015,552440.0,,,False,False,61374.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1562232113251979264/zZN3Qzdy_normal.jpg,https://pbs.twimg.com/profile_images/1562232113251979264/zZN3Qzdy_normal.jpg,https://pbs.twimg.com/profile_banners/4641709514/1666663457,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,False,89.0,905.0,False,False,False,en,,,,,,,,,,,,,
Wed Mar 08 16:52:55 +0000 2023,1633511123600252945,1633511123600252945,"@1221Dtr @amadoit__ 3ATB works well for Chelsea check the most  games Potter won was with 3ATB 
For me it's the best formation for this team 
And it's brings out the best from chilwell and James",False,"[20, 194]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335098241293885e+18,1633509824129388545,1.4326825731807846e+18,1432682573180784647,1221Dtr,,,,,False,0,0,False,False,en,en,recent,1338838177642057731,1338838177642057731,Nwadyke,Nwadyke4,,"#NFT collab manager, @GExplorersNFT collab manager,
#Crypto enthusiast
#freemint #CFC 
football lover",,[],False,259,491,0,Tue Dec 15 13:28:07 +0000 2020,2405,,,False,False,875,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1565021723833024512/FKXCpvSM_normal.jpg,https://pbs.twimg.com/profile_images/1565021723833024512/FKXCpvSM_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:54 +0000 2023,1633511117933748241,1633511117933748241,@Alezxious @LPHoldIt @ibzsmo3k Bro started watching Chelsea this season it seems,False,"[31, 80]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633509972167258e+18,1633509972167258112,1.622295339750277e+18,1622295339750277120,Alezxious,,,,,False,0,0,False,False,en,en,recent,1288666872062386177,1288666872062386177,factosmerchant,spaceman283,Barbados,Professional Waffler. Agri Major. Chelsea supporter 💙 🤍,,[],False,8,112,0,Thu Jul 30 02:45:21 +0000 2020,288,,,False,False,276,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627875178704171009/-dQenweT_normal.jpg,https://pbs.twimg.com/profile_images/1627875178704171009/-dQenweT_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:53 +0000 2023,1633511115593220097,1633511115593220097,@nocontextfooty Chelsea thought they were buying Modric. Thats what happens when you buy things online.,False,"[16, 103]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335098898833736e+18,1633509889883373570,1.1119767780657234e+18,1111976778065723393,nocontextfooty,,,,,False,0,0,False,False,en,en,recent,1512176947467587590,1512176947467587590,Johnny,wokelesshuman,,"No filter, no bs. You wish I hadn’t join twitter",,[],False,2,18,1,Thu Apr 07 21:16:07 +0000 2022,19,,,False,False,1760,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1512180036367011841/oDqzr49j_normal.jpg,https://pbs.twimg.com/profile_images/1512180036367011841/oDqzr49j_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:49 +0000 2023,1633511098778374146,1633511098778374146,"Lebouef: ""...technically he was perfect. Koulibaly, top of the top. Everybody was spot on. that is the Chelsea we want to see. It is something I did not see for a while. A team not calculating too much, a team thinking of going forward, putting pace in the game.""",False,"[0, 263]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335110137724027e+18,1633511013772402709,1.5258268132048282e+18,1525826813204828167,TheOgidiBrown,,,,,False,0,1,False,False,en,en,recent,1525826813204828167,1525826813204828167,CFC News Global,TheOgidiBrown,,Anything #CFC with all the authentic news and transfer updates. Dm for promo and adds,,[],False,3127,2422,0,Sun May 15 13:14:10 +0000 2022,16076,,,False,False,17924,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1559642332387049472/vFnFzKl8_normal.jpg,https://pbs.twimg.com/profile_images/1559642332387049472/vFnFzKl8_normal.jpg,https://pbs.twimg.com/profile_banners/1525826813204828167/1660682694,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:33 +0000 2023,1633511029547368449,1633511029547368449,Mens genuine Leather Pointy toe Chelsea Boots Cuban heels dress shoes https://t.co/mOUzcvj8WB eBay https://t.co/UAHcATNdkj,False,"[0, 98]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1372034072323661825,1372034072323661825,Casual Shoes Men,CasualShoesMen1,,Men's Casual Shoes. Selected Items. Product Information. Daily Updated (eBay Links),https://t.co/69jL6IfWTc,[],False,81,6,0,Wed Mar 17 03:56:37 +0000 2021,0,,,False,False,54688,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1372034150593568771/bxWkEjKL_normal.jpg,https://pbs.twimg.com/profile_images/1372034150593568771/bxWkEjKL_normal.jpg,https://pbs.twimg.com/profile_banners/1372034072323661825/1615953631,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/69jL6IfWTc', 'expanded_url': 'https://www.pinterest.com/CasualShoesMensCm/casual-shoes-mens/', 'display_url': 'pinterest.com/CasualShoesMen…', 'indices': [0, 23]}]",,,,,,,,,,,,
Wed Mar 08 16:52:32 +0000 2023,1633511025143324672,1633511025143324672,@BaaBaaBet @realmadriden @Arsenal @AvaxScheun @Nirund14 @aaronntay @CharlieAVAX @ItzStr8Luck @cryptochimba @RicardOruka @GuyByTheStreet See Tuchel now. From top manager to mediocre because he took the job at Chelsea.,False,"[136, 216]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6335100437642732e+18,1633510043764273153,1.591683787456389e+18,1591683787456389120,BaaBaaBet,,,,,False,0,1,False,False,en,en,recent,160572781,160572781,zizou.avax,zi_dune,,Retired soccer player. Humble man.,,[],False,2,2,0,Mon Jun 28 15:11:53 +0000 2010,11,,,False,False,19,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1628321745315971074/P3jfV8p9_normal.jpg,https://pbs.twimg.com/profile_images/1628321745315971074/P3jfV8p9_normal.jpg,https://pbs.twimg.com/profile_banners/160572781/1677057308,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:30 +0000 2023,1633511017673105412,1633511017673105412,Lady Arabella Lennox-Boyd was born in Rome and later settled in London studying landscape architecture for 7 years. She has won six Chelsea Golds and created over 450 gardens all over the world in her 45-years international career ever since https://t.co/m0vMakiXGk,False,"[0, 241]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.633511003869651e+18,1633511003869650962,9.858138103249183e+17,985813810324918272,EtretatGardens,,,,,False,0,0,False,False,en,en,recent,985813810324918272,985813810324918272,Jardins d’Étretat,EtretatGardens,"Etretat, France",Remarkable topiary garden and open-air art space in Étretat 🌚,https://t.co/Wg3MWU48YB,[],False,108,4,5,Mon Apr 16 09:35:02 +0000 2018,88,,,False,False,368,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/985815565762748416/XvR33rdc_normal.jpg,https://pbs.twimg.com/profile_images/985815565762748416/XvR33rdc_normal.jpg,https://pbs.twimg.com/profile_banners/985813810324918272/1579197416,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Wg3MWU48YB', 'expanded_url': 'http://etretatgarden.fr', 'display_url': 'etretatgarden.fr', 'indices': [0, 23]}]",,,,,,,,,,,,
Wed Mar 08 16:52:29 +0000 2023,1633511013772402709,1633511013772402709,"Frank Lebouef: ""Finally, we have found a Chelsea team playing the way I would love the football to be played. Going forward, not just trying to get possession but going forward, forward fast. Cucurella, fantastic. Havertz, fantastic. Did a great game, tried a lot, worked a lot...",False,"[0, 280]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,1525826813204828167,1525826813204828167,CFC News Global,TheOgidiBrown,,Anything #CFC with all the authentic news and transfer updates. Dm for promo and adds,,[],False,3127,2422,0,Sun May 15 13:14:10 +0000 2022,16076,,,False,False,17924,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1559642332387049472/vFnFzKl8_normal.jpg,https://pbs.twimg.com/profile_images/1559642332387049472/vFnFzKl8_normal.jpg,https://pbs.twimg.com/profile_banners/1525826813204828167/1660682694,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
