created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.possibly_sensitive,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str
Wed Mar 08 16:52:37 +0000 2023,1633511049356800000,1633511049356800000,"If you don't get the reference just check the media. They love calling us, and well most passionate fanbases, boo boys.

Add to that someone being kind enough to add an Everton Kit to this sticker, which has now become a well-loved and used meme around here. 🤣🤣 https://t.co/m59jOHL8kg",False,"[0, 261]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334936135595459e+18,1633493613559545859,24218521.0,24218521,evertonibrow,,,,,False,0,0,False,False,False,en,en,recent,24218521,24218521,Everton (Eye)Brow 💙,evertonibrow,"Everton, England","NOT PLOD ⛔️👮🏻 Wool Ally - they come in pey wet✌🏻👽. STH in PE6 #Everton. 💙 - an honest review: ‘your humour just seemed Male, that’s a good quality’",https://t.co/mhgKC7rDbb,"[{'url': 'https://t.co/mhgKC7rDbb', 'expanded_url': 'https://twitter.com/i/communities/1539927741302185985', 'display_url': 'twitter.com/i/communities/…', 'indices': [0, 23]}]",[],False,5961,3936,17,Fri Mar 13 18:11:45 +0000 2009,39694,,,True,False,42496,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1605228850211962883/AgI3TZhZ_normal.jpg,https://pbs.twimg.com/profile_images/1605228850211962883/AgI3TZhZ_normal.jpg,https://pbs.twimg.com/profile_banners/24218521/1646516487,000000,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:27 +0000 2023,1633511004452659205,1633511004452659205,@Finn77Finn @tootsbootsuk @Everton @BWBootsUK My boots never needed cleaning after the game 😂😂,False,"[46, 94]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633459648480043e+18,1633459648480043008,2565162826.0,2565162826,Finn77Finn,,,,,False,0,0,False,False,,en,en,recent,1486017515008495619,1486017515008495619,Daz,dazroberts1978,"North West, England",Beer 🍻,,,[],False,97,134,0,Tue Jan 25 16:46:32 +0000 2022,769,,,True,False,786,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1604207856126988289/ARPQNl3v_normal.jpg,https://pbs.twimg.com/profile_images/1604207856126988289/ARPQNl3v_normal.jpg,https://pbs.twimg.com/profile_banners/1486017515008495619/1665673292,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],151b9e91272233d1,https://api.twitter.com/1.1/geo/id/151b9e91272233d1.json,city,Liverpool,"Liverpool, England",GB,United Kingdom,[],Polygon,"[[[-3.008791, 53.36489], [-2.822063, 53.36489], [-2.822063, 53.474867], [-3.008791, 53.474867]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:13 +0000 2023,1633510947783417868,1633510947783417868,@timmy__leyin You support Everton and sanwo olu,False,"[14, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6334864575317606e+18,1633486457531760640,1.240333460096639e+18,1240333460096638976,timmy__leyin,,,,,False,0,0,False,False,,en,en,recent,1491801797341499394,1491801797341499394,WWWWWarlo,AKChrismarlo,This is a Fictional Character ,Cozy Cuzz.,https://t.co/WxcH2SRUjS,"[{'url': 'https://t.co/WxcH2SRUjS', 'expanded_url': 'http://ARSENAL.COM', 'display_url': 'ARSENAL.COM', 'indices': [0, 23]}]",[],False,4025,402,3,Thu Feb 10 15:52:15 +0000 2022,16658,,,True,False,30694,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1627068335732162562/w6ZFnOLF_normal.jpg,https://pbs.twimg.com/profile_images/1627068335732162562/w6ZFnOLF_normal.jpg,https://pbs.twimg.com/profile_banners/1491801797341499394/1657953002,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:09 +0000 2023,1633510930209464321,1633510930209464321,"@tmb748 @PLforIndia @Everton I mean, it's actually commendable but still 😭😭😭",False,"[29, 76]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335100326116065e+18,1633510032611606529,8.025822921536922e+17,802582292153692160,tmb748,,,,,False,0,0,False,False,,en,en,recent,1151145117006176257,1151145117006176257,Muskan 🌻,muskan07chauhan,Abyss,Don't let the muggles get you down. Philosophy ll Cfc,,,[],False,323,78,0,Tue Jul 16 15:02:37 +0000 2019,16815,,,True,False,2818,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623695300354506756/GI4EAlRh_normal.jpg,https://pbs.twimg.com/profile_images/1623695300354506756/GI4EAlRh_normal.jpg,https://pbs.twimg.com/profile_banners/1151145117006176257/1670517614,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:51:28 +0000 2023,1633510757873664001,1633510757873664001,@everton_toffee1 🤣 I don't even know who it was I meant to comment on Haha.,False,"[17, 75]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335104364012954e+18,1633510436401295361,8.215144376643748e+17,821514437664374787,everton_toffee1,,,,,False,0,0,False,False,,en,en,recent,1880532696,1880532696,Paul,pdwyer1987,"Liverpool, England",Everton,,,[],False,889,1070,4,Wed Sep 18 19:14:26 +0000 2013,16549,,,True,False,19775,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1123527066958422016/XmchdXvd_normal.jpg,https://pbs.twimg.com/profile_images/1123527066958422016/XmchdXvd_normal.jpg,https://pbs.twimg.com/profile_banners/1880532696/1654327825,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:49 +0000 2023,1633510595654811648,1633510595654811648,"I’m selling tickets I got for Chelsea Vs Everton on Saturday 18th march,my girlfriend and i are having our baby sooner than expected so we can’t be at the game.Anyone interested message ma. #cfc #ChelseaFC #Chelsea #blues",False,"[0, 221]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1608620776537595904,1608620776537595904,Micheal Zimmer,michealzim66543,"London, England",Landscaper\\Photographer\\Blues old account is no more.🤍💙,,,[],False,4,160,0,Fri Dec 30 00:27:50 +0000 2022,0,,,False,False,223,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616042695943770112/C1zOghvF_normal.jpg,https://pbs.twimg.com/profile_images/1616042695943770112/C1zOghvF_normal.jpg,https://pbs.twimg.com/profile_banners/1608620776537595904/1673604646,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:40 +0000 2023,1633510556341608467,1633510556341608467,Elsewhere Aston Villa remain level on points at the top of the Northern Section with a 3-2 home win against Manchester City. Third-placed Durham won 2-1 away at Everton. Birmingham City climb a place to fourth after recording a 4-1 home win against Leicester City.,False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335067061215232e+18,1633506706121523200,46643528.0,46643528,sjbakes,,,,,False,0,0,False,False,,en,en,recent,46643528,46643528,Steve Baker,sjbakes,Timperley,Freelance Graphic Designer. South Manchester. MUFC / MUWFC / Alty FC,,,[],False,1137,4998,2,Fri Jun 12 12:48:13 +0000 2009,18317,,,True,False,3124,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_images/1593367995736276994/2t8eDXLX_normal.jpg,https://pbs.twimg.com/profile_banners/46643528/1455193641,2FC2EF,FFFFFF,252429,666666,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:11 +0000 2023,1633510436401295361,1633510436401295361,"@pdwyer1987 Was trying work it out since you posted it, had me well bemused, had to ask in the end 🤣",False,"[12, 100]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633508422523003e+18,1633508422523002888,1880532696.0,1880532696,pdwyer1987,,,,,False,0,1,False,False,,en,en,recent,821514437664374787,821514437664374787,James Ⓜ️,everton_toffee1,United Kingdom,"Everton fan, you don’t need to DM me thanking for the follow, I only clicked the follow button, its not like I offered you one of my kidneys",,,[],False,5698,4997,9,Wed Jan 18 00:27:59 +0000 2017,12915,,,False,False,10849,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139431001782988801/F3jRjIXO_normal.jpg,https://pbs.twimg.com/profile_images/1139431001782988801/F3jRjIXO_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:49:54 +0000 2023,1633510361570713601,1633510361570713601,"@princemarwin2 @LukeSumner101 @Carra23 @GNev2 Schneiderlin was 25M, not 35M, and Lukaku went for more when he was 28. You bought him at 24 when there is resell value. I'll give you Bailly, although it was during a window where Stones went for 50M (Everton's goals conceded was 15th that season) so 30M not a huge fee.",False,"[46, 317]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6334012268671386e+18,1633401226867138560,1138900321.0,1138900321,princemarwin2,,,,,False,0,0,False,False,,en,en,recent,1079555201537699840,1079555201537699840,RealTronaldDump Parody,Tronald_J_Dump1,,,,,[],False,23,86,0,Mon Dec 31 01:49:52 +0000 2018,406,,,False,False,3261,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328239777456525313/pERfHbXS_normal.jpg,https://pbs.twimg.com/profile_images/1328239777456525313/pERfHbXS_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:49:53 +0000 2023,1633510358974357504,1633510358974357504,@Mourinhian_v2 @Sahil_Adhikaari You’ll still choose United to boil his blood. Everton fans in New Delhi kmn 🤣🤣🤣🤣,False,"[32, 112]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6334833584823706e+18,1633483358482370561,1.5272340223713403e+18,1527234022371340288,Mourinhian_v2,,,,,False,0,0,False,False,,en,en,recent,1335327298426339328,1335327298426339328,AJ,UtdBrunoJr,,Master of sports slander. phD in banter. Tweet to spread smiles. Football | Cricket | Entertainment,,,[],False,209,415,0,Sat Dec 05 20:57:01 +0000 2020,16207,,,True,False,8689,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1511963502969503746/98c5do9I_normal.jpg,https://pbs.twimg.com/profile_images/1511963502969503746/98c5do9I_normal.jpg,https://pbs.twimg.com/profile_banners/1335327298426339328/1672795391,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
