created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.possibly_sensitive,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.place.id,quoted_status.place.url,quoted_status.place.place_type,quoted_status.place.name,quoted_status.place.full_name,quoted_status.place.country_code,quoted_status.place.country,quoted_status.place.contained_within,quoted_status.place.bounding_box.type,quoted_status.place.bounding_box.coordinates
Wed Mar 08 16:53:09 +0000 2023,1633511181267738629,1633511181267738629,"@SouthamptonPage @SaintRob__ @saintsworldfc Need something. Anything out of these games would be a bonus. We need a win out of either Fulham, Brentford or Brighton so would be nice to get Brentford. Never know how Spurs r gunna play but Kane/Son own us",False,"[44, 252]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334772279867064e+18,1633477227986706435,8.414340750805975e+17,841434075080597509,SouthamptonPage,,,,,False,0,0,False,False,en,en,recent,1565746798739816448,1565746798739816448,Ben Webb,B_webb2003,,,,[],False,28,62,1,Fri Sep 02 17:01:59 +0000 2022,46407,,,False,False,2841,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1617148128674676739/e7FTaWI0_normal.jpg,https://pbs.twimg.com/profile_images/1617148128674676739/e7FTaWI0_normal.jpg,https://pbs.twimg.com/profile_banners/1565746798739816448/1662139377,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:54 +0000 2023,1633510616441790480,1633510616441790480,"@SkySportsNews 2 wins in 12 with last year's Champions is pretty bad.
He was lucky getting the Fulham and Bournemouth jobs when he did",False,"[15, 134]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334987010576466e+18,1633498701057646594,108568373.0,108568373,SkySportsNews,,,,,False,0,0,False,False,en,en,recent,2347226481,2347226481,Matthew Crowther,MattCrowther85,Sheffield,,,[],False,55,246,0,Sun Feb 16 17:59:23 +0000 2014,1405,,,False,False,2241,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1427901180496207874/KaLR1XWB_normal.jpg,https://pbs.twimg.com/profile_images/1427901180496207874/KaLR1XWB_normal.jpg,https://pbs.twimg.com/profile_banners/2347226481/1397988829,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:50:53 +0000 2023,1633510612016721920,1633510612016721920,"For #InternationalWomensDay today Fulham FC Foundation invited local schools to take part in the #LetGirlsPlay Biggest Ever Football Session.

Well done to all the girls who took part! ⚽

#FulhamFamily https://t.co/5Z9IfWafZE",False,"[0, 201]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,2509895468,2509895468,Fulham FC Foundation,FulhamFCFound,"Craven Cottage, London","The official charity of @FulhamFC, helping to build a healthy, inclusive and thriving community.",https://t.co/kOr8Qkx1bG,[],False,4793,292,56,Tue May 20 09:48:56 +0000 2014,2273,,,True,False,5435,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1572934483883565058/blmR0pTh_normal.jpg,https://pbs.twimg.com/profile_images/1572934483883565058/blmR0pTh_normal.jpg,https://pbs.twimg.com/profile_banners/2509895468/1591108600,D71C2B,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/kOr8Qkx1bG', 'expanded_url': 'https://soccerschools.fulhamfc.com/soccerschools/index.htm#', 'display_url': 'soccerschools.fulhamfc.com/soccerschools/…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:49:29 +0000 2023,1633510259015954433,1633510259015954433,"@Skhomo23 Fulham away is giving me sleepless nights , I don't care much about tomorrow",False,"[10, 86]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6335098512036086e+18,1633509851203608596,263703399.0,263703399,Skhomo23,,,,,False,0,0,False,False,en,en,recent,3329681463,3329681463,Big Six,jerry_mphumzi2,"Cape Town, South Africa",Kaizer Chiefs& Arsenal 💛✌️ #COYG .. flip flopper . Faf du Plessis and Granit Xhaka's Stan account,,[],False,270,665,1,Tue Jun 16 16:06:27 +0000 2015,5624,,,False,False,10405,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1590568459754168321/cqJFSkcJ_normal.jpg,https://pbs.twimg.com/profile_images/1590568459754168321/cqJFSkcJ_normal.jpg,https://pbs.twimg.com/profile_banners/3329681463/1652079017,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:49:06 +0000 2023,1633510161967980554,1633510161967980554,"📢📢📢

Don't forget that the deadline for members to submit an application for our small grants round it THIS FRIDAY!

To apply please visit: https://t.co/sXWbUVBlsf

#yhff #hammersmith #fulham #smallgrants",False,"[0, 204]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,855677220567777280,855677220567777280,Young H&F,youngh_f,London Borough of Hammersmith ,Our vision is to make Hammersmith & Fulham the best place in London to be a young person,https://t.co/jwsLbJzAed,[],False,1496,744,15,Sat Apr 22 06:58:41 +0000 2017,3085,,,True,False,723,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1310997217948372994/eiMkeQCW_normal.jpg,https://pbs.twimg.com/profile_images/1310997217948372994/eiMkeQCW_normal.jpg,https://pbs.twimg.com/profile_banners/855677220567777280/1600765518,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/jwsLbJzAed', 'expanded_url': 'https://linktr.ee/young_hff', 'display_url': 'linktr.ee/young_hff', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:49:00 +0000 2023,1633510136005140482,1633510136005140482,"@GrizzKhan With our fixtures it looks like his next opportunity to be involved would be Man City April 1st, only got Bournemouth, Real Madrid then a few weeks off coz Fulham game was postponed.",False,"[11, 193]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6335077279629312e+18,1633507727962931201,503568949.0,503568949,GrizzKhan,,,,,False,0,0,False,False,en,en,recent,793478618,793478618,Carl White,CarlWhite83,"Hessle, England",,,[],False,149,366,16,Fri Aug 31 09:26:30 +0000 2012,49,,,True,False,38952,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/816353698070794240/tKkzJ3rL_normal.jpg,https://pbs.twimg.com/profile_images/816353698070794240/tKkzJ3rL_normal.jpg,https://pbs.twimg.com/profile_banners/793478618/1391121082,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:47:11 +0000 2023,1633509678863851530,1633509678863851530,@scottjwillis Fulham’s season is wild,False,"[14, 37]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335093064391926e+18,1633509306439192576,304575262.0,304575262,scottjwillis,,,,,False,0,0,False,False,en,en,recent,844671230255009792,844671230255009792,Billy,Billy_LDN_,,,,[],False,98,678,0,Wed Mar 22 22:04:49 +0000 2017,11094,,,False,False,14418,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1604882307743158280/IJF-VASV_normal.jpg,https://pbs.twimg.com/profile_images/1604882307743158280/IJF-VASV_normal.jpg,,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:46:10 +0000 2023,1633509424168935430,1633509424168935430,"United Vs Fulham FA Cup tickets 🎟️ 
Sunday 19th March 
X2 tickets 
NE3418 padded seat

DM if interested https://t.co/R6JmeiAXdH",False,"[0, 103]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1513584299336998918,1513584299336998918,FLASH TICKETS,utdflashtickets,United Kingdom,Tickets 🎟,,[],False,768,1076,1,Mon Apr 11 18:26:45 +0000 2022,59,,,False,False,171,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1513584595421339648/vU5b6XU8_normal.jpg,https://pbs.twimg.com/profile_images/1513584595421339648/vU5b6XU8_normal.jpg,https://pbs.twimg.com/profile_banners/1513584299336998918/1676829484,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:46:06 +0000 2023,1633509407295250449,1633509407295250449,@CathalRobinson @GrizzKhan Yep. Fulham game postponed because of FA round.,False,"[27, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633508541083394e+18,1633508541083394061,2691173146.0,2691173146,CathalRobinson,,,,,False,0,0,False,False,en,en,recent,1213466328180244480,1213466328180244480,𝓢𝓱𝓾,Shu7e,,Think. Dream. Dare. Believe.,,[],False,649,305,1,Sat Jan 04 14:25:01 +0000 2020,51172,,,False,False,29821,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629661088349409280/Rzt8cpes_normal.jpg,https://pbs.twimg.com/profile_images/1629661088349409280/Rzt8cpes_normal.jpg,https://pbs.twimg.com/profile_banners/1213466328180244480/1678102196,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:45:59 +0000 2023,1633509377855598594,1633509377855598594,New #job: Head of Domestic Abuse Services - Hammersmith Location: Hammersmith and Fulham Salary: £48kpa - £58kpa .. https://t.co/6Ko8xL8wAn #rehabilitationjobs,False,"[0, 159]","<a href=""http://www.broadbean.com"" rel=""nofollow"">Adcourier</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,613521707,613521707,Servoca Resourcing,ServocaPolicing,Central London,"Providers of rehabilitation, investigation, enforcement and intelligence skilled resource and support to the Police, Probation, Public and Commercial Sectors.",https://t.co/xcPM82pci1,[],False,377,358,13,Wed Jun 20 15:27:11 +0000 2012,660,,,False,False,2966,,False,False,False,D0D3E8,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/666215799733018625/udeAPxIx_normal.jpg,https://pbs.twimg.com/profile_images/666215799733018625/udeAPxIx_normal.jpg,https://pbs.twimg.com/profile_banners/613521707/1464239200,1F98C7,FFFFFF,DAECF4,663B12,True,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/xcPM82pci1', 'expanded_url': 'http://www.servocaresourcing.com', 'display_url': 'servocaresourcing.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
