created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.user.entities.url.urls,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.possibly_sensitive,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
Wed Mar 08 16:53:26 +0000 2023,1633511252092698624,1633511252092698624,"@UtdPlug Martials contract should be terminated ffs.
This guy is a burden to Manchester United with Ballon D'or clause 🤦‍♂️",False,"[9, 123]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6334532153866158e+18,1633453215386615808,1599057055.0,1599057055,UtdPlug,,,,,False,0,0,False,False,en,en,recent,277130934,277130934,fReezone,freezone20,IG |SC |Tiktok @freezone20,BurnaBoy🦍| Yorubadboy🙋‍♂️| MUFC❤| REAL MADRID🤍,,[],False,4148,4086,3,Mon Apr 04 19:18:51 +0000 2011,8838,,,True,False,54782,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1564548969375612928/m54kELKu_normal.jpg,https://pbs.twimg.com/profile_images/1564548969375612928/m54kELKu_normal.jpg,https://pbs.twimg.com/profile_banners/277130934/1661851113,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:23 +0000 2023,1633511239279157248,1633511239279157248,@RMlibf @sportbible Manchester United and Liverpool are bigger than Madrid,False,"[20, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6335021340575416e+18,1633502134057541635,1.2605508831311708e+18,1260550883131170816,RMlibf,,,,,False,0,0,False,False,en,en,recent,1422642024650579970,1422642024650579970,footballers who lift 💪🏽🏋🏽,football_muscIe,"Brighton, England",Collection of footballers with best bodies ⚽️,,[],False,241,190,3,Tue Aug 03 19:34:38 +0000 2021,1807,,,False,False,5260,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1540237354606202880/udW_PLEP_normal.jpg,https://pbs.twimg.com/profile_images/1540237354606202880/udW_PLEP_normal.jpg,https://pbs.twimg.com/profile_banners/1422642024650579970/1641797491,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:22 +0000 2023,1633511235193847808,1633511235193847808,"Chelsea and Manchester United are trying to persuade Daichi Kamada to join them instead of Borussia Dortmund who are understood to have a verbal agreement.

 [@SamiMokbel81_DM]",False,"[0, 176]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1072919658104270849,1072919658104270849,Williams ©️,CFCNewsReport,,"Reporting all latest news for Chelsea FC. Transfer Rumors. Quotes, Opinions, Stats. #DM for #advert placement #KTBFFH",https://t.co/qjA1d9AM41,[],False,85062,195,367,Wed Dec 12 18:22:35 +0000 2018,14288,,,False,False,28168,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1399432048750776323/H1CzBOQY_normal.jpg,https://pbs.twimg.com/profile_images/1399432048750776323/H1CzBOQY_normal.jpg,https://pbs.twimg.com/profile_banners/1072919658104270849/1622205691,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'https://t.co/qjA1d9AM41', 'expanded_url': 'https://www.facebook.com/ReportingChelseaNews/', 'display_url': 'facebook.com/ReportingChels…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:16 +0000 2023,1633511211231789056,1633511211231789056,"Selling 3x Manchester United vs Real Betis tickets for tomorrow …. Please dm me if interested❤️🤍❤️

#ManchesterUnited #MUFC #NEWM #mufcspares #ManchesterUnitedTickets #mufctickets #ticketsforsale",False,"[0, 195]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,300625088,300625088,Patrick Olivier,chareden11,,Gracias🖇️Easy minded… love exploring round the universe 🌎🌎#ManchesterUnited great fan ❤️❤️❤️GGMU🔥🔥🔥,,[],False,589,20,0,Wed May 18 02:35:14 +0000 2011,209,,,False,False,71,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1632082690563244032/FMUadZfR_normal.jpg,https://pbs.twimg.com/profile_images/1632082690563244032/FMUadZfR_normal.jpg,https://pbs.twimg.com/profile_banners/300625088/1677953822,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:15 +0000 2023,1633511208090312717,1633511208090312717,Manchester United FC 1916. #MUFC #UTFR #GGMU #ManchesterUnited https://t.co/VDHHExC0W8,False,"[0, 62]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,842375013105831939,842375013105831939,Paul English,paulenglish1961,"East, England","Cockney Red since birth. Utd collector for 50 years, especially the United Image. A genuine account, you’ll get a bit of history & some personal recollections.",,[],False,36592,36457,59,Thu Mar 16 14:00:28 +0000 2017,97888,,,True,False,25171,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1147402815100338176/M-jIT_jG_normal.jpg,https://pbs.twimg.com/profile_images/1147402815100338176/M-jIT_jG_normal.jpg,https://pbs.twimg.com/profile_banners/842375013105831939/1562159026,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:09 +0000 2023,1633511183369084938,1633511183369084938,NEWS: Manchester United’s 7-0 loss to Liverpool makes them 14 points behind Arsenal but Manchester United have a game in hand,False,"[0, 125]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,1489569800296796164,1489569800296796164,The Football Times,ThePro7777,,Its Football not Soccer,,[],False,0,15,0,Fri Feb 04 12:01:54 +0000 2022,25,,,False,False,11,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633479442096857088/f4P9xlrn_normal.jpg,https://pbs.twimg.com/profile_images/1633479442096857088/f4P9xlrn_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:53:08 +0000 2023,1633511178524835841,1633511178524835841,When i was young i used to think Manchester united is a big club&gt;&gt;&gt; lmao😂😂,False,"[0, 83]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,1618265821507207168,1618265821507207168,m.rod_ney,rod_neeey,,,,[],False,79,193,0,Wed Jan 25 15:13:45 +0000 2023,75,,,False,False,7,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1618266165821820929/RYZizJN5_normal.jpg,https://pbs.twimg.com/profile_images/1618266165821820929/RYZizJN5_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:41 +0000 2023,1633511066045935616,1633511066045935616,"@Jinchuruki_ Nah Messi to barca is kinda expected, but Ronaldo to Manchester United wasn't",False,"[13, 90]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.633506729920168e+18,1633506729920167936,1.413158578114818e+18,1413158578114818053,Jinchuruki_,,,,,False,0,0,False,False,en,en,recent,1276825208679043075,1276825208679043075,QaTravis 🇶🇦,UTDTravis,"Manchester, England",@ManUtd | Rashford | Cristiano | #RashfordfortheBallondor,,[],False,2356,1301,9,Sat Jun 27 10:30:43 +0000 2020,52133,,,True,False,46929,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630512312309403649/e9FWJTjl_normal.jpg,https://pbs.twimg.com/profile_images/1630512312309403649/e9FWJTjl_normal.jpg,https://pbs.twimg.com/profile_banners/1276825208679043075/1671733566,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:24 +0000 2023,1633510991219621891,1633510991219621891,"🚨 BREAKING: 

Chelsea and Manchester United are trying to persuade Daichi Kamada to join them instead of Borussia Dortmund who are understood to have a verbal agreement. @SamiMokbel81_DM #MUFC 💰 https://t.co/J8boy0maln",False,"[0, 194]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,en,recent,1545822676907876354,1545822676907876354,🌑,UTDwhales,"Manchester, England","⚫📱Covering Manchester united Updates,News,Stat,Picture,Quotes, Match Coverage and Much More | @manutd | #MUFC",,[],False,3030,2987,3,Sat Jul 09 17:30:38 +0000 2022,21319,,,True,False,12092,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1625104810113392640/2QYpf133_normal.jpg,https://pbs.twimg.com/profile_images/1625104810113392640/2QYpf133_normal.jpg,https://pbs.twimg.com/profile_banners/1545822676907876354/1672826793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:52:13 +0000 2023,1633510946189475841,1633510946189475841,"2x Manchester United v Southampton tickets available dm for details 

#MUFC #Mufctickets 
#Manutd #Mufcspares 
#unitedtickets",False,"[0, 125]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1238396429183389696,1238396429183389696,Pablo_Mufc,Laikan_mufc,"Belfast, Northern Ireland",,,[],False,26,338,0,Fri Mar 13 09:28:23 +0000 2020,260,,,True,False,209,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628521418471219200/bW9bU00c_normal.jpg,https://pbs.twimg.com/profile_images/1628521418471219200/bW9bU00c_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
