created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
Wed Mar 08 16:25:56 +0000 2023,1633504333072408587,1633504333072408587,"West Ham United v Aston Villa Players' Combined Premier League Goals &amp; Assists Season 2022-23 ahead of Sunday's game at the London Stadium

#COYI #AVFC 
https://t.co/PcsCbdoSTF https://t.co/Gl8LN1tuZH",False,"[0, 180]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:21:08 +0000 2023,1633503125305794579,1633503125305794579,"West Ham United v Aston Villa All-Time Premier League Match Records ahead of Sunday's game at the London Stadium

Hammers Wins: 14
Draws: 20
Villa Wins: 13
Goals Scored: Hammers 52-51 Villa     

#COYI #AVFC 
https://t.co/v4MECNIdyL https://t.co/EL7GPCHg4Y",False,"[0, 232]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,28966660,28966660,Soccer Facts,Soccer_Stats,Earth,"Owner & Webmaster of @MyFootballFacts Premier League, FIFA World Cup, Football predictions, Football results,  Football quiz, Football stats, Football games",https://t.co/HSfCm8wPDe,"[{'url': 'https://t.co/HSfCm8wPDe', 'expanded_url': 'https://www.myfootballfacts.com', 'display_url': 'myfootballfacts.com', 'indices': [0, 23]}]",[],False,6368,5069,121,Sun Apr 05 09:50:19 +0000 2009,85,,,False,False,95286,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_images/1418519977355841539/AzovtKAZ_normal.png,https://pbs.twimg.com/profile_banners/28966660/1489985552,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:15:53 +0000 2023,1633501804238446592,1633501804238446592,"To celebrate international women's day, west ham united players wore tops bearing the names of the special women in their lives. Nayef Aguerd with the name of his mother at the back ❤️ https://t.co/l46OTRtv93",False,"[0, 184]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,2,False,False,False,en,en,recent,1611906347305402369,1611906347305402369,🎖️🇲🇦,LionsTalk__,,your source for everything about Moroccan players.Follow us for news/stats/leaks/comps/excls 🛎️🇲🇦,,,[],False,126,5,0,Sun Jan 08 02:03:37 +0000 2023,34,,,False,False,278,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1626486790629515268/2iOHx4Aj_normal.jpg,https://pbs.twimg.com/profile_images/1626486790629515268/2iOHx4Aj_normal.jpg,https://pbs.twimg.com/profile_banners/1611906347305402369/1676620108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:11:21 +0000 2023,1633500661273989120,1633500661273989120,"Every word David Moyes said on West Ham’s AEK Larnaca tie, Europa Conference League and pressure https://t.co/Jd2qKhAM9X #championsleague #footballnews #soccernews #footballfans #footballers",False,"[0, 190]","<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1608342563852894208,1608342563852894208,Topviewsports,Topviewsports1,Earth,"Promoting Sports with Passion
As A Lifestyle
Our team not only is hired to manage and produce events, but we also own and have been producing our owns events si",https://t.co/qW8rPaOJUF,"[{'url': 'https://t.co/qW8rPaOJUF', 'expanded_url': 'https://www.topviewsports.com/', 'display_url': 'topviewsports.com', 'indices': [0, 23]}]",[],False,2,2,0,Thu Dec 29 06:02:25 +0000 2022,0,,,False,False,3776,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1608344418943221760/SYphh7kj_normal.jpg,https://pbs.twimg.com/profile_images/1608344418943221760/SYphh7kj_normal.jpg,https://pbs.twimg.com/profile_banners/1608342563852894208/1672294168,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 16:00:00 +0000 2023,1633497805737332737,1633497805737332737,Four players are back after recent issues #WHUFC https://t.co/FH8XglFOxH,False,"[0, 72]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,825372209074098177,825372209074098177,West Ham United News,WestHam_fl,London,"All the latest West Ham news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/izoFlvbHsC",https://t.co/jtB6qtMCxb,"[{'url': 'https://t.co/jtB6qtMCxb', 'expanded_url': 'https://www.football.london/newsletter-preference-centre/', 'display_url': 'football.london/newsletter-pre…', 'indices': [0, 23]}]","[{'url': 'https://t.co/izoFlvbHsC', 'expanded_url': 'https://www.facebook.com/West-Ham-United-FootballLondon', 'display_url': 'facebook.com/West-Ham-Unite…', 'indices': [100, 123]}]",False,11786,82,102,Sat Jan 28 15:57:24 +0000 2017,22,,,True,True,30481,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1298603916263936001/-ty8yBB8_normal.jpg,https://pbs.twimg.com/profile_images/1298603916263936001/-ty8yBB8_normal.jpg,https://pbs.twimg.com/profile_banners/825372209074098177/1569886424,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:46:07 +0000 2023,1633494312242794496,1633494312242794496,"A West Ham United fan, in Cyprus for his side’s Europa Conference League tie, is in a critical but stable condition after falling out of a moving minibus  https://t.co/wOJ2LCLvZg",False,"[0, 178]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,6,False,False,False,en,en,recent,10933912,10933912,Times Sport,TimesSport,,"Award-winning news, comment and analysis from The Times and The Sunday Times",https://t.co/CGUoO7GdiE,"[{'url': 'https://t.co/CGUoO7GdiE', 'expanded_url': 'https://www.thetimes.co.uk/#section-sport', 'display_url': 'thetimes.co.uk/#section-sport', 'indices': [0, 23]}]",[],False,212209,167,2068,Fri Dec 07 12:41:34 +0000 2007,616,,,False,True,173718,,False,False,False,EFEFEF,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1621937620728037382/LAIY4w_P_normal.jpg,https://pbs.twimg.com/profile_images/1621937620728037382/LAIY4w_P_normal.jpg,https://pbs.twimg.com/profile_banners/10933912/1657545899,026633,FFFFFF,FFFFFF,000000,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:45:00 +0000 2023,1633494030083592192,1633494030083592192,"West Ham United, Aston Villa and Newcastle United are in the picture to sign Real Betis’ William Carvalho in the summer window.(https://t.co/0ZeMCMnI6w)",False,"[0, 152]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,2263640102,2263640102,RumorsTransfersNews24/7 📰,rumorstransfers,"Barca treble 2009,15 🏆🏆🏆(ALW replies) ","Keep up with the latest transfer news  right here! rumours ,gossip from Euro,EFL,MLS ,South America newspapers  around the web, scout talents, quizzes 24/7📰⚽️",https://t.co/hOU5enl2gG,"[{'url': 'https://t.co/hOU5enl2gG', 'expanded_url': 'https://rumorstransfers.wordpress.com/', 'display_url': 'rumorstransfers.wordpress.com', 'indices': [0, 23]}]",[],False,5764,5119,64,Fri Dec 27 02:27:48 +0000 2013,75750,,,False,False,101130,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1303411329487822848/tOf-IfAF_normal.jpg,https://pbs.twimg.com/profile_images/1303411329487822848/tOf-IfAF_normal.jpg,https://pbs.twimg.com/profile_banners/2263640102/1579813017,91D2FA,000000,000000,000000,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:43:56 +0000 2023,1633493763346628610,1633493763346628610,"Arsenal football club are the only come back kings in the premier league 🔴⚪

▪Arsenal 3-1 West Ham
▪Arsenal 2-1 Fulham
▪Arsenal 3-2 Manchester United 
▪Aston Villa 2-4 Arsenal 
▪Arsenal 3-2 Bournemouth 

#COYG ❤",False,"[0, 211]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,1,False,False,,en,en,recent,1612872279943249921,1612872279943249921,Malick AFC,EpicGunners,"Abuja, Nigeria","📡 Sports + Arsenal updates, stats, media and much more.... ⚽🔔",,,[],False,36,200,0,Tue Jan 10 18:01:51 +0000 2023,179,,,False,False,445,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632711822972268544/Hpvqwe_q_normal.jpg,https://pbs.twimg.com/profile_images/1632711822972268544/Hpvqwe_q_normal.jpg,https://pbs.twimg.com/profile_banners/1612872279943249921/1673379707,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:38:10 +0000 2023,1633492310150500352,1633492310150500352,"Here is every word David Moyes said this afternoon ahead of tomorrow's game. He chats AEK Larnaca, what he expects from them, lifting the mood, the Europa Conference League, Maxwel Cornet and plenty more in here. #WHUFC https://t.co/jAy09VkgKQ",False,"[0, 243]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,2,False,False,False,en,en,recent,338615216,338615216,Jonty Colman,JontyColman,"Essex, England","West Ham United writer @Football_LDN. Co-founder of @SpottedPLPlayer and @WikiBallersQuiz. Formerly of @HampshireLive, @hulllive and @MirrorFootball.",https://t.co/IMEeQWGRzw,"[{'url': 'https://t.co/IMEeQWGRzw', 'expanded_url': 'https://www.football.london/authors/jonty-colman/', 'display_url': 'football.london/authors/jonty-…', 'indices': [0, 23]}]",[],False,6522,616,48,Tue Jul 19 20:57:14 +0000 2011,46784,,,True,True,18835,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1594041238793093120/jAksGjWG_normal.jpg,https://pbs.twimg.com/profile_images/1594041238793093120/jAksGjWG_normal.jpg,https://pbs.twimg.com/profile_banners/338615216/1597008300,4A913C,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 15:37:23 +0000 2023,1633492113181790213,1633492113181790213,David Moyes provides injury update on five West Ham players ahead of AEK Larnaca fixture https://t.co/9XTNGJ4OBX #news #footballnews #footballers #premierleague #football,False,"[0, 170]","<a href=""https://contentstudio.io"" rel=""nofollow"">ContentStudio.io</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1608342563852894208,1608342563852894208,Topviewsports,Topviewsports1,Earth,"Promoting Sports with Passion
As A Lifestyle
Our team not only is hired to manage and produce events, but we also own and have been producing our owns events si",https://t.co/qW8rPaOJUF,"[{'url': 'https://t.co/qW8rPaOJUF', 'expanded_url': 'https://www.topviewsports.com/', 'display_url': 'topviewsports.com', 'indices': [0, 23]}]",[],False,2,2,0,Thu Dec 29 06:02:25 +0000 2022,0,,,False,False,3776,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1608344418943221760/SYphh7kj_normal.jpg,https://pbs.twimg.com/profile_images/1608344418943221760/SYphh7kj_normal.jpg,https://pbs.twimg.com/profile_banners/1608342563852894208/1672294168,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
