created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive,user.entities.url.urls,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 01:44:41 +0000 2023,1633282556505333760,1633282556505333760,“just because she likes the same bizarro crap you do doesn't mean she's your soulmate.”,False,"[0, 87]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1038513429928132610,1038513429928132610,Bruno  Cagliari,cagliari_bruno,"Vinhedo, Brasil","ia por algo legal, mas já esqueci…   @bruno_cagliari",,[],False,50,178,0,Sat Sep 08 19:44:31 +0000 2018,1460,,,False,False,1150,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1631086469019324416/5NjqtYJW_normal.jpg,https://pbs.twimg.com/profile_images/1631086469019324416/5NjqtYJW_normal.jpg,https://pbs.twimg.com/profile_banners/1038513429928132610/1655145205,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 18:15:30 +0000 2023,1633169519764992000,1633169519764992000,"We Start tomorrow! The Co-Design &amp; Co-creation of Archaeological Conservation perspectives for  Sardinian prenuragic sites, ""domus de Janas"" by staff and students from Portsmouth, UK and Cagliari, Italy! @arch_port @portsmouthuni @UoPGlobal @DC_UoP @ICOMOSUK @ICOMOS @UniPortCCI https://t.co/yemlKep9gl",False,"[0, 282]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,2,False,False,en,en,recent,4425327874,4425327874,Tarek Teba,Arch_Tarek_Teba,"Portsmouth, England","Reader in Architectural Heritage,  University of Portsmouth and Chair of Digital Technologies National Committee,  ICOMOS UK",,[],False,153,269,0,Wed Dec 09 09:39:47 +0000 2015,309,,,False,False,143,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/674525167176011776/I3dLbJx0_normal.jpg,https://pbs.twimg.com/profile_images/674525167176011776/I3dLbJx0_normal.jpg,https://pbs.twimg.com/profile_banners/4425327874/1583342445,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 17:14:05 +0000 2023,1633154061288583170,1633154061288583170,My favourite place!!!😍 #Cagliari https://t.co/e2zvRvIDkz,False,"[0, 32]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,3,False,False,en,en,recent,1345147641450156032,1345147641450156032,Blue💙,Blue_MCM,,"Quando qualcuno giudica il tuo cammino, prestagli le
tue scarpe.",,[],False,18,52,0,Fri Jan 01 23:20:19 +0000 2021,5389,,,False,False,487,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620069891490385921/GIm9mPrL_normal.jpg,https://pbs.twimg.com/profile_images/1620069891490385921/GIm9mPrL_normal.jpg,https://pbs.twimg.com/profile_banners/1345147641450156032/1669555583,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:35:56 +0000 2023,1633129360038428672,1633129360038428672,"Significant fuel savings and reduced emissions are on the cards for the Sardinian capital, Cagliari. 100 new Solaris Urbino 12 hybrid buses powered by Cummins B4.5 Euro VI engines are set for delivery in 2024!

#Cummins #hybridbus #EuroVI https://t.co/XTttZWSToi",False,"[0, 238]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,227296134,227296134,Cummins Europe,CumminsEurope,Europe,"Powering What’s Next in a world that's Always ON through our engines, electrified power, power systems, components technology, genuine parts and service support",https://t.co/fulFSeYjTx,[],False,5556,882,59,Thu Dec 16 13:15:48 +0000 2010,755,,,True,False,2687,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/994569389256032265/ram1YTbI_normal.jpg,https://pbs.twimg.com/profile_images/994569389256032265/ram1YTbI_normal.jpg,https://pbs.twimg.com/profile_banners/227296134/1635405589,FF2130,E01B1B,FFFFFF,000000,True,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/fulFSeYjTx', 'expanded_url': 'http://cummins.com', 'display_url': 'cummins.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:49:15 +0000 2023,1633102514349391872,1633102514349391872,"#OnThisDay in 189 CE, Geta was born. For #EpigraphyTuesday, an inscription noting his reconstruction of baths; his name was removed in damnatio memoriae following his murder by his brother Caracalla. Museo Archeologico Nazionale di Cagliari.

#Archaeology #RomanArchaeology #Italy https://t.co/DshWH2qIGC",False,"[0, 280]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,27,97,False,False,en,en,recent,846135298559959040,846135298559959040,RoaminTheEmpire,roamintheempire,,Archaeological travels through the Roman Empire. Blog updates bimonthly on Wednesdays!🏺⛏✈️ Photos my own unless otherwise noted.,https://t.co/b3VHmD1GWI,[],False,13393,585,191,Sun Mar 26 23:02:30 +0000 2017,14221,,,True,False,4596,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/846138417360486400/Ki7DbGjD_normal.jpg,https://pbs.twimg.com/profile_images/846138417360486400/Ki7DbGjD_normal.jpg,https://pbs.twimg.com/profile_banners/846135298559959040/1490570203,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],False,"[{'url': 'https://t.co/b3VHmD1GWI', 'expanded_url': 'http://roamintheempire.com', 'display_url': 'roamintheempire.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 13:06:03 +0000 2023,1633091640142209024,1633091640142209024,"Growens is hiring a DevOps Engineer in Cagliari, Sardegna, Remote: https://t.co/QBRmCDFLOz #DevOps #Engineer",False,"[0, 108]","<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CodingJobs</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,1436932080227831808,1436932080227831808,CodingJobs,CodingJobsIt,,"1,000+ businesses searching for developers like you!",,[],False,519,0,5,Sun Sep 12 05:58:25 +0000 2021,1,,,False,False,32921,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1436932378602180610/mRUsDeki_normal.jpg,https://pbs.twimg.com/profile_images/1436932378602180610/mRUsDeki_normal.jpg,https://pbs.twimg.com/profile_banners/1436932080227831808/1632753404,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 11:52:31 +0000 2023,1633073138056429568,1633073138056429568,"Ci metto la voce! 🗣🎙🎚🙂
- Spot Elitemeat.it-
#voce #speaker #myjob #voice #voicetalent #ilovemyjob #homestudio #microfono #voiceover #voiceoverartist #neumann #tlm103 #filmendi #spot #cagliari #elitemeat
https://t.co/kYF6wCxcBt",False,"[0, 226]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,427551169,427551169,Andrea Bucci,Bucci84,"Roma, Lazio","Mi chiamo Andrea Bucci 
e sono un doppiatore 
e speaker professionista. 
Con il Home Studio professionale,
do voce ad ogni esigenza:
dallo spot al doppiaggio!",https://t.co/IhKTLaWnbO,[],False,17,16,0,Sat Dec 03 17:30:31 +0000 2011,0,,,True,False,81,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1283071846590619648/MegDNGrK_normal.jpg,https://pbs.twimg.com/profile_images/1283071846590619648/MegDNGrK_normal.jpg,https://pbs.twimg.com/profile_banners/427551169/1671187264,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/IhKTLaWnbO', 'expanded_url': 'https://www.youtube.com/channel/UCBC1j5Iu9ei84gT9owY9myQ?view_as=subscriber', 'display_url': 'youtube.com/channel/UCBC1j…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 10:06:36 +0000 2023,1633046482302509058,1633046482302509058,"#Streetart by #Skan @skaniism in #QuartuSantElena, Italy
More info at: https://t.co/8VQZyF8KYv
Via @cultureforfreedom
 https://t.co/IH1pwtaydP https://t.co/jPn6ZpjBAp",False,"[0, 142]","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,,,,,,,False,1,2,False,False,en,en,recent,508960312,508960312,street art usa,streetartUS,"Boston, MA",a boston based street art community that believes in the power of public art and creativity.,http://t.co/SDz8iaVcd8,[],False,37092,3613,275,Wed Feb 29 15:39:34 +0000 2012,28551,,,True,False,8952,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/966646534115876865/5sZ1V2-H_normal.jpg,https://pbs.twimg.com/profile_images/966646534115876865/5sZ1V2-H_normal.jpg,https://pbs.twimg.com/profile_banners/508960312/1484271453,0B0F38,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],False,"[{'url': 'http://t.co/SDz8iaVcd8', 'expanded_url': 'http://www.streetartunitedstates.com', 'display_url': 'streetartunitedstates.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 09:20:47 +0000 2023,1633034953716903937,1633034953716903937,"#Streetart by #Skan @ #QuartuSantElena, Italy
More info at: https://t.co/X6Aex9MtaE
#Skanism #streetartQuartuSantElena #streetartItaly #Italystreetart #arteurbana #urbanart #murals #muralism #contemporaryart #artecontemporanea #streetartsardinia https://t.co/9AwuC2E73d",False,"[0, 245]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,18,False,False,en,en,recent,188664853,188664853,Barbara Picci,brababella,Kasteddu,"Webmaster per professione. #ArtBlogger, #writer, #artist, kickboxer e social-addicted per hobby. Adoro #arte, jazz, ridere e far tardi.  Happily Blogged",https://t.co/624nT0oEnT,[],False,3079,1534,298,Thu Sep 09 08:29:42 +0000 2010,17892,,,True,False,63511,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1513044847711637504/sW4bSmLU_normal.jpg,https://pbs.twimg.com/profile_images/1513044847711637504/sW4bSmLU_normal.jpg,https://pbs.twimg.com/profile_banners/188664853/1547670032,1B95E0,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,[],False,"[{'url': 'https://t.co/624nT0oEnT', 'expanded_url': 'http://www.barbarapicci.com', 'display_url': 'barbarapicci.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 00:46:49 +0000 2023,1632905606410510339,1632905606410510339,"She was brought back up from her grand burial place here. She was taken to Cagliari Cathedral in Sardinia in Italy. Her husband Louis and brother Charles gave her another impressive memorial with the words 'Wise, Prudent, Kindest Queen of the Gauls (French)'. Where she remained. https://t.co/HGvGBoPyFq",False,"[0, 279]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6329040686234665e+18,1632904068623466496,4602430155.0,4602430155,ProRoyalFamily,,,,,False,0,6,False,False,en,en,recent,4602430155,4602430155,RoyalistSupporter✝️ 🇬🇧,ProRoyalFamily,"North West, England",Divine right of kings. Monarchist. God Save The King. Pro-Commonwealth. Christian. Emmerdale and Coronation Street Fan.,,[],False,4554,1148,31,Fri Dec 25 18:12:09 +0000 2015,5352,,,False,False,65424,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1572217775946432515/DHsOa-8z_normal.jpg,https://pbs.twimg.com/profile_images/1572217775946432515/DHsOa-8z_normal.jpg,https://pbs.twimg.com/profile_banners/4602430155/1667497288,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
