created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Wed Mar 08 03:04:56 +0000 2023,1633302754578792455,1633302754578792455,"Immigrants drowned in Italy, 64 coffins within the sports activities palace in Crotone 

The coffins of the 64 victims of a mi...
https://t.co/8xbuesOzzo",False,"[0, 153]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1525583025026867202,1525583025026867202,Global Courant,Global_Courant,,"Follow us for world breaking news, insightful analysis and must see videos",https://t.co/UGS1BUjgKt,"[{'url': 'https://t.co/UGS1BUjgKt', 'expanded_url': 'https://www.globalcourant.com/', 'display_url': 'globalcourant.com', 'indices': [0, 23]}]",[],False,487,1441,0,Sat May 14 21:05:38 +0000 2022,85,,,False,False,24685,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1526671266207387649/QsZpkuT0_normal.jpg,https://pbs.twimg.com/profile_images/1526671266207387649/QsZpkuT0_normal.jpg,https://pbs.twimg.com/profile_banners/1525583025026867202/1652821770,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 20:04:14 +0000 2023,1633196881164525572,1633196881164525572,"Just over a week ago another shipwreck off the coast of Italy near Crotone lead to the tragic death of at least 71 people, including 16 children. Memorials should exist all over Europe for all those who have died trying to reach her shores.  Yet they don't.",False,"[0, 257]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,2,False,False,,en,en,recent,1063417813048668165,1063417813048668165,Franzisca Zanker - @FranziscaZ@freiburg.social,FranziscaZ,"Freiburg im Breisgau, Germany","Political Scientist @ABIFreiburg; research on peace & governance processes, civil society & forced migration in Sub-Saharan Africa",https://t.co/rpLLd9XxUA,"[{'url': 'https://t.co/rpLLd9XxUA', 'expanded_url': 'https://www.arnold-bergstraesser.de/en/mitarbeiterinnen/zanker-dr-franzisca', 'display_url': 'arnold-bergstraesser.de/en/mitarbeiter…', 'indices': [0, 23]}]",[],False,1224,1565,9,Fri Nov 16 13:05:38 +0000 2018,4034,,,False,False,812,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1063423474612535298/qJEKD4dZ_normal.jpg,https://pbs.twimg.com/profile_images/1063423474612535298/qJEKD4dZ_normal.jpg,https://pbs.twimg.com/profile_banners/1063417813048668165/1542374848,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:47:48 +0000 2023,1633192747837321216,1633192747837321216,"If you can understand or read Italian, this emotional speech – without notes – by @matteorenzi about the Crotone migrant shipwreck disaster is a must. 

@GiorgiaMeloni will carry the shame to her grave. https://t.co/emP2kF6rQd",False,"[0, 202]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,True,0,0,False,False,False,en,en,recent,1095415538954788864,1095415538954788864,C.S. Blennerhassett 🇺🇦🇵🇸🇹🇼🇧🇦🇦🇲,CSBlenner,Algiers 🇩🇿,"Decadent Westerner, cosseted southerner, woke globalist, bourgeois dilettante, rootless cosmopolitan and avocado-spreading Green
🌻🌳🌐♻️☮️🎴🟢🗿🌄🌼🌈🌍🗣️🥑",,,[],False,1507,642,4,Tue Feb 12 20:13:11 +0000 2019,40573,,,False,False,39156,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630704209665355778/y5ACZSNL_normal.jpg,https://pbs.twimg.com/profile_images/1630704209665355778/y5ACZSNL_normal.jpg,https://pbs.twimg.com/profile_banners/1095415538954788864/1677625429,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],1.6331514713057526e+18,1633151471305752579,Tue Mar 07 17:03:47 +0000 2023,1.6331514713057526e+18,1633151471305752579,"Il mio intervento di oggi sulla tragedia di Cutro. Se avete tempo, guardatelo, ci tengo. È uno degli interventi più sentiti della mia esperienza parlamentare https://t.co/2izaQFZOls",False,"[0, 157]",en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,18762875.0,18762875,Matteo Renzi,matteorenzi,Italy,Senatore di Firenze - @ItaliaViva,https://t.co/c8MoZ1Wbev,"[{'url': 'https://t.co/c8MoZ1Wbev', 'expanded_url': 'https://linktr.ee/matteorenzi', 'display_url': 'linktr.ee/matteorenzi', 'indices': [0, 23]}]",[],False,3389484.0,977.0,7572.0,Thu Jan 08 13:15:21 +0000 2009,463.0,,,True,True,14302.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1463528035798376449/TUDITp4H_normal.jpg,https://pbs.twimg.com/profile_images/1463528035798376449/TUDITp4H_normal.jpg,https://pbs.twimg.com/profile_banners/18762875/1675183680,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,False,961.0,3625.0,False,False,False,it,,,,,,,,,,,
Tue Mar 07 16:04:14 +0000 2023,1633136483174436864,1633136483174436864,"Behind every life unjustly broken lies a story that deserves to be heard and understood. #Crotone #Calabria #NaufragiodiCutro 
 https://t.co/OHKz5tyWUH",False,"[0, 151]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1576850240799444993,1576850240799444993,Victoria Ceretti,Cerett1Victoria,Lausanne/Geneva,Undergraduate degree in International Relations and researcher at @EuroMedHR. Tweets are my own,,,[],False,51,97,0,Mon Oct 03 08:23:43 +0000 2022,471,,,False,False,225,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1576850983908511746/rmNV1DeE_normal.jpg,https://pbs.twimg.com/profile_images/1576850983908511746/rmNV1DeE_normal.jpg,https://pbs.twimg.com/profile_banners/1576850240799444993/1665577554,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:53:39 +0000 2023,1633133820508622850,1633133820508622850,"71 MIGRANTS DIED IN #CROTONE! MANY KIDS &amp; BABIES BETWEEN THEM! THIS WAS A CARNAGE WANTED BY
ASSASSIN #ANTONIOTAJANI
ASSASSIN #MATTEOSALVINI
ASSASSIN #MATTEOPIANTEDOSI
ASSASSIN #SILVIOBERLUSCONI
ASSASSIN #GIORGIAMELONI
THEY DELIBERATELY GAVE ORDER TO NOT RESCUE THEIR SINKING BOAT! https://t.co/REoPns7JR8",False,"[0, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1569035574454919168,1569035574454919168,MICHELE NISTA: BERLUSCONI E PUTIN MOSTRI ASSASSINI,BerlusPutin,UK - michele.nista@mail.com,"FUI PRIMO ED UNICO A DIRE SU TWITTER DI PUTIN MACELLAIO E GENOCIDA. POCHI GIORNI DOPO, JOE BIDEN RILANCIÒ LE MIE PAROLE! BERLUSCONI È STRA ASSASSINO COME PUTIN!",https://t.co/dvj7mieT0r,"[{'url': 'https://t.co/dvj7mieT0r', 'expanded_url': 'https://www.fanpage.it/politica/accuse-dal-pentito-ciramitaro-berlusconi-dietro-le-stragi-di-mafia/', 'display_url': 'fanpage.it/politica/accus…', 'indices': [0, 23]}]",[],False,29,5,0,Sun Sep 11 18:50:28 +0000 2022,0,,,False,False,292,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628820427920351236/EW-ubTZF_normal.jpg,https://pbs.twimg.com/profile_images/1628820427920351236/EW-ubTZF_normal.jpg,https://pbs.twimg.com/profile_banners/1569035574454919168/1677176123,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:53:24 +0000 2023,1633133757778493447,1633133757778493447,"71 MIGRANTS DIED IN CROTONE! MANY KIDS &amp; BABIES BETWEEN THEM! THIS WAS A CARNAGE WANTED BY
ASSASSIN MATTEO SALVINI
ASSASSIN MATTEO PIANTEDOSI
ASSASSIN ANTONIO TAJANII
ASSASSIN SILVIO BERLUSCONI
ASSASSIN GIORGIA MELONI
THEY DELIBERATELY GAVE ORDER TO NOT RESCUE THEIR SINKING BOAT! https://t.co/WgxqxtVtNI",False,"[0, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1569035574454919168,1569035574454919168,MICHELE NISTA: BERLUSCONI E PUTIN MOSTRI ASSASSINI,BerlusPutin,UK - michele.nista@mail.com,"FUI PRIMO ED UNICO A DIRE SU TWITTER DI PUTIN MACELLAIO E GENOCIDA. POCHI GIORNI DOPO, JOE BIDEN RILANCIÒ LE MIE PAROLE! BERLUSCONI È STRA ASSASSINO COME PUTIN!",https://t.co/dvj7mieT0r,"[{'url': 'https://t.co/dvj7mieT0r', 'expanded_url': 'https://www.fanpage.it/politica/accuse-dal-pentito-ciramitaro-berlusconi-dietro-le-stragi-di-mafia/', 'display_url': 'fanpage.it/politica/accus…', 'indices': [0, 23]}]",[],False,29,5,0,Sun Sep 11 18:50:28 +0000 2022,0,,,False,False,292,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1628820427920351236/EW-ubTZF_normal.jpg,https://pbs.twimg.com/profile_images/1628820427920351236/EW-ubTZF_normal.jpg,https://pbs.twimg.com/profile_banners/1569035574454919168/1677176123,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:16:32 +0000 2023,1633124477738315776,1633124477738315776,"71 MIGRANTS DIED IN @CROTONE! MANY KIDS &amp; BABIES BETWEEN THEM! THIS WAS CARNAGE WANTED BY
ASSASSIN @ANTONIOTAJANI
ASSASSIN #MATTEOPIANTEDOSII
ASSASSIN SILVIO @BERLUSCONI
ASSASSIN @GIORGIAMELONI
ASSASSIN @MATTEOSALVINI
THEY DELIBERATELY GAVE ORDER TO NOT RESCUE THEIR SINKING BOAT! https://t.co/nFsXZwXC5T",False,"[0, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1523370670218002432,1523370670218002432,MICHELE NISTA: VINCEREMO IL GENOCIDA BERLUS卐PUTIN!,Berlus_Killers_,UK - michele.nista@mail.com,"BERLU卐SPUTIN É MACELLAIO NAZI卐MAFIOSO! DAL 87 TRAMATO A MORTE DAL KILLER PEDO-FILO BERLUSCONI (CON 4 TENTATIVI D'OMICIDIO, DA LUI ORDINATIMI CONTRO) LO VINCERÒ!",https://t.co/mJXuh2GtMK,"[{'url': 'https://t.co/mJXuh2GtMK', 'expanded_url': 'https://silvioberluscon-isashrewdassassin.blogspot.com/', 'display_url': '…luscon-isashrewdassassin.blogspot.com', 'indices': [0, 23]}]",[],False,28,29,0,Sun May 08 18:35:03 +0000 2022,0,,,False,False,1700,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1570888928772644865/sz36Qez1_normal.jpg,https://pbs.twimg.com/profile_images/1570888928772644865/sz36Qez1_normal.jpg,https://pbs.twimg.com/profile_banners/1523370670218002432/1663084686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:15:47 +0000 2023,1633124292224335879,1633124292224335879,"71 MIGRANTS DIED IN #CROTONE! MANY KIDS &amp; BABIES BETWEEN THEM! THIS WAS A CARNAGE WANTED BY
ASSASSIN #ANTONIOTAJANI
ASSASSIN #MATTEOPIANTEDOSI
ASSASSIN #SILVIOBERLUSCONI
ASSASSIN #GIORGIAMELONI
ASSASSIN #MATTEOSALVINI
THEY DELIBERATELY GAVE ORDER TO NOT RESCUE THEIR SINKING BOAT! https://t.co/gSeiXVuOOj",False,"[0, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1523370670218002432,1523370670218002432,MICHELE NISTA: VINCEREMO IL GENOCIDA BERLUS卐PUTIN!,Berlus_Killers_,UK - michele.nista@mail.com,"BERLU卐SPUTIN É MACELLAIO NAZI卐MAFIOSO! DAL 87 TRAMATO A MORTE DAL KILLER PEDO-FILO BERLUSCONI (CON 4 TENTATIVI D'OMICIDIO, DA LUI ORDINATIMI CONTRO) LO VINCERÒ!",https://t.co/mJXuh2GtMK,"[{'url': 'https://t.co/mJXuh2GtMK', 'expanded_url': 'https://silvioberluscon-isashrewdassassin.blogspot.com/', 'display_url': '…luscon-isashrewdassassin.blogspot.com', 'indices': [0, 23]}]",[],False,28,29,0,Sun May 08 18:35:03 +0000 2022,0,,,False,False,1700,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1570888928772644865/sz36Qez1_normal.jpg,https://pbs.twimg.com/profile_images/1570888928772644865/sz36Qez1_normal.jpg,https://pbs.twimg.com/profile_banners/1523370670218002432/1663084686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 15:15:30 +0000 2023,1633124219205607426,1633124219205607426,"71 MIGRANTS DIED IN CROTONE! MANY KIDS &amp; BABIES BETWEEN THEM! THIS WAS A CARNAGE WANTED BY
ASSASSIN ANTONIO TAJANI
ASSASSIN MATTEO PIANTEDOSI
ASSASSIN SILVIO BERLUSCONI
ASSASSIN GIORGIA MELONI
ASSASSIN MATTEO SALVINI!
THEY DELIBERATELY GAVE ORDER TO NOT RESCUE THEIR SINKING BOAT! https://t.co/VL0ndVJSmo",False,"[0, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1523370670218002432,1523370670218002432,MICHELE NISTA: VINCEREMO IL GENOCIDA BERLUS卐PUTIN!,Berlus_Killers_,UK - michele.nista@mail.com,"BERLU卐SPUTIN É MACELLAIO NAZI卐MAFIOSO! DAL 87 TRAMATO A MORTE DAL KILLER PEDO-FILO BERLUSCONI (CON 4 TENTATIVI D'OMICIDIO, DA LUI ORDINATIMI CONTRO) LO VINCERÒ!",https://t.co/mJXuh2GtMK,"[{'url': 'https://t.co/mJXuh2GtMK', 'expanded_url': 'https://silvioberluscon-isashrewdassassin.blogspot.com/', 'display_url': '…luscon-isashrewdassassin.blogspot.com', 'indices': [0, 23]}]",[],False,28,29,0,Sun May 08 18:35:03 +0000 2022,0,,,False,False,1700,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1570888928772644865/sz36Qez1_normal.jpg,https://pbs.twimg.com/profile_images/1570888928772644865/sz36Qez1_normal.jpg,https://pbs.twimg.com/profile_banners/1523370670218002432/1663084686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 11:57:58 +0000 2023,1633074506284539908,1633074506284539908,@LombardiaMax i would like to see Messias at CF tbh. Pretty sure he played there sometimes with Crotone and hes a great finisher with that left foot👀,False,"[14, 149]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6330262016178504e+18,1633026201617850368,1.0921263521306952e+18,1092126352130695169,LombardiaMax,,,,,False,0,2,False,False,,en,en,recent,1366144371817668608,1366144371817668608,Zak☔️,MilanZak6,🏝Miami,Forza Milan⚫️🔴 - MCFC🦈,,,[],False,110,97,2,Sun Feb 28 21:53:02 +0000 2021,16072,,,False,False,12456,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1516221073024499713/Da4-XV8P_normal.jpg,https://pbs.twimg.com/profile_images/1516221073024499713/Da4-XV8P_normal.jpg,https://pbs.twimg.com/profile_banners/1366144371817668608/1670088561,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
