created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,place,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,quoted_status.possibly_sensitive
Wed Mar 08 03:01:03 +0000 2023,1633301775548829697,1633301775548829697,"WEEK - 10 // 2023 // CONSOL // STUFFING @ TUTICORIN Export schedule 
#kovai  #tuticorin #ocean #tuticorinport #freightforwarding #maersk #maerskline #coscoshipping #onemanchester #colombo #logisticscompany #colombo #newyork #genoa #jebelali #hamburg #rotterdam #lehavre https://t.co/xvio1JzTyX",False,"[0, 269]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,False,0,0,False,False,False,en,en,recent,1418077741916725255,1418077741916725255,Sendeasy Logistics,SendeasyL,"कोयम्बटूर, भारत",Moving Made Easy,https://t.co/VofWjbluyY,"[{'url': 'https://t.co/VofWjbluyY', 'expanded_url': 'http://www.sendeasylogistics.com', 'display_url': 'sendeasylogistics.com', 'indices': [0, 23]}]",[],False,12,10,0,Thu Jul 22 05:18:17 +0000 2021,6,,,True,False,171,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1418078662058930179/5uduWOKO_normal.jpg,https://pbs.twimg.com/profile_images/1418078662058930179/5uduWOKO_normal.jpg,https://pbs.twimg.com/profile_banners/1418077741916725255/1626932321,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],2b9a411906e75d9a,https://api.twitter.com/1.1/geo/id/2b9a411906e75d9a.json,city,Palladam,"Palladam, India",IN,India,[],Polygon,"[[[77.037403, 10.774498], [77.503067, 10.774498], [77.503067, 11.315924], [77.037403, 11.315924]]]",1.6333017755488297e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:52:43 +0000 2023,1633284581745885184,1633284581745885184,@michaeldamian1 @YRInsider Awesome brother. Time to rock n roll it into Genoa city!🤘🏻🕺,False,"[27, 86]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6332249021060506e+18,1633224902106050561,20186666.0,20186666,michaeldamian1,,,,False,0,1,False,False,,en,en,recent,3024426408,3024426408,jason matt,jasonmatt10,Land of the free,,,,[],False,982,786,0,Tue Feb 17 22:40:03 +0000 2015,25749,,,False,False,20411,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1430002480570638336/RlQJ-mfX_normal.jpg,https://pbs.twimg.com/profile_images/1430002480570638336/RlQJ-mfX_normal.jpg,https://pbs.twimg.com/profile_banners/3024426408/1666057414,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:30:30 +0000 2023,1633278990592131073,1633278990592131073,"expansionist 
 accident 
 dish 
 genoa 
 beneath 
 encouragingly",False,"[0, 64]","<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>",,,,,,,,,False,0,0,False,False,,en,en,recent,1313084603603791872,1313084603603791872,eadgbe,tuneyrself,,"tweeting out mnemonics to help YOU remember the names of the guitar strings

made by @dvd_mcf with https://t.co/fz3bB2Qk7Q",https://t.co/fz3bB2Qk7Q,"[{'url': 'https://t.co/fz3bB2Qk7Q', 'expanded_url': 'https://cheapbotsdonequick.com/', 'display_url': 'cheapbotsdonequick.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/fz3bB2Qk7Q', 'expanded_url': 'https://cheapbotsdonequick.com/', 'display_url': 'cheapbotsdonequick.com', 'indices': [99, 122]}]",False,11,0,0,Mon Oct 05 11:52:27 +0000 2020,0,,,False,False,124098,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313155682649223169/h7PKTcbc_normal.jpg,https://pbs.twimg.com/profile_images/1313155682649223169/h7PKTcbc_normal.jpg,https://pbs.twimg.com/profile_banners/1313084603603791872/1601915688,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:15:01 +0000 2023,1633275091655213056,1633275091655213056,"Motor sailer Custom Ketch - ID: 4441
https://t.co/MBjkVbrTeW
Full refit and upgrade 2018, Mainsail, Roller Genoa, Roller For sail, 3 masts winches manual, 2+2 sheets winches manual, 2 winches electric, lazy-bags, lazy-jacks, spinnaker-boom, rigging type: 2 masts Bermuda Kech https://t.co/F1EnLPLVXD",False,"[0, 275]","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,,,,,,False,0,0,False,False,False,en,en,recent,842853937,842853937,SeaBoats,SeaBoatsBrokers,Australia-Asia-NZ-USA,"SeaBoats has been established to market and sell a wide range of boats, recreational and commercial, new and used, to a broad global audience.",https://t.co/Xpeu4NDeNo,"[{'url': 'https://t.co/Xpeu4NDeNo', 'expanded_url': 'http://www.seaboats.net', 'display_url': 'seaboats.net', 'indices': [0, 23]}]",[],False,1865,1395,21,Mon Sep 24 03:03:54 +0000 2012,1,,,False,False,4422,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,True,http://pbs.twimg.com/profile_images/1551738409697173506/RtW7ibPf_normal.jpg,https://pbs.twimg.com/profile_images/1551738409697173506/RtW7ibPf_normal.jpg,https://pbs.twimg.com/profile_banners/842853937/1658798242,0084B4,FFFFFF,DDFFCC,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:06:18 +0000 2023,1633272900194017282,1633272900194017282,"A delegation of officials from Genoa 🇮🇹carried out a study visit to Mar del Plata🇦🇷 from February 26 to March 1, 2023. They carried activities such as meetings with stakeholders, as well as visits to facilities related to tourism, sports and cultural activities. #IURC https://t.co/B4ptg8amd5",False,"[0, 268]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,1,False,False,False,en,en,recent,867049003497684992,867049003497684992,IURC Latin America,iurc_lac,Latin America,Programa de la Unión Europea para Cooperación Internacional Urbana y Regional entre ciudades y regiones latinoamericanas y europeas 🇪🇺,https://t.co/ah4ijggFTR,"[{'url': 'https://t.co/ah4ijggFTR', 'expanded_url': 'https://www.iurc.eu/latin-america', 'display_url': 'iurc.eu/latin-america', 'indices': [0, 23]}]",[],False,1488,1636,11,Tue May 23 16:06:06 +0000 2017,1233,,,True,False,1540,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1466385971403010048/nFBtCFW9_normal.jpg,https://pbs.twimg.com/profile_images/1466385971403010048/nFBtCFW9_normal.jpg,https://pbs.twimg.com/profile_banners/867049003497684992/1638447765,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:03:33 +0000 2023,1633272207391748096,1633272207391748096,"@the_transit_guy Most beautiful cities/towns:
Kyoto, Japan
Annecy, France
Genoa’ Italy (dodgy, but still)

USA
Charleston, SC
Jim Thorpe, PA
Grass Valley, CA
The old parts of Boston, MA",False,"[17, 185]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332509672514765e+18,1633250967251476481,120924076.0,120924076,the_transit_guy,,,,False,0,5,False,False,,en,en,recent,857625949990301697,857625949990301697,Bella Chu,bellachu10,"Redwood City, CA",Trying to make streets safer. YIMBY hoping for a return to 17-19th century urbanism but with more trees and less cholera. John Snow stan. Not official record.,https://t.co/uAoHCrr9xM,"[{'url': 'https://t.co/uAoHCrr9xM', 'expanded_url': 'http://notapplicable.com', 'display_url': 'notapplicable.com', 'indices': [0, 23]}]",[],False,2775,4849,50,Thu Apr 27 16:02:15 +0000 2017,68178,,,True,False,11649,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1601440285753372672/bGtoiMlm_normal.jpg,https://pbs.twimg.com/profile_images/1601440285753372672/bGtoiMlm_normal.jpg,https://pbs.twimg.com/profile_banners/857625949990301697/1670297249,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:01:55 +0000 2023,1633271795070410760,1633271795070410760,"Here are two more fankids for other two OTPs, that I hold special in my heart. (Remember they are only for human/modern AU). 

Gretchen, daughter of Greece and nyo!Switzerland

Serena ,daughter of Cyprus and nyo!Genoa

Link: 
https://t.co/QjNjiUiSTF https://t.co/YsXldLpWcH",False,"[0, 249]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,1,False,False,False,en,en,recent,830400456358785024,830400456358785024,Nyotaliafan,andronikigreece, Ελλάς,"Androniki , She/her , Greek, Hetalian , main 3 OTPs : SwissGre CyNova and Aurelian x fem!Probus
 HWS Roman Emperors simp.
Profile pic credit: @erdogan_sadik",https://t.co/1nNPxDZyA8,"[{'url': 'https://t.co/1nNPxDZyA8', 'expanded_url': 'https://www.instagram.com/nyotaliafan/', 'display_url': 'instagram.com/nyotaliafan/', 'indices': [0, 23]}]",[],False,13,44,0,Sat Feb 11 12:57:51 +0000 2017,538,,,False,False,525,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1615894933772156932/bvTIB506_normal.jpg,https://pbs.twimg.com/profile_images/1615894933772156932/bvTIB506_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:54:36 +0000 2023,1633269954244902913,1633269954244902913,@OWCavalry Genoa was always my favorite!,False,"[11, 40]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332311903699927e+18,1633231190369992705,7.969921380893e+17,796992138089299968,OWCavalry,,,,False,0,0,False,False,,en,en,recent,543376451,543376451,eGG,pmaEGG,"Tennessee, USA",You ever seen a talking egg before? Me neither - He/Him - pfp: @momo_draws - Banner source: https://t.co/ghBRwvZ1pR…,,,"[{'url': 'https://t.co/ghBRwvZ1pR', 'expanded_url': 'http://khytal.tumblr.com/post/188598431', 'display_url': 'khytal.tumblr.com/post/188598431', 'indices': [92, 115]}]",False,33,879,0,Mon Apr 02 12:35:23 +0000 2012,53700,,,True,False,3201,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1414954910446231568/mXSBavJd_normal.jpg,https://pbs.twimg.com/profile_images/1414954910446231568/mXSBavJd_normal.jpg,https://pbs.twimg.com/profile_banners/543376451/1614672698,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:42:11 +0000 2023,1633266831774433281,1633266831774433281,@OWCavalry Gotta be Genoa. Dude’s hilarious.,False,"[11, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332311903699927e+18,1633231190369992705,7.969921380893e+17,796992138089299968,OWCavalry,,,,False,0,0,False,False,,en,en,recent,1391982625523478530,1391982625523478530,Raegan Deva St.John Robinson,raerubystjohn,The Void,private acc for @pixlsnom,,,[],False,1,47,0,Tue May 11 05:05:06 +0000 2021,127,,,False,False,13,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1572462622536073222/mI5hrZ4Z_normal.jpg,https://pbs.twimg.com/profile_images/1572462622536073222/mI5hrZ4Z_normal.jpg,https://pbs.twimg.com/profile_banners/1391982625523478530/1625119086,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 00:39:40 +0000 2023,1633266196035371008,1633266196035371008,@Lucglock Genoa are clear favourites there. Playoffs look crazy though,False,"[10, 70]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633217764738433e+18,1633217764738433025,1.0625422477476413e+18,1062542247747641344,Lucglock,,,,False,0,1,False,False,,en,en,recent,1333556225552814081,1333556225552814081,Alessio..,AlessioCPFC,🇬🇧🇩🇲🇮🇹 London,@CPFC 🦅|||Forza Ass Roma 🐺|| #LH44 🐐,https://t.co/h7NqE6ey4D,"[{'url': 'https://t.co/h7NqE6ey4D', 'expanded_url': 'http://GuehitheGoat.com', 'display_url': 'GuehitheGoat.com', 'indices': [0, 23]}]",[],False,628,813,2,Mon Nov 30 23:39:40 +0000 2020,18471,,,True,False,10786,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1550029301701025792/x39gs8Fp_normal.jpg,https://pbs.twimg.com/profile_images/1550029301701025792/x39gs8Fp_normal.jpg,https://pbs.twimg.com/profile_banners/1333556225552814081/1676802132,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
