created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,user.entities.url.urls,quoted_status.user.entities.url.urls
Wed Mar 08 01:19:51 +0000 2023,1633276310876221442,1633276310876221442,I'm a brighton and de Zerbi fan since his sassuolo days and I'm here to tell you that Brighton wouldn't be able to play like this in La liga https://t.co/GvIMG0VCW6,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,True,1.6331553284676936e+18,1633155328467693568,0,1,False,False,False,en,en,recent,950814927215841287,950814927215841287,Todi💧,TeanJodibo,Jana's Heart❤,"La Xavineta 💙❤️
Raphinha x Yamal x Balde💙x Alan Varela 💙💛
🇿🇲🇿🇲🇿🇲",,[],False,1126,880,1,Tue Jan 09 19:41:58 +0000 2018,113524,,,False,False,22129,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1623374984360955908/H0TK8UAO_normal.jpg,https://pbs.twimg.com/profile_images/1623374984360955908/H0TK8UAO_normal.jpg,https://pbs.twimg.com/profile_banners/950814927215841287/1628499791,9C27B0,000000,000000,000000,False,True,False,False,False,False,False,none,[],Tue Mar 07 17:19:07 +0000 2023,1.6331553284676936e+18,1633155328467693568,There’s a coach that needs the 2012 FIFPro World XI to implement this though https://t.co/7s7rIxgWqP,False,"[0, 76]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.226439994560127e+18,1226439994560126976,#XaviOUT🧣,AmericanTrent,🍁,🇹🇿🥷🏾,,[],False,1920.0,743.0,7.0,Sun Feb 09 09:37:44 +0000 2020,141362.0,,,False,False,40580.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1605086387120009216/CfdM9sZq_normal.jpg,https://pbs.twimg.com/profile_images/1605086387120009216/CfdM9sZq_normal.jpg,https://pbs.twimg.com/profile_banners/1226439994560126976/1677694704,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,True,1.632312178496643e+18,1632312178496643073,3.0,89.0,False,False,False,en,,
Wed Mar 08 01:15:59 +0000 2023,1633275334169702400,1633275334169702400,"@Milan_Assaf @Rossonero98x That's no excuse why these players can't string together 5 passes in the final third. There is no cohesion between the attackers. The likes of Sassuolo and Torino do not have better quality players than Milan, yet we make them look like Barcelona",False,"[27, 273]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332536137650504e+18,1633253613765050368,7.518815679712502e+17,751881567971250176,Milan_Assaf,,,,,False,,,0,0,False,False,,en,en,recent,100501208,100501208,Delan,bobdeboss,,live life...intelligently,,[],False,153,231,2,Wed Dec 30 13:47:24 +0000 2009,4609,,,False,False,3927,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1201131274418737152/npzbncll_normal.jpg,https://pbs.twimg.com/profile_images/1201131274418737152/npzbncll_normal.jpg,https://pbs.twimg.com/profile_banners/100501208/1455900717,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 23:43:26 +0000 2023,1633252045548404738,1633252045548404738,"but it won't be easy to negotiate with #Sassuolo. Keep an eye also on #Hjulmand from #Lecce, another objective with the exit of #Paredes. This wouldn't hamper the return of #Rovella to Turin: moreover with the exit of #McKennie this role remained vacant.

[@GiovaAlbanese]",False,"[0, 272]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332520135961887e+18,1633252013596188683,565672836.0,565672836,Chehaly,,,,,False,,,0,3,False,False,,en,en,recent,565672836,565672836,Mohamed El Chehaly,Chehaly,"Montreal, Canada","Egypt, Juventus, Canada.

Also known as El Tactico. Contributor to @GJustJuve videos on YouTube. 
Logo and background credit to @hmdpshk",,[],False,2999,645,66,Sat Apr 28 17:08:02 +0000 2012,50222,,,False,False,31520,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1469794053432692741/OC7pxwu5_normal.jpg,https://pbs.twimg.com/profile_images/1469794053432692741/OC7pxwu5_normal.jpg,https://pbs.twimg.com/profile_banners/565672836/1638539792,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:31:53 +0000 2023,1633234037576695809,1633234037576695809,@Absilicon They just had to beat Sassuolo at home,False,"[11, 49]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332336005805998e+18,1633233600580599808,1.165488824417497e+18,1165488824417497089,Absilicon,,,,,False,,,0,1,False,False,,en,en,recent,1299120065061810178,1299120065061810178,Ebb,afcebbb,HFIL,Pain train never stops @Arsenal @DjokerNole @stalbanscityfc,,[],False,273,415,0,Thu Aug 27 23:02:24 +0000 2020,81913,,,False,False,21958,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1620285415994413057/CIMlRjeZ_normal.jpg,https://pbs.twimg.com/profile_images/1620285415994413057/CIMlRjeZ_normal.jpg,https://pbs.twimg.com/profile_banners/1299120065061810178/1628947400,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 22:21:15 +0000 2023,1633231362806235136,1633231362806235136,@Sassuolo_OSM @MarcusRashford Delete the account,False,"[30, 48]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633231179183792e+18,1633231179183792128,1.6316869337461637e+18,1631686933746163716,Sassuolo_OSM,,,,,False,,,0,0,False,False,,en,en,recent,1111654191091589120,1111654191091589120,Graeme 🏴󠁧󠁢󠁳󠁣󠁴󠁿,JSE_GraemE,,🤝,,[],False,166,238,0,Fri Mar 29 15:39:47 +0000 2019,22460,,,False,False,2935,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1633141485968171010/EkAmxg6m_normal.jpg,https://pbs.twimg.com/profile_images/1633141485968171010/EkAmxg6m_normal.jpg,https://pbs.twimg.com/profile_banners/1111654191091589120/1661360796,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:06:37 +0000 2023,1633212578989060096,1633212578989060096,"@P0KEJUUU @acmilan but you named the worst italian coaches in football history …
 I was talking about the good ones  that play football like him,
 Thiago Motta from Bologna , Palladino from Monza ,Gasperini from atalanta , Dionisi from Sassuolo and Zanetti from Empoli … all way better than pioli",False,"[19, 296]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6331837493651907e+18,1633183749365190656,1.2619232237692477e+18,1261923223769247744,P0KEJUUU,,,,,False,,,0,0,False,False,,en,en,recent,1616257395868540930,1616257395868540930,@piolipeggiorediSerieA,footballfan077,,🗣 : 🇮🇹🇬🇧 🇪🇸| Lotto per il meglio del Milan / pioliout /inter&juve merda,,[],False,3,61,0,Fri Jan 20 02:13:02 +0000 2023,430,,,False,False,674,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616258807939620865/Qpsi7Crn_normal.jpg,https://pbs.twimg.com/profile_images/1616258807939620865/Qpsi7Crn_normal.jpg,https://pbs.twimg.com/profile_banners/1616257395868540930/1674221906,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 20:46:35 +0000 2023,1633207538907766784,1633207538907766784,"💛❤️Match Day Meetup💛❤️
📢 Calling All #Toronto Romanisti 📢

Join us Sunday Mar. 12 at 12:30pm as Roma host Sassuolo. Meeting @ Church Street Espresso (585 Church Street). Wear our colours &amp; be sure to RSVP below. https://t.co/WFvkfDFKEf",False,"[0, 239]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,2,3,False,False,False,en,en,recent,709417889112064000,709417889112064000,Roma Club Toronto,Roma_Club_TO,"Toronto, Ontario",IG: @romaclubtoronto | FB: Magica Roma Club - Toronto Canada | Meet ups: Church Street Espresso (585 Church Street) & Decò (2840 Dundas St. W.),https://t.co/CE3M4MkhAN,[],False,614,187,5,Mon Mar 14 16:36:19 +0000 2016,97,,,True,False,1407,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1557573849776099329/ws2Su3M6_normal.jpg,https://pbs.twimg.com/profile_images/1557573849776099329/ws2Su3M6_normal.jpg,https://pbs.twimg.com/profile_banners/709417889112064000/1570362094,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/CE3M4MkhAN', 'expanded_url': 'https://www.facebook.com/ROMACLUBTORONTO', 'display_url': 'facebook.com/ROMACLUBTORONTO', 'indices': [0, 23]}]",
Tue Mar 07 20:24:51 +0000 2023,1633202068503797761,1633202068503797761,"New Race! 8° Saxo Oleum Run -8° Coursa ed Sasol, https://t.co/0mBtHke1TZ - 14/05/2023 - #Sassuolo, MO - Italy https://t.co/ut2D5Yh8jh",False,"[0, 109]","<a href=""http://www.goandrace.com"" rel=""nofollow"">GOandRacePostTwit</a>",,,,,,,,,,False,,,0,0,False,False,False,en,en,recent,1576314733,1576314733,GO&RACE,GOandRace,,"When to Run. Where to Run. In the World ...
Ultra-marathons, marathons, half-marathons, competitive or non-competitive races, trail, multi-stage events.",https://t.co/GgC9LQK6Uq,[],False,163,52,2,Sun Jul 07 23:46:15 +0000 2013,0,,,False,False,7777,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000867970269/RJpGgFoS_normal.png,https://pbs.twimg.com/profile_images/378800000867970269/RJpGgFoS_normal.png,https://pbs.twimg.com/profile_banners/1576314733/1611441209,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/GgC9LQK6Uq', 'expanded_url': 'https://www.goandrace.com', 'display_url': 'goandrace.com', 'indices': [0, 23]}]",
Tue Mar 07 19:55:16 +0000 2023,1633194626092789763,1633194626092789763,@CleanThing_ That Sassuolo card game dey suprise me. One player didn’t get any card and it was cancelled. I don’t understand why it happened,False,"[13, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.633194320793682e+18,1633194320793681926,3997703596.0,3997703596,CleanThing_,,,,,False,,,0,0,False,False,,en,en,recent,275554600,275554600,Oluwatobi 🥷,TheTobbyBlaze,My House,Boston Celtics 🏀 MUFC ⚽️🛑 🦅 💜,https://t.co/pNHvj6ItRt,[],False,1823,2291,4,Fri Apr 01 14:25:15 +0000 2011,45994,,,True,False,77231,,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1631960800540737541/Rg52p5qy_normal.jpg,https://pbs.twimg.com/profile_images/1631960800540737541/Rg52p5qy_normal.jpg,https://pbs.twimg.com/profile_banners/275554600/1672307241,9D582E,D9B17E,EADEAA,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/pNHvj6ItRt', 'expanded_url': 'http://youtu.be/huzUHlZnCg8', 'display_url': 'youtu.be/huzUHlZnCg8', 'indices': [0, 23]}]",
Tue Mar 07 19:54:04 +0000 2023,1633194320793681926,1633194320793681926,"😀😀😀😀 I just logged on to my bet9ja account and saw a boosted balance. I chop cards for the Sassuolo game yesterday,  I no know 😀😀 Indian Wells money don show.",False,"[0, 158]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,9,27,False,False,,en,en,recent,3997703596,3997703596,Clint.,CleanThing_,"Lagos, Nigeria","Writer. FPL. Highest Rank: 2,177 Overall Rank & 4th In Nigeria (16/17). Navigating existential crisis as a Nigerian Spurs fan. Come On You Spurs!",,[],False,37363,393,121,Mon Oct 19 22:37:17 +0000 2015,2413,,,False,False,115540,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1612227013644894209/qOIW0qUa_normal.jpg,https://pbs.twimg.com/profile_images/1612227013644894209/qOIW0qUa_normal.jpg,https://pbs.twimg.com/profile_banners/3997703596/1676240321,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:22:45 +0000 2023,1633186441986723840,1633186441986723840,"@TalkinTactics @AlfaOyibo Because Chelsea has Todd Boehly. RDZ has enough credit in the bank and is known around recruitment circles very well because of exploits for Sassuolo. 

He’s ready for the Madrid job too if needed",False,"[26, 222]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.6331459238480978e+18,1633145923848097792,1.3489840810533396e+18,1348984081053339648,TalkinTactics,,,,,False,,,0,0,False,False,,en,en,recent,833899165,833899165,Gaurav,iamgaurav_92,,Proud IndoFrench 🇮🇳 🇫🇷 | Investment Banking | Arsenal,,[],False,168,1571,4,Wed Sep 19 18:32:28 +0000 2012,4246,,,True,False,7802,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1572672616447758337/nZc-hz05_normal.jpg,https://pbs.twimg.com/profile_images/1572672616447758337/nZc-hz05_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:08:26 +0000 2023,1633182838156668931,1633182838156668931,"Sassuolo's Armand Laurienté has the SECOND most direct free-kick goals in the past 3 seasons (Top 5 leagues) 👏

11 - James Ward-Prowse 🏴󠁧󠁢󠁥󠁮󠁧󠁿
𝟓 - 𝐀𝐫𝐦𝐚𝐧𝐝 𝐋𝐚𝐮𝐫𝐢𝐞𝐧𝐭é 🇫🇷
5 - Lionel Messi 🇦🇷
5 - Téji Savanier 🇫🇷
#epl #saints #psg #lm10",False,"[0, 231]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,,,0,0,False,False,,en,en,recent,1229773764881240064,1229773764881240064,Funtainment,Funtainment5,,"Here for the fun of it.
Own NO content posted here.
DM open 💯
Why dull when all you need is happiness",,[],False,6,64,0,Tue Feb 18 14:25:36 +0000 2020,9,,,False,False,957,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1229774471344640001/nRTtPWbc_normal.jpg,https://pbs.twimg.com/profile_images/1229774471344640001/nRTtPWbc_normal.jpg,https://pbs.twimg.com/profile_banners/1229773764881240064/1585313196,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
