created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,user.profile_banner_url,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,quoted_status.user.entities.url.urls
Wed Mar 08 01:38:19 +0000 2023,1633280957456211975,1633280957456211975,"@Rossonero98x Quality, yes, but you had to work with them. Also, the league is 38 matches long, you don't win it by luck. Why mention lazio and radu, but not spezia and udinese or inter's injury record? The disrespect pioli gets is crazy",False,"[14, 237]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332800670726062e+18,1633280067072606210,1.0588110405851259e+18,1058811040585125890,bk_acm,,,,,False,0,0,False,False,en,en,recent,1058811040585125890,1058811040585125890,Joni🇦🇱🇺🇸,bk_acm,,,,[],False,7,28,0,Sat Nov 03 19:59:58 +0000 2018,3153,,,False,False,142,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1557466082176339970/ExiEZr9__normal.jpg,https://pbs.twimg.com/profile_images/1557466082176339970/ExiEZr9__normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 21:08:36 +0000 2023,1633213081290436613,1633213081290436613,"@_DiningCar @unsereOEBB @SiemensMobility oh great, I am coming back on that train from La Spezia in May!",False,"[41, 104]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.6331741166551572e+18,1633174116655157250,9.942039095761674e+17,994203909576167424,_DiningCar,,,,,False,0,3,False,False,en,en,recent,282978287,282978287,christian cummins,chrisccummins,vienna,"ORF @radiofm4 presenter, 2 x Austrian environmental journalism prize winner,  @JourFHWien Lektor,  student. Views mine, retweets not always agreement.",https://t.co/aUY0SPvz54,[],False,3541,4527,97,Sat Apr 16 09:51:40 +0000 2011,7183,,,True,False,15022,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/872398342252351490/jhHy6M_M_normal.jpg,https://pbs.twimg.com/profile_images/872398342252351490/jhHy6M_M_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'https://t.co/aUY0SPvz54', 'expanded_url': 'http://fm4.orf.at/chriscummins', 'display_url': 'fm4.orf.at/chriscummins', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/282978287/1406720106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 20:05:44 +0000 2023,1633197259725893633,1633197259725893633,"Correa &amp; Dimarco More Likely To Be Fit Than Skriniar For Spezia Vs Inter Milan Serie A Clash, Italian Media Report #InterMilan #IMInter https://t.co/mOjOrLrpS4",False,"[0, 163]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,1,False,False,en,en,recent,18293201,18293201,Inter Milan,intermilan,"Milan, Italy","Part of @SempreInterCom, the world’s no 1 news-site in English covering #InterMilan. NOT affiliated with @Inter_en.",https://t.co/YVpr8yaVxw,[],False,93794,1606,490,Sun Dec 21 21:24:26 +0000 2008,2548,,,False,False,59456,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,https://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,0084B4,000000,D3DDF8,050505,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/YVpr8yaVxw', 'expanded_url': 'http://SempreInter.com', 'display_url': 'SempreInter.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/18293201/1400100812,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:58:56 +0000 2023,1633195546122002432,1633195546122002432,"Correa &amp; Dimarco More Likely To Be Fit Than Skriniar For Spezia Vs Inter Milan Serie A Clash, Italian Media Report #InterMilan #IMInter https://t.co/6FkUcfvZAq",False,"[0, 163]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,424260170,424260170,Inter Fans,InterWhatsup,,We're proud of the history we have at this club. Part of @SempreInterCom,https://t.co/fvDLwx7vEw,[],False,39966,575,159,Tue Nov 29 15:16:42 +0000 2011,3502,,,True,False,94012,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1263238469012381696/Q5V2-HQG_normal.jpg,https://pbs.twimg.com/profile_images/1263238469012381696/Q5V2-HQG_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],"[{'url': 'https://t.co/fvDLwx7vEw', 'expanded_url': 'http://SempreInter.com', 'display_url': 'SempreInter.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/424260170/1590014496,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:42:36 +0000 2023,1633191436115116034,1633191436115116034,"Lukaku To Start For Inter Milan Vs Spezia As Inzaghi Still Working Out Best Attack Ahead Of Porto Clash, Italian Media Report #InterMilan #IMInter https://t.co/NG2kMUedit",False,"[0, 170]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,18293201,18293201,Inter Milan,intermilan,"Milan, Italy","Part of @SempreInterCom, the world’s no 1 news-site in English covering #InterMilan. NOT affiliated with @Inter_en.",https://t.co/YVpr8yaVxw,[],False,93794,1606,490,Sun Dec 21 21:24:26 +0000 2008,2548,,,False,False,59456,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,https://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,0084B4,000000,D3DDF8,050505,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/YVpr8yaVxw', 'expanded_url': 'http://SempreInter.com', 'display_url': 'SempreInter.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/18293201/1400100812,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:38:55 +0000 2023,1633190511988338690,1633190511988338690,In the beginning there was as always Wagner who by courtesy of ice-cream poisoning in La Spezia experienced bound.,False,"[0, 114]","<a href=""http://www.mediamediums.net"" rel=""nofollow"">kitt1</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,3104269506,3104269506,Kittlerbot,FKittlerbot,,,,[],False,591,0,129,Mon Mar 23 05:34:08 +0000 2015,0,,,False,False,4389826,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/580069580493615107/c1uqwMJ3_normal.jpg,https://pbs.twimg.com/profile_images/580069580493615107/c1uqwMJ3_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:36:35 +0000 2023,1633189924903215105,1633189924903215105,"Dimarco To Return From Injury For Inter Milan Vs Spezia Clash But No Risks Taken With Skriniar &amp; Correa's Fitness, Italian Media Report #InterMilan #IMInter https://t.co/eeVEkBdyVV",False,"[0, 184]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,18293201,18293201,Inter Milan,intermilan,"Milan, Italy","Part of @SempreInterCom, the world’s no 1 news-site in English covering #InterMilan. NOT affiliated with @Inter_en.",https://t.co/YVpr8yaVxw,[],False,93794,1606,490,Sun Dec 21 21:24:26 +0000 2008,2548,,,False,False,59456,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,https://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,0084B4,000000,D3DDF8,050505,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/YVpr8yaVxw', 'expanded_url': 'http://SempreInter.com', 'display_url': 'SempreInter.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/18293201/1400100812,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:35:05 +0000 2023,1633189544756666369,1633189544756666369,"Joaquin Correa An Injury Doubt For Spezia Vs Inter Milan Serie A Clash, Italian Media Report #InterMilan #IMInter https://t.co/mFwFF3N71K",False,"[0, 137]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,18293201,18293201,Inter Milan,intermilan,"Milan, Italy","Part of @SempreInterCom, the world’s no 1 news-site in English covering #InterMilan. NOT affiliated with @Inter_en.",https://t.co/YVpr8yaVxw,[],False,93794,1606,490,Sun Dec 21 21:24:26 +0000 2008,2548,,,False,False,59456,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,https://pbs.twimg.com/profile_images/1154555076075294722/hbpNcftj_normal.jpg,0084B4,000000,D3DDF8,050505,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/YVpr8yaVxw', 'expanded_url': 'http://SempreInter.com', 'display_url': 'SempreInter.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/18293201/1400100812,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:30:20 +0000 2023,1633188349585526786,1633188349585526786,"Joaquin Correa An Injury Doubt For Spezia Vs Inter Milan Serie A Clash, Italian Media Report #InterMilan #IMInter https://t.co/vX2nCoi9qK",False,"[0, 137]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,424260170,424260170,Inter Fans,InterWhatsup,,We're proud of the history we have at this club. Part of @SempreInterCom,https://t.co/fvDLwx7vEw,[],False,39966,575,159,Tue Nov 29 15:16:42 +0000 2011,3502,,,True,False,94012,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1263238469012381696/Q5V2-HQG_normal.jpg,https://pbs.twimg.com/profile_images/1263238469012381696/Q5V2-HQG_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],"[{'url': 'https://t.co/fvDLwx7vEw', 'expanded_url': 'http://SempreInter.com', 'display_url': 'SempreInter.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/424260170/1590014496,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 19:27:43 +0000 2023,1633187692015157249,1633187692015157249,"Correa &amp; Dimarco More Likely To Be Fit Than Skriniar For Spezia Vs Inter Milan Serie A Clash, Italian Media Report #InterMilan #IMInter https://t.co/3qWEf13oRl",False,"[0, 163]","<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>",,,,,,,,,,False,0,0,False,False,en,en,recent,479858322,479858322,SempreInter.com,SempreIntercom,Worldwide,The World's No 1 news-site in English covering #InterMilan. Part of @OneFootball & Rocket Sports Network. RT ≠ endorsements. Email: nima@sempreinter.com,https://t.co/pB1VGcTR76,[],False,31675,1223,483,Tue Jan 31 21:10:22 +0000 2012,59508,,,True,False,273831,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1183899192290430976/13ZpN35G_normal.jpg,https://pbs.twimg.com/profile_images/1183899192290430976/13ZpN35G_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],"[{'url': 'https://t.co/pB1VGcTR76', 'expanded_url': 'http://www.SempreInter.Com', 'display_url': 'SempreInter.Com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/479858322/1520266344,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
