created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status_id,quoted_status_id_str,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.possibly_sensitive,quoted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id,quoted_status.user.entities.url.urls,quoted_status.place.id,quoted_status.place.url,quoted_status.place.place_type,quoted_status.place.name,quoted_status.place.full_name,quoted_status.place.country_code,quoted_status.place.country,quoted_status.place.contained_within,quoted_status.place.bounding_box.type,quoted_status.place.bounding_box.coordinates
Wed Mar 08 02:58:04 +0000 2023,1633301026152529927,1633301026152529927,"28"" Inch Brushed Forgiato Torino 6x135 6x139.7 XL Floating Cap Wheels Rims https://t.co/I8mxtEKCms eBay https://t.co/gO674k2eEM",False,"[0, 103]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1455674543599616006,1455674543599616006,Car Parts UK,CarPartUK,,Car Parts. Selected Items. Deals. Product Information. Daily Updated. (eBay Links),https://t.co/ciqpx4kyM5,"[{'url': 'https://t.co/ciqpx4kyM5', 'expanded_url': 'https://www.pinterest.co.uk/CarPartUK/car-parts/', 'display_url': 'pinterest.co.uk/CarPartUK/car-…', 'indices': [0, 23]}]",[],False,152,20,1,Tue Nov 02 23:14:28 +0000 2021,0,,,False,False,38743,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1455674741725880322/aF-I4me0_normal.jpg,https://pbs.twimg.com/profile_images/1455674741725880322/aF-I4me0_normal.jpg,https://pbs.twimg.com/profile_banners/1455674543599616006/1635895032,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:30:08 +0000 2023,1633293994623991811,1633293994623991811,"Torino Country Solid Oak Extending Dining Table - Choice Of Sizes | Kitchen &amp; Dining Room Tables

https://t.co/JTWCxbVq9X

Add to Cart | #KitchenDiningRoomTables #Tables #Furniture #AddtoCa...",False,"[0, 196]","<a href=""https://addtocart.co.uk"" rel=""nofollow"">AddtoCart.co.uk</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1134037590,1134037590,Add to Cart,addtocart,United Kingdom,UK’s fastest-growing #ecommerce #marketplace. We support online retailers in reaching new customers and generate more online orders. #AddtoCart,https://t.co/EMy8oE5ITq,"[{'url': 'https://t.co/EMy8oE5ITq', 'expanded_url': 'https://addtocart.co.uk', 'display_url': 'addtocart.co.uk', 'indices': [0, 23]}]",[],False,899,413,8,Wed Jan 30 13:13:18 +0000 2013,268,,,True,False,177556,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1400201657250627586/28-ueCCq_normal.jpg,https://pbs.twimg.com/profile_images/1400201657250627586/28-ueCCq_normal.jpg,https://pbs.twimg.com/profile_banners/1134037590/1654191623,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:27:52 +0000 2023,1633293426350256128,1633293426350256128,"It's always exciting to see a new asteroid added to the Torino risk scale and 2023 DW is now the second one of 2023. But if it does impact the earth in 2046, it'll likely be as bad as the Tunguska event and would likely be a level 8 if it's expected to impact. https://t.co/9Kky7bNvKH",False,"[0, 260]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,115954873,115954873,Akemi Mokoto,TheAnimeElitist,"Chesapeake, VA","Free speech/expression absolutist, anime otaku, Photojournalist, storm chaser, Chairman of @official_LDTF & owner of @PCALive. #MangaIsNotACrime",https://t.co/Jmk1dMqbaC,"[{'url': 'https://t.co/Jmk1dMqbaC', 'expanded_url': 'https://www.akemi.moe', 'display_url': 'akemi.moe', 'indices': [0, 23]}]",[],False,1804,2326,48,Sat Feb 20 15:46:29 +0000 2010,25700,,,True,False,77535,,False,False,False,000000,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,False,http://pbs.twimg.com/profile_images/1631461960112824324/-q_OFDwy_normal.jpg,https://pbs.twimg.com/profile_images/1631461960112824324/-q_OFDwy_normal.jpg,https://pbs.twimg.com/profile_banners/115954873/1582530619,00008B,000000,E5507E,362720,True,True,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:23:08 +0000 2023,1633292233800822784,1633292233800822784,@dapotter42 @AsteroidWatch Have to get to a probability greater than 1% to move to Torino Scale 3 and then greater than 99% for Torino Scale 8. https://t.co/b7q8LVYcd7,False,"[27, 167]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332432452360765e+18,1633243245236076544,105005189.0,105005189,dapotter42,,,,,False,0,0,False,False,False,en,en,recent,4680514664,4680514664,Peter Thomas,ptastro1,,,,,[],False,87,25,1,Thu Dec 31 00:18:02 +0000 2015,113,,,False,False,791,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/776012179791187968/vIoT8b_h_normal.jpg,https://pbs.twimg.com/profile_images/776012179791187968/vIoT8b_h_normal.jpg,https://pbs.twimg.com/profile_banners/4680514664/1478902105,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:16:16 +0000 2023,1633290506473033728,1633290506473033728,"@OrandoDaniel Scarface 
Gran Torino 
Nightcrawler
The Wolf of Wall Street 
Baby Driver 
There Will Be Blood 
Falling Down
La trilogía del dólar 
No country for old men 
Wall Street 
Raging Bull
The Batman",False,"[14, 204]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332346808319836e+18,1633234680831983617,1.3034274625132052e+18,1303427462513205249,OrandoDaniel,,,,,False,0,0,False,False,,en,en,recent,1097209356532232192,1097209356532232192,R,Royfcb_,Barça | Celtics | Saprissa,Barça y Messi. Fanático de Trae Young.  #BleedGreen / Liberal.,https://t.co/Tb9xABXmog,"[{'url': 'https://t.co/Tb9xABXmog', 'expanded_url': 'http://letterboxd.com/Royss3/', 'display_url': 'letterboxd.com/Royss3/', 'indices': [0, 23]}]",[],False,786,992,1,Sun Feb 17 19:01:10 +0000 2019,37362,,,False,False,40117,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1604561531965841408/hV5dPhHq_normal.jpg,https://pbs.twimg.com/profile_images/1604561531965841408/hV5dPhHq_normal.jpg,https://pbs.twimg.com/profile_banners/1097209356532232192/1676948351,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:14:22 +0000 2023,1633290029219848193,1633290029219848193,@BNODesk Nothing to be excited over. Let me know when they upgraded it to a Torino Level 5. There's been 50 asteroids that got a level 1(two others for a level 2) and all have been downgraded to ZERO since 2002. https://t.co/SexyLDgnKa,False,"[9, 211]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332624377755935e+18,1633262437775593472,1.5119847104943432e+18,1511984710494343170,BNODesk,,,,,False,0,0,False,False,False,en,en,recent,115954873,115954873,Akemi Mokoto,TheAnimeElitist,"Chesapeake, VA","Free speech/expression absolutist, anime otaku, Photojournalist, storm chaser, Chairman of @official_LDTF & owner of @PCALive. #MangaIsNotACrime",https://t.co/Jmk1dMqbaC,"[{'url': 'https://t.co/Jmk1dMqbaC', 'expanded_url': 'https://www.akemi.moe', 'display_url': 'akemi.moe', 'indices': [0, 23]}]",[],False,1804,2326,48,Sat Feb 20 15:46:29 +0000 2010,25700,,,True,False,77535,,False,False,False,000000,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,False,http://pbs.twimg.com/profile_images/1631461960112824324/-q_OFDwy_normal.jpg,https://pbs.twimg.com/profile_images/1631461960112824324/-q_OFDwy_normal.jpg,https://pbs.twimg.com/profile_banners/115954873/1582530619,00008B,000000,E5507E,362720,True,True,False,False,False,False,False,regular,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:11:06 +0000 2023,1633289205232308227,1633289205232308227,4 Row Radiator Fits 1972-1979 Ford Thunderbird Torino / Mongeto / Ranchero USA https://t.co/bJA4LluXUP eBay https://t.co/3JIToN3w0K,False,"[0, 107]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1405651120807047169,1405651120807047169,Engine Cooling Components Car and Truck,ShocksMotorcyc1,,Engine Cooling Components Car and Truck. Selected Items. Product Information. Daily Updated (eBay Links),https://t.co/Sw0rHWnz9i,"[{'url': 'https://t.co/Sw0rHWnz9i', 'expanded_url': 'https://www.pinterest.com/ShocksMotorcycle/engine-cooling-components-car-and-truck/', 'display_url': 'pinterest.com/ShocksMotorcyc…', 'indices': [0, 23]}]",[],False,44,10,0,Thu Jun 17 22:18:47 +0000 2021,0,,,False,False,51520,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1553770732542234624/lKyXgVft_normal.jpg,https://pbs.twimg.com/profile_images/1553770732542234624/lKyXgVft_normal.jpg,https://pbs.twimg.com/profile_banners/1405651120807047169/1659282785,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:06:20 +0000 2023,1633288005023563777,1633288005023563777,@CLINTOFFICIAL_ He's definitely telling Stephen Spealberg some Gran Torino quotes. Look at his face! Can anyone confirm this?,False,"[16, 125]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332770864617308e+18,1633277086461730818,1.2559892872812175e+18,1255989287281217541,CLINTOFFICIAL_,,,,,False,0,1,False,False,,en,en,recent,560729858,560729858,Dr Professor Fred Rococo,itsreallyadam,all over,,,,[],False,142,922,1,Mon Apr 23 01:20:08 +0000 2012,30614,,,True,False,9262,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1454882524522598403/lAglosqU_normal.jpg,https://pbs.twimg.com/profile_images/1454882524522598403/lAglosqU_normal.jpg,https://pbs.twimg.com/profile_banners/560729858/1553313777,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 02:01:08 +0000 2023,1633286697495429120,1633286697495429120,"Di Torino: honestly kind of in-between the other 2. Pretty well-balanced but nothing special IMO. 28%

Fernet-Branca: If you know, you know😉. Always a favorite. Bitter and medicinal and minty and harsh and awesome. 39%.",False,"[0, 219]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6332861421737984e+18,1633286142173798410,1.014608115952685e+18,1014608115952685056,ntsAllOverMe,,,,,False,0,0,False,False,,en,en,recent,1014608115952685056,1014608115952685056,biz,ntsAllOverMe,,"he/him, 37, resident Wife Guy

fuck terfs, fuck cops, fuck nazis",,,[],False,182,227,4,Wed Jul 04 20:33:20 +0000 2018,11704,,,False,False,14208,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1613095454975164416/0exUIaBq_normal.jpg,https://pbs.twimg.com/profile_images/1613095454975164416/0exUIaBq_normal.jpg,,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 08 01:51:10 +0000 2023,1633284188018294786,1633284188018294786,@WilliamShatner They can’t put your handsome mug anywhere near the swill they call Star Trek nowadays. https://t.co/Pafso1dI5w,False,"[16, 102]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332813559321231e+18,1633281355932123136,15227791.0,15227791,WilliamShatner,,,,,False,0,9,False,False,False,en,en,recent,1472954114216800266,1472954114216800266,Storrs Perretta,scott_torino,"Dayton, OH",,,,[],False,5,100,6,Mon Dec 20 15:36:53 +0000 2021,2318,,,False,False,1068,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://pbs.twimg.com/profile_banners/1472954114216800266/1671992401,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,True,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
